Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-30;0,1464;0,1549;0,1464;0,1549;226;34
2019-07-29;0,1457;0,1457;0,1336;0,1336;6.500;887
2019-07-18;0,2024;0,2024;0,2024;0,2024;2;0
2019-07-17;0,2075;0,214;0,20;0,20;3.903;802
2019-07-09;0,1868;0,1868;0,1868;0,1868;600;112
2019-07-08;0,2178;0,2178;0,203;0,203;5.301;1.081
2019-07-03;0,2199;0,2199;0,2199;0,2199;6.000;1.319
2019-07-02;0,2031;0,2031;0,2031;0,2031;3.000;609
2019-06-19;0,29;0,29;0,2627;0,2627;9.700;2.698
2019-06-12;0,1901;0,1901;0,1901;0,1901;15.000;2.852
2019-06-05;0,22;0,22;0,22;0,22;5.000;1.100
2019-05-30;0,2122;0,2122;0,2122;0,2122;3.418;725
2019-05-22;0,2452;0,2452;0,2452;0,2452;7;2
2019-05-21;0,2131;0,2364;0,2131;0,2364;2.210;522
2019-05-03;0,224;0,2411;0,224;0,2411;281;68
2019-04-26;0,2605;0,2605;0,26;0,26;5;1
2019-04-24;0,2558;0,2558;0,2558;0,2558;3.000;767
2019-04-23;0,2904;0,3508;0,2904;0,3508;6.801;2.144
2019-04-18;0,2542;0,2544;0,2542;0,2544;41;10
2019-04-16;0,2667;0,2667;0,2667;0,2667;2;1
2019-04-12;0,2633;0,2633;0,2633;0,2633;1;0
2019-04-11;0,2896;0,2969;0,2896;0,2969;5.000;1.455
2019-04-10;0,3528;0,3528;0,3221;0,3221;5.287;1.787
2019-04-09;0,35;0,35;0,35;0,35;9.200;3.220
2019-04-01;0,205;0,227;0,205;0,223;7.000;1.545
2019-03-29;0,219;0,219;0,206;0,206;7.000;1.455
2019-03-28;0,206;0,206;0,206;0,206;1.500;309
2019-03-22;0,22;0,229;0,22;0,229;5.150;1.175
2019-03-21;0,247;0,247;0,247;0,247;6.000;1.482
2019-03-19;0,253;0,298;0,236;0,236;11.004;2.659
2019-03-18;0,25;0,25;0,25;0,25;5.000;1.250
2019-03-15;0,21;0,21;0,21;0,21;5;1
2019-03-14;0,20;0,20;0,20;0,20;3.000;600
2019-03-13;0,22;0,22;0,22;0,22;1.000;220
2019-03-08;0,223;0,223;0,223;0,223;850;190
2019-03-07;0,249;0,249;0,218;0,218;3.600;841
2019-03-06;0,193;0,193;0,193;0,193;50;10
2019-03-05;0,197;0,25;0,197;0,222;5.604;1.261
2019-03-01;0,211;0,237;0,211;0,237;673;158
2019-02-21;0,24;0,24;0,24;0,24;3.500;840
2019-02-20;0,253;0,253;0,253;0,253;1.000;253
2019-02-18;0,217;0,217;0,217;0,217;53;12
2019-02-15;0,234;0,234;0,23;0,23;12.000;2.776
2019-02-13;0,25;0,25;0,25;0,25;1.000;250
2019-02-12;0,247;0,247;0,247;0,247;2.000;494
2019-02-11;0,25;0,25;0,25;0,25;4.000;1.000
2019-02-07;0,233;0,233;0,233;0,233;5.000;1.165
2019-02-05;0,272;0,272;0,272;0,272;3.000;816
2019-02-04;0,281;0,281;0,258;0,258;5.860;1.555
2019-02-01;0,294;0,294;0,287;0,287;2.000;581
2019-01-31;0,345;0,345;0,294;0,31;15.840;5.153
2019-01-30;0,28;0,28;0,28;0,28;2.060;577
2019-01-28;0,294;0,294;0,293;0,293;6.501;1.907
2019-01-25;0,30;0,30;0,30;0,30;100;30
2019-01-24;0,31;0,31;0,31;0,31;3.500;1.085
2019-01-22;0,303;0,303;0,303;0,303;1.650;500
2019-01-21;0,265;0,265;0,265;0,265;2;1
2019-01-17;0,252;0,252;0,252;0,252;1;0
2019-01-11;0,21;0,298;0,21;0,298;606;180
2019-01-10;0,288;0,288;0,284;0,284;2.600;745
2019-01-07;0,29;0,29;0,29;0,29;100;29
2019-01-04;0,257;0,261;0,257;0,261;10.003;2.611
2019-01-03;0,257;0,282;0,257;0,282;2.625;740
2018-12-28;0,189;0,189;0,189;0,189;33;6
2018-12-27;0,211;0,211;0,211;0,211;1.650;348
2018-12-20;0,249;0,249;0,249;0,249;2.900;722
2018-12-18;0,25;0,25;0,25;0,25;1.000;250
2018-12-13;0,28;0,28;0,28;0,28;4.134;1.158
2018-12-12;0,291;0,291;0,291;0,291;10.000;2.910
2018-12-10;0,272;0,272;0,272;0,272;650;177
2018-12-07;0,255;0,255;0,255;0,255;3;1
2018-12-05;0,233;0,233;0,233;0,233;1;0
2018-12-04;0,301;0,305;0,301;0,305;3.508;1.070
2018-11-29;0,251;0,251;0,251;0,251;2;1
2018-11-28;0,26;0,26;0,26;0,26;1.000;260
2018-11-27;0,287;0,287;0,287;0,287;3;1
2018-11-14;0,26;0,26;0,26;0,26;30;8
2018-11-13;0,314;0,314;0,311;0,311;2.599;813
2018-11-07;0,311;0,311;0,311;0,311;500;156
2018-11-06;0,321;0,321;0,321;0,321;2.200;706
2018-11-01;0,315;0,315;0,315;0,315;1.010;318
2018-10-30;0,30;0,30;0,30;0,30;335;101
2018-10-24;0,314;0,314;0,314;0,314;16;5
2018-10-23;0,302;0,302;0,302;0,302;500;151
2018-10-19;0,38;0,38;0,38;0,38;2.700;1.026
2018-10-18;0,355;0,355;0,355;0,355;20;7
2018-10-15;0,357;0,357;0,357;0,357;2.000;714
2018-10-10;0,322;0,322;0,322;0,322;2.000;644
2018-10-09;0,336;0,336;0,336;0,336;2.000;672
2018-10-04;0,426;0,426;0,426;0,426;1.429;609
2018-10-02;0,376;0,396;0,376;0,396;1.500;572
2018-10-01;0,341;0,414;0,341;0,414;10.400;4.009
2018-09-28;0,301;0,339;0,301;0,339;5;2
2018-09-27;0,344;0,344;0,344;0,344;2.500;860
2018-09-26;0,368;0,368;0,368;0,368;150;55
2018-09-24;0,35;0,35;0,35;0,35;2.000;700
2018-09-18;0,361;0,389;0,361;0,367;4.333;1.586
2018-09-17;0,459;0,459;0,393;0,393;5.800;2.505
2018-09-14;0,40;0,40;0,40;0,40;2.000;800
2018-09-13;0,524;0,524;0,454;0,458;27.100;12.448
2018-09-12;0,381;0,381;0,381;0,381;37;14
2018-09-11;0,454;0,454;0,454;0,454;1.682;764
2018-09-10;0,483;0,483;0,483;0,483;90;43
2018-09-07;0,506;0,506;0,506;0,506;60;30
2018-09-06;0,48;0,48;0,48;0,48;77;37
2018-09-04;0,41;0,41;0,41;0,41;3.632;1.489
2018-08-31;0,45;0,45;0,45;0,45;5.790;2.606
2018-08-30;0,463;0,463;0,463;0,463;3.800;1.759
2018-08-29;0,492;0,492;0,45;0,45;1.892;868
2018-08-28;0,488;0,498;0,488;0,498;465;232
2018-08-27;0,468;0,468;0,468;0,468;866;405
2018-08-24;0,518;0,518;0,468;0,468;4.002;2.023
2018-08-23;0,624;0,645;0,485;0,485;16.950;9.835
2018-08-22;0,61;0,61;0,607;0,607;4.264;2.600
2018-08-20;0,30;0,30;0,30;0,30;4.000;1.200
2018-08-17;0,30;0,30;0,30;0,30;2.000;600
2018-08-15;0,333;0,333;0,333;0,333;2.750;916
2018-08-14;0,39;0,39;0,337;0,337;4.495;1.595
2018-08-13;0,37;0,37;0,321;0,33;2.150;748
2018-08-10;0,35;0,35;0,35;0,35;1.500;525
2018-08-09;0,38;0,38;0,38;0,38;100;38
2018-08-08;0,418;0,418;0,366;0,387;2.949;1.171
2018-08-07;0,348;0,413;0,348;0,413;2.918;1.197
2018-08-06;0,424;0,424;0,407;0,407;1.042;441
2018-08-02;0,635;0,635;0,635;0,635;1.000;635
2018-07-31;0,58;0,58;0,58;0,58;1.000;580
2018-07-30;0,619;0,619;0,544;0,567;1.172;715
2018-07-27;0,596;0,596;0,59;0,59;1.093;647
2018-07-26;0,605;0,605;0,605;0,605;13;8
2018-07-25;0,706;0,706;0,65;0,678;8.476;5.821
2018-07-20;0,849;0,849;0,849;0,849;40;34
2018-07-17;0,80;0,81;0,80;0,81;950;766
2018-07-13;0,972;0,972;0,972;0,972;66;64
2018-07-12;1,06;1,07;1,05;1,05;2.211;2.324
2018-07-11;1,20;1,20;1,06;1,06;5.803;6.298
2018-07-09;1,43;1,55;1,20;1,20;8.378;12.373
2018-07-06;1,24;1,24;1,24;1,24;1.750;2.170
2018-07-05;1,25;1,25;1,25;1,25;500;625
2018-07-04;1,25;1,25;1,25;1,25;200;250
2018-07-03;1,25;1,25;1,25;1,25;300;375
2018-07-02;1,25;1,26;1,25;1,26;521;651
2018-06-28;1,47;1,47;1,43;1,43;2.033;2.987
2018-06-26;1,57;1,57;1,57;1,57;4;6
2018-06-25;1,63;1,63;1,63;1,63;1.260;2.054
2018-06-22;1,78;1,78;1,50;1,50;1.941;3.117
2018-06-19;1,47;1,52;1,47;1,52;403;602
2018-06-18;1,65;1,66;1,57;1,57;1.759;2.900
2018-06-15;1,80;1,80;1,76;1,76;430;773
2018-06-13;1,99;1,99;1,95;1,95;260;517
2018-06-12;1,99;2,06;1,99;2,06;873;1.790
2018-06-08;1,89;1,95;1,89;1,95;1.337;2.607
2018-06-07;2,06;2,06;2,06;2,06;460;948
2018-06-05;2,30;2,30;2,30;2,30;625;1.438
2018-05-31;2,25;2,25;2,25;2,25;350;788
2018-05-29;2,12;2,12;2,12;2,12;375;795
2018-05-28;2,12;2,12;2,12;2,12;350;742





