Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2014-02-18;100,00;100,00;100,00;100,00;0;0
2014-02-17;99,71;99,71;99,71;99,71;0;0
2014-02-14;100,00;100,00;100,00;100,00;0;0
2014-02-13;100,00;100,00;100,00;100,00;0;0
2014-02-12;100,00;100,00;100,00;100,00;0;0
2014-02-11;100,00;100,00;100,00;100,00;0;0
2014-02-10;100,00;100,00;100,00;100,00;85.000;85.000
2014-02-07;100,00;100,00;100,00;100,00;0;0
2014-02-06;100,00;100,00;100,00;100,00;93.000;93.000
2014-02-05;100,00;100,00;100,00;100,00;0;0
2014-02-04;100,00;100,00;100,00;100,00;37.000;37.000
2014-02-03;99,99;100,05;99,99;100,00;90.000;90.023
2014-01-31;100,00;100,00;100,00;100,00;47.000;47.000
2014-01-30;99,98;100,00;99,98;100,00;20.000;20.000
2014-01-29;99,95;100,00;99,95;99,99;110.000;109.990
2014-01-28;99,83;100,00;99,83;100,00;30.000;29.988
2014-01-27;99,00;99,85;99,00;99,85;100.000;99.795
2014-01-22;97,001;97,001;97,001;97,001;0;0
2014-01-21;98,00;98,00;98,00;98,00;2.000;1.960
2014-01-20;97,10;98,20;97,10;98,20;11.000;10.787
2014-01-17;97,001;97,90;97,001;97,90;4.000;3.916
2014-01-16;98,50;98,50;97,55;98,40;46.000;45.034
2014-01-15;97,55;97,55;97,55;97,55;0;0
2014-01-14;97,55;97,55;97,55;97,55;0;0
2014-01-13;97,80;97,80;97,80;97,80;10.000;9.780
2014-01-10;97,80;99,00;97,80;99,00;20.000;19.800
2014-01-09;97,80;98,20;97,80;98,20;2.000;1.964
2014-01-08;97,55;99,00;97,55;99,00;1.000;990
2014-01-07;99,80;99,80;97,55;97,55;6.000;5.921
2014-01-06;97,55;97,55;97,55;97,55;0;0
2014-01-03;97,80;98,35;97,55;98,35;118.000;115.573
2014-01-02;96,50;98,00;96,50;98,00;510.000;495.750
2013-12-30;94,50;97,00;94,50;97,00;119.000;115.430
2013-12-27;96,10;96,10;96,10;96,10;1.000;961
2013-12-23;96,40;96,50;96,00;96,10;265.000;255.175
2013-12-20;96,40;96,40;96,40;96,40;0;0
2013-12-19;96,35;96,35;96,35;96,35;0;0
2013-12-18;96,35;96,35;96,35;96,35;0;0
2013-12-17;96,60;96,60;96,60;96,60;0;0
2013-12-16;96,35;96,35;96,35;96,35;0;0
2013-12-13;96,00;96,99;96,00;96,99;158.000;152.130
2013-12-12;96,02;96,02;96,00;96,00;110.000;105.601
2013-12-11;96,02;96,02;96,02;96,02;0;0
2013-12-10;95,70;95,70;95,70;95,70;0;0
2013-12-09;95,70;96,50;95,70;96,00;167.000;160.705
2013-12-06;95,60;96,50;95,60;96,50;118.000;113.870
2013-12-05;97,00;97,00;96,50;96,50;128.000;124.060
2013-12-04;97,50;97,50;97,15;97,15;63.000;61.380
2013-12-03;97,00;97,50;97,00;97,49;195.000;189.650
2013-12-02;96,00;97,00;96,00;97,00;10.000;9.700
2013-11-29;95,10;98,00;95,10;98,00;163.000;158.173
2013-11-28;94,15;96,00;94,15;96,00;180.000;171.059
2013-11-27;94,30;94,65;94,00;94,00;45.000;42.445
2013-11-26;94,35;94,35;94,35;94,35;25.000;23.588
2013-11-25;94,40;95,00;94,40;95,00;119.000;112.515
2013-11-22;94,00;94,00;94,00;94,00;5.000;4.700
2013-11-21;96,15;96,15;96,10;96,10;11.000;10.571
