Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-07-19;100,50;100,50;100,50;100,50;20.000;20.100
2019-07-18;100,45;100,45;100,45;100,45;60.000;60.270
2019-07-17;100,10;100,30;100,10;100,30;10.000;10.030
2019-07-16;100,10;100,60;100,00;100,60;150.000;150.190
2019-07-15;99,60;100,10;99,60;100,10;120.000;120.120
2019-07-12;99,59;100,35;99,59;100,00;60.000;60.105
2019-07-11;99,50;99,50;99,50;99,50;0;0
2019-07-10;99,50;99,50;99,50;99,50;0;0
2019-07-09;99,50;99,50;99,50;99,50;0;0
2019-07-08;99,50;100,00;99,50;99,60;40.000;39.960
2019-07-05;100,399;100,399;100,05;100,05;40.000;40.055
2019-07-04;99,50;99,50;99,50;99,50;0;0
2019-07-03;99,50;99,50;99,50;99,50;0;0
2019-07-02;99,50;100,22;99,50;100,22;30.000;30.052
2019-07-01;100,18;100,18;100,18;100,18;10.000;10.018
2019-06-28;99,50;99,50;99,50;99,50;0;0
2019-06-27;99,50;100,00;99,50;99,50;10.000;10.000
2019-06-26;98,50;100,00;98,50;99,50;10.000;10.000
2019-06-25;98,50;98,50;98,50;98,50;0;0
2019-06-24;98,50;100,00;98,50;100,00;10.000;10.000
2019-06-21;98,50;98,50;98,50;98,50;0;0
2019-06-20;99,00;99,00;99,00;99,00;10.000;9.900
2019-06-19;98,55;99,00;98,51;99,00;20.000;19.755
2019-06-18;99,00;99,00;98,51;98,51;10.000;9.900
2019-06-17;99,90;99,90;99,90;99,90;10.000;9.990
2019-06-14;98,50;98,50;98,50;98,50;0;0
2019-06-13;98,50;98,50;98,50;98,50;40.000;39.400
2019-06-12;98,50;98,50;98,50;98,50;0;0
2019-06-11;98,50;98,50;98,50;98,50;0;0
2019-06-07;99,60;99,60;99,60;99,60;30.000;29.880
2019-06-06;98,50;99,73;98,50;99,60;30.000;29.909
2019-06-05;98,50;98,50;98,50;98,50;0;0
2019-06-04;98,50;100,00;98,50;100,00;10.000;10.000
2019-06-03;98,00;100,10;95,60;95,60;20.000;19.860
2019-05-31;99,00;99,00;99,00;99,00;40.000;39.600
2019-05-30;99,00;99,05;99,00;99,05;10.000;9.905
2019-05-29;99,50;99,50;99,50;99,50;20.000;19.900
2019-05-28;99,50;99,50;99,50;99,50;0;0
2019-05-27;99,50;100,08;99,50;100,08;10.000;10.008
2019-05-24;99,50;100,05;99,50;100,05;10.000;10.005
2019-05-23;99,85;99,85;99,85;99,85;0;0
2019-05-22;99,50;99,50;99,50;99,50;0;0
2019-05-21;100,00;100,10;100,00;100,10;30.000;30.010
2019-05-20;100,09;100,09;99,80;99,80;120.000;119.869
2019-05-17;100,095;100,095;99,80;99,80;10.000;10.010
2019-05-16;99,80;100,08;99,80;100,08;10.000;10.008
2019-05-15;99,80;99,80;99,80;99,80;0;0
2019-05-14;99,80;99,80;99,80;99,80;0;0
2019-05-13;99,80;100,50;99,80;99,80;20.000;20.100
2019-05-10;99,80;100,20;99,80;100,20;20.000;20.040
2019-05-09;99,80;99,80;99,80;99,80;0;0
2019-05-08;100,10;100,10;99,80;99,80;60.000;60.060
2019-05-07;99,95;99,95;99,00;99,00;20.000;19.975
2019-05-06;99,95;99,95;99,95;99,95;0;0
2019-05-03;99,95;99,95;99,95;99,95;0;0
2019-05-02;99,90;99,95;99,90;99,95;0;0
2019-04-30;99,90;99,95;99,90;99,95;30.000;29.985
2019-04-29;100,05;100,05;99,90;99,90;30.000;30.015
2019-04-26;99,95;100,10;99,95;99,95;10.000;10.010
2019-04-25;99,50;100,00;99,50;99,95;40.000;39.990
2019-04-24;99,50;99,50;99,50;99,50;0;0
2019-04-23;99,50;99,50;99,50;99,50;0;0
2019-04-18;99,50;99,50;99,50;99,50;0;0
2019-04-17;99,50;99,50;99,50;99,50;0;0
2019-04-16;99,50;99,50;99,50;99,50;0;0
2019-04-15;99,99;99,99;99,50;99,98;70.000;69.947
2019-04-12;99,90;99,90;99,35;99,35;20.000;19.980
2019-04-11;99,90;100,08;99,90;100,08;10.000;10.008
2019-04-10;99,90;100,08;99,90;99,90;20.000;20.008
2019-04-09;99,90;99,90;99,90;99,90;0;0
2019-04-08;99,90;99,90;99,90;99,90;0;0
2019-04-05;100,00;100,01;100,00;100,00;40.000;40.003
2019-04-04;99,90;99,90;99,90;99,90;0;0
2019-04-03;99,98;100,00;99,90;99,90;100.000;99.952
2019-04-02;98,50;99,90;98,50;98,50;10.000;9.990
2019-04-01;98,50;98,50;98,50;98,50;0;0
2019-03-29;99,98;99,98;99,50;99,50;10.000;9.998
2019-03-28;99,50;99,50;99,50;99,50;0;0
2019-03-27;99,50;99,85;99,50;99,85;30.000;29.955
2019-03-26;99,98;99,98;99,50;99,50;30.000;29.978
2019-03-25;99,99;99,99;99,50;99,50;10.000;9.999
2019-03-22;99,50;99,50;99,50;99,50;0;0
2019-03-21;99,50;99,98;99,50;99,98;20.000;19.996
2019-03-20;99,50;99,50;99,50;99,50;0;0
2019-03-19;98,50;99,95;98,50;99,75;210.000;209.675
2019-03-18;99,98;99,98;98,50;99,98;40.000;39.966
2019-03-15;98,50;99,98;98,50;99,98;20.000;19.983
2019-03-14;98,50;99,98;98,50;98,50;10.000;9.998
2019-03-13;98,50;99,98;98,50;99,98;30.000;29.994
2019-03-12;98,50;98,50;98,50;98,50;0;0
2019-03-11;98,50;99,00;98,50;99,00;0;0
2019-03-08;99,00;100,00;99,00;99,00;10.000;10.000
2019-03-07;98,50;98,50;97,50;97,95;20.000;19.545
2019-03-06;98,50;98,50;98,50;98,50;0;0
2019-03-05;98,50;98,50;98,50;98,50;0;0
2019-03-04;99,01;99,01;99,01;99,01;10.000;9.901
2019-03-01;99,01;99,01;99,01;99,01;0;0
2019-02-28;99,01;99,01;99,01;99,01;0;0
2019-02-27;99,01;100,08;99,01;99,01;90.000;90.023
2019-02-26;99,01;100,10;99,01;99,01;80.000;79.690
2019-02-25;99,01;99,01;99,01;99,01;0;0
2019-02-22;99,50;100,00;99,01;99,01;200.000;199.050
2019-02-21;99,995;99,995;99,55;99,55;70.000;69.903
2019-02-20;99,01;99,01;99,01;99,01;0;0
2019-02-19;99,01;99,80;99,01;99,80;10.000;9.980
2019-02-18;99,01;99,99;99,01;99,99;10.000;9.999
2019-02-15;99,01;99,01;99,01;99,01;0;0
2019-02-14;99,01;99,01;99,01;99,01;0;0
2019-02-13;99,01;99,01;99,01;99,01;0;0
2019-02-12;99,01;99,80;99,01;99,01;60.000;59.875
2019-02-11;99,01;99,01;99,01;99,01;0;0
2019-02-08;99,01;99,99;99,01;99,01;40.000;39.996
2019-02-07;98,53;99,99;98,53;99,99;10.000;9.999
2019-02-06;98,50;98,53;98,50;98,53;0;0
2019-02-05;98,50;98,50;98,50;98,50;0;0
2019-02-04;99,50;99,90;98,00;98,00;110.000;109.570
2019-02-01;99,51;99,99;99,51;99,51;40.000;39.860
2019-01-31;99,51;99,51;99,51;99,51;0;0
2019-01-30;99,51;99,51;99,51;99,51;0;0
2019-01-29;99,51;99,51;99,51;99,51;0;0
2019-01-28;99,51;99,51;99,51;99,51;0;0
2019-01-25;99,51;99,51;99,51;99,51;0;0
2019-01-24;99,51;99,51;99,51;99,51;0;0
2019-01-23;100,40;100,40;100,00;100,00;20.000;20.040
2019-01-22;99,50;100,47;99,50;99,50;10.000;10.047
2019-01-21;99,50;99,50;99,50;99,50;0;0
2019-01-18;99,50;100,01;99,50;100,01;20.000;20.002
2019-01-17;99,50;99,50;99,50;99,50;0;0
2019-01-16;99,50;99,50;99,50;99,50;0;0
2019-01-15;99,50;100,20;99,50;99,50;100.000;100.200
2019-01-14;99,50;99,50;99,50;99,50;0;0
2019-01-11;100,20;100,20;99,50;99,50;10.000;10.020
2019-01-10;99,50;99,50;99,50;99,50;0;0
2019-01-09;99,50;99,50;99,50;99,50;0;0
2019-01-08;99,50;100,00;99,50;99,50;10.000;10.000
2019-01-07;99,50;99,55;99,50;99,55;10.000;9.955
2019-01-04;98,50;100,20;98,50;98,50;10.000;10.020
2019-01-03;98,50;100,25;98,50;98,50;10.000;10.025
2019-01-02;98,50;98,50;98,50;98,50;0;0
2018-12-28;98,50;98,50;98,50;98,50;0;0
2018-12-27;99,90;99,90;99,90;99,90;10.000;9.990
2018-12-21;98,50;98,50;98,50;98,50;0;0
2018-12-20;98,50;98,50;98,50;98,50;0;0
2018-12-19;98,50;100,15;98,50;100,15;10.000;10.015
2018-12-18;98,50;98,50;98,50;98,50;0;0
2018-12-17;98,50;98,50;98,50;98,50;0;0
2018-12-14;98,50;98,50;98,50;98,50;0;0
2018-12-13;98,50;98,50;98,50;98,50;0;0
2018-12-12;98,50;98,50;98,50;98,50;0;0
2018-12-11;98,50;98,50;98,50;98,50;0;0
2018-12-10;98,50;98,50;98,50;98,50;10.000;9.850
2018-12-07;98,50;98,50;98,50;98,50;0;0
2018-12-06;98,50;98,50;98,50;98,50;20.000;19.700
2018-12-05;98,50;98,50;98,50;98,50;0;0
2018-12-04;98,50;98,50;98,50;98,50;0;0
2018-12-03;98,50;98,50;98,50;98,50;40.000;39.400
2018-11-30;99,00;99,00;99,00;99,00;0;0
2018-11-29;99,00;99,00;99,00;99,00;0;0
2018-11-28;99,00;99,00;99,00;99,00;0;0
2018-11-27;99,00;99,00;99,00;99,00;0;0
2018-11-26;99,00;99,00;99,00;99,00;0;0
2018-11-23;99,00;99,00;99,00;99,00;0;0
2018-11-22;99,95;99,95;99,50;99,50;20.000;19.945
2018-11-21;99,50;99,50;99,50;99,50;0;0
2018-11-20;99,50;99,50;99,50;99,50;0;0
2018-11-19;99,50;99,50;99,50;99,50;0;0
2018-11-16;99,50;100,00;99,50;100,00;20.000;20.000
2018-11-15;99,50;100,00;99,50;99,50;30.000;30.000
2018-11-14;99,50;99,50;99,50;99,50;0;0
2018-11-13;99,50;100,45;99,50;100,00;60.000;60.045
2018-11-12;100,40;100,45;100,40;100,45;20.000;20.085
2018-11-09;99,00;99,00;99,00;99,00;0;0
2018-11-08;99,00;100,50;99,00;99,00;10.000;10.050
2018-11-07;99,00;99,00;99,00;99,00;0;0
2018-11-06;99,00;99,00;99,00;99,00;0;0
2018-11-05;99,00;100,80;99,00;99,00;10.000;10.080
2018-11-02;99,55;100,50;98,50;98,50;30.000;30.110
2018-11-01;99,50;99,50;99,50;99,50;40.000;39.800
2018-10-31;99,25;99,25;99,25;99,25;0;0
2018-10-30;99,00;99,25;99,00;99,25;0;0
2018-10-29;99,98;99,98;99,98;99,98;10.000;9.998
2018-10-26;99,88;99,95;99,50;99,50;110.000;109.743
2018-10-25;99,88;100,00;99,88;99,88;10.000;10.000
2018-10-24;99,88;99,95;99,88;99,95;10.000;9.995
2018-10-23;100,00;100,00;99,80;99,80;10.000;10.000
2018-10-22;100,00;100,00;99,80;99,80;20.000;20.000
2018-10-19;99,50;99,50;99,50;99,50;0;0
2018-10-18;99,50;99,50;99,50;99,50;0;0
2018-10-17;100,00;100,00;100,00;100,00;30.000;30.000
2018-10-16;100,00;100,00;100,00;100,00;0;0
2018-10-15;100,00;100,10;100,00;100,00;20.000;20.015
2018-10-12;100,00;100,00;99,75;99,75;0;0
2018-10-11;99,50;99,50;99,50;99,50;0;0
2018-10-10;100,00;100,00;99,50;99,50;60.000;60.000
2018-10-09;99,50;99,50;99,50;99,50;0;0
2018-10-08;99,50;99,50;99,50;99,50;0;0
2018-10-05;99,99;99,99;99,99;99,99;0;0
2018-10-04;100,00;100,20;100,00;100,20;20.000;20.040
2018-10-02;100,15;100,30;100,00;100,30;30.000;30.055
2018-10-01;100,15;100,15;100,15;100,15;10.000;10.015
2018-09-28;100,09;100,09;100,09;100,09;20.000;20.018
2018-09-27;100,15;100,15;99,50;99,50;30.000;30.045
2018-09-26;99,50;100,89;99,50;100,20;70.000;70.299
2018-09-25;99,95;99,95;99,95;99,95;0;0
2018-09-24;99,50;99,50;99,50;99,50;0;0
2018-09-21;100,00;100,00;100,00;100,00;0;0
2018-09-20;100,50;100,50;100,00;100,00;20.000;20.095
2018-09-19;100,00;100,25;100,00;100,25;50.000;50.125
2018-09-18;100,00;100,00;100,00;100,00;0;0
2018-09-17;100,00;100,00;100,00;100,00;0;0
2018-09-14;100,00;100,00;100,00;100,00;0;0
2018-09-13;100,00;100,00;100,00;100,00;0;0
2018-09-12;100,00;100,00;100,00;100,00;0;0
2018-09-11;100,00;100,00;100,00;100,00;0;0
2018-09-10;100,00;100,00;100,00;100,00;0;0
2018-09-07;100,00;100,00;100,00;100,00;0;0
2018-09-06;100,00;100,25;100,00;100,25;60.000;60.150
2018-09-05;100,80;100,80;100,50;100,60;40.000;40.240
2018-09-04;100,00;100,00;100,00;100,00;0;0
2018-09-03;100,00;101,00;100,00;101,00;10.000;10.100
2018-08-31;100,00;100,50;100,00;100,00;40.000;40.200
2018-08-30;100,00;100,00;100,00;100,00;0;0
2018-08-29;100,00;100,00;100,00;100,00;10.000;10.000
2018-08-28;100,00;100,00;100,00;100,00;0;0
2018-08-27;100,00;100,00;100,00;100,00;0;0
2018-08-24;100,00;100,00;100,00;100,00;0;0
2018-08-23;100,00;100,55;100,00;100,55;10.000;10.055
2018-08-22;100,00;100,00;100,00;100,00;0;0
2018-08-21;100,00;100,00;100,00;100,00;0;0
2018-08-20;100,00;100,00;100,00;100,00;0;0
2018-08-17;100,00;100,00;100,00;100,00;0;0
2018-08-16;100,00;100,00;100,00;100,00;0;0
2018-08-15;100,00;100,00;100,00;100,00;0;0
2018-08-14;100,00;100,00;100,00;100,00;0;0
2018-08-13;100,00;100,00;100,00;100,00;0;0
2018-08-10;100,00;100,00;100,00;100,00;0;0
2018-08-09;100,00;100,00;100,00;100,00;0;0
2018-08-08;100,00;100,50;100,00;100,00;10.000;10.050
