Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-10-05;21,70;21,70;21,70;21,70;0;0
2017-10-04;21,70;21,70;21,70;21,70;0;0
2017-10-03;21,90;21,90;21,90;21,90;0;0
2017-10-02;21,90;21,90;21,90;21,90;0;0
2017-09-29;22,19;22,19;22,19;22,19;0;0
2017-09-28;21,10;21,10;21,10;21,10;0;0
2017-09-27;21,10;21,10;21,10;21,10;0;0
2017-09-26;22,00;22,00;22,00;22,00;0;0
2017-09-25;22,00;22,00;22,00;22,00;0;0
2017-09-22;22,38;22,38;22,38;22,38;0;0
2017-09-21;22,38;22,38;22,38;22,38;0;0
2017-09-20;21,80;23,505;21,80;23,505;30;705
2017-09-19;21,80;21,80;21,80;21,80;0;0
2017-09-18;22,50;22,50;22,50;22,50;50;1.125
2017-09-15;21,00;21,00;21,00;21,00;0;0
2017-09-14;21,00;21,00;21,00;21,00;0;0
2017-09-13;21,00;21,00;21,00;21,00;0;0
2017-09-12;21,00;21,00;21,00;21,00;0;0
2017-09-11;21,32;21,32;21,32;21,32;0;0
2017-09-08;21,32;21,32;21,32;21,32;0;0
2017-09-07;21,32;21,32;21,32;21,32;0;0
2017-09-06;21,32;21,32;21,32;21,32;0;0
2017-09-05;21,21;21,21;21,21;21,21;0;0
2017-09-04;20,00;20,00;20,00;20,00;0;0
2017-09-01;20,00;22,00;20,00;22,00;100;2.200
2017-08-31;21,40;21,40;21,40;21,40;120;2.568
2017-08-30;21,40;21,70;21,40;21,70;50;1.085
2017-08-29;19,955;19,955;19,955;19,955;0;0
2017-08-28;20,00;20,00;20,00;20,00;0;0
2017-08-25;20,50;20,50;20,50;20,50;0;0
2017-08-24;20,50;20,50;20,50;20,50;0;0
2017-08-22;20,10;20,10;20,10;20,10;0;0
2017-08-21;19,52;19,52;19,52;19,52;0;0
2017-08-18;19,06;19,06;19,06;19,06;0;0
2017-08-17;20,71;20,71;20,71;20,71;0;0
2017-08-16;21,3488;21,3488;21,3488;21,3488;0;0
2017-08-15;21,3439;21,3439;21,3439;21,3439;0;0
2017-08-14;21,3439;23,3247;21,3439;23,3247;1;24
2017-08-11;21,5816;21,5816;21,5816;21,5816;0;0
2017-08-10;21,5816;21,5816;21,5816;21,5816;0;0
2017-08-09;20,7991;22,4829;20,7991;22,4829;101;2.270
2017-08-08;20,4624;20,4624;20,4624;20,4624;0;0
2017-08-07;20,5515;20,5515;20,5515;20,5515;0;0
2017-08-04;22,4334;22,4334;22,4334;22,4334;25;566
2017-08-03;19,9077;19,9077;19,9077;19,9077;0;0
2017-08-02;19,9077;19,9077;19,9077;19,9077;0;0
2017-08-01;19,9077;19,9077;19,9077;19,9077;0;0
2017-07-31;21,3142;21,3142;21,3142;21,3142;2;43
2017-07-28;19,9077;19,9077;19,9077;19,9077;0;0
2017-07-27;19,9077;21,2944;19,9077;21,2944;18;387
2017-07-26;19,9077;19,9077;19,9077;19,9077;0;0
2017-07-25;19,9077;19,9077;19,9077;19,9077;0;0
2017-07-24;19,8087;21,2944;19,8087;21,2944;20;430
2017-07-21;19,8087;19,8087;19,8087;19,8087;0;0
2017-07-20;19,8087;19,8087;19,8087;19,8087;0;0
