Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-14;1,81;1,99;1,81;1,99;0;0
2019-08-13;1,80;1,80;1,80;1,80;0;0
2019-08-12;1,80;1,80;1,80;1,80;0;0
2019-08-09;1,80;1,80;1,80;1,80;0;0
2019-08-08;1,80;1,80;1,80;1,80;0;0
2019-08-07;1,80;1,80;1,80;1,80;0;0
2019-08-06;1,80;1,80;1,80;1,80;0;0
2019-08-05;1,80;1,80;1,80;1,80;0;0
2019-08-02;1,80;1,80;1,80;1,80;0;0
2019-08-01;0,90;1,90;0,90;1,80;0;0
2019-07-31;1,80;1,80;1,80;1,80;0;0
2019-07-30;1,00;1,00;1,00;1,00;0;0
2019-07-29;1,00;1,00;1,00;1,00;0;0
2019-07-26;1,00;1,00;1,00;1,00;0;0
2019-07-25;1,00;1,00;1,00;1,00;0;0
2019-07-24;2,80;3,15;2,80;3,15;0;0
2019-07-23;2,40;2,40;2,40;2,40;0;0
2019-07-22;2,80;2,80;1,90;1,90;0;0
2019-07-19;2,80;2,80;2,80;2,80;0;0
2019-07-18;1,00;1,00;1,00;1,00;0;0
2019-07-17;1,00;1,00;1,00;1,00;0;0
2019-07-16;1,00;1,00;1,00;1,00;0;0
2019-07-15;1,00;1,00;1,00;1,00;0;0
2019-07-12;1,00;1,00;1,00;1,00;0;0
2019-07-11;1,00;1,00;1,00;1,00;0;0
2019-07-10;1,85;1,85;0,91;1,00;99.979;1.005
2019-07-09;1,85;1,85;1,85;1,85;0;0
2019-07-08;1,85;1,85;1,85;1,85;0;0
2019-07-05;1,85;1,85;1,85;1,85;0;0
2019-07-04;1,85;1,85;1,85;1,85;0;0
2019-07-03;1,85;1,85;1,85;1,85;0;0
2019-07-02;1,85;1,85;1,85;1,85;0;0
2019-07-01;1,85;1,85;1,85;1,85;0;0
2019-06-28;1,85;1,85;1,85;1,85;0;0
2019-06-27;1,85;1,85;1,85;1,85;0;0
2019-06-26;1,85;1,85;1,85;1,85;0;0
2019-06-25;1,85;1,85;1,85;1,85;0;0
2019-06-24;1,85;1,85;1,85;1,85;0;0
2019-06-21;1,85;1,85;1,85;1,85;0;0
