Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2013-12-27;1,907;1,907;1,877;1,895;5.666;10.685
2013-12-23;1,916;1,92;1,90;1,915;10.785;20.603
2013-12-20;1,855;1,91;1,855;1,91;0;0
2013-12-19;1,881;1,884;1,851;1,874;7.388;13.799
2013-12-18;1,881;1,882;1,88;1,88;970;1.826
2013-12-17;1,881;1,89;1,881;1,888;4.000;7.560
2013-12-16;1,835;1,894;1,835;1,894;7.390;13.571
2013-12-13;1,878;1,901;1,878;1,901;3.955;7.427
2013-12-12;1,883;2,00;1,883;1,889;2.000;3.960
2013-12-11;1,87;1,895;1,87;1,895;469;877
2013-12-10;1,888;1,902;1,888;1,902;0;0
2013-12-09;1,873;1,892;1,872;1,889;300;562
2013-12-06;1,873;1,882;1,873;1,88;0;0
2013-12-05;1,883;1,892;1,883;1,885;941;1.780
2013-12-04;1,90;1,90;1,869;1,895;1.700;3.193
2013-12-03;1,886;1,891;1,886;1,891;1.320;2.494
2013-12-02;1,945;1,95;1,889;1,898;5.920;11.505
2013-11-29;1,893;1,935;1,893;1,935;5.660;10.771
2013-11-28;1,906;1,911;1,906;1,91;7.315;13.958
2013-11-27;1,885;2,065;1,883;1,90;3.700;7.274
2013-11-26;1,902;1,922;1,87;1,896;12.300;23.434
2013-11-25;1,895;1,914;1,862;1,908;23.900;45.128
2013-11-22;1,907;1,91;1,881;1,907;2.350;4.478
2013-11-21;1,884;1,93;1,884;1,923;6.820;12.910
2013-11-20;1,897;1,939;1,80;1,939;9.610;18.027
2013-11-19;1,901;1,913;1,90;1,913;475;906
2013-11-18;1,911;1,926;1,909;1,926;0;0
2013-11-15;1,917;1,917;1,899;1,917;0;0
2013-11-14;1,895;1,923;1,895;1,923;0;0
2013-11-13;1,909;1,909;1,848;1,906;1.430;2.650
2013-11-12;1,91;1,913;1,909;1,909;0;0
2013-11-11;1,925;1,927;1,91;1,927;0;0
2013-11-08;1,927;1,928;1,915;1,928;0;0
2013-11-07;1,924;2,058;1,924;1,947;1.424;2.880
2013-11-06;1,985;1,985;1,937;1,954;0;0
2013-11-05;1,959;1,991;1,957;1,991;0;0
2013-11-04;1,992;1,992;1,962;1,97;0;0
2013-11-01;1,952;1,983;1,952;1,983;0;0
2013-10-31;1,914;1,988;1,914;1,988;0;0
2013-10-30;1,898;1,915;1,898;1,911;0;0
2013-10-29;1,897;1,915;1,897;1,913;0;0
2013-10-28;1,894;1,925;1,894;1,925;0;0
2013-10-25;1,902;1,983;1,902;1,917;830;1.646
2013-10-24;1,899;1,92;1,899;1,92;0;0
2013-10-23;1,935;1,936;1,931;1,931;0;0
2013-10-22;1,946;1,954;1,946;1,95;600;1.172
2013-10-21;1,953;1,972;1,953;1,97;0;0
2013-10-18;1,948;1,979;1,948;1,977;0;0
2013-10-17;1,965;2,048;1,965;1,981;500;1.024
2013-10-16;1,947;2,029;1,947;1,984;500;1.015
2013-10-15;2,054;2,08;1,981;1,981;4.000;8.293
2013-10-14;1,979;2,09;1,979;2,09;1.666;3.482
2013-10-11;2,005;2,005;2,002;2,002;0;0
2013-10-10;1,993;2,027;1,993;2,01;2.000;4.054
2013-10-09;1,991;2,01;1,991;2,01;0;0
2013-10-08;1,991;2,019;1,991;2,019;0;0
2013-10-07;2,03;2,11;2,024;2,024;2.000;4.220
2013-10-04;2,047;2,13;2,047;2,066;1.000;2.130
2013-10-03;1,994;2,036;1,994;2,036;0;0
2013-10-02;2,10;2,10;2,013;2,013;0;0
2013-10-01;1,848;1,864;1,844;1,864;0;0
2013-09-30;1,871;1,886;1,871;1,886;0;0
