Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;38,60;38,60;38,60;38,60;402;15.517
2019-08-15;39,00;39,00;38,60;38,60;150;5.790
2019-08-13;39,00;39,00;39,00;39,00;70;2.730
2019-08-12;39,80;39,80;39,80;39,80;70;2.786
2019-08-09;40,00;40,20;39,00;39,00;1.611;62.829
2019-08-08;40,00;41,00;39,00;39,80;2.223;88.475
2019-08-07;39,00;39,60;39,00;39,60;487;19.285
2019-08-06;39,20;39,20;36,00;38,80;3.731;144.763
2019-08-02;40,80;40,80;40,80;40,80;2;82
2019-07-31;40,00;40,00;39,80;39,80;839;33.392
2019-07-30;40,00;40,20;40,00;40,00;1.322;52.880
2019-07-29;40,20;40,20;40,00;40,00;4.770;190.800
2019-07-26;41,00;41,00;40,20;40,80;361;14.729
2019-07-25;40,60;41,00;40,20;41,00;191;7.831
2019-07-24;40,60;40,60;40,60;40,60;600;24.360
2019-07-23;41,00;41,20;41,00;41,00;2.056;84.296
2019-07-22;41,60;42,00;41,00;41,40;5.038;208.573
2019-07-18;41,20;41,20;41,20;41,20;40;1.648
2019-07-17;41,60;41,80;41,20;41,20;206;8.487
2019-07-16;41,40;41,60;41,00;41,00;518;21.238
2019-07-15;41,40;41,40;41,00;41,00;112;4.592
2019-07-12;41,40;41,40;41,00;41,00;50;2.050
2019-07-11;40,20;41,00;40,20;41,00;8.712;357.192
2019-07-10;41,20;41,20;40,20;40,20;157;6.311
2019-07-09;40,40;40,40;40,20;40,20;2.426;97.525
2019-07-08;41,00;41,00;41,00;41,00;153;6.273
2019-07-05;41,00;41,00;40,40;40,40;520;21.008
2019-07-04;40,80;41,00;40,40;40,40;457;18.463
2019-07-03;41,60;41,60;40,40;40,40;515;20.806
2019-07-02;41,60;41,60;41,00;41,00;403;16.523
2019-07-01;41,60;42,40;41,00;41,60;1.823;75.837
2019-06-28;41,40;41,60;41,00;41,60;11.557;480.771
2019-06-27;43,00;43,00;38,40;40,60;22.398;909.359
2019-06-26;47,20;48,20;39,20;43,20;31.686;1.368.835
2019-06-25;49,60;49,60;49,60;49,60;50;2.480
2019-06-24;48,00;49,60;48,00;49,60;93;4.613
2019-06-21;49,60;49,60;49,60;49,60;50;2.480
2019-06-20;48,00;49,60;48,00;49,60;246;12.202
2019-06-19;49,60;49,60;48,00;48,80;869;42.407
2019-06-18;49,40;49,60;49,00;49,60;259;12.846
2019-06-17;49,40;49,60;49,40;49,60;160;7.936
2019-06-14;49,00;49,00;49,00;49,00;335;16.415
2019-06-13;47,80;49,00;47,80;49,00;775;37.975
2019-06-12;47,80;47,80;45,80;46,80;1.802;84.334
2019-06-11;46,60;47,80;45,80;47,80;2.196;104.969
2019-06-07;48,00;48,00;47,80;47,80;220;10.516
2019-06-06;48,00;49,80;46,80;49,80;1.430;71.214
2019-06-05;48,00;49,00;48,00;48,40;416;20.134
2019-06-04;49,00;49,00;49,00;49,00;182;8.918
2019-06-03;48,60;49,80;48,00;49,80;269;13.396
2019-05-31;49,00;49,00;48,00;48,60;786;38.200
2019-05-29;50,00;50,00;48,80;50,00;141;7.050
2019-05-28;51,50;51,50;50,00;50,00;303;15.150
2019-05-27;50,00;50,00;50,00;50,00;51;2.550
2019-05-24;47,40;47,40;47,40;47,40;1;47
2019-05-23;48,00;50,00;48,00;50,00;403;20.150
2019-05-22;51,50;51,50;47,20;47,20;69;3.257
2019-05-21;51,50;51,50;51,50;51,50;50;2.575
2019-05-20;46,80;51,00;46,80;47,20;253;11.942
2019-05-17;47,80;49,80;46,80;46,80;157;7.348
