Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2012-08-06;0,005;0,005;0,004;0,004;174.864;772
2012-08-03;0,004;0,005;0,004;0,005;45.000;225
2012-08-02;0,003;0,007;0,003;0,007;156.059;1.004
2012-08-01;0,003;0,004;0,003;0,004;100;0
2012-07-31;0,004;0,005;0,003;0,003;270.695;888
2012-07-30;0,004;0,004;0,004;0,004;0;0
2012-07-27;0,004;0,005;0,004;0,005;200;1
2012-07-26;0,004;0,004;0,004;0,004;0;0
2012-07-25;0,004;0,005;0,004;0,005;10;0
2012-07-24;0,004;0,005;0,004;0,005;24.500;123
2012-07-23;0,004;0,004;0,004;0,004;0;0
2012-07-20;0,005;0,005;0,005;0,005;2.500;13
2012-07-19;0,004;0,005;0,004;0,005;12.331;62
2012-07-18;0,004;0,005;0,004;0,005;86;0
2012-07-17;0,003;0,005;0,003;0,005;1.830;9
2012-07-16;0,003;0,004;0,003;0,004;33;0
2012-07-13;0,003;0,004;0,003;0,004;2.550;10
2012-07-12;0,003;0,004;0,003;0,004;300;1
2012-07-11;0,003;0,003;0,003;0,003;0;0
2012-07-10;0,004;0,004;0,004;0,004;200;1
2012-07-09;0,004;0,004;0,004;0,004;76.160;305
2012-07-06;0,004;0,004;0,003;0,003;650;2
2012-07-05;0,003;0,005;0,003;0,005;201.000;1.004
2012-07-04;0,003;0,004;0,003;0,004;10.000;40
2012-07-03;0,003;0,004;0,003;0,004;100;0
2012-07-02;0,003;0,004;0,003;0,004;490;2
2012-06-29;0,003;0,003;0,003;0,003;0;0
2012-06-28;0,003;0,003;0,003;0,003;0;0
2012-06-27;0,003;0,004;0,003;0,004;30;0
2012-06-26;0,006;0,006;0,004;0,004;70;0
2012-06-25;0,003;0,004;0,003;0,004;180;1
2012-06-22;0,003;0,004;0,003;0,004;100;0
2012-06-21;0,003;0,003;0,003;0,003;0;0
2012-06-20;0,003;0,003;0,003;0,003;0;0
2012-06-19;0,003;0,003;0,003;0,003;0;0
2012-06-18;0,004;0,004;0,004;0,004;380;2
2012-06-15;0,003;0,004;0,003;0,004;150;1
2012-06-14;0,003;0,004;0,003;0,004;150;1
2012-06-13;0,003;0,003;0,003;0,003;0;0
2012-06-12;0,003;0,004;0,003;0,004;389;2
2012-06-11;0,003;0,004;0,003;0,004;600;2
2012-06-08;0,003;0,004;0,003;0,004;100;0
2012-06-07;0,005;0,005;0,004;0,004;300;1
2012-06-06;0,004;0,006;0,004;0,005;100.480;503
2012-06-05;0,007;0,007;0,004;0,005;347.020;1.685
2012-06-04;0,007;0,007;0,006;0,006;200;1
2012-06-01;0,008;0,008;0,004;0,006;3.150;17
2012-05-31;0,007;0,007;0,005;0,007;337.100;1.860
2012-05-30;0,007;0,007;0,006;0,006;50;0
2012-05-29;0,004;0,007;0,004;0,007;21.295;146
2012-05-28;0,004;0,004;0,004;0,004;0;0
2012-05-25;0,004;0,004;0,004;0,004;0;0
2012-05-24;0,004;0,004;0,004;0,004;0;0
2012-05-23;0,004;0,004;0,004;0,004;0;0
2012-05-22;0,004;0,004;0,004;0,004;0;0
2012-05-21;0,004;0,004;0,004;0,004;0;0
2012-05-18;0,004;0,004;0,004;0,004;0;0
2012-05-17;0,004;0,004;0,004;0,004;0;0
2012-05-16;0,004;0,004;0,004;0,004;0;0
2012-05-15;0,004;0,004;0,004;0,004;0;0
2012-05-14;0,004;0,004;0,004;0,004;0;0
2012-05-11;0,004;0,005;0,004;0,005;4.100;21
2012-05-10;0,004;0,004;0,004;0,004;150;1
2012-05-09;0,005;0,005;0,004;0,004;98;0
2012-05-08;0,005;0,005;0,005;0,005;0;0
2012-05-07;0,004;0,004;0,004;0,004;70.445;282
2012-05-04;0,005;0,005;0,005;0,005;4.000;20
