Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2019-07-24;1.156,19;1.162,6;1.155,59;1.161,09;4.501.958.656
2019-07-23;1.144,45;1.158,6;1.144,45;1.155,09;5.295.770.112
2019-07-22;1.135,05;1.141,18;1.133,15;1.137,97;3.300.769.280
2019-07-19;1.134,95;1.142,45;1.131,97;1.135,27;4.287.037.696
2019-07-18;1.141,28;1.141,68;1.130,35;1.132,31;4.271.568.640
2019-07-17;1.152,61;1.154,3;1.143,47;1.144,97;3.717.675.520
2019-07-16;1.149,02;1.155,02;1.148,22;1.153,19;3.692.136.448
2019-07-15;1.145,56;1.153,47;1.142,78;1.149,74;3.384.321.536
2019-07-12;1.144,35;1.146,71;1.142,13;1.143,75;3.978.696.192
2019-07-11;1.153,18;1.153,18;1.142,66;1.144,88;4.098.290.944
2019-07-10;1.152,84;1.155,98;1.148,02;1.148,93;3.835.370.240
2019-07-09;1.162,73;1.162,73;1.148,13;1.154,61;5.048.896.000
2019-07-08;1.164,84;1.169,6;1.161,7;1.163,96;3.468.135.424
2019-07-05;1.174,01;1.174,01;1.162,89;1.166,82;3.757.787.392
2019-07-04;1.173,71;1.175,52;1.171,58;1.173,78;2.838.266.112
2019-07-03;1.162,72;1.172,52;1.162,72;1.171,42;3.834.579.456
2019-07-02;1.163,74;1.163,74;1.158,22;1.161,8;3.830.461.440
2019-07-01;1.156,68;1.171,05;1.156,68;1.161,59;4.698.254.848
2019-06-28;1.141,12;1.151,91;1.141,12;1.151,35;4.899.689.984
2019-06-27;1.137,03;1.143,49;1.133,71;1.138,69;4.361.063.936
2019-06-26;1.130,72;1.139,64;1.129,71;1.134,6;4.137.714.944
2019-06-25;1.134,55;1.138,93;1.132,95;1.133,84;3.682.757.888
2019-06-24;1.143,01;1.145,1;1.136,33;1.138,1;4.128.081.408
2019-06-21;1.145,46;1.150,32;1.141,51;1.143,37;10.508.751.872
2019-06-20;1.147,75;1.153,26;1.145,7;1.145,71;4.397.169.664
2019-06-19;1.140,91;1.143,37;1.139,21;1.141,09;4.708.273.152
2019-06-18;1.119,91;1.143,01;1.110,67;1.141,09;6.143.343.104
2019-06-17;1.121,98;1.123,05;1.116,88;1.119,02;3.530.332.672
2019-06-14;1.126,91;1.126,91;1.116,88;1.120,4;3.520.167.168
2019-06-13;1.124,04;1.132,05;1.122,34;1.129,1;3.754.340.864
2019-06-12;1.124,53;1.126,93;1.121,47;1.125,29;3.840.080.128
2019-06-11;1.122,11;1.134,99;1.122,11;1.129,18;4.734.223.360
2019-06-07;1.114,52;1.121,18;1.111,66;1.117,7;3.952.083.200
2019-06-06;1.116,92;1.121,85;1.106,1;1.110,19;4.020.243.200
2019-06-05;1.115,93;1.123,81;1.111,96;1.116,33;3.955.931.392
2019-06-04;1.097,83;1.117,51;1.093,23;1.115,84;5.066.580.480
2019-06-03;1.092,12;1.101,21;1.086,77;1.101,2;4.366.838.784
2019-05-31;1.108,25;1.108,25;1.089,9;1.097,08;5.260.411.904
2019-05-30;1.109,74;1.113,11;1.108,08;1.111,85;2.430.575.616
2019-05-29;1.117,94;1.117,94;1.105,45;1.105,91;4.590.817.280
2019-05-28;1.128,76;1.130,16;1.120,82;1.124,41;6.964.143.616
2019-05-27;1.125,62;1.131,6;1.124,67;1.125,99;2.125.004.288
2019-05-24;1.123,12;1.127,77;1.120,04;1.121,24;3.939.041.792
2019-05-23;1.130,03;1.130,03;1.114,83;1.116,91;5.400.683.008
2019-05-22;1.134,88;1.142,08;1.127,76;1.136,8;4.587.896.320
2019-05-21;1.130,74;1.139,06;1.129;1.135,91;4.453.059.584
2019-05-20;1.143,58;1.144,6;1.122,47;1.126,85;4.767.684.608
2019-05-17;1.148,27;1.148,27;1.136,83;1.144,79;5.302.976.512
2019-05-16;1.133,28;1.152,51;1.130,25;1.152,5;5.549.161.984
2019-05-15;1.128,36;1.135,09;1.114,08;1.135,09;6.016.417.792
2019-05-14;1.117,17;1.125,38;1.116,69;1.125,38;5.455.398.400
2019-05-13;1.134,15;1.134,15;1.111,65;1.115;5.474.514.944
2019-05-10;1.133,09;1.142,41;1.130,03;1.133,98;6.292.141.568
2019-05-09;1.141,44;1.141,66;1.125,96;1.128,24;5.907.405.824
2019-05-08;1.136,41;1.148,82;1.136,41;1.146,6;5.911.556.608
2019-05-07;1.154,99;1.158,4;1.135,59;1.139,05;5.844.923.904
2019-05-06;1.166,13;1.166,19;1.140,89;1.154,35;4.912.434.176
2019-05-03;1.160,43;1.167,75;1.160,43;1.167,74;4.518.375.936
2019-05-02;1.161,48;1.166,18;1.158,79;1.162,03;5.450.677.760
2019-04-30;1.160,2;1.163,86;1.158,59;1.162,42;4.714.491.392
2019-04-29;1.159,38;1.165,37;1.155,79;1.161,83;3.718.689.024
2019-04-26;1.156,38;1.159,77;1.154,79;1.159,12;4.620.393.984
2019-04-25;1.158,69;1.160,79;1.152,9;1.156,28;5.176.370.688
2019-04-24;1.150,85;1.162,68;1.150,85;1.159,81;6.242.654.208
2019-04-23;1.152,43;1.154,29;1.148,27;1.152,97;4.397.153.280
2019-04-18;1.144,4;1.151,71;1.140,23;1.150,7;5.979.868.672
2019-04-17;1.142,33;1.148,7;1.139,52;1.145,44;5.444.952.064
2019-04-16;1.132,78;1.141,85;1.132,77;1.140,92;4.502.606.336
2019-04-15;1.129,53;1.132,29;1.128,19;1.132,18;3.637.466.368
2019-04-12;1.119,4;1.130,55;1.116,84;1.128,28;4.752.154.624
2019-04-11;1.118,18;1.122,08;1.111,8;1.120,51;3.891.613.696
2019-04-10;1.112,5;1.117,94;1.112,12;1.116,13;3.772.969.216
2019-04-09;1.121,01;1.123,08;1.111,11;1.111,48;3.965.602.560
2019-04-08;1.124,78;1.125,59;1.120,58;1.122,18;3.579.821.056
2019-04-05;1.125,45;1.127,71;1.123,67;1.126,28;4.058.795.264
2019-04-04;1.120,55;1.128,59;1.119,99;1.124,92;4.168.884.224
2019-04-03;1.112,22;1.123,32;1.112,22;1.123,06;5.173.958.144
2019-04-02;1.101,28;1.107,57;1.097,83;1.105,66;4.232.403.456
2019-04-01;1.089,28;1.100,26;1.089,28;1.098,67;5.156.428.800
2019-03-29;1.080,57;1.085,67;1.076,79;1.083,74;4.900.455.936
2019-03-28;1.078,29;1.083,1;1.074,17;1.075,28;4.343.216.128
2019-03-27;1.080;1.084,91;1.073,51;1.077,18;4.765.059.584
2019-03-26;1.072,51;1.079,37;1.066,22;1.077,74;4.429.535.744
2019-03-25;1.069,31;1.074,17;1.066,84;1.070,21;3.861.202.432
2019-03-22;1.092,4;1.096,77;1.072,54;1.073,26;5.606.626.816
2019-03-21;1.092,08;1.092,08;1.081,84;1.089,57;4.468.719.616
2019-03-20;1.111,77;1.111,77;1.093,64;1.093,64;5.529.594.880
2019-03-19;1.100,33;1.114,09;1.098,88;1.111,51;4.379.696.128
2019-03-18;1.100,79;1.103,35;1.097,23;1.099,31;4.151.660.032
2019-03-15;1.095,39;1.101,7;1.090,7;1.100,49;10.390.767.616
2019-03-14;1.089,8;1.094,56;1.087,79;1.091,82;4.597.535.232
2019-03-13;1.084,24;1.089,28;1.080,5;1.088,7;4.315.202.048
2019-03-12;1.091,52;1.092,42;1.082,92;1.084,35;4.512.625.664
2019-03-11;1.081,25;1.086,3;1.078,94;1.085,86;3.627.807.488
2019-03-08;1.080,66;1.080,66;1.072,81;1.077,85;4.384.138.752
2019-03-07;1.089,44;1.092,17;1.079,41;1.084,72;4.907.130.880
2019-03-06;1.094,93;1.099,26;1.092,09;1.093,65;3.485.201.664
2019-03-05;1.093,79;1.098,22;1.090,91;1.097,06;3.643.102.208
2019-03-04;1.100,27;1.100,48;1.095,79;1.095,79;3.418.178.560
2019-03-01;1.089,38;1.098,29;1.089,38;1.094,15;4.468.788.224
2019-02-28;1.074,36;1.083,59;1.073,94;1.083,17;4.886.955.008
2019-02-27;1.081,78;1.082,8;1.076,69;1.079,65;4.299.215.872
2019-02-26;1.077,67;1.086,38;1.076,65;1.085;4.107.377.152
2019-02-25;1.081,99;1.085,95;1.081,13;1.082,25;4.063.437.056
2019-02-22;1.076;1.082,39;1.076;1.077,99;3.706.819.840
2019-02-21;1.079,45;1.079,99;1.073,72;1.076,24;4.009.104.128
2019-02-20;1.070,31;1.079,67;1.070,31;1.076,88;4.200.273.664
2019-02-19;1.065,36;1.073,14;1.062,65;1.068,67;3.679.523.072
2019-02-18;1.065,27;1.068,79;1.063,82;1.067,78;3.106.591.488
2019-02-15;1.045,48;1.068,25;1.042,56;1.066,54;5.512.737.792
2019-02-14;1.061,03;1.062,1;1.047,38;1.048,02;4.487.385.600
2019-02-13;1.056,02;1.058,92;1.051,05;1.054,05;3.858.232.576
2019-02-12;1.047,8;1.054,18;1.047,8;1.050,5;4.019.453.440
2019-02-11;1.035,46;1.042,75;1.034,9;1.040,84;3.685.297.152
2019-02-08;1.041,99;1.045,1;1.027,48;1.031,03;5.845.051.392
2019-02-07;1.068,38;1.068,38;1.044,28;1.044,28;5.837.210.624
2019-02-06;1.073,63;1.074,16;1.070,07;1.072,91;4.072.893.440
2019-02-05;1.058,95;1.075,07;1.058,31;1.075,07;4.763.641.856
2019-02-04;1.057,16;1.060,14;1.050,81;1.057,35;4.308.800.512
2019-02-01;1.059,23;1.062,04;1.052,38;1.057,31;5.449.325.568
2019-01-31;1.063,96;1.070,5;1.048,1;1.057,3;5.698.089.472
2019-01-30;1.061,94;1.062;1.054,63;1.059,2;4.391.482.880
2019-01-29;1.061,73;1.066,64;1.057,09;1.062,28;4.116.140.800
2019-01-28;1.066,16;1.069,28;1.061,22;1.062,5;3.870.260.992
2019-01-25;1.063,29;1.072,8;1.062,65;1.069,23;5.203.015.168
2019-01-24;1.047,66;1.056,31;1.046,79;1.054,86;5.093.116.416
2019-01-23;1.043,03;1.052,98;1.040,47;1.048,51;4.115.119.104
2019-01-22;1.047,5;1.052,23;1.042,95;1.047,35;3.802.369.536
2019-01-21;1.056,48;1.057,09;1.051,61;1.052,59;3.309.027.328
2019-01-18;1.037,35;1.057,22;1.037,35;1.056,44;5.925.122.560
2019-01-17;1.026,15;1.031,86;1.022,65;1.030,86;3.744.120.576
2019-01-16;1.031,76;1.032,6;1.026,22;1.032;3.581.531.136
2019-01-15;1.032,3;1.036,25;1.021,43;1.027,84;3.951.607.808
2019-01-14;1.022,79;1.026,69;1.018,49;1.024,24;3.373.279.488
2019-01-11;1.034,03;1.034,03;1.022,51;1.027,79;4.005.427.712
2019-01-10;1.026,78;1.031,74;1.020,44;1.031,27;3.783.535.616
2019-01-09;1.026,95;1.037,1;1.026,84;1.030,9;4.754.575.872
2019-01-08;1.013,25;1.030,17;1.013,25;1.021,26;4.804.002.816
2019-01-07;1.017,61;1.017,61;1.008,01;1.013,59;3.602.443.520
2019-01-04;986,59;1.014,21;986,59;1.013,15;4.698.412.544
2019-01-03;986,84;990,45;978,42;979,92;3.908.375.808
2019-01-02;987,13;996,24;976,18;993,69;3.760.982.272
2018-12-28;981,60;992,91;980,24;990,45;2.546.371.328
2018-12-27;997,21;999,78;967,14;975,67;4.631.841.280
2018-12-21;991,60;998,89;988,37;997,14;9.863.394.304
2018-12-20;1.002,26;1.003,03;992,73;995,12;5.297.675.776
2018-12-19;1.009,88;1.015,34;1.008,51;1.010,8;4.973.996.032
2018-12-18;1.007,1;1.016,57;1.004,72;1.007,88;4.937.906.688
2018-12-17;1.021,93;1.021,93;1.004,17;1.010,38;4.484.801.024
2018-12-14;1.020,4;1.025,07;1.011,36;1.022,06;4.479.289.856
2018-12-13;1.033,17;1.035,37;1.025,4;1.028,98;4.326.599.680
2018-12-12;1.018,55;1.033,06;1.016,75;1.029,93;4.915.362.304
2018-12-11;1.008,48;1.023,4;1.006,12;1.014,11;5.124.795.904
2018-12-10;1.015,75;1.016,49;999,30;1.001,57;5.610.195.968
2018-12-07;1.026,48;1.032,14;1.019,28;1.019,28;5.295.120.384
2018-12-06;1.050,7;1.050,7;1.016,25;1.020,31;6.815.488.512
2018-12-05;1.061,15;1.061,41;1.052,99;1.055,18;4.046.928.384
2018-12-04;1.078,65;1.078,65;1.066,73;1.066,91;4.545.760.256
2018-12-03;1.063,54;1.091,61;1.063,38;1.081,73;5.625.158.656
2018-11-30;1.069,68;1.069,68;1.058,95;1.062,63;6.398.146.048
2018-11-29;1.073,88;1.077,86;1.066,59;1.068,55;4.509.102.080
