Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,364;0,398;0,364;0,398;23.425;9.263
2019-08-13;0,364;0,364;0,364;0,364;0;0
2019-08-12;0,354;0,354;0,354;0,354;0;0
2019-08-09;0,344;0,344;0,344;0,344;0;0
2019-08-08;0,334;0,334;0,334;0,334;0;0
2019-08-07;0,34;0,34;0,34;0,34;3.700;1.258
2019-08-06;0,35;0,35;0,35;0,35;0;0
2019-08-05;0,38;0,38;0,38;0,38;0;0
2019-08-02;0,34;0,40;0,34;0,39;25.000;10.000
2019-08-01;0,35;0,35;0,35;0,35;0;0
2019-07-31;0,35;0,35;0,35;0,35;0;0
2019-07-30;0,35;0,35;0,35;0,35;0;0
2019-07-29;0,35;0,40;0,35;0,40;6.000;2.370
2019-07-26;0,36;0,36;0,36;0,36;0;0
2019-07-25;0,36;0,40;0,36;0,37;40.000;15.700
2019-07-24;0,35;0,39;0,35;0,39;6.753;2.634
2019-07-23;0,35;0,39;0,35;0,39;10.000;3.900
2019-07-22;0,38;0,38;0,38;0,38;50.500;19.190
2019-07-19;0,344;0,344;0,344;0,344;0;0
2019-07-18;0,334;0,334;0,334;0,334;0;0
2019-07-17;0,338;0,338;0,338;0,338;0;0
2019-07-16;0,348;0,348;0,348;0,348;0;0
2019-07-15;0,358;0,358;0,358;0,358;0;0
2019-07-12;0,33;0,38;0,33;0,378;145.000;55.050
2019-07-11;0,33;0,33;0,33;0,33;0;0
2019-07-10;0,35;0,35;0,35;0,35;0;0
2019-07-09;0,36;0,36;0,36;0,36;0;0
2019-07-08;0,34;0,38;0,34;0,38;10.000;3.800
2019-07-05;0,34;0,34;0,34;0,34;0;0
2019-07-04;0,34;0,34;0,34;0,34;0;0
2019-07-03;0,31;0,38;0,31;0,38;10.000;3.800
2019-07-02;0,33;0,33;0,33;0,33;0;0
2019-07-01;0,33;0,38;0,33;0,38;10.000;3.780
2019-06-28;0,33;0,33;0,33;0,33;0;0
2019-06-27;0,33;0,33;0,33;0,33;0;0
2019-06-26;0,33;0,33;0,33;0,33;0;0
2019-06-25;0,34;0,34;0,34;0,34;0;0
2019-06-24;0,34;0,34;0,34;0,34;0;0
2019-06-21;0,34;0,34;0,34;0,34;0;0
2019-06-20;0,33;0,33;0,33;0,33;0;0
2019-06-19;0,33;0,33;0,33;0,33;0;0
2019-06-18;0,34;0,34;0,34;0,34;0;0
2019-06-17;0,34;0,34;0,34;0,34;0;0
2019-06-14;0,34;0,34;0,34;0,34;0;0
2019-06-13;0,38;0,38;0,38;0,38;15;6
2019-06-12;0,35;0,35;0,35;0,35;0;0
2019-06-11;0,36;0,36;0,36;0,36;0;0
2019-06-07;0,33;0,38;0,33;0,38;1.800;684
2019-06-06;0,33;0,39;0,33;0,39;3.500;1.335
2019-06-05;0,33;0,33;0,33;0,33;0;0
2019-06-04;0,32;0,32;0,32;0,32;0;0
2019-06-03;0,32;0,32;0,32;0,32;0;0
2019-05-31;0,34;0,34;0,34;0,34;500;170
2019-05-30;0,37;0,37;0,37;0,37;0;0
2019-05-29;0,35;0,39;0,35;0,39;4.000;1.560
2019-05-28;0,35;0,35;0,35;0,35;0;0
2019-05-27;0,35;0,35;0,35;0,35;0;0
2019-05-24;0,35;0,35;0,35;0,35;0;0
2019-05-23;0,35;0,35;0,35;0,35;0;0
2019-05-22;0,35;0,35;0,35;0,35;0;0
2019-05-21;0,34;0,34;0,34;0,34;0;0
2019-05-20;0,32;0,32;0,32;0,32;0;0
2019-05-17;0,30;0,30;0,30;0,30;0;0
2019-05-16;0,30;0,30;0,30;0,30;0;0
2019-05-15;0,30;0,30;0,30;0,30;0;0
2019-05-14;0,31;0,31;0,31;0,31;10.500;3.255
2019-05-13;0,32;0,33;0,32;0,33;71.753;23.678
2019-05-10;0,32;0,32;0,32;0,32;0;0
2019-05-09;0,32;0,32;0,32;0,32;0;0
2019-05-08;0,33;0,33;0,33;0,33;0;0
2019-05-07;0,33;0,33;0,33;0,33;0;0
2019-05-06;0,31;0,31;0,31;0,31;0;0
2019-05-03;0,32;0,32;0,32;0,32;0;0
2019-05-02;0,32;0,32;0,32;0,32;0;0
2019-04-30;0,35;0,35;0,35;0,35;0;0
2019-04-29;0,36;0,40;0,36;0,40;34.200;13.480
2019-04-26;0,37;0,37;0,37;0,37;0;0
2019-04-25;0,37;0,37;0,37;0,37;0;0
2019-04-24;0,37;0,37;0,37;0,37;0;0
2019-04-23;0,37;0,37;0,37;0,37;0;0
2019-04-18;0,38;0,38;0,38;0,38;0;0
2019-04-17;0,36;0,40;0,36;0,40;30.000;11.980
2019-04-16;0,38;0,38;0,38;0,38;0;0
2019-04-15;0,40;0,40;0,40;0,40;500;200
2019-04-12;0,35;0,40;0,35;0,40;16.700;6.680
2019-04-11;0,35;0,35;0,35;0,35;0;0
2019-04-10;0,33;0,35;0,33;0,35;1;0
2019-04-09;0,35;0,35;0,35;0,35;0;0
2019-04-08;0,33;0,33;0,33;0,33;0;0
2019-04-05;0,33;0,33;0,33;0,33;0;0
2019-04-04;0,33;0,33;0,33;0,33;0;0
2019-04-03;0,32;0,32;0,32;0,32;0;0
2019-04-02;0,37;0,37;0,37;0,37;0;0
2019-04-01;0,38;0,38;0,38;0,38;0;0
2019-03-29;0,38;0,38;0,38;0,38;0;0
2019-03-28;0,38;0,38;0,38;0,38;0;0
2019-03-27;0,38;0,38;0,38;0,38;0;0
2019-03-26;0,38;0,38;0,38;0,38;0;0
2019-03-25;0,38;0,38;0,38;0,38;0;0
2019-03-22;0,37;0,37;0,37;0,37;0;0
2019-03-21;0,33;0,37;0,33;0,37;2.000;740
2019-03-20;0,35;0,35;0,35;0,35;0;0
2019-03-19;0,37;0,37;0,37;0,37;0;0
2019-03-18;0,36;0,36;0,36;0,36;0;0
2019-03-15;0,36;0,36;0,36;0,36;0;0
2019-03-14;0,36;0,36;0,36;0,36;0;0
2019-03-13;0,36;0,36;0,36;0,36;0;0
2019-03-12;0,36;0,36;0,36;0,36;0;0
2019-03-11;0,35;0,35;0,35;0,35;0;0
2019-03-08;0,39;0,39;0,37;0,37;5.000;1.894
2019-03-07;0,39;0,45;0,39;0,41;8.000;3.440
2019-03-06;0,39;0,39;0,39;0,39;0;0
2019-03-05;0,40;0,40;0,40;0,40;0;0
