Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-14;58,99;59,00;58,99;59,00;0;0
2019-08-13;58,99;59,00;58,99;59,00;0;0
2019-08-12;59,00;59,00;59,00;59,00;0;0
2019-08-09;58,99;59,00;58,99;59,00;0;0
2019-08-08;58,99;58,99;58,99;58,99;0;0
2019-08-07;59,00;59,00;59,00;59,00;0;0
2019-08-06;59,00;59,00;59,00;59,00;0;0
2019-08-05;59,00;59,00;59,00;59,00;0;0
2019-08-02;58,99;58,99;58,99;58,99;0;0
2019-08-01;59,00;59,00;59,00;59,00;0;0
2019-07-31;58,99;59,00;58,99;59,00;0;0
2019-07-30;58,99;59,00;58,99;59,00;0;0
2019-07-29;58,99;59,00;58,99;59,00;0;0
2019-07-26;58,99;59,00;58,99;59,00;0;0
2019-07-25;58,99;59,00;58,99;59,00;0;0
2019-07-24;58,99;59,00;58,99;59,00;0;0
2019-07-23;58,99;59,00;58,99;59,00;0;0
2019-07-22;58,99;58,99;58,99;58,99;0;0
2019-07-19;59,00;59,00;59,00;59,00;0;0
2019-07-18;58,99;59,00;58,99;59,00;0;0
2019-07-17;59,00;59,00;59,00;59,00;0;0
2019-07-16;58,99;59,00;58,99;59,00;0;0
2019-07-15;59,00;59,00;59,00;59,00;0;0
2019-07-12;58,99;59,00;58,99;59,00;0;0
2019-07-11;59,00;59,00;59,00;59,00;0;0
2019-07-10;59,00;59,00;59,00;59,00;0;0
2019-07-09;58,99;59,00;58,99;59,00;0;0
2019-07-08;59,00;59,00;59,00;59,00;0;0
2019-07-05;59,00;59,00;59,00;59,00;0;0
2019-07-04;59,00;59,00;59,00;59,00;0;0
2019-07-03;59,00;59,00;59,00;59,00;0;0
2019-07-02;58,99;59,00;58,99;59,00;0;0
2019-07-01;59,00;59,00;59,00;59,00;0;0
2019-06-28;58,99;59,00;58,99;59,00;0;0
2019-06-27;58,99;59,00;58,99;59,00;0;0
2019-06-26;59,00;59,00;59,00;59,00;0;0
2019-06-25;58,99;59,00;58,99;59,00;0;0
2019-06-24;58,99;59,00;58,99;59,00;0;0
2019-06-21;59,00;59,00;59,00;59,00;0;0
2019-06-20;59,00;59,00;59,00;59,00;0;0
2019-06-19;59,00;59,00;59,00;59,00;0;0
2019-06-18;58,99;59,00;58,99;59,00;0;0
2019-06-17;58,99;59,00;58,99;59,00;0;0
2019-06-14;58,90;59,00;58,90;59,00;0;0
2019-06-13;58,90;58,90;58,90;58,90;0;0
2019-06-12;58,90;58,90;58,90;58,90;0;0
2019-06-11;58,90;58,90;58,90;58,90;0;0
2019-06-07;58,90;58,90;58,90;58,90;0;0
2019-06-06;58,90;58,90;58,90;58,90;0;0
2019-06-05;58,90;58,90;58,90;58,90;0;0
2019-06-04;58,90;58,90;58,90;58,90;0;0
2019-06-03;58,90;58,90;58,90;58,90;0;0
2019-05-31;58,90;58,90;58,90;58,90;0;0
2019-05-30;58,90;58,90;58,90;58,90;0;0
2019-05-29;58,90;58,90;58,90;58,90;0;0
2019-05-28;58,90;58,90;58,90;58,90;0;0
2019-05-27;58,90;58,90;58,90;58,90;0;0
2019-05-24;58,90;58,90;58,90;58,90;0;0
2019-05-23;58,90;58,90;58,90;58,90;0;0
2019-05-22;58,90;58,90;58,90;58,90;0;0
2019-05-21;58,90;58,90;58,90;58,90;0;0
2019-05-20;58,90;58,90;58,90;58,90;0;0
2019-05-17;58,90;58,90;58,90;58,90;0;0
2019-05-16;58,90;58,90;58,90;58,90;0;0
2019-05-15;58,90;58,90;58,90;58,90;0;0
2019-05-14;58,90;58,90;58,90;58,90;0;0
2019-05-13;58,90;58,90;58,90;58,90;0;0
2019-05-10;58,90;58,90;58,90;58,90;0;0
2019-05-09;58,90;58,90;58,90;58,90;0;0
2019-05-08;58,90;58,90;58,90;58,90;0;0
2019-05-07;58,90;58,90;58,90;58,90;0;0
2019-05-06;58,90;58,90;58,90;58,90;0;0
2019-05-03;58,90;58,90;58,90;58,90;0;0
2019-05-02;58,90;58,90;58,90;58,90;0;0
2019-04-30;58,90;58,90;58,90;58,90;0;0
2019-04-29;58,90;58,90;58,90;58,90;0;0
2019-04-26;58,90;58,90;58,90;58,90;0;0
2019-04-25;58,90;58,90;58,90;58,90;0;0
2019-04-24;58,90;58,90;58,90;58,90;0;0
2019-04-23;58,90;58,90;58,90;58,90;0;0
2019-04-18;58,90;58,90;58,90;58,90;0;0
2019-04-17;58,90;58,90;58,90;58,90;0;0
2019-04-16;58,90;58,90;58,90;58,90;0;0
2019-04-15;58,90;58,90;58,90;58,90;0;0
2019-04-12;59,00;59,00;59,00;59,00;0;0
2019-04-11;59,00;59,00;59,00;59,00;0;0
2019-04-10;59,00;59,00;59,00;59,00;0;0
2019-04-09;59,00;59,00;59,00;59,00;0;0
2019-04-08;59,00;59,00;59,00;59,00;0;0
2019-04-05;59,00;59,00;59,00;59,00;0;0
2019-04-04;59,00;59,00;59,00;59,00;0;0
2019-04-03;59,00;59,00;59,00;59,00;0;0
2019-04-02;59,00;59,00;59,00;59,00;0;0
2019-04-01;59,00;59,00;59,00;59,00;0;0
2019-03-29;59,00;59,00;59,00;59,00;0;0
2019-03-28;59,00;59,00;59,00;59,00;0;0
2019-03-27;59,00;59,00;59,00;59,00;0;0
2019-03-26;59,00;59,00;59,00;59,00;0;0
2019-03-25;59,00;59,00;59,00;59,00;0;0
2019-03-22;59,00;59,00;59,00;59,00;0;0
2019-03-21;59,00;59,00;59,00;59,00;0;0
2019-03-20;59,00;59,00;59,00;59,00;0;0
2019-03-19;59,00;59,00;59,00;59,00;0;0
2019-03-18;59,00;59,00;59,00;59,00;0;0
2019-03-15;58,52;58,52;58,52;58,52;0;0
2019-03-14;58,52;59,00;58,52;59,00;0;0
2019-03-13;58,52;58,52;58,52;58,52;0;0
2019-03-12;58,52;59,00;58,52;59,00;0;0
2019-03-11;58,52;59,00;58,52;59,00;0;0
2019-03-08;58,52;58,52;58,52;58,52;0;0
2019-03-07;58,52;59,00;58,52;59,00;0;0
2019-03-06;58,52;58,52;58,52;58,52;0;0
2019-03-05;58,52;58,52;58,52;58,52;0;0
2019-03-04;58,52;59,00;58,52;59,00;0;0
2019-03-01;58,52;58,52;58,52;58,52;0;0
2019-02-28;57,00;58,52;57,00;58,52;0;0
2019-02-27;57,00;62,00;57,00;62,00;0;0
2019-02-26;57,00;57,00;57,00;57,00;0;0
2019-02-25;57,00;57,00;57,00;57,00;0;0
2019-02-22;57,00;57,00;57,00;57,00;0;0
2019-02-21;57,00;57,00;57,00;57,00;0;0
2019-02-20;57,00;57,00;57,00;57,00;0;0
2019-02-19;57,00;57,00;57,00;57,00;0;0
2019-02-18;57,00;57,00;57,00;57,00;0;0
2019-02-15;57,00;57,00;57,00;57,00;0;0
2019-02-14;57,00;57,00;57,00;57,00;0;0
2019-02-13;57,00;57,00;57,00;57,00;0;0
2019-02-12;57,00;57,00;57,00;57,00;0;0
2019-02-11;57,00;57,00;57,00;57,00;0;0
2019-02-08;57,00;57,00;57,00;57,00;0;0
2019-02-07;55,27;57,00;55,27;57,00;0;0
2019-02-06;55,27;55,27;55,27;55,27;0;0
2019-02-05;55,27;55,27;55,27;55,27;0;0
2019-02-04;55,27;55,27;55,27;55,27;0;0
2019-02-01;55,27;57,00;55,27;57,00;0;0
2019-01-31;55,27;55,27;55,27;55,27;0;0
2019-01-30;55,27;55,27;55,27;55,27;0;0
2019-01-29;55,27;55,27;55,27;55,27;0;0
2019-01-28;55,27;55,27;55,27;55,27;0;0
2019-01-25;55,27;55,27;55,27;55,27;0;0
2019-01-24;55,27;55,27;55,27;55,27;0;0
2019-01-23;55,27;55,27;55,27;55,27;0;0
2019-01-22;55,27;55,27;55,27;55,27;0;0
2019-01-21;55,27;56,02;55,27;56,02;0;0
2019-01-18;55,27;55,27;55,27;55,27;0;0
2019-01-17;55,27;55,27;55,27;55,27;0;0
2019-01-16;55,27;55,27;55,27;55,27;0;0
2019-01-15;55,27;55,27;55,27;55,27;0;0
2019-01-14;55,27;55,27;55,27;55,27;0;0
2019-01-11;55,27;55,27;55,27;55,27;0;0
2019-01-10;55,27;55,27;55,27;55,27;0;0
2019-01-09;57,00;57,00;57,00;57,00;0;0
2019-01-08;55,27;55,27;55,27;55,27;0;0
2019-01-07;55,27;55,27;55,27;55,27;0;0
2019-01-04;55,27;55,27;55,27;55,27;0;0
2019-01-03;57,00;57,00;55,27;55,27;0;0
2019-01-02;57,00;57,00;57,00;57,00;0;0
2018-12-28;57,00;57,00;57,00;57,00;0;0
2018-12-27;57,00;57,00;57,00;57,00;0;0
2018-12-21;56,02;57,00;56,02;57,00;0;0
2018-12-20;56,02;56,02;56,02;56,02;0;0
2018-12-19;56,02;56,02;56,02;56,02;0;0
2018-12-18;56,02;56,02;56,02;56,02;0;0
2018-12-17;56,02;56,02;56,02;56,02;0;0
2018-12-14;56,02;56,02;56,02;56,02;0;0
2018-12-13;58,00;58,00;58,00;58,00;0;0
2018-12-12;56,02;60,00;56,02;60,00;0;0
2018-12-11;56,02;56,02;56,02;56,02;0;0
2018-12-10;56,02;56,02;56,02;56,02;0;0
2018-12-07;56,02;56,02;56,02;56,02;0;0
2018-12-06;56,02;56,02;56,02;56,02;0;0
2018-12-05;56,02;56,02;56,02;56,02;0;0
2018-12-04;56,02;56,02;56,02;56,02;0;0
2018-12-03;56,72;56,72;56,72;56,72;0;0
2018-11-30;56,14;56,66;56,14;56,66;0;0
2018-11-29;57,00;57,00;57,00;57,00;0;0
2018-11-28;57,00;57,00;57,00;57,00;0;0
2018-11-27;57,00;57,00;57,00;57,00;0;0
2018-11-26;57,00;57,00;57,00;57,00;0;0
2018-11-23;57,00;57,00;57,00;57,00;0;0
2018-11-22;57,00;57,00;57,00;57,00;0;0
2018-11-21;57,00;57,00;57,00;57,00;0;0
2018-11-20;57,00;57,00;57,00;57,00;0;0
2018-11-19;57,00;57,00;57,00;57,00;0;0
2018-11-16;57,00;57,00;57,00;57,00;0;0
2018-11-15;57,00;57,00;57,00;57,00;0;0
2018-11-14;57,00;57,00;57,00;57,00;0;0
2018-11-13;57,00;57,00;57,00;57,00;0;0
2018-11-12;57,00;57,00;57,00;57,00;0;0
2018-11-09;56,98;56,98;56,98;56,98;0;0
2018-11-08;57,00;57,00;57,00;57,00;0;0
2018-11-07;57,00;57,00;57,00;57,00;0;0
2018-11-06;57,00;57,00;57,00;57,00;0;0
2018-11-05;57,00;57,00;57,00;57,00;0;0
2018-11-02;57,00;57,00;57,00;57,00;0;0
2018-11-01;57,00;57,00;57,00;57,00;0;0
2018-10-31;57,00;57,00;57,00;57,00;0;0
2018-10-30;57,00;57,00;57,00;57,00;0;0
2018-10-26;57,00;57,00;57,00;57,00;0;0
2018-10-25;57,00;57,00;57,00;57,00;0;0
2018-10-24;57,00;57,00;57,00;57,00;0;0
2018-10-23;57,00;57,00;57,00;57,00;0;0
2018-10-22;57,00;57,00;57,00;57,00;0;0
2018-10-19;57,00;57,00;57,00;57,00;0;0
2018-10-18;56,99;59,00;56,99;59,00;0;0
2018-10-17;57,00;57,00;56,99;56,99;0;0
2018-10-16;56,95;57,00;56,95;57,00;0;0
2018-10-15;56,80;56,95;56,80;56,95;0;0
2018-10-12;56,80;56,80;56,80;56,80;0;0
2018-10-11;56,60;56,60;56,60;56,60;0;0
2018-10-10;56,60;56,60;56,60;56,60;0;0
2018-10-09;56,99;56,99;56,99;56,99;0;0
2018-10-08;56,99;56,99;56,99;56,99;0;0
2018-10-05;56,99;56,99;56,99;56,99;0;0
2018-10-04;56,99;56,99;56,99;56,99;0;0
2018-10-02;56,99;56,99;56,99;56,99;0;0
2018-10-01;56,99;56,99;56,99;56,99;0;0
2018-09-28;56,99;56,99;56,99;56,99;0;0
2018-09-27;56,99;56,99;56,99;56,99;0;0
2018-09-26;56,99;56,99;56,99;56,99;0;0
2018-09-25;56,99;56,99;56,99;56,99;0;0
2018-09-24;56,99;56,99;56,99;56,99;0;0
2018-09-21;56,99;56,99;56,99;56,99;0;0
2018-09-20;56,99;56,99;56,99;56,99;0;0
2018-09-19;56,99;56,99;56,99;56,99;0;0
2018-09-18;56,99;56,99;56,99;56,99;0;0
2018-09-17;56,99;56,99;56,99;56,99;0;0
2018-09-14;56,98;56,99;56,98;56,99;0;0
2018-09-13;56,98;56,98;56,98;56,98;0;0
2018-09-12;56,98;56,98;56,98;56,98;0;0
2018-09-11;56,98;56,98;56,98;56,98;0;0
2018-09-10;56,98;56,98;56,98;56,98;0;0
2018-09-07;56,98;56,98;56,98;56,98;0;0
2018-09-06;56,98;56,98;56,98;56,98;0;0
2018-09-05;56,98;56,98;56,98;56,98;0;0
2018-09-04;56,98;56,98;56,98;56,98;0;0
2018-09-03;56,98;56,98;56,98;56,98;0;0
2018-08-31;56,98;56,98;56,98;56,98;0;0
2018-08-30;56,98;56,98;56,98;56,98;0;0
