Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2014-12-05;100,00;100,00;100,00;100,00;0;0
2014-12-04;100,00;100,00;100,00;100,00;0;0
2014-12-03;100,00;100,00;100,00;100,00;0;0
2014-12-02;100,00;100,00;100,00;100,00;0;0
2014-12-01;100,00;100,00;100,00;100,00;0;0
2014-11-28;100,00;100,00;100,00;100,00;0;0
2014-11-27;100,00;100,00;100,00;100,00;0;0
2014-11-26;100,00;100,00;100,00;100,00;0;0
2014-11-25;100,00;100,00;100,00;100,00;0;0
2014-11-24;100,00;100,00;100,00;100,00;0;0
2014-11-21;100,00;100,00;100,00;100,00;0;0
2014-11-20;100,00;100,00;100,00;100,00;0;0
2014-11-19;100,00;100,00;100,00;100,00;0;0
2014-11-18;100,00;100,00;100,00;100,00;0;0
2014-11-17;100,00;100,00;100,00;100,00;0;0
2014-11-14;100,00;100,00;100,00;100,00;0;0
2014-11-13;100,00;100,00;100,00;100,00;0;0
2014-11-12;100,00;100,00;100,00;100,00;0;0
2014-11-11;100,00;100,00;100,00;100,00;0;0
2014-11-10;100,00;100,00;100,00;100,00;0;0
2014-11-07;100,00;100,00;100,00;100,00;0;0
2014-11-06;100,00;100,00;100,00;100,00;0;0
2014-11-05;100,00;100,00;100,00;100,00;0;0
2014-11-04;100,00;100,00;100,00;100,00;0;0
2014-11-03;100,00;100,00;100,00;100,00;0;0
2014-10-31;100,00;100,00;100,00;100,00;0;0
2014-10-30;100,00;100,00;100,00;100,00;0;0
2014-10-29;100,00;100,00;100,00;100,00;0;0
2014-10-28;100,00;100,00;100,00;100,00;0;0
2014-10-27;100,00;100,00;100,00;100,00;0;0
2014-10-24;100,00;100,00;100,00;100,00;0;0
2014-10-23;100,00;100,00;100,00;100,00;0;0
2014-10-22;100,00;100,00;100,00;100,00;0;0
2014-10-21;100,00;100,00;100,00;100,00;0;0
2014-10-20;100,00;100,00;100,00;100,00;0;0
2014-10-17;100,00;100,00;100,00;100,00;0;0
2014-10-16;100,00;100,00;100,00;100,00;0;0
2014-10-15;100,00;100,00;100,00;100,00;0;0
2014-10-14;100,00;100,00;100,00;100,00;0;0
2014-10-13;100,00;100,00;100,00;100,00;0;0
2014-10-10;100,00;100,00;100,00;100,00;0;0
2014-10-09;100,00;100,00;100,00;100,00;0;0
2014-10-08;100,00;100,00;100,00;100,00;0;0
2014-10-07;100,00;100,00;100,00;100,00;0;0
2014-10-06;100,00;100,00;100,00;100,00;0;0
2014-10-02;100,00;100,00;100,00;100,00;0;0
2014-10-01;100,00;100,00;100,00;100,00;0;0
2014-09-30;100,00;100,00;100,00;100,00;0;0
2014-09-29;100,00;100,00;100,00;100,00;0;0
2014-09-26;100,00;100,00;100,00;100,00;0;0
2014-09-25;100,00;100,00;100,00;100,00;0;0
