Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-13;0,0105;0,0105;0,0105;0,0105;600;6
2019-08-12;0,0095;0,0095;0,0095;0,0095;20.100;191
2019-08-09;0,0275;0,0275;0,012;0,012;35;1
2019-08-02;0,017;0,017;0,017;0,017;20;0
2019-08-01;0,02;0,02;0,02;0,02;39;1
2019-07-31;0,02;0,02;0,02;0,02;500;10
2019-07-30;0,02;0,0205;0,02;0,0205;4.900;100
2019-07-26;0,02;0,02;0,02;0,02;10.734;215
2019-07-25;0,02;0,02;0,02;0,02;300;6
2019-07-24;0,02;0,02;0,017;0,02;18.300;344
2019-07-23;0,0255;0,0255;0,025;0,0255;10.000;253
2019-07-22;0,02;0,02;0,02;0,02;1.300;26
2019-07-19;0,028;0,028;0,028;0,028;100;3
2019-07-18;0,02;0,02;0,018;0,018;1.800;34
2019-07-16;0,017;0,018;0,017;0,018;1.600;28
2019-07-15;0,017;0,017;0,017;0,017;120;2
2019-07-12;0,017;0,017;0,017;0,017;100;2
2019-07-11;0,017;0,017;0,017;0,017;1.000;17
2019-07-09;0,017;0,017;0,017;0,017;1.000;17
2019-07-08;0,017;0,017;0,017;0,017;100;2
2019-07-03;0,017;0,017;0,017;0,017;600;10
2019-07-02;0,022;0,022;0,022;0,022;250;6
2019-07-01;0,017;0,017;0,017;0,017;1.120;19
2019-06-28;0,017;0,017;0,014;0,014;430;6
2019-06-20;0,017;0,017;0,017;0,017;2.000;34
2019-06-19;0,017;0,017;0,017;0,017;190;3
2019-06-18;0,017;0,017;0,017;0,017;60;1
2019-06-17;0,017;0,017;0,017;0,017;40;1
2019-06-14;0,0245;0,0245;0,0245;0,0245;20;0
2019-06-12;0,017;0,017;0,017;0,017;30;1
2019-06-07;0,017;0,017;0,014;0,014;1.170;19
2019-06-06;0,017;0,02;0,017;0,02;1.100;21
2019-06-05;0,017;0,017;0,017;0,017;385;7
2019-05-31;0,017;0,017;0,017;0,017;6.525;111
2019-05-30;0,017;0,017;0,017;0,017;250;4
2019-05-29;0,017;0,017;0,017;0,017;500;9
2019-05-27;0,018;0,019;0,018;0,019;690;13
2019-05-22;0,018;0,019;0,018;0,019;1.810;34
2019-05-20;0,018;0,018;0,018;0,018;318;6
2019-05-14;0,022;0,022;0,022;0,022;300;7
2019-05-13;0,022;0,022;0,022;0,022;630;14
2019-05-09;0,022;0,022;0,022;0,022;100;2
2019-05-08;0,022;0,022;0,022;0,022;1.500;33
2019-05-07;0,022;0,022;0,022;0,022;45;1
2019-05-06;0,022;0,022;0,022;0,022;50;1
2019-05-03;0,022;0,0295;0,022;0,022;3;0
2019-05-02;0,022;0,022;0,022;0,022;400;9
2019-04-30;0,025;0,025;0,022;0,022;600;14
2019-04-29;0,022;0,0295;0,022;0,022;153;3
2019-04-26;0,022;0,022;0,022;0,022;300;7
2019-04-25;0,022;0,022;0,022;0,022;144;3
