Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2008-11-12;0,039;0,039;0,039;0,039;22;1
2008-11-11;0,039;0,039;0,039;0,039;0;0
2008-11-10;0,039;0,039;0,039;0,039;0;0
2008-11-07;0,039;0,039;0,039;0,039;0;0
2008-11-06;0,033;0,039;0,033;0,039;11.700;456
2008-11-05;0,033;0,033;0,033;0,033;0;0
2008-11-04;0,033;0,033;0,033;0,033;0;0
2008-11-03;0,033;0,033;0,033;0,033;0;0
2008-10-31;0,033;0,033;0,033;0,033;17;1
2008-10-30;0,039;0,039;0,039;0,039;3;0
2008-10-29;0,039;0,039;0,039;0,039;0;0
2008-10-28;0,02;0,02;0,02;0,02;0;0
2008-10-27;0,02;0,02;0,02;0,02;30;1
2008-10-24;0,02;0,02;0,02;0,02;0;0
2008-10-23;0,02;0,02;0,02;0,02;0;0
2008-10-22;0,02;0,02;0,02;0,02;0;0
2008-10-21;0,03;0,03;0,02;0,02;550;11
2008-10-20;0,03;0,03;0,03;0,03;307;9
2008-10-17;0,02;0,02;0,02;0,02;82;2
2008-10-16;0,02;0,02;0,02;0,02;0;0
2008-10-15;0,03;0,03;0,02;0,02;15.330;307
2008-10-14;0,03;0,03;0,03;0,03;9.077;272
2008-10-13;0,03;0,03;0,03;0,03;1.015;30
2008-10-10;0,043;0,043;0,042;0,042;5;0
2008-10-09;0,043;0,043;0,043;0,043;6.000;258
2008-10-08;0,03;0,03;0,03;0,03;0;0
2008-10-07;0,03;0,03;0,03;0,03;12.000;360
2008-10-06;0,03;0,03;0,03;0,03;0;0
2008-10-03;0,03;0,03;0,03;0,03;0;0
2008-10-02;0,03;0,03;0,03;0,03;0;0
2008-10-01;0,03;0,03;0,03;0,03;84;3
2008-09-30;0,03;0,03;0,03;0,03;0;0
2008-09-29;0,03;0,03;0,03;0,03;7;0
2008-09-26;0,03;0,03;0,03;0,03;0;0
2008-09-25;0,03;0,03;0,03;0,03;1;0
2008-09-24;0,03;0,03;0,03;0,03;0;0
2008-09-23;0,03;0,03;0,03;0,03;15;0
2008-09-22;0,03;0,03;0,03;0,03;0;0
2008-09-19;0,03;0,03;0,03;0,03;0;0
2008-09-18;0,068;0,068;0,03;0,03;49.230;1.477
2008-09-17;0,068;0,068;0,068;0,068;0;0
2008-09-16;0,068;0,068;0,068;0,068;0;0
2008-09-15;0,078;0,078;0,067;0,068;16.000;1.088
2008-09-12;0,05;0,08;0,05;0,079;44.783;3.538
2008-09-11;0,07;0,07;0,05;0,05;1.000;50
2008-09-10;0,079;0,079;0,05;0,07;89.920;6.294
2008-09-09;0,079;0,079;0,079;0,079;0;0
2008-09-08;0,079;0,079;0,079;0,079;0;0
2008-09-05;0,08;0,08;0,079;0,079;5.000;395
2008-09-04;0,07;0,07;0,07;0,07;1.160;81
2008-09-03;0,06;0,06;0,06;0,06;17.000;1.020
2008-09-02;0,064;0,066;0,064;0,066;7.000;462
2008-09-01;0,063;0,064;0,063;0,064;5.000;320
2008-08-29;0,063;0,063;0,063;0,063;0;0
2008-08-28;0,063;0,063;0,063;0,063;45;3
2008-08-27;0,063;0,063;0,063;0,063;1.000;63
2008-08-26;0,061;0,063;0,061;0,063;3.660;231
2008-08-25;0,061;0,061;0,061;0,061;600;37
2008-08-22;0,06;0,06;0,055;0,055;1.100;61
2008-08-21;0,055;0,055;0,055;0,055;0;0
2008-08-20;0,055;0,055;0,055;0,055;810;45
2008-08-19;0,055;0,055;0,055;0,055;40;2
2008-08-18;0,055;0,055;0,055;0,055;0;0
2008-08-15;0,055;0,055;0,055;0,055;0;0
2008-08-14;0,055;0,055;0,055;0,055;50;3
2008-08-13;0,055;0,055;0,055;0,055;25;1
2008-08-12;0,055;0,055;0,055;0,055;0;0
2008-08-11;0,055;0,055;0,055;0,055;0;0
2008-08-08;0,055;0,055;0,055;0,055;0;0
2008-08-07;0,055;0,055;0,055;0,055;50;3
2008-08-06;0,055;0,055;0,055;0,055;0;0
2008-08-05;0,054;0,054;0,054;0,054;30;2
2008-08-04;0,054;0,054;0,054;0,054;0;0
2008-08-01;0,054;0,054;0,054;0,054;3.220;174
2008-07-31; ; ; ;0,054;0;0
2008-07-30;0,054;0,054;0,054;0,054;3.499;189
2008-07-29;0,065;0,065;0,054;0,054;1;0
2008-07-28;0,065;0,065;0,065;0,065;0;0
2008-07-25;0,065;0,065;0,065;0,065;0;0
2008-07-24;0,07;0,07;0,065;0,065;20;1
2008-07-23;0,07;0,07;0,07;0,07;0;0
2008-07-22;0,071;0,071;0,07;0,07;2.000;140
2008-07-21;0,07;0,071;0,07;0,071;615;44
2008-07-18;0,07;0,07;0,07;0,07;0;0
2008-07-17;0,07;0,07;0,07;0,07;0;0
2008-07-16;0,07;0,07;0,07;0,07;30;2
2008-07-15;0,07;0,07;0,07;0,07;0;0
2008-07-14;0,07;0,07;0,07;0,07;0;0
2008-07-11;0,07;0,07;0,07;0,07;0;0
2008-07-10;0,07;0,07;0,07;0,07;0;0
2008-07-09;0,07;0,07;0,07;0,07;0;0
2008-07-08;0,07;0,07;0,07;0,07;0;0
2008-07-07;0,07;0,07;0,07;0,07;0;0
2008-07-04;0,07;0,07;0,07;0,07;0;0
2008-07-03;0,07;0,07;0,07;0,07;0;0
2008-07-02;0,08;0,08;0,07;0,07;300;21
2008-07-01;0,08;0,08;0,08;0,08;5.000;400
2008-06-30;0,071;0,071;0,071;0,071;1.000;71
2008-06-27;0,071;0,071;0,071;0,071;3;0
2008-06-26;0,075;0,075;0,071;0,071;6;0
2008-06-25;0,074;0,074;0,074;0,074;0;0
2008-06-24;0,074;0,074;0,074;0,074;0;0
2008-06-23;0,074;0,074;0,074;0,074;0;0
2008-06-20;0,074;0,074;0,074;0,074;0;0
2008-06-19;0,071;0,071;0,071;0,071;0;0
2008-06-18;0,07;0,071;0,065;0,071;2.020;143
2008-06-17;0,075;0,075;0,07;0,07;1.500;105
2008-06-16;0,08;0,08;0,08;0,08;0;0
2008-06-13;0,08;0,08;0,08;0,08;0;0
2008-06-12;0,08;0,08;0,08;0,08;0;0
