Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-03-16;32,54;32,54;32,54;32,54;0;0
2015-03-13;32,54;32,54;32,54;32,54;0;0
2015-03-12;32,54;32,54;32,54;32,54;0;0
2015-03-11;32,54;32,54;32,54;32,54;0;0
2015-03-10;32,505;32,505;32,505;32,505;0;0
2015-03-09;32,505;32,505;32,505;32,505;0;0
2015-03-06;32,52;32,52;32,52;32,52;0;0
2015-03-05;32,52;32,52;32,52;32,52;0;0
2015-03-04;32,52;32,52;32,52;32,52;0;0
2015-03-03;32,52;32,52;32,52;32,52;0;0
2015-03-02;32,52;32,52;32,52;32,52;0;0
2015-02-27;32,505;32,505;32,505;32,505;0;0
2015-02-26;32,505;32,505;32,505;32,505;0;0
2015-02-25;32,505;32,505;32,505;32,505;0;0
2015-02-24;32,505;32,505;32,505;32,505;0;0
2015-02-23;32,50;32,50;32,50;32,50;0;0
2015-02-20;32,50;32,50;32,50;32,50;0;0
2015-02-19;32,50;32,50;32,50;32,50;11;358
2015-02-18;32,37;32,37;32,37;32,37;0;0
2015-02-17;32,37;32,37;32,37;32,37;0;0
2015-02-16;32,37;32,37;32,37;32,37;0;0
2015-02-13;32,37;32,37;32,37;32,37;0;0
2015-02-12;32,33;32,33;32,33;32,33;0;0
2015-02-11;32,33;32,33;32,33;32,33;0;0
2015-02-10;32,05;32,05;32,05;32,05;0;0
2015-02-09;32,05;32,05;32,05;32,05;0;0
2015-02-06;32,05;32,05;32,05;32,05;0;0
2015-02-05;32,05;32,05;32,05;32,05;0;0
2015-02-04;31,75;31,75;31,75;31,75;0;0
2015-02-03;32,10;32,10;32,10;32,10;0;0
2015-02-02;32,10;32,10;32,10;32,10;0;0
2015-01-30;32,30;32,30;32,30;32,30;0;0
2015-01-29;32,40;32,40;32,40;32,40;0;0
2015-01-28;32,30;32,30;32,30;32,30;0;0
2015-01-27;32,30;32,30;32,30;32,30;0;
2015-01-26;32,10;32,10;32,10;32,10;0;0
2015-01-23;32,155;32,155;32,155;32,155;0;0
2015-01-22;32,22;32,22;32,22;32,22;0;0
2015-01-21;32,18;32,18;32,18;32,18;0;0
2015-01-20;31,70;31,70;31,70;31,70;0;0
2015-01-19;31,51;31,51;31,51;31,51;0;0
2015-01-16;31,865;31,865;31,865;31,865;0;0
2015-01-15;31,21;31,21;31,21;31,21;0;0
2015-01-14;31,21;31,21;31,21;31,21;0;0
2015-01-13;31,21;31,21;31,21;31,21;0;0
2015-01-12;31,27;31,27;31,27;31,27;0;0
2015-01-09;31,45;31,45;31,45;31,45;0;0
2015-01-08;31,45;31,45;31,45;31,45;0;0
2015-01-07;31,45;31,45;31,45;31,45;0;0
2015-01-06;31,05;31,05;31,05;31,05;0;0
2015-01-05;31,05;31,05;31,05;31,05;0;0
2015-01-02;31,01;31,01;31,01;31,01;0;0
2014-12-30;31,235;31,50;31,235;31,50;0;0
