Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-12-29;0,003;0,003;0,003;0,003;0;0
2016-12-28;0,003;0,003;0,003;0,003;0;0
2016-12-27;0,006;0,006;0,006;0,006;0;0
2016-12-23;0,011;0,011;0,011;0,011;0;0
2016-12-22;0,01;0,01;0,01;0,01;0;0
2016-12-21;0,014;0,014;0,014;0,014;300;4
2016-12-20;0,016;0,016;0,016;0,016;0;0
2016-12-19;0,016;0,016;0,016;0,016;0;0
2016-12-16;0,016;0,016;0,016;0,016;0;0
2016-12-15;0,016;0,016;0,015;0,015;11.300;170
2016-12-14;0,016;0,016;0,016;0,016;0;0
2016-12-13;0,016;0,016;0,016;0,016;0;0
2016-12-12;0,016;0,016;0,016;0,016;0;0
2016-12-09;0,016;0,016;0,016;0,016;0;0
2016-12-08;0,016;0,016;0,016;0,016;0;0
2016-12-07;0,016;0,016;0,016;0,016;0;0
2016-12-06;0,015;0,015;0,015;0,015;0;0
2016-12-05;0,016;0,016;0,016;0,016;0;0
2016-12-02;0,016;0,016;0,016;0,016;0;0
2016-12-01;0,016;0,016;0,016;0,016;500;8
2016-11-30;0,016;0,016;0,016;0,016;0;0
2016-11-29;0,016;0,016;0,016;0,016;0;0
2016-11-28;0,016;0,016;0,016;0,016;0;0
2016-11-25;0,016;0,016;0,016;0,016;0;0
2016-11-24;0,016;0,016;0,016;0,016;0;0
2016-11-23;0,016;0,016;0,016;0,016;0;0
2016-11-22;0,016;0,016;0,016;0,016;0;0
2016-11-21;0,016;0,016;0,016;0,016;0;0
2016-11-18;0,016;0,016;0,016;0,016;0;0
2016-11-17;0,016;0,016;0,016;0,016;0;0
2016-11-16;0,016;0,016;0,01;0,01;7.000;70
2016-11-15;0,016;0,016;0,016;0,016;0;0
2016-11-14;0,016;0,016;0,016;0,016;0;0
2016-11-11;0,016;0,016;0,016;0,016;0;0
2016-11-10;0,016;0,016;0,016;0,016;0;0
2016-11-09;0,016;0,016;0,016;0,016;0;0
2016-11-08;0,016;0,016;0,016;0,016;0;0
2016-11-07;0,016;0,016;0,016;0,016;0;0
2016-11-04;0,016;0,016;0,016;0,016;0;0
2016-11-03;0,016;0,016;0,016;0,016;0;0
2016-11-02;0,016;0,016;0,016;0,016;0;0
2016-11-01;0,021;0,021;0,021;0,021;0;0
2016-10-31;0,021;0,021;0,021;0,021;3.250;68
2016-10-28;0,022;0,022;0,022;0,022;0;0
2016-10-27;0,016;0,016;0,016;0,016;0;0
2016-10-26;0,018;0,018;0,018;0,018;0;0
2016-10-25;0,023;0,023;0,023;0,023;0;0
2016-10-24;0,024;0,024;0,024;0,024;0;0
2016-10-21;0,023;0,023;0,023;0,023;0;0
2016-10-20;0,023;0,023;0,023;0,023;0;0
2016-10-19;0,031;0,031;0,031;0,031;0;0
2016-10-18;0,031;0,031;0,031;0,031;0;0
2016-10-17;0,035;0,035;0,035;0,035;0;0
2016-10-14;0,031;0,031;0,031;0,031;0;0
2016-10-13;0,032;0,032;0,032;0,032;0;0
2016-10-12;0,032;0,032;0,032;0,032;0;0
2016-10-11;0,035;0,035;0,035;0,035;0;0
2016-10-07;0,071;0,071;0,071;0,071;0;0
2016-10-06;0,155;0,155;0,155;0,155;0;0
2016-10-05;0,165;0,165;0,161;0,161;100;16
2016-10-04;0,158;0,167;0,158;0,167;0;0
2016-10-03;0,165;0,165;0,165;0,165;0;0
2016-09-30;0,148;0,148;0,148;0,148;0;0
2016-09-29;0,201;0,201;0,17;0,17;2.500;425
2016-09-28;0,25;0,25;0,25;0,25;0;0
2016-09-27;0,27;0,27;0,27;0,27;0;0
2016-09-26;0,321;0,321;0,321;0,321;0;0
2016-09-22;0,456;0,456;0,456;0,456;0;0
2016-09-21;0,557;0,557;0,557;0,557;0;0
2016-09-20;0,415;0,524;0,415;0,524;340;178
2016-09-19;0,13;0,41;0,13;0,41;6.400;2.165
2016-09-16;0,124;0,124;0,124;0,124;0;0
2016-09-15;0,13;0,13;0,13;0,13;0;0
2016-09-14;0,123;0,123;0,123;0,123;0;0
2016-09-13;0,15;0,15;0,15;0,15;200;30
2016-09-12;0,177;0,177;0,133;0,133;200;27
2016-09-09;0,219;0,219;0,219;0,219;0;0
2016-09-08;0,23;0,23;0,23;0,23;0;0
2016-09-07;0,219;0,219;0,219;0,219;0;0
2016-09-06;0,26;0,26;0,26;0,26;0;0
2016-09-05;0,32;0,32;0,26;0,275;360;98
2016-09-02;0,34;0,34;0,34;0,34;0;0
2016-09-01;0,511;0,511;0,46;0,46;2.280;1.069
2016-08-31;0,507;0,507;0,507;0,507;0;0
2016-08-30;0,51;0,51;0,51;0,51;0;0
2016-08-29;0,511;0,511;0,511;0,511;0;0
2016-08-26;0,53;0,53;0,53;0,53;0;0
2016-08-25;0,511;0,511;0,511;0,511;0;0
2016-08-24;0,511;0,511;0,511;0,511;0;0
2016-08-23;0,511;0,511;0,511;0,511;0;0
2016-08-22;0,54;0,54;0,54;0,54;0;0
2016-08-19;0,51;0,51;0,51;0,51;0;0
2016-08-18;0,50;0,50;0,50;0,50;0;0
2016-08-17;0,591;0,591;0,591;0,591;0;0
2016-08-16;0,591;0,591;0,591;0,591;0;0
2016-08-15;0,591;0,591;0,591;0,591;0;0
2016-08-12;0,606;0,606;0,606;0,606;0;0
2016-08-11;0,606;0,606;0,606;0,606;0;0
2016-08-10;0,62;0,62;0,62;0,62;0;0
2016-08-09;0,605;0,605;0,605;0,605;0;0
2016-08-08;0,591;0,591;0,591;0,591;0;0
2016-08-05;0,591;0,591;0,591;0,591;0;0
2016-08-04;0,616;0,616;0,616;0,616;0;0
2016-08-03;0,626;0,626;0,626;0,626;0;0
2016-08-02;0,626;0,626;0,626;0,626;0;0
2016-08-01;0,651;0,651;0,651;0,651;0;0
2016-07-29;0,701;0,701;0,701;0,701;0;0
2016-07-28;0,75;0,75;0,75;0,75;0;0
2016-07-27;0,761;0,761;0,761;0,761;0;0
2016-07-26;0,667;0,667;0,667;0,667;0;0
2016-07-25;0,587;0,587;0,587;0,587;0;0
2016-07-22;0,54;0,54;0,54;0,54;0;0
2016-07-21;0,591;0,591;0,591;0,591;0;0
2016-07-20;0,601;0,601;0,601;0,601;0;0
2016-07-19;0,522;0,54;0,522;0,54;200;108
2016-07-18;0,55;0,55;0,55;0,55;0;0
2016-07-15;0,54;0,54;0,54;0,54;0;0
2016-07-14;0,56;0,56;0,56;0,56;0;0
2016-07-13;0,50;0,50;0,50;0,50;0;0
2016-07-12;0,52;0,52;0,52;0,52;200;104
2016-07-11;0,52;0,52;0,52;0,52;0;0
2016-07-08;0,521;0,521;0,521;0,521;0;0
2016-07-07;0,59;0,59;0,561;0,561;500;281
2016-07-06;0,491;0,55;0,491;0,55;4.194;2.282
2016-07-05;0,862;0,862;0,40;0,45;12.773;5.748
2016-07-04;1,109;1,109;0,825;0,825;270;223
2016-07-01;1,591;1,591;1,591;1,591;0;0
2016-06-30;1,99;1,99;1,70;1,70;5.000;8.522
2016-06-29;2,891;2,891;2,891;2,891;0;0
2016-06-28;3,171;3,171;3,171;3,171;0;0
2016-06-27;3,301;3,341;3,301;3,341;3;10
2016-06-24;3,231;3,231;3,231;3,231;0;0
2016-06-23;3,795;3,795;3,795;3,795;3;11
2016-06-22;3,392;3,764;3,392;3,764;600;2.101
2016-06-21;3,691;3,691;3,691;3,691;0;0
2016-06-20;3,384;3,384;3,384;3,384;0;0
2016-06-17;3,781;3,985;3,781;3,985;1.000;3.985
2016-06-16;4,315;4,315;4,315;4,315;0;0
2016-06-15;3,971;3,971;3,971;3,971;0;0
2016-06-14;4,375;4,375;4,375;4,375;0;0
2016-06-13;4,29;4,29;4,29;4,29;0;0
2016-06-10;4,04;4,04;4,04;4,04;0;0
2016-06-09;6,44;6,44;6,44;6,44;0;0
2016-06-08;5,99;5,99;5,99;5,99;0;0
2016-06-07;6,451;6,451;6,451;6,451;0;0
2016-06-06;7,765;7,765;7,765;7,765;200;1.553
2016-06-03;9,64;9,64;9,64;9,64;0;0
2016-06-02;9,944;9,944;9,944;9,944;0;0
2016-06-01;10,155;10,155;10,155;10,155;0;0
