Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;54,40;54,40;51,05;52,20;14.285;749.851
2019-08-13;55,90;55,90;53,50;54,35;16.376;887.174
2019-08-12;54,50;54,70;53,50;54,10;12.146;657.527
2019-08-09;54,25;54,25;53,35;54,00;10.781;581.426
2019-08-08;54,20;54,80;53,75;54,00;16.472;890.064
2019-08-07;54,05;54,50;53,20;53,90;9.219;497.874
2019-08-06;54,85;54,85;52,90;53,90;18.729;1.008.667
2019-08-05;55,75;55,75;54,00;54,50;15.440;842.838
2019-08-02;55,75;55,75;54,30;55,20;11.974;657.633
2019-08-01;56,35;56,90;55,55;56,00;8.508;476.508
2019-07-31;53,85;58,35;53,75;57,00;25.989;1.472.597
2019-07-30;54,15;54,25;53,00;53,75;27.826;1.492.357
2019-07-29;53,00;54,60;52,00;53,35;35.582;1.912.694
2019-07-26;52,45;53,25;51,60;52,45;18.303;962.298
2019-07-25;53,60;53,60;51,85;53,00;15.530;821.541
2019-07-24;53,30;54,15;52,70;53,00;25.840;1.374.399
2019-07-23;53,45;53,45;52,25;52,80;25.089;1.328.264
2019-07-22;52,55;54,20;51,55;52,70;16.353;860.870
2019-07-19;51,75;52,40;51,60;51,75;11.410;592.113
2019-07-18;51,15;51,55;50,20;51,15;9.204;468.794
2019-07-17;52,00;52,00;50,60;50,95;6.080;310.050
2019-07-16;51,05;52,45;50,25;51,80;13.939;722.914
2019-07-15;52,50;52,50;49,04;50,65;25.366;1.277.012
2019-07-12;51,85;53,00;51,45;52,15;9.408;488.848
2019-07-11;53,30;53,30;51,15;51,65;7.319;380.480
2019-07-10;52,10;53,15;52,00;52,65;3.701;194.521
2019-07-09;53,20;53,20;52,00;52,60;7.043;369.647
2019-07-08;53,45;54,00;52,95;53,10;4.079;217.137
2019-07-05;53,85;53,85;53,10;53,65;1.472;78.834
2019-07-04;54,70;54,80;53,50;53,90;2.627;141.862
2019-07-03;54,90;54,90;53,50;54,15;6.877;371.992
2019-07-02;54,65;55,00;53,65;54,30;5.889;319.835
2019-07-01;56,30;56,75;53,90;54,05;10.489;575.843
2019-06-28;54,40;55,95;54,25;55,40;10.810;597.784
2019-06-27;53,30;54,70;53,30;54,00;20.012;1.079.668
2019-06-26;51,80;53,30;51,80;52,85;10.132;534.698
2019-06-25;52,40;52,40;51,40;52,00;6.556;340.487
2019-06-24;52,00;53,10;51,25;52,20;10.247;537.039
2019-06-21;51,00;52,80;50,55;51,65;82.281;4.253.702
2019-06-20;51,90;52,75;50,30;50,80;20.824;1.067.197
2019-06-19;51,30;53,05;51,00;51,55;33.029;1.712.615
2019-06-18;53,00;53,00;51,00;51,90;19.356;1.003.310
2019-06-17;52,95;54,75;52,05;52,70;19.403;1.028.120
2019-06-14;56,35;56,35;52,80;53,35;24.800;1.339.410
2019-06-13;58,60;58,60;55,50;56,20;15.335;867.232
2019-06-12;60,05;60,05;58,60;58,80;5.409;318.906
2019-06-11;59,00;60,95;59,00;59,60;14.078;844.855
2019-06-07;58,35;59,20;58,30;58,50;4.560;267.641
2019-06-06;59,30;59,70;58,15;58,50;7.156;420.418
2019-06-05;58,45;60,35;58,20;58,70;10.494;621.546
2019-06-04;56,40;59,05;55,15;58,60;18.102;1.038.046
2019-06-03;60,25;60,55;55,95;57,05;21.064;1.219.079
2019-05-31;60,70;61,10;59,05;60,95;12.077;728.244
2019-05-30;60,30;61,35;60,30;61,00;5.830;355.028
2019-05-29;62,40;62,40;59,20;60,80;22.846;1.380.423
2019-05-28;62,35;63,45;61,70;62,40;15.243;952.316
2019-05-27;62,95;64,25;62,15;62,85;8.319;524.425
2019-05-24;65,00;65,50;62,50;62,70;9.208;585.017
2019-05-23;62,00;65,45;61,15;65,00;25.156;1.590.408
2019-05-22;62,7273;64,3636;62,6818;63,7273;27.992;1.777.646
2019-05-21;63,6364;64,3636;63,1818;63,7727;18.352;1.168.774
2019-05-20;64,5455;64,5455;62,3636;62,7273;20.275;1.281.606
2019-05-17;64,2727;64,2727;62,6364;63,8182;16.645;1.056.935
2019-05-16;63,4545;64,2727;61,9545;64,2727;24.850;1.571.623
2019-05-15;64,7727;64,9545;62,4091;63,6364;19.908;1.264.918
2019-05-14;62,2273;64,6364;62,2273;64,00;25.257;1.604.727
2019-05-13;64,4545;64,4545;61,0909;61,7273;25.850;1.617.312
2019-05-10;64,4545;65,6818;63,3636;63,9545;12.546;807.107
2019-05-09;65,0909;65,0909;63,2273;64,50;20.313;1.305.583
2019-05-08;64,50;65,8182;64,3636;65,1364;13.912;901.616
2019-05-07;66,2273;66,2727;63,9545;65,0909;12.874;838.320
2019-05-06;65,1364;66,3182;62,8182;65,6364;19.447;1.263.770
2019-05-03;66,8182;67,5909;65,1818;66,5909;17.377;1.153.403
2019-05-02;67,2727;67,5455;65,7727;66,8182;24.111;1.609.616
2019-04-30;66,1364;67,2273;64,6364;66,9091;24.589;1.622.946
2019-04-29;65,00;66,1818;64,7727;65,7273;38.559;2.527.419
2019-04-26;63,8636;64,6364;63,0909;64,0455;14.336;918.619
2019-04-25;65,7273;65,7273;63,0909;63,7727;18.623;1.197.375
2019-04-24;64,9091;65,8636;64,4545;65,4091;17.651;1.149.593
2019-04-23;64,5909;66,1364;63,9091;64,0909;36.554;2.372.769
2019-04-18;63,3636;64,5455;62,5455;64,1364;13.797;878.905
2019-04-17;64,3182;65,4545;62,5909;63,2273;49.493;3.176.356
2019-04-16;59,4545;62,50;59,0909;62,4545;33.307;2.046.203
2019-04-15;56,6818;59,1818;55,8636;58,9545;32.925;1.913.537
2019-04-12;55,6364;56,7727;55,1364;56,0909;19.894;1.113.249
2019-04-11;54,7727;56,2727;54,7273;56,2273;26.491;1.475.810
2019-04-10;54,7727;55,0455;54,5455;54,5909;7.002;382.930
2019-04-09;55,2727;55,7727;54,1364;54,1818;19.363;1.063.012
2019-04-08;54,7727;55,1364;54,5455;54,8636;5.586;306.345
2019-04-05;54,8182;55,50;53,6818;54,5455;14.190;776.566
2019-04-04;54,0455;55,3182;53,6364;54,6818;13.728;749.488
2019-04-03;54,00;54,7273;53,0909;53,8636;29.030;1.569.091
2019-04-02;54,50;54,50;53,3636;53,8636;5.872;315.786
2019-04-01;52,8636;54,5455;52,8636;54,0909;7.119;384.092
2019-03-29;52,3182;52,7727;51,6818;52,7273;6.930;363.024
2019-03-28;53,0909;53,3182;52,00;52,2727;6.764;354.839
2019-03-27;51,4545;52,9545;51,4545;52,9545;7.074;372.494
2019-03-26;51,3182;51,3636;50,1364;51,0909;8.943;454.840
2019-03-25;52,9545;52,9545;51,1818;51,1818;13.940;721.281
2019-03-22;53,6364;53,8182;52,0909;52,5455;16.430;867.003
2019-03-21;54,7727;54,9091;53,4545;53,6818;13.323;716.649
2019-03-20;54,8636;54,9091;54,2727;54,5909;6.994;382.141
2019-03-19;53,4545;55,1818;53,3636;54,9091;21.621;1.167.579
2019-03-18;53,6364;54,1818;53,0455;53,1818;13.011;696.442
2019-03-15;53,9091;54,5455;53,1818;53,9091;16.422;886.569
2019-03-14;54,5455;54,5455;52,8182;53,3636;9.255;496.033
2019-03-13;53,8182;54,8182;53,5455;54,4545;7.354;398.749
2019-03-12;54,1364;54,5455;53,3636;53,7727;6.215;335.391
2019-03-11;52,50;53,7273;52,3636;53,6364;23.684;1.250.305
2019-03-08;54,0455;54,0455;51,3636;51,3636;41.379;2.162.311
2019-03-07;53,0455;54,6364;50,7273;54,5455;24.809;1.319.260
2019-03-06;55,3182;55,3636;52,1364;52,5455;42.489;2.269.011
2019-03-05;56,3182;57,5455;54,1364;55,00;43.331;2.397.876
2019-03-04;56,7273;59,5455;54,4545;56,2273;64.332;3.642.897
2019-03-01;55,1818;56,4545;54,6818;55,7727;12.991;722.759
2019-02-28;54,5909;54,7273;53,7727;54,5455;8.968;487.541
2019-02-27;55,2727;55,2727;53,8182;54,2273;6.533;354.487
2019-02-26;54,5909;55,2273;54,4091;55,1364;4.574;250.999
2019-02-25;54,8182;55,0455;53,9091;54,5909;6.540;356.969
2019-02-22;54,9091;54,9091;53,9545;54,2273;8.782;476.997
2019-02-21;55,3182;55,3182;53,7727;54,50;11.723;637.922
2019-02-20;56,0455;56,7727;54,50;55,1818;10.679;589.475
2019-02-19;55,4545;56,4091;55,3182;55,8636;10.959;609.842
2019-02-18;56,1818;56,3636;55,1818;55,4091;10.331;574.487
2019-02-15;56,4091;57,1364;54,6818;55,8636;11.605;647.602
2019-02-14;56,0455;57,2727;55,7727;56,0909;10.999;622.254
2019-02-13;56,0455;57,00;55,7727;56,0455;10.808;608.560
2019-02-12;54,6818;57,0909;54,6818;55,50;10.244;574.704
2019-02-11;54,9091;54,9091;53,00;54,3182;14.014;753.797
2019-02-08;53,7727;55,0455;53,4091;54,1818;9.167;495.840
2019-02-07;56,2273;56,2273;54,5455;54,5455;10.128;557.523
2019-02-06;56,9091;57,0909;55,4545;55,7727;13.280;746.045
2019-02-05;58,8636;58,8636;56,00;56,3636;20.882;1.193.315
2019-02-04;54,50;57,7727;54,50;57,7727;17.762;1.006.610
2019-02-01;54,00;55,5455;53,5455;54,2727;16.566;901.571
2019-01-31;53,7273;56,0455;53,5455;54,1364;14.632;796.240
2019-01-30;54,7727;55,2273;53,5455;54,1818;13.107;710.869
2019-01-29;55,3182;56,9091;54,5909;54,7273;14.235;792.909
2019-01-28;55,4091;55,4545;54,2727;54,7273;15.489;848.916
2019-01-25;54,50;56,2727;54,4091;55,4545;18.533;1.026.749
2019-01-24;52,5909;54,2727;52,3182;53,5909;19.017;1.015.850
2019-01-23;55,4545;57,1364;52,9091;53,2727;26.671;1.455.823
2019-01-22;57,7727;59,1818;54,5909;55,3182;21.925;1.239.410
2019-01-21;59,4091;60,7273;56,3182;57,7273;24.682;1.435.238
2019-01-18;58,2273;59,2727;57,2727;59,0909;25.570;1.499.991
2019-01-17;56,8182;57,9545;55,8182;57,5909;12.067;686.345
2019-01-16;55,50;57,2727;55,50;57,2727;13.812;786.136
2019-01-15;54,3182;56,3182;54,3182;55,9545;10.133;562.991
2019-01-14;54,5455;54,5909;53,4091;54,5909;23.489;1.273.591
2019-01-11;53,6364;55,2727;53,3636;53,5455;12.694;688.050
2019-01-10;56,2727;56,2727;52,9091;53,6818;28.235;1.539.424
2019-01-09;53,9545;55,9091;53,6818;55,8182;23.503;1.292.018
2019-01-08;50,0455;54,3636;49,8182;53,3182;25.376;1.343.278
2019-01-07;49,00;50,3636;48,2727;50,2727;10.145;502.914
2019-01-04;47,2727;48,9545;47,0455;48,5909;7.897;380.869
2019-01-03;44,3455;47,7273;43,9636;46,8182;15.371;715.283
2019-01-02;42,3818;44,9818;41,6364;44,4545;14.296;629.035
2018-12-28;40,8182;42,2545;40,8182;41,6364;16.586;687.478
2018-12-27;43,5273;43,9455;39,4909;40,2727;33.618;1.375.654
2018-12-21;42,2727;44,1818;41,9091;43,6182;21.821;940.883
2018-12-20;45,50;45,50;42,2909;42,4364;15.595;678.629
2018-12-19;43,4727;45,5909;43,4727;45,3091;10.992;491.779
2018-12-18;43,5455;44,2727;42,5273;43,8727;20.468;886.974
2018-12-17;46,2273;46,2273;43,5273;43,8909;9.657;431.577
2018-12-14;46,2727;46,9091;44,6909;46,1364;9.004;412.669
2018-12-13;44,0182;47,0455;43,7273;46,3182;20.147;911.450
2018-12-12;41,8727;43,3091;41,3091;43,2545;43.809;1.845.397
2018-12-11;42,3273;43,4545;41,5091;41,9636;31.523;1.333.011
2018-12-10;46,4545;46,4545;41,0909;41,5091;33.550;1.448.927
2018-12-07;48,6364;48,9545;46,1818;46,2273;11.219;530.136
2018-12-06;48,7727;48,9091;46,50;47,2273;14.080;663.883
2018-12-05;48,0455;49,1818;46,5909;49,1818;8.510;405.320
2018-12-04;49,8636;50,3636;48,1818;48,50;8.305;409.152
2018-12-03;50,00;50,7727;49,4545;50,0909;12.155;601.457
2018-11-30;49,6818;49,7273;48,0455;48,6818;12.219;597.759
2018-11-29;50,6364;51,1364;49,6818;50,2273;8.526;428.741
2018-11-28;49,3182;50,7727;49,3182;50,0909;8.910;446.068
2018-11-27;50,5909;51,7273;48,0909;49,00;16.781;837.400
2018-11-26;49,2273;51,0909;49,2273;50,6364;7.563;381.336
2018-11-23;48,3182;49,7727;48,1818;49,4091;9.433;463.924
2018-11-22;48,9545;49,0455;47,3636;48,1364;6.531;313.809
2018-11-21;48,0455;49,2727;47,2727;49,0909;15.474;751.709
2018-11-20;47,5909;47,9545;46,2727;47,6818;12.813;603.802
2018-11-19;50,00;50,8636;47,5909;48,0455;37.540;1.842.490
2018-11-16;48,6818;50,3182;48,2273;49,7273;10.783;532.550
2018-11-15;50,0455;50,2273;47,0909;47,7273;12.504;608.248
2018-11-14;48,7273;52,4091;47,9545;49,7727;17.128;858.540
2018-11-13;50,0455;50,7727;48,1818;49,0909;14.299;703.199
2018-11-12;54,9545;55,00;49,2727;49,50;17.009;873.261
2018-11-09;50,1364;54,8636;49,4545;54,5455;22.473;1.190.778
2018-11-08;56,3182;56,6818;50,50;51,00;33.015;1.740.568
2018-11-07;54,5455;56,3182;54,3636;55,9091;19.094;1.055.395
2018-11-06;54,5455;55,7273;53,1818;53,9545;32.546;1.773.662
2018-11-05;52,50;55,00;50,3636;54,0909;56.840;3.021.175
2018-11-02;52,9545;54,0455;52,9091;53,0909;20.548;1.094.400
2018-11-01;48,6364;52,3636;48,6364;52,00;20.678;1.038.031
2018-10-31;44,4545;47,9091;44,4545;46,7273;25.533;1.191.052
2018-10-30;42,7818;45,1636;42,3636;44,2182;19.067;832.083
2018-10-29;42,8727;43,1818;42,3636;42,7818;13.849;590.674
2018-10-26;43,6182;43,6182;42,2727;43,0364;7.105;304.473
2018-10-25;41,80;43,7273;41,2909;43,20;19.001;807.953
2018-10-24;43,2364;43,8909;42,0909;42,2364;15.176;651.384
2018-10-23;44,8364;44,8364;42,6545;43,2545;17.355;760.800
2018-10-22;45,7273;45,9091;45,1818;45,4364;4.732;215.567
2018-10-19;46,2727;46,2727;42,5455;45,3818;22.465;1.001.773
2018-10-18;45,00;46,8182;44,8727;46,5909;12.855;590.607
2018-10-17;45,20;45,20;44,3455;45,0182;19.309;863.555
2018-10-16;41,5818;44,8182;41,2727;44,7091;37.656;1.647.809
2018-10-15;42,1636;42,2545;40,8545;41,9091;16.627;690.427
2018-10-12;42,7273;42,9818;40,9273;41,8182;45.599;1.916.674
2018-10-11;40,80;43,2727;39,2727;41,4545;40.840;1.686.233
2018-10-10;44,1455;44,2182;40,3636;41,4182;94.930;3.979.485
2018-10-09;53,0909;53,0909;43,4545;44,00;149.212;6.868.557
2018-10-08;52,8636;53,3636;52,8182;53,1364;6.566;347.776
2018-10-05;53,7273;53,9545;52,7727;53,2727;11.012;586.203
2018-10-04;53,3182;53,9545;53,0455;53,50;7.178;384.211
2018-10-02;54,9091;55,1818;53,2727;53,50;7.055;380.920
2018-10-01;53,8636;55,2727;53,8182;54,9545;16.427;887.576
2018-09-28;54,6818;55,2273;53,5909;54,0909;8.001;434.840
2018-09-27;53,1818;55,3636;53,1818;55,0909;16.372;896.924
2018-09-26;54,5909;54,7273;53,1818;53,6364;5.051;271.710
2018-09-25;54,1364;54,5455;53,3636;54,4545;6.420;347.432
2018-09-24;55,7727;55,7727;53,50;53,6818;7.413;404.082
2018-09-21;54,9545;57,0455;54,5455;55,4545;13.759;768.389
2018-09-20;54,9545;55,2727;54,4091;54,5909;14.418;789.075
2018-09-19;55,4545;55,7273;54,9091;55,3636;5.105;281.845
2018-09-18;55,00;55,7727;54,3182;55,3636;10.955;605.359
2018-09-17;56,5455;56,5455;54,00;54,5455;25.409;1.391.608
2018-09-14;53,8182;57,1818;53,8182;56,8182;22.367;1.249.475
2018-09-13;53,3636;53,6818;52,7273;53,4545;12.304;655.817
2018-09-12;52,7273;53,4091;52,7273;53,1818;9.109;482.431
2018-09-11;52,9545;53,50;52,7273;52,7273;10.564;558.035
2018-09-10;52,7727;53,5455;52,7273;53,2727;8.721;463.206
2018-09-07;55,00;55,00;52,7273;52,7273;15.576;831.600
2018-09-06;53,7273;54,8182;52,9545;54,50;19.940;1.072.134
2018-09-05;54,7273;55,1818;54,2273;54,2273;19.076;1.042.933
2018-09-04;55,9091;56,00;54,6818;54,7273;10.791;595.633
2018-09-03;55,3636;56,1818;55,0909;55,8636;11.541;642.968
2018-08-31;55,0455;56,0455;55,00;55,7727;8.426;467.504
2018-08-30;55,5909;55,8182;55,0909;55,1818;11.007;609.955
2018-08-29;57,2273;57,2273;55,50;56,0909;7.220;405.959
2018-08-28;56,5455;57,1364;56,2273;56,7273;13.019;737.653
2018-08-27;56,0455;56,8182;55,9091;56,5455;9.331;525.647
