Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;10,16;10,16;9,86;9,89;1.182;11.846
2019-08-13;10,32;10,34;10,12;10,34;3.612;37.043
2019-08-12;9,92;10,46;9,80;10,38;7.782;78.474
2019-08-09;10,16;10,16;9,80;9,99;5.193;51.772
2019-08-08;9,96;10,14;9,92;10,14;2.566;25.653
2019-08-07;10,10;10,10;9,90;9,96;2.919;29.196
2019-08-06;10,10;10,22;10,06;10,14;2.645;26.840
2019-08-05;10,20;10,20;10,02;10,06;2.029;20.520
2019-08-02;10,66;10,66;10,08;10,18;6.646;68.339
2019-08-01;10,76;10,76;10,52;10,60;1.349;14.384
2019-07-31;10,80;10,80;10,68;10,68;823;8.878
2019-07-30;11,04;11,04;10,72;10,72;2.080;22.611
2019-07-29;10,66;11,00;10,66;10,80;3.086;33.373
2019-07-26;10,72;10,96;10,72;10,96;1.734;18.735
2019-07-25;10,78;10,78;10,70;10,78;2.957;31.829
2019-07-24;10,84;10,84;10,68;10,68;3.890;41.676
2019-07-23;10,72;10,76;10,66;10,68;1.400;14.989
2019-07-22;10,70;10,90;10,70;10,86;2.236;24.031
2019-07-19;10,98;10,98;10,74;10,78;4.135;44.843
2019-07-18;10,82;10,82;10,76;10,78;844;9.096
2019-07-17;10,82;10,82;10,76;10,76;945;10.209
2019-07-16;10,90;11,00;10,76;10,90;2.139;23.237
2019-07-15;10,94;10,98;10,76;10,90;1.239;13.539
2019-07-12;10,80;10,98;10,80;10,98;4.218;45.782
2019-07-11;10,94;10,94;10,80;10,82;5.840;63.501
2019-07-10;10,76;11,04;10,76;10,82;2.658;28.969
2019-07-09;11,06;11,12;10,76;10,88;6.880;74.786
2019-07-08;11,18;11,26;11,02;11,26;4.349;48.731
2019-07-05;11,38;11,58;11,18;11,38;4.415;49.995
2019-07-04;11,10;11,28;11,10;11,28;2.095;23.598
2019-07-03;11,30;11,32;11,18;11,30;5.350;60.398
2019-07-02;10,76;11,38;10,76;11,38;2.754;30.158
2019-07-01;11,34;11,34;10,76;10,80;2.439;26.607
2019-06-28;10,76;10,98;10,76;10,96;1.366;14.836
2019-06-27;10,88;10,88;10,78;10,82;1.104;11.951
2019-06-26;10,76;10,90;10,74;10,76;1.953;21.202
2019-06-25;10,70;10,90;10,68;10,84;3.510;37.738
2019-06-24;10,94;10,96;10,60;10,60;2.916;31.365
2019-06-21;10,88;11,34;10,88;10,94;3.941;43.837
2019-06-20;11,02;11,18;10,84;11,08;2.481;27.244
2019-06-19;10,90;11,02;10,74;11,02;7.018;76.164
2019-06-18;10,94;11,10;10,74;11,10;4.607;50.371
2019-06-17;11,46;11,46;10,70;11,08;11.174;123.185
2019-06-14;11,86;11,86;11,26;11,36;3.418;39.839
2019-06-13;11,88;11,88;11,86;11,86;230;2.729
2019-06-12;11,86;11,98;11,72;11,98;650;7.702
2019-06-11;11,88;11,92;11,86;11,92;3.276;38.893
2019-06-10;11,84;12,18;11,84;12,18;1.350;16.115
2019-06-07;11,98;11,98;11,98;11,98;455;5.451
2019-06-06;12,06;12,06;11,82;11,82;1.154;13.841
2019-06-05;12,04;12,12;12,04;12,10;905;10.944
2019-06-04;11,36;12,10;11,30;12,00;5.160;60.542
2019-06-03;11,3462;11,7308;11,3462;11,4615;9.940;114.542
2019-05-31;11,50;11,6346;11,3654;11,3654;12.284;141.116
2019-05-30;11,50;11,6154;11,4808;11,4808;5.978;68.737
2019-05-29;11,9423;11,9423;11,50;11,5577;6.465;74.934
2019-05-28;11,9615;12,0577;11,5962;11,9423;7.230;85.374
2019-05-27;11,5769;11,8269;11,5769;11,8269;3.020;35.249
2019-05-24;11,6731;11,6731;11,4808;11,5385;3.521;40.562
2019-05-23;11,5962;11,6731;11,5577;11,6731;988;11.463
2019-05-22;11,6923;11,7885;11,6346;11,7885;3.064;35.761
2019-05-21;11,6154;11,6346;11,5385;11,5577;1.050;12.185
2019-05-20;11,9808;11,9808;11,50;11,50;3.200;37.442
2019-05-17;11,6923;11,8269;11,5385;11,8269;4.081;47.479
2019-05-16;11,4038;11,7115;11,3654;11,6154;3.487;40.321
2019-05-15;11,6538;11,6538;11,3846;11,4423;2.198;25.249
2019-05-14;11,7115;11,8077;11,5192;11,6538;2.540;29.548
2019-05-13;11,6346;11,8269;11,5192;11,5192;6.506;75.897
2019-05-10;11,4423;11,6346;11,4423;11,6346;3.353;38.762
2019-05-09;11,7308;11,7308;11,4423;11,4423;6.075;70.571
2019-05-08;11,7308;11,7308;11,4808;11,7308;4.497;52.347
2019-05-07;11,9231;12,0385;11,3269;11,5192;12.881;151.055
2019-05-06;12,3654;12,3654;11,75;11,9423;15.591;187.698
2019-05-03;12,4038;12,4615;12,3846;12,3846;3.068;38.067
2019-05-02;12,7308;12,7308;12,3654;12,4808;5.186;64.748
2019-04-30;11,9423;13,1538;11,75;12,6154;88.470;1.075.079
2019-04-29;12,0192;12,0192;11,8462;11,9808;12.030;143.525
2019-04-26;12,1346;12,1346;11,9423;12,0192;4.413;53.174
2019-04-25;12,1538;12,3077;12,0769;12,2692;3.108;37.772
2019-04-24;12,00;12,50;11,9423;12,0385;17.595;215.704
2019-04-23;11,3269;12,00;11,0385;12,00;31.622;374.288
2019-04-18;11,3654;11,3654;10,9615;11,2115;9.712;108.343
2019-04-17;10,6346;11,7308;10,6346;11,4423;14.820;161.987
2019-04-16;10,6731;10,7692;10,2692;10,5577;5.433;57.217
2019-04-15;10,2308;10,6731;10,1923;10,6731;7.474;77.296
2019-04-12;10,3462;10,3462;10,1923;10,1923;5.750;59.088
2019-04-11;10,50;10,50;10,3269;10,3269;6.953;72.202
2019-04-10;10,6346;10,6346;10,4231;10,50;12.258;129.160
2019-04-09;10,8269;10,9038;10,6731;10,9038;5.762;61.886
2019-04-08;11,0577;11,0577;10,7885;10,9038;6.449;70.718
2019-04-05;10,5769;10,8462;10,4423;10,8462;7.389;79.428
2019-04-04;10,5385;10,5769;10,2885;10,5769;3.028;31.506
2019-04-03;10,2885;10,5385;10,1731;10,5385;6.824;70.224
2019-04-02;10,1923;10,25;10,1731;10,1923;2.021;20.661
2019-04-01;10,3077;10,3077;9,96154;10,3077;5.396;54.605
2019-03-29;10,25;10,3654;10,1923;10,2308;3.849;39.542
2019-03-28;10,3846;10,3846;10,25;10,3462;4.090;42.124
2019-03-27;10,2692;10,5962;10,2308;10,3846;5.730;59.207
2019-03-26;10,3654;10,3654;10,0769;10,2115;6.116;62.538
2019-03-25;10,6154;10,6154;10,3077;10,3654;4.935;51.875
2019-03-22;11,0577;11,0577;10,4808;10,8077;5.215;56.593
2019-03-21;11,0962;11,2115;11,0577;11,0577;3.581;39.727
2019-03-20;11,3077;11,3077;11,1538;11,1923;3.844;43.047
2019-03-19;11,5577;11,6538;11,1538;11,25;14.633;165.858
2019-03-18;11,9808;11,9808;11,5577;11,6346;4.413;51.783
2019-03-15;11,9808;12,0192;11,8077;11,8077;4.379;52.417
2019-03-14;11,7115;12,0192;11,7115;11,8654;15.371;184.054
2019-03-13;13,1923;13,1923;11,5577;12,0192;7.448;92.732
2019-03-12;13,3077;13,3077;13,1731;13,1731;114;1.508
2019-03-11;13,1538;13,25;13,00;13,25;960;12.607
2019-03-08;13,0769;13,0769;13,0577;13,0577;551;7.202
2019-03-07;13,1346;13,2115;12,9808;13,2115;479;6.267
2019-03-06;13,25;13,25;13,25;13,25;83;1.102
2019-03-05;13,3654;13,3654;13,1154;13,1923;1.042;13.780
2019-03-04;13,3846;13,3846;13,1346;13,2308;1.537;20.399
2019-03-01;13,6154;13,6154;13,2308;13,2308;3.305;44.687
2019-02-28;13,2308;13,2308;13,0769;13,1154;991;13.036
2019-02-27;13,0769;13,2308;13,0385;13,2308;635;8.336
2019-02-26;13,0385;13,0385;13,00;13,00;3.245;42.211
2019-02-25;12,9808;13,0769;12,9808;13,0769;305;3.968
2019-02-22;12,9038;12,9808;12,9038;12,9808;83;1.076
2019-02-20;13,00;13,00;12,9231;12,9231;510;6.607
2019-02-19;12,8269;13,00;12,8077;13,00;346;4.460
2019-02-18;12,9423;13,0192;12,8269;12,8269;677;8.759
2019-02-15;12,9038;12,9231;12,8846;12,9231;388;5.009
2019-02-14;13,0385;13,0385;12,9038;13,0192;1.321;17.078
2019-02-13;13,0577;13,0577;12,9231;13,0385;707;9.194
2019-02-12;13,00;13,0577;12,9038;13,0577;744;9.647
2019-02-11;12,9808;12,9808;12,9808;12,9808;26;338
2019-02-08;13,2308;13,3077;12,8269;12,8269;1.957;25.597
2019-02-07;13,0577;13,4038;13,0577;13,2308;2.131;28.202
2019-02-06;13,0385;13,25;12,9038;13,25;246;3.199
2019-02-05;13,0385;13,0577;12,9231;13,0577;1.402;18.236
2019-02-04;13,1923;13,1923;13,0385;13,0385;1.824;23.868
2019-02-01;13,0769;13,1923;13,0385;13,0962;929;12.135
2019-01-31;12,8654;13,0962;12,8654;12,9038;1.352;17.520
2019-01-30;12,9038;13,0769;12,9038;12,9808;988;12.808
2019-01-29;13,3077;13,3077;12,9423;12,9423;944;12.451
2019-01-28;12,75;13,3269;12,75;13,3077;9.899;129.717
2019-01-25;12,5962;12,8654;12,3462;12,8654;2.861;36.181
2019-01-24;12,5385;12,5577;12,50;12,50;5.533;69.426
2019-01-23;12,4038;12,8846;12,3654;12,8846;5.724;71.532
2019-01-22;12,50;12,50;12,4231;12,4231;327;4.058
2019-01-21;12,8269;12,8269;12,4615;12,4615;2.427;30.762
2019-01-18;12,5769;12,5769;12,5192;12,5577;4.181;52.535
2019-01-17;12,50;12,50;12,4808;12,4808;250;3.116
2019-01-16;12,5577;12,5577;12,3077;12,3077;128;1.584
2019-01-15;12,4038;12,5769;12,4038;12,5769;352;4.365
2019-01-14;12,5577;12,5962;12,50;12,50;523;6.561
2019-01-11;12,3846;12,3846;11,6923;12,3077;389;4.677
2019-01-10;12,2308;12,2885;12,0192;12,2885;2.064;25.118
2019-01-09;12,0192;12,1923;12,0192;12,1538;5.305;64.139
2019-01-08;11,8654;12,1154;11,6923;12,0962;1.085;12.946
2019-01-07;11,9231;12,2115;11,6731;11,6731;1.555;18.646
2019-01-04;11,5192;12,1154;11,5192;12,1154;1.212;14.266
2019-01-03;11,2885;12,3846;11,2308;11,2308;331;3.835
