Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,0112;0,0112;0,0112;0,0112;;
2019-08-13;0,0116;0,0116;0,0116;0,0116;;
2019-08-12;0,0128;0,0128;0,0128;0,0128;;
2019-08-09;0,0116;0,0116;0,0116;0,0116;;
2019-08-08;0,011;0,011;0,011;0,011;;
2019-08-07;0,0152;0,0152;0,0152;0,0152;;
2019-08-06;0,016;0,016;0,016;0,016;;
2019-08-05;0,0166;0,0166;0,0166;0,0166;;
2019-08-02;0,017;0,017;0,017;0,017;;
2019-08-01;0,018;0,018;0,018;0,018;;
2019-07-31;0,0156;0,0156;0,0156;0,0156;0;0
2019-07-30;0,0176;0,0176;0,0176;0,0176;;
2019-07-29;0,0134;0,0134;0,0134;0,0134;;
2019-07-26;0,0088;0,0088;0,0088;0,0088;;
2019-07-25;0,0088;0,0088;0,0088;0,0088;;
2019-07-24;0,005;0,005;0,005;0,005;;
2019-07-23;0,0042;0,0042;0,0042;0,0042;;
2019-07-22;0,0044;0,0044;0,0044;0,0044;;
2019-07-19;0,009;0,009;0,009;0,009;;
2019-07-18;0,009;0,009;0,009;0,009;;
2019-07-17;0,009;0,009;0,009;0,009;;
2019-07-16;0,0094;0,0094;0,0094;0,0094;;
2019-07-15;0,0048;0,0048;0,0048;0,0048;;
2019-07-12;0,0044;0,0044;0,0044;0,0044;;
2019-07-11;0,0044;0,0044;0,0044;0,0044;;
2019-07-10;0,0046;0,0046;0,0046;0,0046;;
2019-07-09;0,005;0,005;0,005;0,005;;
2019-07-08;0,005;0,005;0,005;0,005;;
2019-07-05;0,005;0,005;0,005;0,005;;
2019-07-04;0,005;0,005;0,005;0,005;;
2019-07-03;0,005;0,005;0,005;0,005;;
2019-07-02;0,0086;0,0086;0,0086;0,0086;;
2019-07-01;0,009;0,009;0,009;0,009;;
2019-06-28;0,009;0,009;0,009;0,009;;
2019-06-27;0,009;0,009;0,009;0,009;;
2019-06-26;0,0112;0,0112;0,0112;0,0112;;
2019-06-25;0,0112;0,0112;0,0112;0,0112;;
2019-06-24;0,0102;0,0102;0,0102;0,0102;;
2019-06-21;0,005;0,005;0,005;0,005;;
2019-06-20;0,005;0,005;0,005;0,005;;
2019-06-19;0,005;0,005;0,005;0,005;;
2019-06-18;0,005;0,005;0,005;0,005;;
2019-06-17;0,005;0,005;0,005;0,005;;
2019-06-14;0,005;0,005;0,005;0,005;;
2019-06-13;0,005;0,005;0,005;0,005;;
2019-06-12;0,0086;0,0086;0,0086;0,0086;;
2019-06-11;0,005;0,005;0,005;0,005;;
2019-06-10;0,005;0,005;0,005;0,005;;
2019-06-07;0,0086;0,0086;0,0086;0,0086;;
2019-06-06;0,0036;0,0036;0,0036;0,0036;;
2019-06-05;0,0038;0,0038;0,0038;0,0038;;
2019-06-04;0,0042;0,0042;0,0042;0,0042;;
2019-06-03;0,0042;0,0042;0,0042;0,0042;;
2019-05-31;0,0042;0,0042;0,0042;0,0042;;
2019-05-30;0,0042;0,0042;0,0042;0,0042;;
2019-05-29;0,0042;0,0042;0,0042;0,0042;;
2019-05-28;0,0042;0,0042;0,0042;0,0042;;
2019-05-27;0,0046;0,0046;0,0046;0,0046;;
2019-05-24;0,0042;0,0042;0,0042;0,0042;;
2019-05-23;0,0042;0,0042;0,0042;0,0042;;
2019-05-22;0,0038;0,0038;0,0038;0,0038;;
2019-05-21;0,004;0,004;0,004;0,004;;
2019-05-20;0,0044;0,0044;0,0044;0,0044;;
2019-05-17;0,0044;0,0044;0,0044;0,0044;;
2019-05-16;0,0042;0,0042;0,0042;0,0042;;
2019-05-15;0,0042;0,0042;0,0042;0,0042;;
2019-05-14;0,0046;0,0046;0,0046;0,0046;;
2019-05-13;0,0048;0,0048;0,0048;0,0048;;
2019-05-10;0,005;0,005;0,005;0,005;;
2019-05-09;0,0088;0,0088;0,0088;0,0088;;
2019-05-08;0,0088;0,0088;0,0088;0,0088;;
2019-05-07;0,0088;0,0088;0,0088;0,0088;;
