Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2012-09-26;32,51;32,70;32,51;32,51;2.679;87.097
2012-09-25;32,50;32,52;32,41;32,52;570;18.526
2012-09-24;32,60;32,60;32,50;32,50;1.322;42.980
2012-09-21;32,80;32,81;32,75;32,80;2.710;88.815
2012-09-20;33,48;33,48;33,47;33,47;300;10.043
2012-09-19;32,50;33,48;32,50;33,40;200;6.688
2012-09-18;33,295;33,295;32,50;32,50;284;9.456
2012-09-17;32,50;32,50;32,50;32,50;313;10.173
2012-09-14;32,40;32,90;32,40;32,45;42;1.381
2012-09-13;32,504;32,504;32,50;32,50;1.000;32.500
2012-09-12;32,51;32,51;32,504;32,504;33;1.073
2012-09-11;32,504;33,00;32,504;33,00;100;3.300
2012-09-10;33,20;33,20;32,504;32,51;35;1.148
2012-09-07;32,50;32,504;32,50;32,504;294;9.556
2012-09-06;32,51;32,51;32,50;32,51;244;7.932
2012-09-05;32,50;32,51;32,50;32,50;439;14.268
2012-09-04;32,505;32,505;32,505;32,505;500;16.253
2012-09-03;32,52;32,52;32,505;32,505;33;1.073
2012-08-31;32,505;32,505;32,505;32,505;0;0
2012-08-30;32,505;32,505;32,505;32,505;100;3.251
2012-08-29;32,50;32,51;32,50;32,51;100;3.251
2012-08-28;32,514;32,67;32,50;32,50;3.181;103.411
2012-08-27;32,234;32,70;32,234;32,70;5.108;166.357
2012-08-24;32,234;32,234;32,234;32,234;0;0
2012-08-23;32,24;32,89;32,234;32,234;41;1.322
2012-08-22;32,95;32,95;32,234;32,234;2;66
2012-08-21;32,234;32,80;32,234;32,25;105;3.389
2012-08-20;32,234;32,96;32,234;32,96;1;33
2012-08-17;32,576;32,99;32,576;32,99;363;11.974
2012-08-16;32,576;32,576;32,576;32,576;0;0
2012-08-15;32,576;32,576;32,576;32,576;0;0
2012-08-14;32,58;33,39;32,58;33,39;40;1.336
2012-08-13;32,537;33,395;32,537;33,395;50;1.670
2012-08-10;32,537;32,537;32,537;32,537;0;0
2012-08-09;32,537;32,537;32,537;32,537;0;0
2012-08-08;33,35;33,35;32,537;32,537;50;1.668
2012-08-07;32,224;32,224;32,224;32,224;0;0
2012-08-06;32,663;33,45;32,634;32,634;47;1.552
2012-08-03;32,663;32,663;32,663;32,663;0;0
2012-08-02;32,663;32,663;32,663;32,663;0;0
2012-08-01;32,30;33,48;32,30;33,48;31;1.038
2012-07-30;32,204;32,204;32,204;32,204;0;0
2012-07-27;32,20;33,00;32,20;33,00;20;652
2012-07-26;32,20;32,20;32,20;32,20;0;0
2012-07-25;32,20;32,99;32,20;32,99;41;1.333
2012-07-24;32,20;32,20;32,20;32,20;0;0
2012-07-23;32,31;32,31;32,20;32,20;151;4.870
2012-07-20;33,389;33,389;32,20;32,21;740;24.113
2012-07-19;32,58;33,10;32,001;33,10;556;17.876
2012-07-18;33,39;33,39;32,576;32,576;60;2.003
2012-07-17;33,10;33,10;33,00;33,00;74;2.449
2012-07-16;33,30;33,30;32,488;33,00;806;26.748
2012-07-13;32,683;33,19;32,55;32,55;60;1.974
2012-07-12;33,10;33,50;32,293;33,50;5.258;175.747
2012-07-11;33,10;33,10;33,10;33,10;0;0
2012-07-10;33,29;33,30;33,29;33,30;8;266
2012-07-09;33,30;33,30;32,488;32,488;250;8.325
2012-07-06;33,127;33,127;33,127;33,127;0;0
2012-07-05;31,55;31,55;31,55;31,55;0;0
2012-07-04;33,39;33,40;31,50;32,00;1.421;45.235
2012-07-03;33,40;33,40;33,24;33,39;250;8.324
