Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;40,55;41,30;40,30;40,35;2.856;116.177
2019-08-13;41,00;41,80;40,70;40,70;6.721;275.511
2019-08-12;42,05;42,45;40,80;41,10;8.636;356.698
2019-08-09;42,85;43,75;41,50;42,50;13.065;559.650
2019-08-08;44,25;44,50;42,90;43,25;1.681;73.919
2019-08-07;43,00;45,05;43,00;44,00;7.908;349.735
2019-08-06;43,45;44,20;42,50;42,70;17.951;783.789
2019-08-05;44,80;44,80;43,50;43,55;6.091;266.395
2019-08-02;46,00;46,15;44,70;44,90;2.758;125.110
2019-08-01;47,00;47,10;46,15;46,40;1.377;64.301
2019-07-31;46,05;47,00;46,05;46,95;2.041;95.213
2019-07-30;47,55;48,35;45,35;46,50;6.861;322.017
2019-07-29;47,95;48,40;47,00;47,55;8.961;427.730
2019-07-26;46,90;47,95;46,15;47,20;4.283;201.021
2019-07-25;46,25;46,75;45,80;46,35;3.758;173.834
2019-07-24;46,05;46,90;45,75;46,00;13.221;611.295
2019-07-23;46,20;46,85;45,75;46,10;3.424;158.350
2019-07-22;45,75;46,20;45,10;45,75;2.476;112.685
2019-07-19;45,25;45,95;45,25;45,30;1.647;75.119
2019-07-18;44,65;45,80;44,15;45,05;10.762;484.204
2019-07-17;44,55;44,80;44,05;44,50;8.009;356.819
2019-07-16;44,00;44,45;43,45;44,20;7.101;311.416
2019-07-15;44,45;44,60;43,70;44,15;3.614;159.557
2019-07-12;44,50;44,80;43,60;44,10;8.474;373.513
2019-07-11;44,05;44,80;44,00;44,55;3.905;173.947
2019-07-10;43,75;44,50;43,60;44,05;7.035;309.932
2019-07-09;43,80;44,20;43,25;43,60;10.326;451.468
2019-07-08;44,15;44,50;43,65;44,05;1.742;76.595
2019-07-05;43,30;43,90;43,00;43,70;3.292;143.249
2019-07-04;42,60;43,50;42,55;43,50;4.094;177.112
2019-07-03;43,30;43,50;41,90;43,50;21.320;910.676
2019-07-02;43,30;43,50;43,00;43,10;1.838;79.594
2019-07-01;42,60;43,30;42,55;43,25;3.248;139.661
