Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;6,15;6,15;5,90;5,90;1.515;9.105
2019-08-13;6,00;6,00;6,00;6,00;549;3.294
2019-08-12;5,90;5,90;5,90;5,90;500;2.950
2019-08-09;5,95;5,95;5,90;5,90;1.300;7.685
2019-08-08;6,00;6,00;5,90;5,90;150;898
2019-08-07;6,10;6,10;5,80;5,80;250;1.495
2019-08-05;5,85;5,85;5,85;5,85;100;585
2019-08-02;6,20;6,30;6,20;6,30;500;3.132
2019-07-31;6,00;6,10;6,00;6,00;3.640;22.054
2019-07-25;5,90;5,90;5,90;5,90;71;419
2019-07-24;6,00;6,00;6,00;6,00;100;600
2019-07-23;6,00;6,00;5,95;5,95;5.770;34.370
2019-07-22;6,15;6,15;6,05;6,05;267;1.640
2019-07-18;6,05;6,05;6,05;6,05;223;1.349
2019-07-15;6,00;6,00;6,00;6,00;333;1.998
2019-07-12;6,00;6,00;6,00;6,00;20;120
2019-07-08;5,90;6,00;5,90;6,00;1.585;9.502
2019-07-05;6,00;6,00;5,90;5,95;720;4.269
2019-07-03;5,85;5,85;5,85;5,85;40;234
2019-07-02;6,05;6,05;6,05;6,05;230;1.392
2019-07-01;5,90;5,90;5,90;5,90;30;177
2019-06-28;6,00;6,00;6,00;6,00;800;4.800
2019-06-27;5,75;6,00;5,75;6,00;690;4.015
2019-06-26;5,80;5,80;5,80;5,80;200;1.160
2019-06-25;5,85;5,85;5,85;5,85;854;4.996
2019-06-24;6,00;6,00;6,00;6,00;150;900
2019-06-21;6,05;6,05;5,90;5,90;311;1.845
2019-06-20;5,85;5,90;5,85;5,90;210;1.234
2019-06-19;5,85;5,85;5,85;5,85;105;614
2019-06-17;5,85;5,85;5,85;5,85;190;1.112
2019-06-13;5,95;5,95;5,95;5,95;40;238
2019-06-12;6,05;6,05;6,00;6,00;1.675;10.058
2019-06-07;5,95;5,95;5,95;5,95;190;1.131
2019-06-06;5,95;5,95;5,95;5,95;1.100;6.545
2019-06-05;5,85;5,85;5,85;5,85;600;3.510
2019-06-04;5,75;5,75;5,70;5,70;3.306;18.922
2019-06-03;5,75;5,75;5,75;5,75;250;1.438
2019-05-31;5,90;6,00;5,80;5,80;812;4.771
2019-05-28;6,00;6,00;6,00;6,00;35;210
2019-05-27;6,00;6,00;6,00;6,00;100;600
2019-05-23;5,90;5,90;5,80;5,80;200;1.170
2019-05-22;5,90;5,90;5,85;5,85;490;2.876
2019-05-21;5,85;5,90;5,85;5,90;1.600;9.410
2019-05-20;6,20;6,20;6,20;6,20;58;360
2019-05-17;5,95;5,95;5,95;5,95;180;1.071
2019-05-14;6,00;6,00;5,90;5,90;170;1.012
2019-05-13;6,05;6,05;6,05;6,05;50;303
2019-05-10;6,10;6,15;6,10;6,10;1.106;6.774
2019-05-07;6,20;6,20;6,20;6,20;400;2.480
2019-05-06;6,25;6,25;6,00;6,00;450;2.738
2019-05-03;6,30;6,30;6,30;6,30;180;1.134
2019-04-30;6,20;6,20;6,20;6,20;2.290;14.198
2019-04-24;6,20;6,20;6,00;6,00;1.125;6.798
