Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,249;0,269;0,201;0,201;3.450;793
2019-08-13;0,232;0,249;0,215;0,215;29.425;6.430
2019-08-12;0,234;0,245;0,234;0,234;3.100;753
2019-08-09;0,266;0,266;0,266;0,266;6.580;1.750
2019-08-08;0,23;0,258;0,23;0,258;11.522;2.778
2019-08-07;0,289;0,289;0,23;0,234;23.375;5.529
2019-08-06;0,231;0,289;0,216;0,289;6.001;1.371
2019-08-05;0,289;0,289;0,262;0,262;16.149;4.247
2019-08-02;0,231;0,263;0,231;0,263;8.966;2.251
2019-08-01;0,256;0,256;0,256;0,256;700;179
2019-07-31;0,231;0,269;0,23;0,23;19.705;4.542
2019-07-29;0,299;0,299;0,299;0,299;501;150
2019-07-26;0,279;0,30;0,279;0,30;5.005;1.397
2019-07-25;0,256;0,256;0,25;0,25;21.400;5.418
2019-07-23;0,299;0,299;0,299;0,299;700;209
2019-07-22;0,22;0,22;0,22;0,22;10.000;2.200
2019-07-19;0,231;0,231;0,231;0,231;100;23
2019-07-18;0,255;0,255;0,227;0,227;8.841;2.181
2019-07-17;0,227;0,227;0,227;0,227;100;23
2019-07-15;0,289;0,29;0,227;0,245;15.554;4.432
2019-07-11;0,269;0,269;0,269;0,269;500;135
2019-07-10;0,262;0,27;0,256;0,256;37.341;9.787
2019-07-09;0,289;0,289;0,28;0,289;17.951;5.098
2019-07-08;0,289;0,289;0,271;0,271;16.720;4.740
2019-07-05;0,29;0,29;0,28;0,289;20.323;5.880
2019-07-04;0,299;0,299;0,299;0,299;3.500;1.047
2019-07-03;0,273;0,299;0,273;0,299;10.942;3.063
2019-07-02;0,299;0,299;0,273;0,273;7.293;2.042
2019-07-01;0,299;0,299;0,299;0,299;500;150
2019-06-28;0,292;0,299;0,29;0,29;12.325;3.586
2019-06-25;0,309;0,309;0,283;0,283;3.506;1.070
2019-06-24;0,289;0,29;0,27;0,29;40.350;11.664
2019-06-20;0,289;0,289;0,289;0,289;2.000;578
2019-06-19;0,289;0,289;0,267;0,289;15.500;4.392
2019-06-18;0,288;0,289;0,288;0,289;10.038;2.897
2019-06-17;0,275;0,289;0,275;0,289;4.140;1.195
2019-06-14;0,289;0,289;0,289;0,289;5.000;1.445
2019-06-13;0,288;0,288;0,279;0,288;17.000;4.874
2019-06-12;0,261;0,261;0,241;0,241;4.600;1.141
2019-06-11;0,265;0,289;0,261;0,288;10.947;2.949
2019-06-10;0,265;0,265;0,265;0,265;1.000;265
2019-06-06;0,226;0,227;0,226;0,227;4.034;915
2019-06-05;0,256;0,27;0,241;0,241;3.050;777
2019-06-04;0,221;0,236;0,221;0,226;7.395;1.705
2019-06-03;0,279;0,279;0,219;0,24;16.954;4.299
2019-05-31;0,27;0,279;0,27;0,279;6.085;1.689
2019-05-29;0,279;0,289;0,279;0,289;151;44
2019-05-28;0,29;0,29;0,289;0,289;964;280
2019-05-23;0,27;0,27;0,27;0,27;5.641;1.523
2019-05-22;0,274;0,282;0,267;0,267;34.051;9.302
2019-05-21;0,278;0,298;0,278;0,298;7.000;2.026
2019-05-20;0,339;0,339;0,293;0,304;30.044;9.159
2019-05-17;0,321;0,349;0,315;0,339;12.184;3.945
2019-05-16;0,344;0,344;0,316;0,316;100;34
2019-05-15;0,335;0,335;0,316;0,332;2.740;878
2019-05-14;0,305;0,33;0,305;0,33;13.000;4.215
2019-05-13;0,331;0,349;0,331;0,349;10.045;3.336
2019-05-10;0,329;0,329;0,329;0,329;300;99
2019-05-09;0,333;0,349;0,333;0,349;12.000;4.060
2019-05-08;0,369;0,369;0,345;0,35;2.650;925
2019-05-07;0,369;0,369;0,346;0,346;3.000;1.084
2019-05-06;0,35;0,35;0,35;0,35;300;105
2019-05-03;0,357;0,357;0,357;0,357;250;89
2019-05-02;0,336;0,365;0,335;0,365;2.266;790
2019-04-30;0,336;0,369;0,336;0,352;1.840;629
2019-04-29;0,35;0,35;0,311;0,311;37.725;12.594
2019-04-26;0,375;0,375;0,354;0,36;23.699;8.582
2019-04-25;0,382;0,392;0,377;0,377;21.000;8.069
2019-04-24;0,36;0,395;0,341;0,395;11.676;4.356
2019-04-23;0,334;0,371;0,33;0,356;32.243;11.185
2019-04-18;0,34;0,349;0,33;0,349;28.542;9.633
2019-04-17;0,314;0,349;0,305;0,331;15.425;5.071
2019-04-16;0,28;0,293;0,273;0,293;9.975;2.800
2019-04-12;0,279;0,279;0,251;0,275;26.764;7.303
2019-04-11;0,278;0,278;0,251;0,265;18.950;5.087
2019-04-10;0,279;0,279;0,258;0,271;2.913;761
2019-04-09;0,24;0,279;0,24;0,259;3.770;948
2019-04-08;0,288;0,288;0,24;0,249;35.050;9.340
2019-04-05;0,286;0,286;0,286;0,286;1.500;429
2019-04-03;0,289;0,289;0,242;0,242;6.184;1.775
2019-04-02;0,289;0,289;0,289;0,289;1.000;289
2019-04-01;0,264;0,27;0,264;0,27;3.310;876
2019-03-29;0,275;0,275;0,275;0,275;2.400;660
2019-03-28;0,247;0,247;0,247;0,247;1.000;247
2019-03-27;0,265;0,289;0,261;0,261;8.997;2.394
2019-03-25;0,251;0,307;0,242;0,307;15.595;3.911
2019-03-22;0,251;0,285;0,251;0,285;5.300;1.500
2019-03-21;0,30;0,30;0,285;0,285;6.220;1.821
2019-03-20;0,268;0,294;0,268;0,294;42.267;11.559
2019-03-19;0,268;0,268;0,268;0,268;200;54
2019-03-18;0,268;0,268;0,268;0,268;9.000;2.412
2019-03-15;0,251;0,251;0,251;0,251;4.000;1.004
2019-03-14;0,257;0,268;0,257;0,268;3.746;965
2019-03-13;0,268;0,268;0,25;0,26;18.993;4.895
2019-03-12;0,248;0,258;0,248;0,258;4.120;1.023
2019-03-11;0,285;0,285;0,25;0,278;17.060;4.662
2019-03-08;0,27;0,27;0,27;0,27;1.300;351
2019-03-07;0,251;0,256;0,25;0,25;4.600;1.174
2019-03-06;0,26;0,26;0,255;0,255;10.010;2.575
2019-03-05;0,242;0,242;0,242;0,242;200;48
2019-03-04;0,242;0,272;0,242;0,254;8.950;2.228
2019-03-01;0,263;0,263;0,254;0,254;11.000;2.848
2019-02-28;0,259;0,272;0,241;0,272;13.395;3.356
2019-02-27;0,241;0,241;0,241;0,241;5.230;1.260
2019-02-26;0,246;0,29;0,241;0,29;18.706;4.795
2019-02-25;0,289;0,289;0,246;0,246;162;44
2019-02-22;0,271;0,271;0,271;0,271;4.075;1.104
2019-02-21;0,275;0,275;0,275;0,275;1.200;330
2019-02-20;0,269;0,269;0,257;0,268;5.800;1.541
2019-02-19;0,263;0,263;0,263;0,263;2;1
2019-02-18;0,279;0,284;0,279;0,284;501;140
2019-02-15;0,262;0,262;0,262;0,262;3.000;786
2019-02-14;0,28;0,287;0,28;0,287;2.960;832
2019-02-13;0,285;0,285;0,285;0,285;5.350;1.525
2019-02-12;0,285;0,285;0,285;0,285;13;4
2019-02-11;0,26;0,295;0,26;0,263;18.454;5.412
2019-02-08;0,252;0,269;0,25;0,269;4.600;1.174
2019-02-07;0,25;0,275;0,241;0,275;6.596;1.670
2019-02-05;0,304;0,304;0,263;0,263;4.600;1.286
2019-02-04;0,30;0,30;0,261;0,261;2.450;679
2019-02-01;0,30;0,315;0,285;0,315;931;267
2019-01-31;0,305;0,317;0,305;0,308;8.375;2.578
2019-01-30;0,315;0,33;0,315;0,33;5.000;1.590
2019-01-29;0,301;0,339;0,30;0,339;17.860;5.687
2019-01-28;0,281;0,367;0,281;0,307;22.169;7.011
2019-01-25;0,281;0,281;0,271;0,274;6.500;1.784
2019-01-24;0,284;0,299;0,28;0,298;7.100;2.070
2019-01-23;0,213;0,314;0,213;0,314;13.045;3.309
2019-01-22;0,315;0,315;0,303;0,303;4.012;1.220
2019-01-21;0,338;0,338;0,295;0,321;10.850;3.332
2019-01-18;0,245;0,329;0,245;0,298;79.962;23.330
2019-01-17;0,245;0,245;0,216;0,223;10.180;2.256
2019-01-16;0,20;0,225;0,20;0,225;34.102;7.320
2019-01-15;0,235;0,24;0,19;0,19;35.898;7.706
2019-01-14;0,222;0,249;0,222;0,249;9.465;2.230
2019-01-11;0,244;0,252;0,236;0,252;15.200;3.678
2019-01-10;0,223;0,23;0,223;0,23;23.400;5.346
2019-01-09;0,222;0,222;0,222;0,222;5.000;1.110
2019-01-08;0,267;0,267;0,245;0,254;6.450;1.600
2019-01-07;0,251;0,251;0,236;0,236;5.370;1.345
2019-01-04;0,241;0,242;0,241;0,242;15.550;3.753
2019-01-03;0,246;0,264;0,218;0,264;3.805;935
2019-01-02;0,263;0,263;0,249;0,249;301;79
2018-12-28;0,221;0,239;0,209;0,21;37.850;8.098
2018-12-27;0,24;0,24;0,211;0,22;57.397;12.901
2018-12-21;0,224;0,244;0,224;0,23;17.969;4.128
2018-12-20;0,237;0,237;0,225;0,225;2.100;491
2018-12-19;0,25;0,25;0,223;0,225;2.850;642
2018-12-18;0,27;0,27;0,224;0,224;8.600;2.146
2018-12-17;0,26;0,27;0,243;0,25;96.335;24.494
2018-12-14;0,224;0,26;0,224;0,235;69.785;17.251
2018-12-13;0,226;0,248;0,226;0,248;14.800;3.397
2018-12-12;0,23;0,231;0,211;0,231;15.379;3.497
2018-12-11;0,24;0,24;0,20;0,211;89.234;18.583
2018-12-10;0,238;0,238;0,216;0,225;31.425;6.907
2018-12-07;0,23;0,23;0,216;0,225;23.000;5.105
2018-12-06;0,231;0,244;0,216;0,23;54.558;12.485
2018-12-05;0,213;0,251;0,213;0,251;60.948;14.232
2018-12-04;0,26;0,26;0,211;0,239;98.006;22.380
2018-12-03;0,239;0,29;0,238;0,25;46.560;11.525
2018-11-30;0,249;0,265;0,245;0,265;46.600;11.702
2018-11-29;0,265;0,265;0,241;0,241;32.500;8.042
2018-11-28;0,232;0,269;0,232;0,265;35.303;8.900
2018-11-27;0,251;0,279;0,229;0,229;32.865;8.164
2018-11-26;0,321;0,321;0,251;0,269;51.444;14.199
2018-11-23;0,29;0,295;0,289;0,289;10.000;2.905
2018-11-22;0,267;0,271;0,267;0,271;3.750;1.012
2018-11-21;0,30;0,309;0,263;0,275;38.145;11.074
2018-11-20;0,295;0,328;0,295;0,324;23.003;6.940
2018-11-19;0,306;0,35;0,301;0,315;57.815;17.725
2018-11-16;0,307;0,355;0,307;0,33;11.800;3.957
2018-11-15;0,346;0,346;0,342;0,342;9.000;3.098
2018-11-14;0,34;0,34;0,336;0,336;3.350;1.138
2018-11-13;0,381;0,412;0,381;0,412;5.828;2.303
2018-11-12;0,341;0,379;0,341;0,355;5.290;1.895
2018-11-09;0,341;0,341;0,341;0,341;3.000;1.023
2018-11-08;0,364;0,382;0,351;0,351;17.806;6.464
2018-11-07;0,365;0,395;0,36;0,381;32.123;12.076
2018-11-06;0,402;0,402;0,37;0,38;3.025;1.152
2018-11-05;0,39;0,392;0,39;0,392;3.390;1.328
2018-11-01;0,337;0,378;0,337;0,378;12.270;4.619
2018-10-31;0,377;0,377;0,374;0,374;8.820;3.312
2018-10-30;0,308;0,375;0,308;0,369;13.419;4.515
2018-10-29;0,37;0,377;0,358;0,377;1.470;528
2018-10-26;0,35;0,373;0,334;0,373;5.330;1.926
2018-10-25;0,361;0,377;0,361;0,363;6.715;2.462
2018-10-24;0,346;0,377;0,346;0,377;21.675;8.033
2018-10-23;0,40;0,40;0,348;0,363;26.798;9.633
2018-10-22;0,44;0,44;0,418;0,418;18.967;8.046
2018-10-19;0,394;0,419;0,394;0,419;9.000;3.673
2018-10-18;0,40;0,40;0,40;0,40;9.001;3.600
2018-10-17;0,427;0,437;0,401;0,407;9.233;3.866
2018-10-16;0,425;0,431;0,40;0,414;21.952;9.300
2018-10-15;0,45;0,45;0,407;0,407;1.001;450
2018-10-12;0,461;0,461;0,44;0,44;6.312;2.836
2018-10-11;0,431;0,448;0,402;0,429;29.738;12.587
2018-10-10;0,482;0,482;0,41;0,41;33.070;14.541
2018-10-09;0,506;0,514;0,482;0,514;4.780;2.353
2018-10-08;0,502;0,502;0,49;0,49;13.575;6.752
2018-10-05;0,52;0,52;0,508;0,508;1.500;768
2018-10-03;0,538;0,538;0,538;0,538;18;10
2018-10-02;0,54;0,54;0,506;0,506;14.100;7.412
2018-10-01;0,536;0,55;0,502;0,502;16.150;8.764
2018-09-28;0,51;0,528;0,51;0,528;1.600;825
2018-09-27;0,53;0,53;0,51;0,51;2.100;1.076
2018-09-26;0,492;0,552;0,49;0,55;157.545;85.371
2018-09-25;0,486;0,502;0,486;0,502;15.000;7.392
2018-09-24;0,49;0,498;0,481;0,498;7.950;3.909
2018-09-20;0,499;0,51;0,499;0,51;16.000;8.076
2018-09-19;0,52;0,52;0,50;0,50;3.350;1.732
2018-09-18;0,492;0,492;0,49;0,49;4.400;2.161
2018-09-14;0,508;0,508;0,508;0,508;1.000;508
2018-09-13;0,491;0,491;0,489;0,489;2.450;1.203
2018-09-12;0,516;0,516;0,516;0,516;5.000;2.580
2018-09-10;0,50;0,50;0,50;0,50;6.000;3.000
2018-09-07;0,502;0,51;0,502;0,51;1.023;514
2018-09-06;0,518;0,518;0,502;0,502;9.062;4.643
2018-09-05;0,52;0,538;0,508;0,508;7.200;3.759
2018-09-04;0,512;0,536;0,508;0,536;230;119
2018-09-03;0,499;0,51;0,466;0,51;25.550;12.625
2018-08-31;0,481;0,489;0,481;0,485;19.000;9.175
2018-08-30;0,47;0,487;0,469;0,469;13.275;6.258
2018-08-29;0,48;0,499;0,47;0,495;8.595;4.099
2018-08-28;0,493;0,493;0,493;0,493;1.500;740
2018-08-27;0,481;0,481;0,481;0,481;550;265
2018-08-24;0,494;0,495;0,481;0,495;3.650;1.768
2018-08-23;0,481;0,481;0,481;0,481;12.500;6.013
2018-08-22;0,499;0,499;0,497;0,497;1.402;698
2018-08-21;0,52;0,52;0,477;0,489;33.950;16.512
2018-08-20;0,489;0,494;0,484;0,484;11.550;5.644
2018-08-17;0,491;0,518;0,491;0,518;6.180;3.035
2018-08-16;0,491;0,491;0,481;0,481;5.425;2.643
2018-08-15;0,532;0,532;0,502;0,502;8.816;4.576
2018-08-14;0,504;0,504;0,504;0,504;1.615;814
2018-08-13;0,50;0,51;0,49;0,51;6.998;3.517
2018-08-10;0,526;0,526;0,502;0,514;7.580;3.893
2018-08-09;0,52;0,52;0,52;0,52;2.000;1.040
2018-08-08;0,508;0,524;0,508;0,524;1.344;695
2018-08-07;0,502;0,502;0,502;0,502;17;9
2018-08-02;0,542;0,558;0,542;0,544;28.200;15.490
2018-08-01;0,534;0,58;0,534;0,542;33.730;18.666
2018-07-31;0,53;0,542;0,528;0,536;68.050;36.583
2018-07-30;0,51;0,51;0,51;0,51;572;292
2018-07-27;0,508;0,508;0,508;0,508;2.175;1.105
2018-07-26;0,51;0,51;0,502;0,502;9.250;4.702
2018-07-25;0,518;0,554;0,502;0,554;19.100;9.939
2018-07-24;0,528;0,528;0,528;0,528;3.393;1.792
2018-07-23;0,53;0,53;0,51;0,51;2.450;1.287
2018-07-20;0,524;0,524;0,506;0,506;10.500;5.430
2018-07-19;0,516;0,518;0,502;0,512;19.351;9.924
2018-07-18;0,50;0,524;0,497;0,524;27.149;13.548
2018-07-17;0,512;0,528;0,50;0,528;16.100;8.207
2018-07-16;0,528;0,528;0,506;0,506;7.250;3.709
2018-07-13;0,53;0,532;0,522;0,53;14.270;7.539
2018-07-12;0,53;0,53;0,53;0,53;2.000;1.060
2018-07-11;0,532;0,538;0,512;0,53;15.500;8.194
2018-07-10;0,55;0,556;0,542;0,542;3.240;1.775
2018-07-09;0,588;0,588;0,54;0,54;7.843;4.318
2018-07-06;0,566;0,566;0,53;0,53;10.600;5.924
2018-07-05;0,59;0,59;0,566;0,566;8.800;5.046
2018-07-04;0,522;0,558;0,522;0,558;2.932;1.600
2018-07-03;0,56;0,584;0,516;0,54;63.349;35.390
2018-07-02;0,53;0,61;0,528;0,598;67.065;38.953
2018-06-29;0,538;0,538;0,504;0,504;23.300;11.914
2018-06-28;0,524;0,524;0,50;0,50;11.470;5.794
2018-06-27;0,46;0,512;0,46;0,502;28.630;13.695
2018-06-26;0,49;0,516;0,417;0,489;25.198;12.214
2018-06-25;0,52;0,53;0,50;0,50;17.300;8.803
2018-06-22;0,522;0,522;0,522;0,522;2.600;1.357
2018-06-21;0,514;0,526;0,514;0,524;28.467;14.930
2018-06-20;0,53;0,53;0,524;0,524;13.065;6.877
2018-06-19;0,528;0,542;0,528;0,542;5.050;2.697
2018-06-18;0,532;0,546;0,52;0,546;33.851;17.836
2018-06-15;0,55;0,55;0,524;0,524;21.078;11.311
2018-06-14;0,566;0,566;0,566;0,566;1.500;849
2018-06-13;0,568;0,568;0,55;0,55;2.449;1.355
2018-06-12;0,55;0,55;0,538;0,538;3.100;1.686
2018-06-11;0,572;0,578;0,548;0,578;9.300;5.156
2018-06-08;0,552;0,562;0,548;0,552;28.709;15.999
2018-06-06;0,59;0,59;0,558;0,558;3.500;1.997
2018-06-05;0,588;0,588;0,568;0,568;2.930;1.687
2018-06-04;0,556;0,558;0,556;0,558;2.800;1.561
2018-06-01;0,54;0,562;0,526;0,558;65.194;35.883
2018-05-31;0,53;0,53;0,522;0,528;8.520;4.474
2018-05-30;0,548;0,55;0,522;0,55;9.907;5.209
2018-05-29;0,538;0,538;0,522;0,522;70.495;37.319
2018-05-28;0,532;0,55;0,528;0,528;22.599;12.042
2018-05-25;0,556;0,556;0,556;0,556;400;222
2018-05-24;0,53;0,542;0,522;0,542;10.500;5.604
2018-05-23;0,52;0,528;0,52;0,528;16.316;8.492
2018-05-22;0,548;0,548;0,514;0,514;7.849;4.064
2018-05-21;0,522;0,522;0,522;0,522;1.350;705
2018-05-18;0,538;0,548;0,52;0,526;17.420;9.326
