Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-10-26;1,32;1,32;1,32;1,32;0;0
2011-10-25;1,32;1,32;1,32;1,32;0;0
2011-10-24;1,32;1,32;1,32;1,32;0;0
2011-10-21;1,32;1,32;1,32;1,32;0;0
2011-10-20;1,32;1,32;1,32;1,32;0;0
2011-10-19;1,32;1,32;1,32;1,32;0;0
2011-10-18;1,32;1,32;1,32;1,32;0;0
2011-10-17;1,32;1,32;1,32;1,32;0;0
2011-10-14;1,35;1,35;1,32;1,35;1.200;1.620
2011-10-13;1,32;1,32;1,32;1,32;0;0
2011-10-12;1,32;1,32;1,32;1,32;0;0
2011-10-11;1,32;1,32;1,32;1,32;0;0
2011-10-10;1,32;1,32;1,32;1,32;0;0
2011-10-07;1,32;1,32;1,32;1,32;0;0
2011-10-06;1,302;1,302;1,302;1,302;0;0
2011-10-05;1,302;1,302;1,302;1,302;0;0
2011-10-04;1,301;1,301;1,301;1,301;0;0
2011-10-03;1,301;1,301;1,301;1,301;0;0
2011-09-30;1,31;1,31;1,31;1,31;0;0
2011-09-29;1,31;1,31;1,31;1,31;0;0
2011-09-28;1,31;1,31;1,31;1,31;0;0
2011-09-27;1,31;1,31;1,31;1,31;0;0
2011-09-26;1,31;1,31;1,31;1,31;0;0
2011-09-23;1,31;1,31;1,31;1,31;0;0
2011-09-22;1,31;1,31;1,31;1,31;0;0
2011-09-21;1,333;1,333;1,333;1,333;0;0
2011-09-20;1,333;1,333;1,333;1,333;0;0
2011-09-19;1,333;1,333;1,333;1,333;0;0
2011-09-16;1,333;1,333;1,333;1,333;0;0
2011-09-15;1,333;1,333;1,333;1,333;0;0
2011-09-14;1,333;1,333;1,333;1,333;0;0
2011-09-13;1,31;1,31;1,31;1,31;0;0
2011-09-12;1,34;1,34;1,31;1,34;100;134
2011-09-09;1,31;1,31;1,31;1,31;0;0
2011-09-08;1,31;1,31;1,31;1,31;0;0
2011-09-07;1,30;1,30;1,30;1,30;0;0
2011-09-06;1,30;1,30;1,30;1,30;0;0
2011-09-05;1,32;1,32;1,32;1,32;0;0
2011-09-02;1,275;1,275;1,275;1,275;0;0
2011-09-01;1,246;1,246;1,246;1,246;0;0
2011-08-31;1,31;1,31;1,31;1,31;0;0
2011-08-30;1,301;1,301;1,301;1,301;0;0
2011-08-29;1,301;1,301;1,301;1,301;0;0
2011-08-26;1,30;1,30;1,30;1,30;0;0
2011-08-25;1,30;1,30;1,30;1,30;0;0
2011-08-24;1,30;1,30;1,30;1,30;0;0
2011-08-23;1,30;1,30;1,30;1,30;0;0
2011-08-22;1,30;1,30;1,30;1,30;0;0
2011-08-18;1,30;1,30;1,30;1,30;0;0
2011-08-17;1,25;1,25;1,25;1,25;0;0
2011-08-16;1,25;1,25;1,25;1,25;0;0
2011-08-15;1,25;1,25;1,25;1,25;0;0
2011-08-12;1,35;1,35;1,35;1,35;0;0
2011-08-11;1,35;1,35;1,35;1,35;0;0
2011-08-10;1,35;1,35;1,35;1,35;0;0
2011-08-09;1,35;1,35;1,35;1,35;0;0
2011-08-08;1,241;1,241;1,241;1,241;0;0
2011-08-05;1,36;1,36;1,36;1,36;0;0
2011-08-04;1,325;1,325;1,325;1,325;0;0
2011-08-03;1,33;1,33;1,33;1,33;0;0
2011-08-02;1,268;1,268;1,268;1,268;0;0
2011-08-01;1,27;1,27;1,27;1,27;0;0
2011-07-29;1,291;1,291;1,291;1,291;0;0
2011-07-28;1,329;1,329;1,329;1,329;0;0
2011-07-27;1,33;1,33;1,33;1,33;0;0
2011-07-26;1,327;1,327;1,327;1,327;0;0
2011-07-25;1,272;1,272;1,272;1,272;0;0
2011-07-22;1,367;1,367;1,367;1,367;0;0
2011-07-21;1,226;1,226;1,226;1,226;0;0
2011-07-20;1,147;1,147;1,147;1,147;0;0
2011-07-19;1,16;1,16;1,16;1,16;0;0
2011-07-18;1,147;1,147;1,147;1,147;0;0
2011-07-15;1,101;1,101;1,101;1,101;0;0
2011-07-14;1,101;1,101;1,101;1,101;0;0
2011-07-13;1,086;1,086;1,086;1,086;0;0
2011-07-12;1,14;1,14;1,14;1,14;0;0
