Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;33,00;33,00;31,80;32,00;5.745;184.582
2019-08-13;33,40;33,50;32,50;32,80;1.470;48.543
2019-08-12;33,50;33,80;33,30;33,50;1.013;33.905
2019-08-09;33,50;33,90;33,40;33,50;2.893;97.525
2019-08-08;32,30;33,90;32,20;33,40;7.749;253.410
2019-08-07;32,10;33,10;32,00;32,00;6.912;223.566
2019-08-06;31,30;32,30;31,20;31,70;4.781;151.931
2019-08-05;31,00;32,10;31,00;31,50;2.712;84.854
2019-08-02;31,00;31,50;31,00;31,00;3.429;106.435
2019-08-01;32,50;32,50;30,50;31,20;12.023;374.763
2019-07-31;32,80;33,10;32,00;32,60;1.885;61.540
2019-07-30;33,00;33,30;32,80;32,80;1.592;52.530
2019-07-29;33,20;33,60;33,20;33,20;1.361;45.424
2019-07-26;33,30;33,40;33,00;33,20;2.626;86.955
2019-07-25;33,20;33,70;33,00;33,70;6.001;198.400
2019-07-24;34,00;34,60;33,20;33,60;580;19.658
2019-07-23;34,90;35,50;33,10;34,10;11.358;385.871
2019-07-22;36,00;36,00;34,80;34,80;1.106;39.149
2019-07-19;35,50;35,80;35,50;35,80;666;23.773
2019-07-18;34,50;35,60;34,20;35,40;4.577;158.494
2019-07-17;35,20;35,70;34,80;34,90;5.976;209.212
2019-07-16;36,50;36,50;35,00;35,30;2.219;78.900
2019-07-15;36,30;36,50;35,90;36,20;1.452;52.534
2019-07-12;36,40;36,40;36,00;36,30;1.272;45.978
2019-07-11;35,60;37,00;35,60;36,20;10.805;388.257
2019-07-10;35,00;35,50;35,00;35,10;1.768;62.180
2019-07-09;35,50;35,60;35,00;35,10;2.417;85.424
2019-07-08;35,70;35,90;35,50;35,70;1.108;39.422
2019-07-05;35,90;36,00;35,60;35,70;1.297;46.629
2019-07-04;36,40;36,50;35,50;35,60;10.408;375.363
2019-07-03;36,50;36,50;35,80;36,40;3.456;124.952
2019-07-02;36,20;36,40;35,70;36,30;1.851;66.939
2019-07-01;35,50;36,40;35,50;36,00;3.434;124.126
2019-06-28;34,80;35,30;34,50;35,00;6.574;229.959
