Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-04-26;0,11;0,11;0,055;0,055;1.000;55
2011-04-21;0,145;0,149;0,121;0,121;17.033;2.061
2011-04-20;0,14;0,16;0,14;0,14;10;1
2011-04-19;0,20;0,20;0,20;0,20;0;0
2011-04-18;0,22;0,22;0,22;0,22;0;0
2011-04-15;0,22;0,22;0,22;0,22;0;0
2011-04-14;0,245;0,245;0,22;0,245;812;199
2011-04-13;0,231;0,231;0,231;0,231;0;0
2011-04-12;0,23;0,23;0,23;0,23;0;0
2011-04-11;0,225;0,225;0,225;0,225;0;0
2011-04-08;0,22;0,22;0,22;0,22;0;0
2011-04-07;0,22;0,22;0,22;0,22;0;0
2011-04-06;0,23;0,23;0,23;0,23;0;0
2011-04-05;0,23;0,23;0,23;0,23;0;0
2011-04-04;0,23;0,24;0,23;0,24;5.000;1.200
2011-04-01;0,22;0,22;0,22;0,22;0;0
2011-03-31;0,22;0,22;0,22;0,22;0;0
2011-03-30;0,22;0,22;0,22;0,22;0;0
2011-03-29;0,225;0,225;0,225;0,225;0;0
2011-03-28;0,221;0,221;0,221;0,221;0;0
2011-03-25;0,22;0,22;0,22;0,22;0;0
2011-03-24;0,23;0,23;0,23;0,23;0;0
2011-03-23;0,23;0,23;0,23;0,23;0;0
2011-03-22;0,23;0,23;0,23;0,23;517;119
2011-03-21;0,231;0,231;0,231;0,231;0;0
2011-03-18;0,231;0,231;0,231;0,231;0;0
2011-03-17;0,23;0,23;0,23;0,23;0;0
2011-03-16;0,23;0,23;0,23;0,23;0;0
2011-03-15;0,26;0,26;0,257;0,257;200;51
2011-03-14;0,25;0,25;0,25;0,25;0;0
2011-03-11;0,26;0,26;0,26;0,26;0;0
2011-03-10;0,28;0,28;0,28;0,28;0;0
2011-03-09;0,29;0,29;0,29;0,29;12;3
2011-03-08;0,29;0,29;0,29;0,29;0;0
2011-03-07;0,30;0,30;0,29;0,29;11;3
2011-03-04;0,28;0,28;0,28;0,28;0;0
2011-03-03;0,279;0,28;0,279;0,279;2.099;586
2011-03-02;0,30;0,30;0,30;0,30;0;0
2011-03-01;0,30;0,30;0,30;0,30;0;0
2011-02-28;0,30;0,336;0,30;0,336;5.840;1.962
2011-02-25;0,30;0,30;0,30;0,30;0;0
2011-02-24;0,30;0,30;0,30;0,30;9.950;2.985
2011-02-23;0,301;0,301;0,30;0,30;8.550;2.565
2011-02-22;0,28;0,281;0,28;0,281;37;10
2011-02-21;0,30;0,30;0,30;0,30;3.000;900
2011-02-18;0,31;0,31;0,31;0,31;0;0
2011-02-17;0,30;0,30;0,30;0,30;0;0
2011-02-16;0,29;0,29;0,29;0,29;0;0
2011-02-15;0,34;0,34;0,34;0,34;0;0
2011-02-14;0,34;0,34;0,34;0,34;5.000;1.700
2011-02-11;0,34;0,34;0,34;0,34;0;0
2011-02-10;0,35;0,36;0,35;0,36;950;342
2011-02-09;0,35;0,35;0,35;0,35;0;0
2011-02-08;0,36;0,37;0,36;0,36;162;58
2011-02-07;0,37;0,38;0,37;0,38;5.000;1.900
2011-02-04;0,37;0,37;0,37;0,37;0;0
2011-02-03;0,37;0,38;0,368;0,368;514;189
2011-02-02;0,40;0,40;0,386;0,39;6.000;2.340
2011-02-01;0,60;0,60;0,451;0,451;30.994;13.978
2011-01-31;0,439;0,52;0,439;0,52;23.000;11.960
2011-01-28;0,34;0,46;0,34;0,405;11.360;4.601
2011-01-27;0,34;0,34;0,34;0,34;0;0
2011-01-26;0,34;0,34;0,34;0,34;0;0
2011-01-25;0,34;0,34;0,34;0,34;0;0
2011-01-24;0,34;0,34;0,34;0,34;0;0
2011-01-21;0,34;0,34;0,34;0,34;0;0
2011-01-20;0,34;0,34;0,34;0,34;7;2
2011-01-19;0,33;0,33;0,33;0,33;0;0
2011-01-18;0,33;0,33;0,33;0,33;0;0
2011-01-17;0,33;0,33;0,33;0,33;0;0
2011-01-14;0,33;0,33;0,33;0,33;0;0
2011-01-13;0,33;0,33;0,33;0,33;0;0
2011-01-12;0,34;0,34;0,34;0,34;0;0
2011-01-11;0,34;0,34;0,34;0,34;0;0
2011-01-10;0,34;0,34;0,34;0,34;0;0
2011-01-07;0,34;0,34;0,34;0,34;0;0
2011-01-06;0,34;0,374;0,34;0,374;7.330;2.741
2011-01-05;0,34;0,34;0,34;0,34;0;0
2011-01-04;0,34;0,345;0,34;0,345;300;104
2011-01-03;0,30;0,30;0,30;0,30;0;0
