Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2008-10-08;18,00;18,00;18,00;17,25;0;0
2008-10-07;18,50;18,50;18,00;17,50;0;0
2008-10-06;19,50;19,50;17,50;17,25;0;0
2008-10-05;20,00;20,00;19,50;18,75;0;0
2008-10-04;20,00;20,00;20,00;19,50;0;0
2008-10-03;20,50;20,50;20,00;19,50;0;0
2008-10-02;19,50;21,50;19,25;19,50;0;0
2008-10-01;19,00;19,50;19,00;18,75;0;0
2008-09-30;18,00;18,75;18,00;17,75;0;0
2008-09-29;17,00;18,20;15,50;17,20;0;0
2008-09-22;25,00;25,00;25,00;20,00;0;0
2008-09-18;25,00;25,00;25,00;20,00;0;0





