Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2013-01-09;0,40;0,40;0,40;0,40;0;0
2013-01-08;0,05;0,05;0,05;0,05;0;0
2013-01-07;0,10;0,10;0,10;0,10;0;0
2013-01-04;0,10;0,10;0,10;0,10;0;0
2013-01-03;0,10;0,10;0,10;0,10;0;0
2013-01-02;0,10;0,10;0,10;0,10;0;0
2012-12-28;0,10;0,10;0,10;0,10;0;0
2012-12-27;0,15;0,15;0,10;0,10;25;3
2012-12-21;0,15;0,15;0,15;0,15;12;2
2012-12-20;0,15;0,15;0,15;0,15;1.000;150
2012-12-19;0,15;0,15;0,15;0,15;0;0
2012-12-18;0,15;0,15;0,15;0,15;0;0
2012-12-17;0,15;0,15;0,15;0,15;0;0
2012-12-14;0,20;0,20;0,20;0,20;0;0
2012-12-13;0,20;0,20;0,20;0,20;0;0
2012-12-12;0,20;0,20;0,20;0,20;1.000;200
2012-12-11;0,20;0,20;0,20;0,20;0;0
2012-12-10;0,20;0,201;0,20;0,201;25;5
2012-12-07;0,20;0,20;0,20;0,20;0;0
2012-12-06;0,20;0,20;0,20;0,20;0;0
2012-12-05;0,21;0,21;0,21;0,21;0;0
2012-12-04;0,21;0,21;0,21;0,21;0;0
2012-12-03;0,21;0,21;0,21;0,21;0;0
2012-11-30;0,21;0,21;0,21;0,21;0;0
2012-11-29;0,21;0,21;0,21;0,21;0;0
2012-11-28;0,20;0,20;0,20;0,20;0;0
2012-11-27;0,20;0,202;0,20;0,202;80;16
2012-11-26;0,20;0,20;0,20;0,20;0;0
2012-11-23;0,20;0,20;0,20;0,20;0;0
2012-11-22;0,20;0,20;0,20;0,20;0;0
2012-11-21;0,28;0,28;0,28;0,28;0;0
2012-11-20;0,287;0,287;0,287;0,287;0;0
2012-11-19;0,29;0,29;0,29;0,29;0;0
2012-11-16;0,218;0,218;0,218;0,218;0;0
2012-11-15;0,218;0,218;0,218;0,218;0;0
2012-11-14;0,218;0,218;0,218;0,218;0;0
2012-11-13;0,218;0,218;0,218;0,218;0;0
2012-11-12;0,218;0,218;0,218;0,218;0;0
2012-11-09;0,218;0,218;0,218;0,218;0;0
2012-11-08;0,218;0,218;0,218;0,218;0;0
2012-11-07;0,218;0,218;0,218;0,218;0;0
2012-11-06;0,238;0,238;0,238;0,238;0;0
2012-11-05;0,217;0,217;0,217;0,217;0;0
2012-11-02;0,21;0,21;0,21;0,21;0;0
2012-11-01;0,209;0,209;0,209;0,209;0;0
2012-10-31;0,208;0,208;0,208;0,208;0;0
2012-10-30;0,21;0,21;0,21;0,21;0;0
2012-10-29;0,209;0,209;0,209;0,209;0;0
2012-10-26;0,30;0,30;0,208;0,208;2;0
2012-10-25;0,36;0,36;0,36;0,36;0;0
2012-10-24;0,36;0,36;0,36;0,36;0;0
2012-10-23;0,36;0,36;0,36;0,36;0;0
2012-10-22;0,36;0,36;0,36;0,36;0;0
2012-10-19;0,20;0,36;0,20;0,36;1.000;360
2012-10-18;0,297;0,297;0,297;0,297;0;0
2012-10-17;0,297;0,297;0,297;0,297;0;0
2012-10-16;0,297;0,297;0,297;0,297;0;0
2012-10-15;0,29;0,29;0,29;0,29;0;0
2012-10-12;0,297;0,297;0,297;0,297;0;0
2012-10-11;0,297;0,297;0,297;0,297;0;0
2012-10-10;0,297;0,297;0,297;0,297;0;0
2012-10-09;0,29;0,29;0,29;0,29;0;0
2012-10-08;0,20;0,20;0,20;0,20;0;0
2012-10-05;0,20;0,20;0,20;0,20;0;0
2012-10-04;0,297;0,297;0,297;0,297;0;0
2012-10-03;0,297;0,297;0,297;0,297;0;0
2012-10-02;0,297;0,297;0,297;0,297;0;0
2012-10-01;0,297;0,297;0,297;0,297;0;0
2012-09-28;0,29;0,29;0,29;0,29;0;0
2012-09-27;0,212;0,212;0,212;0,212;0;0
2012-09-26;0,212;0,212;0,212;0,212;0;0
2012-09-25;0,211;0,211;0,211;0,211;0;0
2012-09-24;0,21;0,21;0,21;0,21;0;0
2012-09-21;0,20;0,20;0,20;0,20;0;0
2012-09-20;0,21;0,21;0,21;0,21;0;0
2012-09-19;0,209;0,209;0,209;0,209;0;0
2012-09-18;0,208;0,208;0,208;0,208;0;0
2012-09-17;0,20;0,20;0,20;0,20;0;0
2012-09-14;0,29;0,29;0,29;0,29;0;0
2012-09-13;0,297;0,297;0,297;0,297;0;0
2012-09-12;0,297;0,297;0,297;0,297;0;0
2012-09-11;0,297;0,297;0,297;0,297;0;0
2012-09-10;0,297;0,297;0,297;0,297;0;0
2012-09-07;0,29;0,29;0,29;0,29;0;0
2012-09-06;0,30;0,30;0,30;0,30;0;0
2012-09-05;0,20;0,20;0,20;0,20;0;0
2012-09-04;0,20;0,20;0,20;0,20;0;0
2012-09-03;0,273;0,273;0,273;0,273;0;0
2012-08-31;0,273;0,273;0,273;0,273;0;0
2012-08-30;0,273;0,273;0,273;0,273;0;0
2012-08-29;0,297;0,297;0,297;0,297;0;0
2012-08-28;0,297;0,297;0,297;0,297;0;0
2012-08-27;0,297;0,297;0,297;0,297;0;0
2012-08-24;0,297;0,297;0,297;0,297;0;0
2012-08-23;0,251;0,251;0,251;0,251;0;0
2012-08-22;0,254;0,254;0,254;0,254;0;0
2012-08-21;0,27;0,27;0,27;0,27;0;0
2012-08-20;0,27;0,27;0,257;0,257;12;3
2012-08-17;0,27;0,27;0,27;0,27;0;0
2012-08-16;0,27;0,27;0,27;0,27;0;0
2012-08-15;0,28;0,28;0,28;0,28;0;0
2012-08-14;0,30;0,30;0,30;0,30;0;0
2012-08-13;0,28;0,28;0,28;0,28;0;0
