Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;12,35;12,35;12,00;12,00;5.818;71.081
2019-08-13;11,75;12,20;11,75;12,20;3.997;47.796
2019-08-12;12,55;12,55;11,75;11,75;13.528;165.245
2019-08-09;12,40;12,45;12,35;12,40;3.807;47.099
2019-08-08;12,40;12,65;12,40;12,50;3.312;41.473
2019-08-07;12,05;12,25;12,05;12,25;3.603;43.931
2019-08-06;11,45;12,25;11,45;11,95;5.632;67.502
2019-08-05;12,10;12,35;11,30;11,35;15.673;186.072
2019-08-02;12,20;12,35;12,20;12,20;2.031;25.022
2019-08-01;12,45;12,45;12,25;12,25;2.895;35.893
2019-07-31;12,35;12,45;12,30;12,30;2.443;30.056
2019-07-30;12,50;12,50;12,30;12,30;1.574;19.519
2019-07-29;12,30;12,55;12,30;12,55;982;12.221
2019-07-26;12,55;12,55;12,30;12,30;2.057;25.626
2019-07-25;12,85;12,85;12,30;12,40;9.158;114.607
2019-07-24;12,95;13,00;12,75;12,80;4.150;53.213
2019-07-23;12,95;12,95;12,90;12,90;1.025;13.274
2019-07-22;13,30;13,30;12,90;12,90;2.697;35.374
2019-07-19;13,00;13,50;12,85;13,25;29.086;384.457
2019-07-18;13,10;13,35;12,90;13,05;9.619;126.689
2019-07-17;13,80;13,90;13,25;13,25;5.863;79.031
2019-07-16;13,25;13,75;13,25;13,70;1.489;20.109
2019-07-15;13,25;13,35;13,25;13,30;11;146
2019-07-12;13,15;13,45;13,10;13,10;4.318;57.430
2019-07-11;13,15;13,15;12,95;13,00;1.722;22.446
2019-07-10;13,10;13,20;13,10;13,20;795;10.453
2019-07-09;13,10;13,10;12,95;12,95;628;8.180
2019-07-08;13,00;13,15;13,00;13,10;825;10.801
2019-07-05;13,65;13,65;13,00;13,05;10.177;136.195
2019-07-04;13,30;13,70;13,25;13,65;5.251;70.545
2019-07-03;13,00;13,25;12,90;13,15;14.189;183.853
2019-07-02;13,30;13,30;12,95;12,95;3.100;40.760
2019-07-01;12,75;13,20;12,75;13,15;2.586;33.337
2019-06-28;12,80;12,95;12,35;12,65;11.030;139.330
2019-06-27;12,90;13,05;12,80;12,80;6.900;89.160
2019-06-26;13,30;13,30;12,80;12,80;4.753;62.133
2019-06-25;13,50;13,55;13,15;13,15;11.506;153.331
2019-06-24;13,90;13,95;13,50;13,60;4.000;55.242
2019-06-21;13,65;14,00;13,65;13,75;3.946;54.378
2019-06-20;13,70;13,85;13,70;13,75;2.025;27.746
2019-06-19;13,75;14,10;13,75;14,05;7.543;105.068
2019-06-18;13,55;13,75;13,50;13,65;5.283;71.977
2019-06-17;13,80;13,85;13,75;13,75;992;13.693
2019-06-14;14,25;14,25;14,00;14,00;758;10.688
2019-06-13;14,50;14,50;14,40;14,40;20;290
2019-06-12;14,50;14,70;14,40;14,40;1.396;20.307
2019-06-11;14,10;14,40;14,10;14,40;1.409;20.058
2019-06-07;13,80;14,05;13,75;13,95;5.866;81.631
2019-06-06;13,15;14,40;13,15;14,00;17.012;236.346
2019-06-05;13,10;13,15;13,10;13,10;8.270;108.505
2019-06-04;12,40;13,10;12,40;12,95;11.121;141.022
2019-06-03;12,70;12,85;12,35;12,35;4.598;57.931
2019-05-31;12,60;12,70;12,00;12,70;21.809;269.722
2019-05-30;12,80;12,80;12,70;12,70;3.811;48.731
2019-05-29;12,70;12,70;12,65;12,65;58;737
2019-05-28;12,75;12,75;12,70;12,70;300;3.825
2019-05-27;12,90;12,90;12,55;12,70;3.286;41.669
2019-05-24;13,05;13,05;13,00;13,00;207;2.701
2019-05-23;13,10;13,10;12,90;12,95;2.305;30.011
2019-05-22;13,40;13,50;13,25;13,25;1.868;24.941
2019-05-21;13,30;13,80;13,30;13,60;6.277;85.435
2019-05-20;13,05;13,20;13,05;13,15;1.400;18.413
2019-05-17;13,20;13,40;12,85;13,00;5.281;69.325
2019-05-16;13,10;13,10;13,05;13,05;120;1.572
2019-05-15;13,40;13,40;13,05;13,10;3.248;42.461
2019-05-14;13,55;13,55;13,40;13,40;80;1.084
2019-05-13;13,50;13,55;13,45;13,45;818;11.044
2019-05-10;14,00;14,00;13,65;13,65;2.600;35.690
2019-05-09;13,95;13,95;13,85;13,85;90;1.256
2019-05-08;13,90;13,95;13,80;13,80;300;4.165
2019-05-07;13,85;13,85;13,75;13,75;100;1.385
2019-05-06;13,85;13,85;13,65;13,70;2.884;39.810
2019-05-03;14,15;14,15;14,00;14,00;3.195;45.030
2019-05-02;14,10;14,20;14,10;14,20;880;12.427
2019-04-30;14,20;14,20;14,15;14,15;25;355
2019-04-29;14,15;14,15;14,15;14,15;0;0
2019-04-26;14,10;14,20;14,10;14,15;577;8.143
2019-04-25;14,10;14,10;14,10;14,10;1.023;14.424
2019-04-24;14,10;14,15;14,10;14,15;781;11.040
2019-04-23;14,10;14,10;14,00;14,00;599;8.446
2019-04-18;13,50;14,30;13,50;14,05;2.727;38.274
2019-04-17;14,25;14,25;13,05;13,65;16.320;222.717
2019-04-16;14,15;14,30;14,15;14,25;3.412;48.638
2019-04-15;14,40;14,40;14,05;14,15;4.595;64.827
2019-04-12;14,65;14,65;14,10;14,20;8.560;122.921
2019-04-11;15,25;15,50;14,80;14,90;5.598;84.727
2019-04-10;15,05;15,05;14,80;15,00;3.470;51.872
2019-04-09;13,95;15,05;13,90;14,90;9.279;133.725
2019-04-08;14,20;14,25;13,80;13,85;5.270;73.767
2019-04-05;14,00;14,00;13,80;13,95;1.722;23.990
2019-04-04;14,15;14,60;13,90;14,10;13.537;191.321
2019-04-03;14,00;14,20;13,80;14,20;2.419;33.848
2019-04-02;14,15;14,25;13,85;13,90;2.934;41.329
2019-04-01;13,85;14,00;13,55;14,00;4.245;58.353
2019-03-29;13,80;14,10;13,80;14,10;2.395;33.093
2019-03-28;13,80;13,80;13,80;13,80;150;2.070
2019-03-27;13,70;13,70;13,70;13,70;75;1.028
2019-03-26;13,60;14,10;13,50;13,60;4.858;66.844
2019-03-25;14,00;14,00;13,80;13,80;1.172;16.394
2019-03-22;14,00;14,00;13,60;13,70;2.250;30.860
2019-03-21;13,90;14,00;13,90;14,00;1.100;15.300
2019-03-20;14,00;14,10;14,00;14,10;770;10.817
2019-03-19;13,90;14,10;13,90;14,10;2.095;29.159
2019-03-18;13,70;13,80;13,70;13,70;1.277;17.583
2019-03-15;13,60;13,60;13,60;13,60;0;0
2019-03-14;13,80;13,80;13,60;13,60;1.013;13.898
2019-03-13;13,50;13,90;13,50;13,90;700;9.490
2019-03-12;13,20;13,70;13,10;13,70;3.454;46.007
2019-03-11;13,50;13,70;13,40;13,40;2.400;32.315
2019-03-08;13,80;13,80;13,40;13,40;975;13.175
2019-03-07;13,50;13,80;13,50;13,60;5.288;72.527
2019-03-06;13,50;13,50;13,40;13,40;1.650;22.275
2019-03-05;13,80;13,80;13,70;13,70;80;1.104
2019-03-04;13,80;13,80;13,70;13,70;1.600;22.080
2019-03-01;13,50;13,70;13,30;13,60;1.700;22.896
2019-02-28;13,50;13,80;13,50;13,70;3.672;50.476
2019-02-27;13,70;13,70;13,50;13,60;684;9.344
2019-02-26;13,40;13,80;13,30;13,70;2.452;33.436
2019-02-25;13,50;13,50;13,50;13,50;520;7.020
2019-02-22;13,20;13,60;13,20;13,60;2.118;28.396
2019-02-21;13,30;13,30;13,30;13,30;0;0
2019-02-20;13,20;13,20;13,10;13,20;262;3.442
2019-02-19;12,70;13,40;12,70;13,20;4.609;59.748
2019-02-18;13,70;13,70;12,50;12,50;23.164;297.195
2019-02-15;13,80;13,80;13,80;13,80;633;8.735
2019-02-14;13,80;13,80;13,80;13,80;4.074;56.221
2019-02-13;13,80;13,80;13,80;13,80;2.885;39.813
2019-02-12;13,80;13,80;13,80;13,80;190;2.622
2019-02-11;13,80;14,00;13,80;13,80;5.352;74.453
2019-02-08;13,90;13,90;13,80;13,80;595;8.271
2019-02-07;14,00;14,20;13,90;13,90;2.950;41.360
2019-02-06;14,00;14,00;13,90;13,90;1.694;23.694
2019-02-05;13,90;14,00;13,90;14,00;2.325;32.318
2019-02-04;14,00;14,20;13,70;13,70;16.919;237.049
2019-02-01;13,90;14,00;13,80;13,80;3.564;49.448
2019-01-31;14,00;14,00;13,70;13,80;6.672;92.119
2019-01-30;14,10;14,10;13,90;13,90;380;5.330
2019-01-29;14,10;14,10;14,00;14,00;285;4.019
2019-01-28;14,10;14,10;14,10;14,10;436;6.148
2019-01-25;13,80;14,10;13,80;14,10;673;9.327
2019-01-24;13,70;13,70;13,70;13,70;0;0
2019-01-23;13,60;13,80;13,60;13,70;1.792;24.456
2019-01-22;13,80;13,80;13,50;13,50;1.738;23.717
2019-01-21;14,10;14,10;14,00;14,00;50;705
2019-01-18;14,00;14,00;14,00;14,00;112;1.568
2019-01-17;14,20;14,30;14,00;14,00;2.103;29.842
2019-01-16;13,90;14,00;13,90;14,00;1.080;15.075
2019-01-15;13,90;13,90;13,80;13,80;580;8.014
2019-01-14;14,10;14,10;14,00;14,00;1.450;20.325
2019-01-11;14,40;14,40;14,20;14,20;3.402;48.388
2019-01-10;14,60;14,60;14,60;14,60;0;0
2019-01-09;14,60;14,60;14,50;14,60;1.000;14.594
2019-01-08;14,80;14,80;14,60;14,60;2.097;30.806
2019-01-07;14,70;15,00;14,70;14,90;571;8.544
2019-01-04;15,00;15,00;14,80;14,90;207;3.065
2019-01-03;14,40;14,80;14,40;14,80;199;2.882
2019-01-02;14,80;15,00;14,30;14,60;5.587;81.813
2018-12-28;13,30;15,00;13,30;15,00;21.480;310.606
2018-12-27;13,20;13,60;12,90;13,40;8.279;109.087
2018-12-21;12,80;13,40;12,80;13,30;7.851;102.473
2018-12-20;12,50;12,60;12,40;12,60;1.519;18.999
2018-12-19;12,70;12,70;12,70;12,70;371;4.712
2018-12-18;12,40;12,70;12,10;12,70;6.069;75.074
2018-12-17;12,60;12,60;12,30;12,30;3.455;42.917
2018-12-14;13,30;13,30;12,20;12,60;8.700;105.760
2018-12-13;14,20;14,20;13,30;13,30;6.350;85.144
2018-12-12;14,20;14,20;13,60;14,20;12.793;175.328
2018-12-11;10,90;15,00;10,90;14,30;16.319;202.125
2018-12-10;12,50;12,50;10,80;10,80;14.810;179.433
2018-12-07;13,00;13,30;12,70;12,70;3.946;51.733
2018-12-06;12,60;13,00;12,60;13,00;3.700;46.985
2018-12-05;13,10;13,30;12,70;12,70;12.494;159.338
2018-12-04;13,00;13,20;13,00;13,10;9.656;123.224
2018-12-03;12,50;13,00;12,50;12,90;7.021;94.726
2018-11-30;11,50;12,30;11,20;12,20;14.715;170.360
2018-11-29;11,80;11,80;11,40;11,40;2.530;29.296
2018-11-28;11,50;11,60;11,30;11,60;1.357;15.439
2018-11-27;11,50;11,60;11,30;11,30;7.778;88.851
2018-11-26;10,60;11,40;10,30;11,40;14.115;154.870
2018-11-23;10,30;10,70;10,20;10,50;4.991;52.170
2018-11-22;10,60;10,80;10,40;10,40;19.186;201.842
2018-11-21;10,70;10,70;9,90;10,50;20.994;218.642
2018-11-20;10,80;10,80;10,80;10,80;500;5.400
2018-11-19;11,10;11,10;10,60;10,90;5.410;58.218
2018-11-16;11,60;11,60;11,00;11,30;8.010;90.702
2018-11-15;12,00;12,00;11,70;11,70;6.520;77.384
2018-11-14;12,20;12,20;12,00;12,10;9.939;119.845
2018-11-13;12,40;12,40;12,10;12,20;6.232;76.424
2018-11-12;12,50;12,50;12,50;12,50;2.200;27.500
2018-11-09;12,60;12,60;12,50;12,60;2.850;35.875
2018-11-08;12,60;12,70;12,60;12,60;2.750;34.685
2018-11-07;12,50;12,70;12,50;12,60;7.356;92.667
2018-11-06;12,60;12,60;12,40;12,40;310;3.870
2018-11-05;12,70;12,70;12,60;12,60;5.312;67.203
2018-11-02;12,70;12,70;12,70;12,70;8.176;103.835
2018-11-01;12,70;12,70;12,70;12,70;2.735;34.735
2018-10-31;12,90;13,10;12,80;12,80;14.324;184.617
2018-10-30;12,60;13,00;12,60;13,00;245;3.123
2018-10-29;12,00;12,60;11,90;12,50;4.601;56.437
2018-10-26;12,00;12,00;11,80;12,00;2.623;31.378
2018-10-25;12,30;12,40;11,80;12,00;18.252;218.418
2018-10-24;12,50;12,50;12,20;12,20;7.219;89.413
2018-10-23;12,70;12,70;12,40;12,60;4.423;55.611
2018-10-22;12,60;12,80;12,40;12,80;33.075;419.850
2018-10-19;12,90;12,90;12,70;12,70;5.552;71.070
2018-10-18;12,80;13,10;12,70;13,00;19.902;257.955
2018-10-17;12,90;13,10;12,80;12,80;26.204;340.093
2018-10-16;13,10;13,10;12,70;12,80;10.846;140.316
2018-10-15;12,90;13,20;12,80;13,00;13.402;174.238
2018-10-12;12,70;14,00;12,40;13,00;35.877;475.527
2018-10-11;13,70;13,70;12,40;12,60;10.218;131.607
2018-10-10;13,90;13,90;13,20;13,30;20.158;275.705
2018-10-09;14,20;14,20;13,40;13,80;32.602;452.579
2018-10-08;15,00;15,00;14,30;14,30;8.469;123.721
2018-10-05;15,10;15,30;14,90;14,90;6.997;105.715
2018-10-04;15,00;15,10;14,80;14,90;7.644;113.911
2018-10-02;15,50;15,50;14,60;14,90;20.938;317.174
2018-10-01;15,30;15,40;15,30;15,40;847;13.026
2018-09-28;15,50;15,50;15,40;15,40;256;3.946
2018-09-27;15,40;15,40;15,30;15,40;7.650;117.244
2018-09-26;15,40;15,60;15,40;15,60;826;12.730
2018-09-25;15,50;15,60;15,50;15,50;3.533;54.797
2018-09-24;15,50;15,70;15,50;15,60;517;8.027
2018-09-21;16,20;16,20;15,50;15,50;5.238;83.001
2018-09-20;15,70;16,10;15,70;16,10;7.930;124.885
2018-09-19;15,70;15,80;15,70;15,80;1.486;23.330
2018-09-18;15,80;15,80;15,80;15,80;620;9.796
2018-09-17;15,80;15,80;15,70;15,80;7.797;122.448
2018-09-14;16,00;16,10;15,50;15,90;13.643;215.248
2018-09-13;15,30;15,90;15,30;15,90;2.394;37.463
2018-09-12;15,70;15,70;15,30;15,40;3.600;55.520
2018-09-11;15,90;15,90;15,70;15,70;2.507;39.472
2018-09-10;16,00;16,10;15,90;16,10;2.045;32.842
2018-09-07;16,10;16,10;16,00;16,10;3.300;52.900
2018-09-06;16,70;16,80;16,30;16,30;4.163;68.946
2018-09-05;17,00;17,00;16,70;16,70;1.890;31.755
2018-09-04;17,20;17,20;17,00;17,00;2.170;36.934
2018-09-03;16,40;17,20;16,40;17,20;25.096;425.284
2018-08-31;16,50;16,50;16,50;16,50;300;4.950
2018-08-30;16,70;16,70;16,60;16,70;1.981;32.953
2018-08-29;16,90;16,90;16,80;16,80;850;14.345
2018-08-28;16,60;16,90;16,60;16,80;2.949;49.269
2018-08-27;16,30;16,80;16,30;16,80;1.030;17.050
2018-08-24;16,20;16,20;16,00;16,20;1.984;31.831
2018-08-23;16,10;16,20;16,00;16,10;3.110;49.910
2018-08-22;16,00;16,30;16,00;16,30;3.699;59.534
2018-08-21;15,90;15,90;15,90;15,90;0;0
2018-08-20;15,50;15,90;15,50;15,90;1.417;22.212
2018-08-17;15,50;15,70;15,30;15,70;3.243;50.337
2018-08-16;15,40;15,60;15,40;15,60;9.547;148.855
2018-08-15;15,60;15,60;15,50;15,60;1.205;18.698
2018-08-14;15,90;15,90;15,80;15,80;234;3.721
2018-08-13;15,90;16,00;15,80;15,80;1.450;23.085
2018-08-10;15,80;15,90;15,80;15,90;561;8.866
2018-08-09;15,90;16,00;15,90;16,00;150;2.390
2018-08-08;16,00;16,10;16,00;16,10;3.009;48.160
2018-08-07;16,20;16,20;16,00;16,10;2.162;34.616
2018-08-06;16,10;16,30;16,00;16,10;5.915;94.948
2018-08-03;16,30;16,30;16,20;16,20;1.400;22.690
2018-08-02;16,60;16,70;16,40;16,40;1.198;19.789
2018-08-01;16,50;16,70;16,50;16,60;102;1.691
2018-07-31;16,90;16,90;16,60;16,60;826;13.818
2018-07-30;17,20;17,20;16,80;16,80;1.356;23.149
2018-07-27;16,40;17,10;16,40;17,10;4.028;67.565
2018-07-26;16,40;16,50;16,40;16,50;516;8.462
2018-07-25;16,40;16,50;16,40;16,50;10.661;174.840
2018-07-24;16,70;16,80;16,40;16,60;1.620;26.904
2018-07-23;16,50;16,50;16,50;16,50;0;0
2018-07-20;16,50;16,50;16,20;16,40;1.260;20.535
2018-07-19;16,40;16,40;16,30;16,30;50;820
2018-07-18;16,20;16,40;16,20;16,40;250;4.050
2018-07-17;16,30;16,30;16,00;16,00;4.134;66.591
2018-07-16;16,70;16,70;16,30;16,30;1.728;28.489
2018-07-13;16,60;16,60;16,40;16,50;627;10.347
2018-07-12;16,75;16,75;16,75;16,75;0;0
2018-07-11;16,70;17,10;16,70;16,80;2.499;42.404
2018-07-10;16,5053;16,6526;16,407;16,6526;4.600;75.928
2018-07-09;16,2105;16,7018;16,2105;16,5053;5.482;90.917
2018-07-06;16,7018;16,7018;16,1123;16,2105;6.861;114.169
2018-07-05;16,8982;16,8982;16,5053;16,6035;3.854;64.365
2018-07-04;16,80;16,80;16,6035;16,80;2.100;35.058
2018-07-03;17,3895;17,3895;16,8982;16,9474;2.239;38.420
2018-07-02;16,7018;17,193;16,7018;17,193;3.640;62.261
