Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;9,70;9,78;9,70;9,78;70;679
2019-08-13;10,10;10,10;9,68;9,68;3.979;38.993
2019-08-12;10,30;10,30;10,05;10,05;4.504;45.776
2019-08-09;9,88;10,60;9,88;10,30;10.967;111.427
2019-08-08;9,76;9,88;9,76;9,84;1.890;18.568
2019-08-07;9,74;9,74;9,52;9,64;1.351;13.033
2019-08-06;9,38;9,60;9,38;9,52;4.583;43.702
2019-08-05;9,76;9,76;9,30;9,48;15.677;148.724
2019-08-02;9,70;9,70;9,56;9,70;1.242;12.046
2019-08-01;9,60;9,78;9,58;9,66;8.804;85.630
2019-07-31;9,44;9,62;9,44;9,62;3.006;28.786
2019-07-30;9,64;9,64;9,44;9,50;7.638;73.019
2019-07-29;9,42;9,60;9,20;9,44;14.342;135.022
2019-07-26;9,30;9,36;9,30;9,36;748;6.956
2019-07-25;8,98;9,18;8,90;9,18;10.028;90.439
2019-07-24;8,80;8,98;8,80;8,98;7.157;63.763
2019-07-23;8,72;8,90;8,68;8,90;5.736;50.318
2019-07-22;8,80;8,90;8,70;8,78;2.560;22.503
2019-07-19;9,00;9,00;8,72;8,90;3.281;28.694
2019-07-18;8,92;8,98;8,90;8,96;1.925;17.197
2019-07-17;9,18;9,20;8,96;8,96;1.773;16.217
2019-07-16;9,08;9,18;9,08;9,18;60;545
2019-07-15;9,00;9,24;9,00;9,24;1.347;12.223
2019-07-12;9,00;9,00;9,00;9,00;0;0
2019-07-11;9,00;9,10;8,96;8,96;887;7.981
2019-07-10;9,08;9,08;9,00;9,00;548;4.940
2019-07-09;9,10;9,16;8,92;8,92;3.145;28.336
2019-07-08;9,14;9,26;9,06;9,06;3.451;31.400
2019-07-05;9,26;9,26;9,20;9,26;4.046;37.239
2019-07-04;9,08;9,24;9,08;9,18;2.494;22.914
2019-07-03;9,22;9,26;9,02;9,02;6.178;56.629
2019-07-02;9,40;9,40;9,14;9,18;4.590;42.769
2019-07-01;9,20;9,42;9,20;9,42;1.926;17.785
2019-06-28;9,12;9,12;9,02;9,02;611;5.512
2019-06-27;9,20;9,20;9,06;9,06;5.261;48.245
2019-06-26;9,10;9,20;9,10;9,10;1.160;10.558
2019-06-25;9,14;9,30;9,10;9,10;1.963;18.114
2019-06-24;9,00;9,20;9,00;9,14;9.037;82.387
2019-06-21;9,06;9,20;9,02;9,16;4.580;41.787
2019-06-20;9,20;9,20;9,10;9,10;2.281;20.912
2019-06-19;9,32;9,32;9,14;9,14;616;5.643
2019-06-18;9,38;9,38;9,16;9,32;2.589;24.071
2019-06-17;9,16;9,26;9,16;9,26;2.100;19.320
2019-06-14;9,20;9,30;9,20;9,22;197;1.824
2019-06-13;9,28;9,42;9,28;9,30;2.641;24.634
2019-06-12;9,40;9,46;9,26;9,40;866;8.088
2019-06-11;9,52;9,52;9,34;9,38;1.247;11.712
2019-06-07;9,50;9,54;9,44;9,48;2.191;20.774
2019-06-06;9,62;9,62;9,46;9,46;6.330;60.568
2019-06-05;10,00;10,00;9,40;9,52;20.565;195.125
2019-06-04;10,00;10,20;10,00;10,00;1.070;10.720
2019-06-03;10,1961;10,2941;9,90196;10,098;3.450;34.679
2019-05-31;10,6373;10,6373;10,3431;10,4412;2.598;27.016
2019-05-30;10,6373;10,6373;10,5392;10,5392;255;2.707
2019-05-29;10,5882;10,6373;10,4412;10,4412;3.582;37.526
2019-05-28;10,4412;10,6863;10,3922;10,6373;3.177;33.401
2019-05-27;10,2451;10,6373;10,1471;10,3922;15.029;156.094
2019-05-24;9,80392;10,3431;9,80392;10,1961;6.443;65.085
