Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,24;2,28;2,24;2,28;50;114
2019-08-13;2,24;2,38;2,24;2,38;100;232
2019-08-12;2,24;2,40;2,24;2,40;1.031;2.456
2019-08-09;2,14;2,24;2,14;2,24;2.256;5.002
2019-08-08;2,14;2,34;2,14;2,34;500;1.170
2019-08-07;2,28;2,28;2,20;2,20;1.050;2.358
2019-08-06;2,28;2,40;2,28;2,40;50;120
2019-08-05;2,22;2,22;2,22;2,22;0;0
2019-08-02;2,20;2,36;2,20;2,36;2.212;5.220
2019-08-01;2,14;2,32;2,14;2,32;141;320
2019-07-31;2,12;2,32;2,12;2,32;50;116
2019-07-30;2,22;2,24;2,18;2,18;2.338;5.177
2019-07-29;2,26;2,32;2,24;2,32;3.928;9.059
2019-07-26;2,16;2,30;2,16;2,30;925;2.058
2019-07-25;2,10;2,32;2,10;2,32;4.700;10.608
2019-07-24;2,10;2,10;2,10;2,10;0;0
2019-07-23;2,10;2,22;2,10;2,22;3.050;6.651
2019-07-22;2,10;2,30;2,10;2,22;10.563;23.775
2019-07-19;2,16;2,20;2,16;2,20;1.050;2.270
2019-07-18;2,16;2,18;2,16;2,18;2.033;4.432
2019-07-17;1,99;2,16;1,99;2,16;2.000;4.320
2019-07-16;1,98;2,02;1,98;2,02;21;42
2019-07-15;2,08;2,16;2,08;2,16;1.683;3.507
2019-07-12;2,08;2,08;2,08;2,08;0;0
2019-07-11;2,08;2,08;2,08;2,08;0;0
2019-07-10;1,96;2,16;1,96;2,16;1.050;2.228
2019-07-09;1,92;2,10;1,92;2,10;2.382;4.813
2019-07-08;2,06;2,06;1,95;2,06;1.618;3.211
2019-07-05;2,06;2,20;2,06;2,20;100;220
2019-07-04;2,08;2,20;2,08;2,20;100;220
2019-07-03;2,20;2,20;2,20;2,20;1.000;2.200
2019-07-02;2,20;2,22;2,20;2,20;4.384;9.645
2019-07-01;2,06;2,20;2,06;2,20;377;819
2019-06-28;2,10;2,18;2,10;2,18;390;833
2019-06-27;2,10;2,14;2,10;2,12;3.300;6.990
2019-06-26;2,10;2,10;2,10;2,10;0;0
2019-06-25;2,10;2,10;2,10;2,10;0;0
2019-06-24;2,18;2,18;2,12;2,12;366;797
2019-06-21;2,10;2,20;2,10;2,20;800;1.760
2019-06-20;2,10;2,10;2,10;2,10;0;0
2019-06-19;2,02;2,02;2,02;2,02;0;0
2019-06-18;2,02;2,18;2,02;2,18;719;1.538
2019-06-17;2,04;2,18;2,04;2,18;500;1.090
2019-06-14;2,16;2,18;2,16;2,16;2.600;5.628
2019-06-13;2,14;2,16;2,14;2,16;150;324
2019-06-12;2,16;2,18;2,16;2,18;2.000;4.340
2019-06-11;2,14;2,18;2,14;2,18;67;146
2019-06-07;2,14;2,18;2,14;2,18;50;109
2019-06-06;2,14;2,16;2,14;2,16;223;482
2019-06-05;2,14;2,14;2,14;2,14;0;0
2019-06-04;2,14;2,14;2,14;2,14;0;0
2019-06-03;2,14;2,18;2,14;2,16;53;115
2019-05-31;2,20;2,20;2,18;2,18;550;1.209
2019-05-30;2,20;2,20;2,20;2,20;20;44
2019-05-29;2,20;2,20;2,20;2,20;66;145
2019-05-28;2,20;2,24;2,20;2,22;3.166;7.089
2019-05-27;2,08;2,22;2,08;2,22;9.766;21.015
2019-05-24;2,00;2,08;2,00;2,08;3.049;6.322
2019-05-23;1,90;2,06;1,90;2,06;272;560
2019-05-22;1,90;2,06;1,90;2,06;445;917
2019-05-21;1,90;2,06;1,87;2,06;5.950;11.392
2019-05-20;1,85;2,04;1,85;2,04;3.000;6.090
2019-05-17;1,85;1,85;1,85;1,85;0;0
2019-05-16;1,92;1,99;1,92;1,99;1.211;2.343
2019-05-15;1,92;1,92;1,92;1,92;0;0
2019-05-14;1,91;2,08;1,91;2,08;100;208
2019-05-13;1,91;2,08;1,91;2,00;500;1.007
2019-05-10;1,91;2,10;1,91;1,91;7.085;14.522
2019-05-09;1,87;2,00;1,87;2,00;1.503;3.006
2019-05-08;1,96;1,99;1,96;1,99;50;100
2019-05-07;1,93;2,00;1,93;2,00;0;0
