Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;4,93;4,94;4,87;4,90;17.343;84.743
2019-08-15;4,96;4,98;4,85;4,90;45.345;222.116
2019-08-14;4,84;5,00;4,84;4,92;86.626;425.708
2019-08-13;4,84;4,84;4,79;4,82;5.686;27.293
2019-08-12;4,81;4,84;4,80;4,80;6.121;29.411
2019-08-09;4,74;4,85;4,74;4,81;13.638;64.999
2019-08-08;4,75;4,83;4,52;4,75;51.067;238.101
2019-08-07;4,78;4,90;4,70;4,70;31.501;152.191
2019-08-06;4,74;4,78;4,70;4,77;16.743;78.954
2019-08-05;4,79;4,79;4,72;4,78;1.149;5.444
2019-08-02;4,75;4,78;4,68;4,74;7.981;37.512
2019-08-01;4,79;4,79;4,70;4,70;14.335;67.724
2019-07-31;4,70;4,75;4,70;4,74;5.216;24.556
2019-07-30;4,62;4,70;4,62;4,70;6.969;32.303
2019-07-29;4,65;4,70;4,58;4,70;26.274;120.991
2019-07-26;4,64;4,70;4,60;4,60;2.640;12.276
2019-07-25;4,65;4,70;4,65;4,69;765;3.569
2019-07-24;4,70;4,70;4,53;4,70;19.291;88.661
2019-07-23;4,70;4,70;4,64;4,65;4.362;20.270
2019-07-22;4,76;4,76;4,68;4,68;142;670
2019-07-19;4,76;4,78;4,56;4,76;17.875;82.451
2019-07-18;4,64;4,77;4,61;4,76;3.289;15.408
2019-07-17;4,78;4,78;4,59;4,59;8.127;37.901
2019-07-16;4,78;4,78;4,73;4,78;2.926;13.853
2019-07-15;4,76;4,79;4,72;4,73;4.574;21.668
2019-07-12;4,73;4,79;4,55;4,74;9.943;46.693
2019-07-11;4,65;4,79;4,56;4,64;10.753;50.081
2019-07-10;4,65;4,65;4,61;4,65;58;269
2019-07-09;4,60;4,65;4,60;4,65;7.503;34.630
2019-07-08;4,65;4,65;4,60;4,60;1.325;6.097
2019-07-05;4,60;4,65;4,60;4,63;212;977
2019-07-04;4,64;4,65;4,60;4,60;357;1.648
2019-07-03;4,63;4,64;4,60;4,64;1.020;4.693
2019-07-02;4,64;4,64;4,64;4,64;11;51
2019-07-01;4,60;4,64;4,60;4,64;2.557;11.833
2019-06-28;4,69;4,69;4,62;4,65;781;3.658
2019-06-27;4,84;4,84;4,53;4,69;31.863;148.424
2019-06-26;4,84;4,85;4,82;4,82;215;1.041
2019-06-25;4,83;4,84;4,74;4,82;7.935;38.037
2019-06-24;4,85;4,85;4,75;4,77;5.915;28.356
2019-06-21;4,85;4,85;4,69;4,82;6.374;30.457
2019-06-20;4,85;4,85;4,85;4,85;300;1.455
2019-06-19;4,89;4,89;4,80;4,85;4.683;22.491
2019-06-18;4,85;4,87;4,82;4,87;318;1.547
2019-06-17;4,88;4,89;4,86;4,89;1.479;7.213
2019-06-14;4,88;4,88;4,86;4,86;786;3.828
2019-06-13;4,88;4,89;4,80;4,87;1.809;8.739
2019-06-12;4,92;4,92;4,75;4,86;14.811;71.122
2019-06-11;4,92;4,92;4,80;4,85;3.214;15.466
