Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;14,00;14,00;13,70;13,70;4.573;63.692
2019-08-13;14,20;14,25;13,90;13,95;3.113;43.552
2019-08-12;14,35;14,40;13,85;14,10;7.340;102.914
2019-08-09;13,80;14,30;13,70;13,95;4.366;60.842
2019-08-08;13,70;14,15;13,70;13,90;6.996;97.382
2019-08-07;14,0448;14,1413;13,5139;13,5139;6.705;91.674
2019-08-06;14,1896;14,1896;13,9965;13,9965;1.629;23.064
2019-08-05;14,2378;14,2861;13,9483;14,1413;4.291;60.438
2019-08-02;14,9135;14,9135;14,2378;14,2861;7.708;112.857
2019-08-01;15,3479;15,3479;14,7205;14,9135;3.100;46.704
2019-07-31;15,2997;15,541;15,1549;15,3479;2.105;32.274
2019-07-30;15,4444;15,541;14,9618;14,9618;2.876;43.608
2019-07-29;15,2514;15,3479;15,0583;15,0583;182;2.757
2019-07-26;15,1549;15,2997;14,9618;15,1066;3.107;46.955
2019-07-25;15,4444;15,6858;14,817;14,817;15.184;232.158
2019-07-24;16,0236;16,0236;15,3962;15,541;6.824;106.452
2019-07-23;16,1201;16,1684;15,8788;16,0719;1.514;24.334
2019-07-22;16,3132;16,3615;16,1201;16,1684;1.708;27.635
2019-07-19;16,3615;16,3615;15,9271;16,0719;765;12.232
2019-07-18;16,2649;16,2649;15,9271;15,9753;1.470;23.655
2019-07-17;16,3615;16,5545;16,2167;16,5545;1.345;21.913
2019-07-16;16,6028;16,6993;16,2649;16,5063;1.965;32.412
2019-07-15;16,9889;17,0372;16,6028;16,6028;2.012;33.580
2019-07-12;16,9406;16,9406;16,6993;16,8924;1.173;19.677
2019-07-11;16,8924;16,9406;16,6993;16,8924;1.297;21.798
2019-07-10;16,8441;17,4233;16,6993;16,7958;2.524;43.159
2019-07-09;16,6028;17,1819;16,5063;16,6993;8.012;135.127
2019-07-08;16,5545;17,2302;16,2167;16,4097;6.825;112.851
2019-07-05;16,6028;16,6993;16,2649;16,4097;2.523;41.341
2019-07-04;16,7913;17,2684;16,7436;16,9822;8.501;144.364
2019-07-03;16,5528;16,7913;16,4097;16,7913;2.521;42.100
2019-07-02;16,5528;16,6005;16,362;16,362;1.794;29.502
2019-07-01;16,9822;16,9822;16,5051;16,7913;2.607;43.631
2019-06-28;16,5051;17,2684;16,5051;16,6959;6.473;108.311
2019-06-27;16,4097;16,6959;16,3143;16,5051;1.956;32.168
2019-06-26;16,1235;16,4097;16,1235;16,4097;2.802;45.550
2019-06-25;16,1712;16,362;15,9327;15,9327;2.511;40.507
2019-06-24;16,1235;16,1235;15,885;15,9327;1.987;31.980
2019-06-21;15,9327;16,1712;15,885;15,9327;5.836;93.137
2019-06-20;15,9804;16,1712;15,9327;16,0758;2.974;47.771
2019-06-19;15,7896;15,9327;15,6465;15,9327;3.995;62.821
2019-06-18;15,7896;15,9804;15,6942;15,7896;2.938;46.307
2019-06-17;15,9804;16,0281;15,6942;15,9804;4.256;67.705
2019-06-14;16,2189;16,2189;15,6465;15,9327;4.214;66.985
2019-06-13;16,1712;16,2189;15,885;16,1235;2.773;44.393
2019-06-12;16,2666;16,3143;16,2189;16,3143;1.210;19.665
2019-06-11;16,2189;16,4097;16,2189;16,3143;835;13.586
2019-06-07;16,1712;16,4574;16,1712;16,3143;284;4.622
2019-06-06;16,6959;16,6959;16,0281;16,3143;1.713;27.994
2019-06-05;16,6005;16,7436;16,5051;16,6005;528;8.818
2019-06-04;16,5051;16,6959;16,4097;16,6482;2.825;46.682
2019-06-03;16,5528;16,7913;16,4574;16,6482;5.930;98.686
2019-05-31;16,4574;16,6005;16,3143;16,5528;4.001;65.383
2019-05-30;17,0299;17,173;16,6482;16,6959;3.395;57.613
2019-05-29;16,4574;16,6482;16,4097;16,5051;531;8.751
2019-05-28;16,4574;16,7436;16,4574;16,6959;4.120;68.674
2019-05-27;16,9822;16,9822;16,4097;16,4574;2.443;40.300
2019-05-24;16,839;16,839;16,6482;16,6482;26;441
2019-05-23;17,4592;17,4592;16,5528;16,6482;2.528;42.332
2019-05-22;17,6023;17,6023;17,0299;17,1253;8.353;143.182
2019-05-21;17,5546;17,6023;17,2207;17,3161;2.851;49.557
2019-05-20;16,9822;17,4592;16,9822;17,2684;5.027;86.838
2019-05-17;17,2207;17,2207;17,0299;17,173;2.801;47.824
2019-05-16;16,6959;17,1253;16,6959;17,1253;6.956;116.559
2019-05-15;16,7913;16,7913;16,6959;16,6959;527;8.813
2019-05-14;16,5051;16,839;16,362;16,6959;1.647;27.438
2019-05-13;16,6005;16,6959;16,362;16,5051;1.137;18.766
2019-05-10;16,4574;16,9822;16,362;16,7436;3.705;61.799
2019-05-09;16,7913;16,9822;16,4574;16,6959;2.774;46.608
2019-05-08;16,7913;17,2684;16,6959;17,1253;5.371;90.766
2019-05-07;17,3638;17,5546;16,6005;16,7436;4.983;84.209
2019-05-06;18,2224;18,2224;16,8867;17,173;16.425;287.493
2019-05-03;18,604;18,604;18,2224;18,4132;900;16.549
2019-05-02;18,604;18,6995;18,5086;18,604;2.098;39.059
2019-04-30;18,4609;18,604;18,4132;18,604;884;16.394
2019-04-29;18,5086;18,6995;18,4609;18,6517;1.996;37.007
2019-04-26;18,4609;18,604;18,2701;18,3655;5.587;103.496
2019-04-25;18,5086;18,7949;18,3655;18,5563;6.470;120.485
2019-04-24;18,8903;18,9857;18,604;18,604;14.686;276.998
2019-04-23;18,5563;18,8903;18,4132;18,8903;4.691;87.509
2019-04-18;18,6517;18,6517;18,127;18,4609;1.156;21.427
2019-04-17;18,2224;18,7949;18,2224;18,7949;5.058;93.112
2019-04-16;18,4132;18,5086;18,4132;18,4132;2.516;46.345
2019-04-15;18,4609;18,5563;18,4609;18,4609;1.071;19.855
2019-04-12;18,3178;18,4609;18,3178;18,3655;972;17.845
2019-04-11;18,3655;18,6517;18,127;18,2701;7.584;139.166
2019-04-10;17,8885;18,2224;17,7931;18,127;6.705;121.345
2019-04-09;17,8885;17,9839;17,5546;17,6977;4.371;77.598
2019-04-08;17,65;17,65;17,4115;17,65;5.906;104.227
2019-04-05;18,0316;18,0793;17,65;17,8885;2.314;41.435
2019-04-04;17,6977;17,8885;17,65;17,8885;1.142;20.235
2019-04-03;17,65;17,9362;17,65;17,65;2.905;51.347
2019-04-02;17,7454;17,7454;17,5546;17,5546;964;17.077
2019-04-01;17,173;17,65;17,173;17,5546;5.391;94.601
2019-03-29;17,0585;17,2684;16,7723;17,2684;6.248;106.758
2019-03-28;17,3447;17,3447;16,8295;16,9822;2.131;36.084
2019-03-27;17,2493;17,5355;17,173;17,192;3.165;54.703
2019-03-26;17,0585;17,3829;16,715;17,173;5.780;99.043
2019-03-25;17,2302;17,3829;17,0966;17,3829;1.107;19.129
2019-03-22;17,2684;17,4401;17,173;17,3256;802;13.891
2019-03-21;17,0203;17,3638;17,0203;17,3638;69;1.199
2019-03-20;17,4973;17,4973;16,8867;17,0776;5.179;88.927
2019-03-19;17,65;18,0125;17,6118;17,6118;7.031;124.845
2019-03-18;17,5164;17,5546;17,173;17,5546;7.388;129.186
2019-03-15;17,2111;17,2875;17,2111;17,2111;1.647;28.401
2019-03-14;17,4592;17,4592;17,2111;17,4592;951;16.429
2019-03-13;17,5546;17,5737;17,192;17,4019;6.731;117.300
2019-03-12;18,1079;18,1079;17,4783;17,9935;4.944;88.488
2019-03-11;16,8295;18,0316;16,715;17,9362;7.624;134.640
2019-03-08;17,65;17,8408;16,7723;16,9249;9.364;163.987
2019-03-07;17,65;17,8026;17,5737;17,8026;4.790;84.815
2019-03-06;17,65;17,65;17,4592;17,4973;11.921;209.560
2019-03-05;17,1348;17,3447;16,9822;17,3447;3.429;58.777
2019-03-04;17,1157;17,2684;16,9822;17,2302;2.369;40.448
2019-03-01;16,8677;17,2684;16,6196;17,0966;18.322;311.448
2019-02-28;16,2952;16,6769;16,0663;16,6005;8.224;134.135
2019-02-27;15,5892;16,2189;15,5892;16,2189;8.421;133.728
