Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2008-10-23;0,185;0,185;0,185;0,185;0;0
2008-10-22;0,18;0,18;0,18;0,18;0;0
2008-10-21;0,18;0,18;0,18;0,18;0;0
2008-10-17;0,15;0,15;0,15;0,15;0;0
2008-10-16;0,23;0,23;0,23;0,23;0;0
2008-10-15;0,25;0,25;0,25;0,25;0;0
2008-10-14; ; ; ;0,25;5.633;1.408
2008-10-13;0,15;0,15;0,15;0,21;3.000;630
2008-10-10;0,142;0,142;0,142;0,142;203;29
2008-10-09;0,17;0,17;0,17;0,17;0;0
2008-10-08;0,17;0,17;0,17;0,17;0;0
2008-10-07;0,17;0,17;0,17;0,17;0;0
2008-10-06;0,17;0,17;0,17;0,17;300;51
2008-10-03;0,18;0,18;0,18;0,18;0;0
2008-10-02;0,18;0,18;0,18;0,18;0;0
2008-10-01;0,18;0,18;0,18;0,18;0;0
2008-09-30;0,18;0,18;0,18;0,18;0;0
2008-09-29;0,22;0,22;0,18;0,18;3.000;540
2008-09-26;0,23;0,23;0,23;0,23;0;0
2008-09-25;0,235;0,235;0,235;0,235;0;0
2008-09-24;0,239;0,239;0,239;0,239;0;0
2008-09-23;0,239;0,239;0,239;0,239;0;0
2008-09-22;0,24;0,24;0,24;0,24;0;0
2008-09-19;0,24;0,24;0,24;0,24;0;0
2008-09-18;0,24;0,24;0,24;0,24;0;0
2008-09-17;0,18;0,18;0,18;0,18;0;0
2008-09-16;0,18;0,18;0,18;0,18;0;0
2008-09-15;0,176;0,176;0,176;0,176;33;6
2008-09-12;0,181;0,181;0,181;0,181;0;0
2008-09-11;0,181;0,181;0,181;0,181;0;0
2008-09-10;0,181;0,181;0,181;0,181;0;0
2008-09-09;0,181;0,181;0,181;0,181;0;0
2008-09-08;0,181;0,181;0,181;0,181;0;0
2008-09-05;0,181;0,181;0,181;0,181;0;0
2008-09-04;0,20;0,20;0,181;0,181;60;11
2008-09-03;0,23;0,23;0,23;0,23;0;0
2008-09-02;0,23;0,23;0,23;0,23;0;0
2008-09-01;0,23;0,24;0,23;0,23;0;0
2008-08-29;0,24;0,24;0,23;0,23;2.000;460
2008-08-28;0,25;0,25;0,25;0,25;0;0
2008-08-27;0,25;0,25;0,25;0,25;0;0
2008-08-26;0,26;0,26;0,26;0,26;0;0
2008-08-25;0,26;0,26;0,26;0,26;0;0
2008-08-22;0,26;0,26;0,26;0,26;0;0
2008-08-21;0,26;0,26;0,26;0,26;0;0
2008-08-20;0,26;0,26;0,26;0,26;0;0
2008-08-19;0,26;0,26;0,26;0,26;0;0
2008-08-18;0,26;0,26;0,26;0,26;0;0
2008-08-15;0,26;0,26;0,26;0,26;0;0
2008-08-14;0,26;0,26;0,26;0,26;0;0
2008-08-13;0,26;0,26;0,26;0,26;0;0
2008-08-12;0,26;0,26;0,26;0,26;450;117
2008-08-11;0,25;0,25;0,25;0,25;426;107
2008-08-08;0,26;0,26;0,26;0,26;0;0
2008-08-07;0,26;0,26;0,26;0,26;300;78
