Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-04-08;935,00;935,00;935,00;935,00;0;0
2011-04-07;935,00;935,00;935,00;935,00;0;0
2011-04-06;935,00;935,00;935,00;935,00;0;0
2011-04-05;935,00;935,00;935,00;935,00;0;0
2011-04-04;959,00;959,00;959,00;959,00;0;0
2011-04-01;933,00;933,00;933,00;933,00;0;0
2011-03-31;930,00;933,00;929,95;933,00;5;4.665
2011-03-30;929,95;929,95;920,00;920,00;4;3.680
2011-03-29;922,00;922,00;922,00;922,00;4;3.688
2011-03-28;922,00;922,00;922,00;922,00;0;0
2011-03-25;922,00;922,00;922,00;922,00;0;0
2011-03-24;922,00;922,00;922,00;922,00;2;1.844
2011-03-22;920,00;920,00;920,00;920,00;0;0
2011-03-21;920,00;920,00;920,00;920,00;1;920
2011-03-18;914,00;914,00;914,00;914,00;0;0
2011-03-17;911,00;911,00;911,00;911,00;0;0
2011-03-16;915,00;915,00;915,00;915,00;7;6.405
2011-03-15;911,00;937,00;911,00;911,00;15;13.665
2011-03-14;938,00;938,00;912,00;912,00;15;13.680
2011-03-11;938,00;938,00;938,00;938,00;3;2.814
2011-03-10;935,00;938,00;935,00;938,00;6;5.628
2011-03-09;935,00;935,00;935,00;935,00;0;0
2011-03-08;935,00;935,00;935,00;935,00;0;0
2011-03-07;938,00;938,00;935,00;936,00;14;13.104
2011-03-04;935,00;935,00;935,00;935,00;0;0
2011-03-03;935,00;935,00;935,00;935,00;3;2.805
2011-03-02;943,00;943,00;935,00;943,00;1;943
2011-03-01;932,50;943,50;932,50;943,50;5;4.718
2011-02-28;932,00;932,00;932,00;932,00;0;0
2011-02-25;931,00;935,00;931,00;931,00;14;13.034
2011-02-24;925,00;934,00;925,00;934,00;6;5.604
2011-02-23;925,00;938,00;925,00;938,00;21;19.698
2011-02-22;929,00;930,00;928,00;930,00;23;21.390
2011-02-21;929,00;929,00;921,00;928,00;35;32.480
2011-02-18;820,00;940,00;820,00;920,05;90;82.805
2011-02-17;800,00;820,00;800,00;800,00;3;2.400
2011-02-16;805,00;820,00;805,00;820,00;11;9.020
2011-02-15;797,00;805,00;715,00;805,00;14;11.270
2011-02-14;797,00;797,00;715,00;715,00;1;715
2011-02-11;797,00;797,00;797,00;797,00;0;0
2011-02-10;797,00;797,00;797,00;797,00;0;0
2011-02-09;797,00;797,00;797,00;797,00;0;0
2011-02-08;797,00;797,00;797,00;797,00;0;0
2011-02-07;797,00;797,00;797,00;797,00;0;0
2011-02-04;797,00;797,00;797,00;797,00;0;0
2011-02-03;797,00;797,00;797,00;797,00;0;0
2011-02-02;797,00;797,00;797,00;797,00;0;0
2011-02-01;797,00;797,00;797,00;797,00;0;0
2011-01-31;799,00;799,00;799,00;799,00;0;0
2011-01-28;799,00;799,00;725,00;799,00;1;799
2011-01-27;725,00;725,00;725,00;725,00;0;0
2011-01-26;725,00;725,00;725,00;725,00;0;0
2011-01-25;725,00;725,00;725,00;725,00;0;0
2011-01-24;725,00;725,00;725,00;725,00;0;0
2011-01-21;725,00;725,00;725,00;725,00;0;0
2011-01-20;725,00;725,00;725,00;725,00;0;0
2011-01-19;725,00;725,00;725,00;725,00;0;0
2011-01-18;725,00;725,00;725,00;725,00;0;0
2011-01-17;725,00;725,00;725,00;725,00;0;0
2011-01-14;715,00;715,00;715,00;715,00;0;0
2011-01-13;715,00;715,00;715,00;715,00;0;0
2011-01-12;714,00;714,00;714,00;714,00;0;0
2011-01-11;714,00;714,00;714,00;714,00;0;0
2011-01-10;714,00;714,00;714,00;714,00;0;0
2011-01-07;714,00;714,00;714,00;714,00;0;0
2011-01-06;714,00;714,00;714,00;714,00;1;714
2011-01-05;714,00;714,00;714,00;714,00;0;0
2011-01-04;714,00;714,00;714,00;714,00;0;0
2011-01-03;714,00;714,10;714,00;714,10;2;1.428
2010-12-30;714,00;714,00;714,00;714,00;0;0
2010-12-29;714,00;714,00;714,00;714,00;0;0
2010-12-28;714,00;714,00;714,00;714,00;0;0
2010-12-27;721,00;721,00;714,00;721,00;1;721
2010-12-23;715,00;715,00;715,00;715,00;1;715
2010-12-22;799,00;799,00;799,00;799,00;0;0
2010-12-21;799,00;799,00;799,00;799,00;0;0
2010-12-20;770,00;800,00;770,00;800,00;1;800
2010-12-17;712,00;799,00;712,00;799,00;3;2.397
2010-12-16;750,00;850,00;750,00;750,00;1;750
2010-12-15;850,00;850,00;850,00;850,00;0;0
2010-12-14;850,00;850,00;850,00;850,00;0;0
2010-12-13;850,00;850,00;850,00;850,00;0;0
2010-12-10;801,00;802,00;801,00;802,00;17;13.634
2010-12-09;801,00;801,00;801,00;801,00;0;0
2010-12-08;801,00;801,00;801,00;801,00;0;0
2010-12-07;801,00;801,00;801,00;801,00;0;0
2010-12-06;880,00;880,00;815,00;815,00;33;26.895
2010-12-03;801,00;880,00;801,00;880,00;14;12.320
2010-12-02;800,00;800,00;800,00;800,00;2;1.600
2010-12-01;800,00;800,00;800,00;800,00;0;0
2010-11-30;850,00;850,00;805,00;805,00;2;1.610
2010-11-29;899,50;899,50;899,50;899,50;0;0
2010-11-26;899,50;899,50;899,50;899,50;0;0
2010-11-25;860,00;899,99;860,00;899,99;3;2.700
2010-11-24;850,00;850,00;850,00;850,00;0;0
2010-11-23;850,00;850,00;850,00;850,00;0;0
2010-11-22;772,00;849,99;772,00;849,99;10;8.500
2010-11-19;772,00;772,00;772,00;772,00;0;0
2010-11-18;772,00;772,00;772,00;772,00;0;0
2010-11-17;772,00;772,00;772,00;772,00;0;0
2010-11-16;710,00;802,50;710,00;802,50;16;12.840
2010-11-15;710,00;710,00;710,00;710,00;0;0
2010-11-12;710,00;710,00;710,00;710,00;0;0
2010-11-11;749,50;750,00;749,50;750,00;16;12.000
2010-11-10;749,50;749,50;749,50;749,50;0;0
2010-11-09;750,00;750,00;750,00;750,00;0;0
2010-11-08;691,00;730,00;691,00;730,00;46;33.580
2010-11-05;730,00;730,00;715,00;715,00;2;1.430
2010-11-04;729,00;729,00;729,00;729,00;0;0
2010-11-03;720,00;720,00;685,00;720,00;9;6.480
2010-11-02;685,00;685,00;685,00;685,00;0;0
2010-11-01;681,00;681,00;681,00;681,00;0;0
2010-10-29;685,00;685,00;685,00;685,00;0;0
2010-10-28;681,00;681,00;681,00;681,00;0;0
2010-10-27;680,00;682,00;680,00;682,00;2;1.364
2010-10-26;689,00;695,00;689,00;695,00;9;6.255
2010-10-25;720,00;720,00;670,00;670,00;8;5.360
2010-10-22;720,00;720,00;720,00;720,00;0;0
2010-10-21;720,00;720,00;720,00;720,00;0;0
2010-10-20;720,00;720,00;720,00;720,00;0;0
2010-10-19;720,00;720,00;720,00;720,00;0;0
2010-10-18;720,00;720,00;720,00;720,00;0;0
2010-10-15;720,00;720,00;720,00;720,00;0;0
2010-10-14;720,00;720,00;720,00;720,00;0;0
2010-10-13;720,00;720,00;720,00;720,00;0;0
2010-10-12;650,01;700,00;650,01;700,00;5;3.500
2010-10-11;700,00;700,00;700,00;700,00;0;0
2010-10-08;700,00;700,00;700,00;700,00;0;0
2010-10-07;700,00;700,00;700,00;700,00;0;0
2010-10-06;700,00;700,00;700,00;700,00;0;0
2010-10-05;700,00;700,00;700,00;700,00;0;0
2010-10-04;645,00;700,00;645,00;700,00;3;2.100
2010-10-01;645,00;645,00;645,00;645,00;0;0
2010-09-30;645,00;645,00;645,00;645,00;0;0
2010-09-29;645,00;645,00;645,00;645,00;0;0
2010-09-28;645,00;645,00;645,00;645,00;0;0
2010-09-27;645,00;645,00;645,00;645,00;0;0
2010-09-24;645,00;645,00;645,00;645,00;0;0
2010-09-23;640,00;640,00;640,00;640,00;0;0
2010-09-22;640,00;640,00;640,00;640,00;0;0
2010-09-21;640,00;640,00;640,00;640,00;0;0
2010-09-20;640,00;640,00;640,00;640,00;0;0
2010-09-16;666,00;666,00;666,00;666,00;0;0
2010-09-15;665,00;665,00;665,00;665,00;0;0
2010-09-14;675,00;675,00;665,00;665,00;26;17.290
2010-09-13;675,00;675,00;675,00;675,00;0;0
2010-09-10;671,00;671,00;671,00;671,00;0;0
2010-09-09;671,00;671,00;671,00;671,00;0;0
2010-09-08;671,00;671,00;671,00;671,00;0;0
2010-09-07;671,00;671,00;671,00;671,00;0;0
2010-09-06;671,00;671,00;671,00;671,00;0;0
2010-09-03;671,00;671,00;671,00;671,00;0;0
2010-09-02;670,00;670,00;670,00;670,00;0;0
2010-09-01;666,00;666,00;666,00;666,00;0;0
2010-08-31;665,00;665,00;665,00;665,00;0;0
2010-08-30;665,00;667,00;665,00;667,00;2;1.334
2010-08-27;665,00;665,00;665,00;665,00;0;0
2010-08-26;665,00;665,00;665,00;665,00;0;0
2010-08-25;680,00;700,00;680,00;700,00;2;1.400
2010-08-24;680,00;680,00;680,00;680,00;0;0
2010-08-23;666,00;666,00;666,00;666,00;0;0
2010-08-20;665,00;665,00;665,00;665,00;0;0
2010-08-19;665,00;665,00;665,00;665,00;0;0
2010-08-18;670,00;670,00;670,00;670,00;1;670
2010-08-17;670,00;670,00;670,00;670,00;0;0
2010-08-16;670,00;670,00;670,00;670,00;0;0
2010-08-13;665,00;665,00;665,00;665,00;0;0
2010-08-12;665,00;665,00;665,00;665,00;0;0
2010-08-11;665,00;665,00;665,00;665,00;0;0
2010-08-10;665,00;665,00;665,00;665,00;0;0
2010-08-09;665,00;665,00;665,00;665,00;0;0
2010-08-06;665,00;665,00;665,00;665,00;0;0
2010-08-05;662,00;700,00;662,00;700,00;10;7.000
2010-08-04;660,00;660,00;660,00;660,00;10;6.600
2010-08-03;660,00;660,00;660,00;660,00;0;0
2010-08-02;660,00;700,00;660,00;700,00;5;3.500
2010-07-30;660,00;660,00;660,00;660,00;0;0
2010-07-29;660,00;660,00;660,00;660,00;0;0
2010-07-28;660,00;660,00;660,00;660,00;0;0
2010-07-27;660,00;660,00;660,00;660,00;0;0
2010-07-26;660,00;660,00;660,00;660,00;0;0
2010-07-23;699,00;699,00;699,00;699,00;0;0
2010-07-22;720,00;720,00;670,00;680,00;6;4.080
2010-07-21;720,00;720,00;720,00;720,00;0;0
2010-07-20;720,00;720,00;720,00;720,00;0;0
2010-07-19;660,00;715,00;660,00;715,00;1;715
2010-07-16;652,00;652,00;652,00;652,00;0;0
2010-07-15;652,00;652,00;652,00;652,00;0;0
2010-07-14;652,00;652,00;652,00;652,00;0;0
2010-07-13;652,00;652,00;652,00;652,00;0;0
2010-07-12;651,00;651,00;651,00;651,00;0;0
2010-07-09;651,00;651,00;651,00;651,00;0;0
2010-07-07;651,00;651,00;651,00;651,00;0;0
2010-07-06;651,00;651,00;651,00;651,00;0;0
2010-07-05;651,00;651,00;651,00;651,00;0;0
2010-07-02;651,00;651,00;651,00;651,00;0;0
2010-07-01;651,00;651,00;651,00;651,00;0;0
2010-06-30;651,00;651,00;651,00;651,00;0;0
2010-06-29;651,00;651,00;651,00;651,00;0;0
2010-06-28;651,00;651,00;651,00;651,00;0;0
2010-06-25;651,00;651,00;651,00;651,00;0;0
2010-06-24;651,00;651,00;651,00;651,00;0;0
2010-06-23;652,00;652,00;652,00;652,00;0;0
2010-06-22;652,00;652,00;652,00;652,00;0;0
2010-06-21;650,01;650,01;650,01;650,01;0;0
2010-06-18;650,01;650,01;650,01;650,01;0;0
2010-06-17;650,01;650,01;650,01;650,01;0;0
2010-06-16;650,01;650,01;650,01;650,01;0;0
2010-06-15;650,01;650,01;650,01;650,01;0;0
2010-06-14;645,55;645,55;645,55;645,55;0;0
2010-06-11;645,55;645,55;645,55;645,55;0;0
2010-06-10;645,55;645,55;645,55;645,55;0;0
2010-06-09;645,55;645,55;645,55;645,55;0;0
2010-06-08;645,55;645,55;645,55;645,55;0;0
2010-06-07;645,50;645,50;645,50;645,50;0;0
2010-06-04;645,50;645,50;645,50;645,50;0;0
2010-06-02;645,10;645,10;645,10;645,10;0;0
2010-06-01;645,10;645,10;645,10;645,10;1;645
2010-05-31;645,10;645,10;645,10;645,10;0;0
2010-05-28;645,10;645,10;645,10;645,10;0;0
2010-05-27;645,10;645,10;645,10;645,10;0;0
2010-05-26;629,8084;630,6912;629,8084;630,6912;1;643
2010-05-25;629,8084;630,2008;629,8084;630,2008;1;643
2010-05-24;629,7594;676,6934;629,7594;637,5572;7;4.550
2010-05-21;629,7103;629,7103;629,7103;629,7103;0;0
2010-05-20;629,7103;629,7103;629,7103;629,7103;0;0
2010-05-19;629,7103;629,7103;629,7103;629,7103;0;0
2010-05-18;629,7103;629,7103;629,7103;629,7103;0;0
2010-05-17;627,9938;627,9938;627,9938;627,9938;0;0
2010-05-14;627,9938;627,9938;627,9938;627,9938;0;0
2010-05-13;627,9938;627,9938;627,9938;627,9938;0;0
2010-05-12;627,9938;627,9938;627,9938;627,9938;0;0
2010-05-11;627,8958;627,8958;627,8958;627,8958;0;0
2010-05-10;627,7486;627,7486;627,7486;627,7486;0;0
2010-05-07;627,7486;627,7486;627,7486;627,7486;0;0
2010-05-06;628,7295;632,6529;628,7295;632,6529;1;645
2010-05-05;628,7295;628,7295;628,7295;628,7295;0;0
2010-05-04;632,6529;632,6529;627,7486;632,6529;1;645
2010-05-03;622,8443;622,8443;619,9018;622,8443;2;1.270
2010-04-30;647,3658;647,3658;647,3658;647,3658;0;0
2010-04-29;647,3658;647,3658;647,3658;647,3658;0;0
2010-04-28;647,611;647,611;647,611;647,611;0;0
2010-04-27;647,66;647,66;647,66;647,66;0;0
2010-04-26;647,4148;647,4148;647,4148;647,4148;0;0
2010-04-23;666,9829;666,9829;647,4148;666,9829;3;2.040
2010-04-22;647,4148;647,4148;647,4148;647,4148;0;0
2010-04-21;647,4148;647,4148;647,4148;647,4148;0;0
2010-04-20;657,1744;657,1744;648,3466;657,1744;8;5.360
2010-04-19;657,1744;657,1744;657,1744;657,1744;0;0
2010-04-16;649,0332;676,7915;649,0332;676,7915;6;4.140
2010-04-15;648,1505;648,1505;648,1505;648,1505;4;2.643
2010-04-14;647,9543;647,9543;647,9543;647,9543;0;0
2010-04-13;647,9543;647,9543;647,9543;647,9543;0;0
2010-04-12;647,9543;647,9543;647,9543;647,9543;1;661
2010-04-09;647,8562;647,8562;647,8562;647,8562;0;0
2010-04-08;649,3275;649,3275;649,3275;649,3275;1;662
2010-04-07;648,3466;648,3466;648,3466;648,3466;2;1.322
2010-04-06;646,483;646,483;646,483;646,483;0;0
2010-04-01;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-31;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-30;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-29;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-26;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-25;647,3658;647,3658;647,3658;647,3658;0;0
2010-03-24;646,483;646,483;646,483;646,483;0;0
2010-03-23;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-22;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-19;644,6194;711,1215;644,6194;711,0234;5;3.625
2010-03-18;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-17;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-16;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-15;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-12;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-11;644,6194;644,6194;644,6194;644,6194;0;0
2010-03-10;643,5404;643,5404;643,5404;643,5404;0;0
2010-03-08;681,6958;681,6958;667,9638;671,8872;20;13.700
2010-03-05;686,6001;686,6001;686,6001;686,6001;1;700
2010-03-04;681,6958;696,4086;681,6958;696,4086;12;8.520
2010-03-03;630,5441;696,4086;630,5441;696,4086;14;9.940
2010-03-02;630,5441;630,5441;630,5441;630,5441;5;3.214
2010-03-01;629,7103;629,7103;629,7103;629,7103;1;642
2010-02-26;628,7295;678,7532;628,7295;678,7532;14;9.688
2010-02-25;628,7295;666,9829;628,7295;666,9829;7;4.760
2010-02-24;645,4041;666,9829;632,702;632,702;8;5.160
2010-02-23;645,4041;646,3849;644,9136;646,3849;2;1.318
2010-02-22;643,9328;644,9136;643,9328;644,9136;9;5.918
2010-02-19;643,001;643,4424;643,001;643,4424;1;656
2010-02-18;642,0201;642,0201;642,0201;642,0201;0;0
2010-02-17;639,5189;640,9902;639,5189;640,9902;5;3.268
2010-02-16;639,5189;639,5189;639,5189;639,5189;0;0
2010-02-15;638,5381;638,5381;638,5381;638,5381;0;0
2010-02-12;638,5381;638,5381;638,5381;638,5381;0;0
2010-02-11;647,3658;696,4086;647,3658;647,3658;8;5.280
2010-02-10;638,5381;686,6001;638,5381;686,6001;30;20.300
2010-02-09;637,5572;681,6958;637,5572;681,6958;8;5.560
2010-02-08;633,6338;681,5977;633,6338;681,5977;7;4.864
2010-02-05;636,5764;636,5764;636,5764;636,5764;0;0
2010-02-04;636,5764;636,5764;636,5764;636,5764;0;0
2010-02-03;630,6912;630,6912;630,6912;630,6912;0;0
2010-02-02;630,6912;630,6912;630,6912;630,6912;0;0
2010-02-01;628,7785;628,7785;628,7785;628,7785;0;0
2010-01-29;630,6912;630,6912;630,6912;630,6912;0;0
2010-01-28;630,6912;630,6912;630,6912;630,6912;0;0
2010-01-27;630,6912;630,6912;630,6912;630,6912;0;0
2010-01-26;630,6912;630,6912;630,6912;630,6912;0;0
2010-01-25;630,6912;630,6912;630,6912;630,6912;0;0
2010-01-22;637,5572;637,5572;637,5572;637,5572;0;0
2010-01-21;639,5189;639,5189;638,5381;638,5381;2;1.302
2010-01-20;640,4998;640,4998;640,4998;640,4998;0;0
2010-01-19;657,1744;657,1744;657,1744;657,1744;1;670
2010-01-18;640,5488;647,3658;640,5488;647,3658;1;660
