Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,47;1,47;1,47;1,47;0;0
2019-08-13;1,46;1,46;1,46;1,46;0;0
2019-08-12;1,49;1,49;1,49;1,49;0;0
2019-08-09;1,48;1,48;1,48;1,48;0;0
2019-08-08;1,46;1,46;1,46;1,46;0;0
2019-08-07;1,44;1,44;1,44;1,44;0;0
2019-08-06;1,43;1,43;1,43;1,43;0;0
2019-08-05;1,41;1,41;1,41;1,41;0;0
2019-08-02;1,49;1,49;1,49;1,49;0;0
2019-08-01;1,50;1,50;1,50;1,50;0;0
2019-07-31;1,50;1,50;1,50;1,50;0;0
2019-07-30;1,50;1,50;1,50;1,50;0;0
2019-07-29;1,50;1,50;1,50;1,50;0;0
2019-07-26;1,50;1,50;1,50;1,50;0;0
2019-07-25;1,50;1,50;1,50;1,50;0;0
2019-07-24;1,50;1,50;1,50;1,50;0;0
2019-07-23;1,53;1,53;1,53;1,53;0;0
2019-07-22;1,52;1,52;1,52;1,52;0;0
2019-07-19;1,54;1,54;1,54;1,54;0;0
2019-07-18;1,52;1,52;1,52;1,52;0;0
2019-07-17;1,56;1,56;1,53;1,53;100;153
2019-07-16;1,55;1,55;1,55;1,55;0;0
2019-07-15;1,56;1,56;1,56;1,56;0;0
2019-07-12;1,56;1,56;1,56;1,56;0;0
2019-07-11;1,56;1,56;1,56;1,56;0;0
2019-07-10;1,56;1,56;1,56;1,56;0;0
2019-07-09;1,55;1,55;1,55;1,55;0;0
2019-07-08;1,59;1,59;1,59;1,59;0;0
2019-07-05;1,60;1,60;1,60;1,60;0;0
2019-07-04;1,60;1,60;1,60;1,60;0;0
2019-07-03;1,59;1,59;1,59;1,59;0;0
2019-07-02;1,56;1,56;1,56;1,56;0;0
2019-07-01;1,58;1,58;1,58;1,58;0;0
2019-06-28;1,56;1,56;1,56;1,56;0;0
2019-06-27;1,56;1,56;1,56;1,56;0;0
2019-06-26;1,56;1,56;1,56;1,56;0;0
2019-06-25;1,56;1,56;1,56;1,56;0;0
2019-06-24;1,56;1,56;1,56;1,56;0;0
2019-06-21;1,57;1,57;1,57;1,57;0;0
2019-06-20;1,58;1,58;1,58;1,58;0;0
2019-06-19;1,56;1,56;1,56;1,56;0;0
2019-06-18;1,56;1,56;1,56;1,56;0;0
2019-06-17;1,55;1,55;1,55;1,55;0;0
2019-06-14;1,55;1,55;1,55;1,55;0;0
2019-06-13;1,54;1,54;1,54;1,54;0;0
2019-06-12;1,54;1,54;1,54;1,54;0;0
2019-06-11;1,59;1,59;1,59;1,59;0;0
2019-06-07;1,61;1,61;1,61;1,61;0;0
2019-06-06;1,60;1,60;1,60;1,60;0;0
2019-06-05;1,62;1,62;1,62;1,62;0;0
2019-06-04;1,62;1,62;1,62;1,62;0;0
2019-06-03;1,56;1,56;1,56;1,56;0;0
2019-05-31;1,56;1,56;1,56;1,56;0;0
2019-05-30;1,56;1,56;1,56;1,56;0;0
2019-05-29;1,48;1,48;1,48;1,48;0;0
2019-05-28;1,49;1,49;1,49;1,49;0;0
2019-05-27;1,49;1,49;1,49;1,49;0;0
2019-05-24;1,47;1,47;1,47;1,47;0;0
2019-05-23;1,46;1,46;1,46;1,46;0;0
2019-05-22;1,51;1,51;1,51;1,51;0;0
2019-05-21;1,56;1,56;1,56;1,56;0;0
2019-05-20;1,56;1,56;1,56;1,56;0;0
2019-05-17;1,55;1,55;1,55;1,55;0;0
2019-05-16;1,55;1,55;1,55;1,55;0;0
2019-05-15;1,56;1,56;1,56;1,56;0;0
2019-05-14;1,55;1,55;1,55;1,55;0;0
2019-05-13;1,56;1,56;1,56;1,56;0;0
2019-05-10;1,56;1,56;1,56;1,56;0;0
2019-05-09;1,54;1,54;1,54;1,54;0;0
2019-05-08;1,55;1,55;1,55;1,55;0;0
2019-05-07;1,54;1,54;1,54;1,54;0;0
2019-05-06;1,54;1,54;1,54;1,54;0;0
2019-05-03;1,55;1,55;1,55;1,55;0;0
2019-05-02;1,55;1,55;1,55;1,55;0;0
2019-04-30;1,55;1,55;1,55;1,55;0;0
2019-04-29;1,54;1,54;1,54;1,54;0;0
2019-04-26;1,54;1,54;1,54;1,54;0;0
2019-04-25;1,55;1,55;1,55;1,55;0;0
2019-04-24;1,54;1,54;1,54;1,54;0;0
2019-04-23;1,55;1,55;1,55;1,55;0;0
2019-04-18;1,56;1,56;1,56;1,56;0;0
2019-04-17;1,59;1,59;1,59;1,59;0;0
2019-04-16;1,64;1,64;1,64;1,64;0;0
2019-04-15;1,56;1,56;1,56;1,56;0;0
2019-04-12;1,58;1,58;1,58;1,58;0;0
2019-04-11;1,61;1,61;1,61;1,61;0;0
2019-04-10;1,61;1,61;1,61;1,61;0;0
2019-04-09;1,62;1,62;1,62;1,62;0;0
2019-04-08;1,54;1,54;1,54;1,54;0;0
2019-04-05;1,54;1,54;1,54;1,54;0;0
2019-04-04;1,53;1,53;1,53;1,53;0;0
2019-04-03;1,54;1,54;1,54;1,54;0;0
2019-04-02;1,60;1,60;1,60;1,60;0;0
2019-04-01;1,53;1,53;1,53;1,53;0;0
2019-03-29;1,53;1,53;1,53;1,53;0;0
2019-03-28;1,53;1,53;1,53;1,53;0;0
2019-03-27;1,51;1,57;1,51;1,57;1.000;1.570
2019-03-26;1,49;1,49;1,49;1,49;0;0
2019-03-25;1,52;1,52;1,52;1,52;0;0
2019-03-22;1,52;1,52;1,52;1,52;0;0
2019-03-21;1,52;1,52;1,52;1,52;0;0
2019-03-20;1,50;1,50;1,50;1,50;0;0
2019-03-19;1,52;1,52;1,52;1,52;0;0
2019-03-18;1,54;1,54;1,54;1,54;0;0
2019-03-15;1,52;1,52;1,52;1,52;0;0
2019-03-14;1,46;1,46;1,46;1,46;0;0
2019-03-13;1,59;1,59;1,59;1,59;0;0
2019-03-12;1,60;1,60;1,60;1,60;0;0
2019-03-11;1,59;1,59;1,59;1,59;0;0
2019-03-08;1,61;1,61;1,61;1,61;0;0
2019-03-07;1,61;1,61;1,61;1,61;0;0
2019-03-06;1,61;1,61;1,61;1,61;0;0
2019-03-05;1,61;1,61;1,61;1,61;0;0
2019-03-04;1,61;1,61;1,61;1,61;0;0
2019-03-01;1,61;1,61;1,61;1,61;0;0
2019-02-28;1,61;1,61;1,61;1,61;0;0
2019-02-27;1,61;1,61;1,61;1,61;0;0
2019-02-26;1,60;1,60;1,60;1,60;0;0
2019-02-25;1,58;1,58;1,58;1,58;0;0
2019-02-22;1,61;1,61;1,61;1,61;0;0
2019-02-21;1,61;1,61;1,61;1,61;0;0
2019-02-20;1,61;1,61;1,61;1,61;0;0
2019-02-19;1,59;1,59;1,59;1,59;0;0
2019-02-18;1,59;1,59;1,59;1,59;0;0
2019-02-15;1,60;1,60;1,60;1,60;0;0
2019-02-14;1,57;1,57;1,57;1,57;0;0
2019-02-13;1,60;1,60;1,60;1,60;0;0
2019-02-12;1,60;1,60;1,60;1,60;0;0
2019-02-11;1,54;1,54;1,54;1,54;0;0
2019-02-08;1,55;1,55;1,55;1,55;0;0
2019-02-07;1,54;1,54;1,54;1,54;0;0
2019-02-06;1,55;1,55;1,55;1,55;0;0
2019-02-05;1,54;1,54;1,54;1,54;0;0
2019-02-04;1,55;1,58;1,55;1,58;10.000;15.628
2019-02-01;1,50;1,55;1,50;1,55;5.000;7.750
2019-01-31;1,51;1,51;1,51;1,51;1.425;2.152
2019-01-30;1,50;1,50;1,50;1,50;0;0
2019-01-29;1,50;1,50;1,50;1,50;0;0
2019-01-28;1,50;1,50;1,50;1,50;0;0
2019-01-25;1,52;1,52;1,52;1,52;0;0
2019-01-24;1,52;1,52;1,52;1,52;0;0
2019-01-23;1,52;1,52;1,52;1,52;0;0
2019-01-22;1,52;1,52;1,52;1,52;0;0
2019-01-21;1,52;1,52;1,52;1,52;0;0
2019-01-18;1,53;1,53;1,53;1,53;0;0
2019-01-17;1,52;1,52;1,52;1,52;0;0
2019-01-16;1,52;1,52;1,52;1,52;0;0
2019-01-15;1,54;1,54;1,54;1,54;0;0
2019-01-14;1,53;1,53;1,53;1,53;0;0
2019-01-11;1,53;1,53;1,53;1,53;0;0
2019-01-10;1,55;1,55;1,55;1,55;0;0
2019-01-09;1,55;1,55;1,55;1,55;0;0
2019-01-08;1,56;1,56;1,56;1,56;0;0
2019-01-07;1,53;1,53;1,53;1,53;0;0
2019-01-04;1,54;1,54;1,54;1,54;0;0
2019-01-03;1,53;1,53;1,53;1,53;0;0
2019-01-02;1,54;1,54;1,54;1,54;0;0
2018-12-28;1,54;1,54;1,54;1,54;0;0
2018-12-27;1,44;1,44;1,44;1,44;0;0
2018-12-21;1,45;1,45;1,45;1,45;0;0
2018-12-20;1,41;1,50;1,41;1,50;5.000;7.442
2018-12-19;1,42;1,42;1,42;1,42;0;0
2018-12-18;1,44;1,48;1,44;1,48;1.500;2.220
2018-12-17;1,48;1,48;1,48;1,48;0;0
2018-12-14;1,48;1,48;1,48;1,48;0;0
2018-12-13;1,42;1,42;1,42;1,42;0;0
2018-12-12;1,45;1,45;1,45;1,45;0;0
2018-12-11;1,46;1,46;1,46;1,46;0;0
2018-12-10;1,46;1,48;1,46;1,48;2.000;2.960
2018-12-07;1,47;1,47;1,47;1,47;0;0
2018-12-06;1,48;1,48;1,48;1,48;0;0
2018-12-05;1,49;1,49;1,49;1,49;0;0
2018-12-04;1,50;1,50;1,50;1,50;0;0
2018-12-03;1,60;1,60;1,45;1,45;720;1.044
2018-11-30;1,57;1,57;1,57;1,57;0;0
2018-11-29;1,59;1,59;1,59;1,59;0;0
2018-11-28;1,59;1,59;1,59;1,59;0;0
2018-11-27;1,57;1,57;1,57;1,57;0;0
2018-11-26;1,56;1,56;1,56;1,56;0;0
2018-11-23;1,57;1,57;1,57;1,57;0;0
2018-11-22;1,56;1,56;1,56;1,56;0;0
2018-11-21;1,57;1,57;1,57;1,57;0;0
2018-11-20;1,57;1,57;1,57;1,57;0;0
2018-11-19;1,57;1,57;1,57;1,57;0;0
2018-11-16;1,56;1,56;1,56;1,56;0;0
2018-11-15;1,59;1,59;1,59;1,59;0;0
2018-11-14;1,59;1,59;1,59;1,59;0;0
2018-11-13;1,61;1,61;1,61;1,61;0;0
2018-11-12;1,61;1,61;1,61;1,61;1;2
2018-11-09;1,65;1,65;1,65;1,65;0;0
2018-11-08;1,66;1,66;1,66;1,66;0;0
2018-11-07;1,66;1,66;1,66;1,66;0;0
2018-11-06;1,65;1,65;1,65;1,65;0;0
2018-11-05;1,61;1,61;1,61;1,61;0;0
2018-11-02;1,62;1,62;1,62;1,62;0;0
2018-11-01;1,62;1,62;1,62;1,62;0;0
2018-10-31;1,63;1,63;1,63;1,63;0;0
2018-10-30;1,60;1,60;1,60;1,60;0;0
2018-10-29;1,60;1,60;1,60;1,60;0;0
2018-10-26;1,60;1,60;1,60;1,60;0;0
2018-10-25;1,62;1,62;1,62;1,62;0;0
2018-10-24;1,63;1,63;1,63;1,63;0;0
2018-10-23;1,62;1,62;1,62;1,62;0;0
2018-10-22;1,69;1,69;1,69;1,69;0;0
2018-10-19;1,69;1,69;1,69;1,69;0;0
2018-10-18;1,69;1,69;1,69;1,69;0;0
2018-10-17;1,70;1,70;1,70;1,70;0;0
2018-10-16;1,71;1,71;1,71;1,71;0;0
2018-10-15;1,65;1,65;1,65;1,65;0;0
2018-10-12;1,80;1,80;1,80;1,80;15;27
2018-10-11;1,70;1,70;1,70;1,70;0;0
2018-10-10;1,70;1,70;1,70;1,70;0;0
2018-10-09;1,73;1,73;1,72;1,72;1.225;2.107
2018-10-08;1,73;1,73;1,73;1,73;0;0
2018-10-05;1,73;1,73;1,73;1,73;0;0
2018-10-04;1,72;1,72;1,72;1,72;0;0
2018-10-02;1,73;1,73;1,73;1,73;0;0
2018-10-01;1,74;1,74;1,74;1,74;0;0
