Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,63;1,665;1,54;1,595;17.650;28.504
2019-08-13;1,635;1,675;1,59;1,675;23.018;37.339
2019-08-12;1,595;1,685;1,59;1,66;29.169;47.664
2019-08-09;1,57;1,665;1,475;1,515;37.248;58.569
2019-08-08;1,48;1,63;1,365;1,58;59.281;90.030
2019-08-07;1,67;1,67;1,33;1,445;214.070;308.604
2019-08-06;1,70;1,735;1,665;1,705;9.853;16.563
2019-08-05;1,785;1,785;1,695;1,745;25.016;43.245
2019-08-02;1,76;1,79;1,745;1,765;10.550;18.768
2019-08-01;1,74;1,82;1,72;1,82;10.683;18.957
2019-07-31;1,73;1,815;1,695;1,695;53.084;91.103
2019-07-30;1,775;1,775;1,705;1,73;16.041;27.577
2019-07-29;1,755;1,78;1,73;1,775;13.100;22.979
2019-07-26;1,795;1,805;1,73;1,745;9.550;17.119
2019-07-25;1,735;1,80;1,735;1,80;19.994;35.494
2019-07-24;1,775;1,795;1,70;1,785;36.410;64.102
2019-07-23;1,765;1,795;1,765;1,795;4.800;8.539
2019-07-22;1,835;1,835;1,80;1,835;2.265;4.086
2019-07-19;1,84;1,84;1,70;1,77;36.130;63.696
2019-07-18;1,735;1,755;1,735;1,75;6.165;10.771
2019-07-17;1,77;1,84;1,77;1,785;587;1.059
2019-07-16;1,785;1,945;1,705;1,78;20.120;36.339
2019-07-15;1,85;1,89;1,66;1,77;87.955;154.360
2019-07-12;1,825;1,89;1,825;1,85;7.565;14.179
2019-07-11;1,825;1,895;1,825;1,895;3.916;7.196
2019-07-10;1,845;1,875;1,825;1,875;12.343;22.799
2019-07-09;1,805;1,81;1,805;1,81;1.406;2.542
2019-07-08;1,825;1,85;1,805;1,815;9.380;17.201
2019-07-05;1,85;1,875;1,805;1,865;16.566;30.467
2019-07-04;1,875;1,88;1,875;1,88;2.500;4.696
2019-07-03;1,815;1,845;1,805;1,845;3.430;6.271
2019-07-02;1,815;1,85;1,78;1,845;18.923;34.274
2019-07-01;1,855;1,895;1,745;1,745;19.430;35.968
2019-06-28;1,78;1,84;1,72;1,84;8.905;15.678
2019-06-27;1,755;1,815;1,70;1,795;57.030;100.367
2019-06-26;1,85;1,855;1,695;1,72;95.210;163.635
2019-06-25;1,865;1,90;1,865;1,895;2.382;4.476
2019-06-24;1,875;1,96;1,865;1,96;13.886;26.445
2019-06-21;1,945;1,945;1,87;1,89;18.672;35.241
2019-06-20;1,975;1,975;1,89;1,95;24.210;46.046
2019-06-19;1,825;1,925;1,825;1,895;12.609;23.840
2019-06-18;1,905;1,95;1,825;1,91;16.913;32.171
2019-06-17;1,925;1,975;1,88;1,89;37.722;72.463
2019-06-14;1,955;1,955;1,925;1,945;9.593;18.648
2019-06-13;1,98;1,98;1,91;1,96;26.107;50.147
2019-06-12;1,955;1,98;1,88;1,97;21.059;40.796
2019-06-11;1,945;1,99;1,94;1,96;7.084;13.878
2019-06-10;1,975;1,975;1,975;1,975;1.500;2.963
2019-06-07;1,98;2,01;1,935;2,01;32.424;63.382
2019-06-06;1,96;1,995;1,885;1,92;36.904;71.468
2019-06-05;2,04;2,04;1,965;1,965;9.194;18.238
2019-06-04;2,03;2,04;1,935;2,04;45.770;91.191
2019-06-03;1,98;2,04;1,91;2,04;46.059;90.368
2019-05-31;1,965;1,995;1,92;1,98;27.264;52.917
2019-05-30;1,965;2,05;1,96;1,965;32.715;65.571
2019-05-29;1,96;2,00;1,925;1,99;29.579;58.291
2019-05-28;2,02;2,02;1,955;1,97;13.907;27.616
2019-05-27;2,08;2,08;1,98;1,98;51.047;103.896
2019-05-24;1,96;2,07;1,925;2,05;66.311;134.068
2019-05-23;1,975;2,02;1,895;1,94;40.680;80.632
2019-05-22;2,02;2,05;1,975;1,975;29.750;59.897
2019-05-21;2,01;2,02;1,985;2,02;31.583;63.366
2019-05-20;1,995;2,05;1,915;1,915;61.362;122.460
2019-05-17;1,95;1,95;1,90;1,90;12.253;23.678
2019-05-16;1,885;2,05;1,85;1,995;42.141;82.678
2019-05-15;1,885;1,925;1,82;1,90;21.220;39.428
2019-05-14;1,905;1,93;1,885;1,925;5.142;9.849
2019-05-13;1,90;1,93;1,855;1,925;25.167;47.474
2019-05-10;1,94;1,945;1,87;1,87;15.356;29.541
2019-05-09;1,88;1,945;1,84;1,94;18.323;34.678
2019-05-08;1,83;1,93;1,82;1,85;21.269;39.598
2019-05-07;1,965;1,97;1,75;1,92;43.962;81.601
2019-05-06;2,00;2,03;1,965;2,03;3.500;7.031
2019-05-03;2,08;2,17;1,955;2,01;124.845;256.606
2019-05-02;1,965;2,01;1,955;1,995;13.044;25.672
2019-04-30;1,98;2,04;1,935;2,04;12.700;25.170
2019-04-29;1,995;2,03;1,925;1,925;25.630;50.873
2019-04-26;2,00;2,04;1,99;1,995;8.678;17.396
2019-04-25;1,92;2,04;1,92;2,00;20.758;41.664
2019-04-24;1,95;2,01;1,92;1,92;16.348;32.508
2019-04-23;1,90;1,98;1,87;1,905;15.123;28.730
2019-04-18;1,88;1,96;1,855;1,945;8.369;16.029
2019-04-17;1,99;2,00;1,87;1,935;54.769;106.598
2019-04-16;2,05;2,06;2,00;2,06;10.469;21.285
2019-04-15;1,975;2,06;1,975;1,985;11.635;23.453
2019-04-12;2,10;2,10;1,985;2,06;32.904;66.617
2019-04-11;1,97;2,10;1,97;2,10;23.264;47.960
2019-04-10;1,99;2,05;1,985;1,985;24.271;48.428
2019-04-09;2,04;2,04;1,985;1,99;19.919;39.880
2019-04-08;2,05;2,07;1,985;2,04;45.347;92.136
2019-04-05;2,10;2,15;2,06;2,11;25.306;53.205
2019-04-04;2,13;2,18;2,05;2,09;43.147;90.009
2019-04-03;2,01;2,28;1,94;2,01;220.386;463.498
2019-04-02;1,90;1,98;1,84;1,98;37.154;71.619
2019-04-01;1,814;1,948;1,798;1,852;57.028;107.054
2019-03-29;1,76;1,852;1,75;1,85;58.638;106.083
2019-03-28;1,706;1,732;1,706;1,728;16.550;28.543
2019-03-27;1,682;1,708;1,682;1,692;5.880;9.968
2019-03-26;1,682;1,784;1,682;1,698;21.722;37.085
2019-03-25;1,68;1,748;1,68;1,68;16.962;29.340
2019-03-22;1,708;1,788;1,706;1,788;31.488;54.367
2019-03-21;1,75;1,75;1,708;1,708;5.457;9.413
2019-03-20;1,778;1,824;1,72;1,72;37.059;66.271
2019-03-19;1,698;1,798;1,67;1,778;94.003;165.227
2019-03-18;1,728;1,73;1,672;1,73;17.116;29.074
2019-03-15;1,68;1,75;1,65;1,672;106.002;183.352
2019-03-14;1,65;1,698;1,632;1,632;22.031;36.497
2019-03-13;1,71;1,724;1,638;1,648;96.750;161.594
2019-03-12;1,74;1,756;1,704;1,728;7.445;12.903
2019-03-11;1,712;1,716;1,688;1,71;3.457;5.888
2019-03-08;1,77;1,77;1,658;1,662;5.625;9.622
2019-03-07;1,70;1,746;1,65;1,69;44.978;76.486
2019-03-06;1,752;1,758;1,692;1,746;5.465;9.455
2019-03-05;1,734;1,774;1,652;1,758;56.399;94.928
2019-03-04;1,728;1,73;1,686;1,722;50.970;87.747
2019-03-01;1,706;1,75;1,632;1,632;97.390;166.716
2019-02-28;1,774;1,774;1,72;1,72;18.000;31.384
2019-02-27;1,704;1,788;1,704;1,788;24.627;42.535
2019-02-26;1,756;1,756;1,702;1,748;10.894;18.858
2019-02-25;1,798;1,828;1,692;1,692;23.815;42.341
2019-02-22;1,768;1,81;1,692;1,71;21.371;37.974
2019-02-21;1,688;1,768;1,688;1,706;49.687;85.775
2019-02-20;1,65;1,744;1,622;1,744;27.706;46.322
2019-02-19;1,616;1,716;1,612;1,716;6.519;10.661
2019-02-18;1,712;1,714;1,622;1,714;4.779;7.903
2019-02-15;1,648;1,708;1,592;1,708;18.722;30.871
2019-02-14;1,62;1,62;1,582;1,61;25.718;41.171
2019-02-13;1,706;1,706;1,602;1,636;22.066;36.207
2019-02-12;1,678;1,698;1,602;1,698;9.792;16.465
