Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-08-24;12,4445;12,79;12,4445;12,5355;;
2017-08-23;12,4475;12,4475;12,41;12,4445;;
2017-08-22;12,5975;12,5975;12,4175;12,4475;;
2017-08-21;12,428;12,5115;12,2375;12,5025;;
2017-08-20;12,414;12,434;12,414;12,428;;
2017-08-19;12,414;12,414;12,414;12,414;;
2017-08-18;12,1865;12,5405;12,1085;12,417;;
2017-08-17;12,426;12,4405;12,1345;12,1685;;
2017-08-16;12,3615;12,5945;12,295;12,387;;
2017-08-15;12,361;12,461;12,285;12,4155;;
2017-08-14;12,367;12,457;12,30;12,341;;
2017-08-13;12,3125;12,3145;12,3095;12,3095;;
2017-08-12;12,3125;12,3135;12,3125;12,3125;;
2017-08-11;12,347;12,3605;12,2755;12,3145;;
2017-08-10;12,3765;12,3775;12,24;12,342;;
2017-08-09;12,364;12,3765;12,3325;12,3765;;
2017-08-08;12,3665;12,3755;12,33;12,364;;
2017-08-07;12,39;12,394;12,3275;12,3665;;
2017-08-06;12,39;12,39;12,389;12,3895;;
2017-08-05;12,39;12,39;12,39;12,39;;
2017-08-04;12,407;12,407;12,3725;12,39;;
2017-08-03;12,391;12,407;12,345;12,405;;
2017-08-02;12,391;12,3935;12,325;12,392;;
2017-08-01;12,3955;12,399;12,3325;12,391;;
2017-07-31;12,456;12,457;12,3675;12,3935;;
2017-07-30;12,457;12,457;12,457;12,457;;
2017-07-29;12,457;12,457;12,457;12,457;;
2017-07-28;12,4085;12,4575;12,365;12,457;;
2017-07-27;12,396;12,4155;12,3825;12,4085;;
2017-07-26;12,3515;12,3975;12,345;12,392;;
2017-07-25;12,372;12,372;12,2875;12,3515;;
2017-07-24;12,346;12,373;12,3025;12,372;;
2017-07-23;12,347;12,347;12,347;12,347;;
2017-07-22;12,347;12,347;12,347;12,347;;
2017-07-21;12,336;12,3505;12,275;12,347;;
2017-07-20;12,3605;12,364;12,2475;12,336;;
2017-07-19;12,3625;12,3655;12,2775;12,3605;;
2017-07-18;12,415;12,416;12,2825;12,3625;;
2017-07-17;12,467;12,469;12,325;12,416;;
2017-07-16;12,467;12,469;12,467;12,469;;
2017-07-15;12,468;12,468;12,468;12,468;;
2017-07-14;12,4715;12,4715;12,425;12,468;;
2017-07-13;12,452;12,4715;12,42;12,4715;;
2017-07-12;12,441;12,452;12,4225;12,451;;
2017-07-11;12,4705;12,8065;12,3885;12,441;;
2017-07-10;12,429;12,4705;12,365;12,4695;;
2017-07-09;12,429;12,429;12,429;12,429;;
2017-07-08;12,428;12,43;12,428;12,429;;
2017-07-07;12,463;12,4705;12,3275;12,426;;
2017-07-06;12,4745;12,476;12,425;12,462;;
2017-07-05;12,462;12,4765;12,3975;12,4755;;
