Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,11;2,11;2,00;2,095;70.292;142.059
2019-08-13;2,20;2,205;1,864;2,19;101.434;209.653
2019-08-12;2,315;2,315;2,25;2,29;4.182;9.492
2019-08-09;2,255;2,40;2,255;2,375;7.092;16.299
2019-08-08;2,40;2,40;2,30;2,30;8.925;20.891
2019-08-07;2,50;2,57;2,375;2,375;3.333;8.325
2019-08-06;2,50;2,50;2,40;2,435;3.730;9.003
2019-08-05;2,45;2,545;2,45;2,545;3.495;8.656
2019-08-02;2,61;2,61;2,46;2,585;3.586;9.067
2019-08-01;2,50;2,635;2,415;2,625;9.025;22.942
2019-07-31;2,47;2,62;2,46;2,62;18.235;45.681
2019-07-30;2,665;2,665;2,35;2,47;11.072;27.586
2019-07-29;2,655;2,665;2,54;2,665;6.909;17.691
2019-07-26;2,45;2,70;2,40;2,595;16.594;41.435
2019-07-25;2,50;2,50;2,455;2,455;18.999;47.475
2019-07-24;2,65;2,65;2,30;2,41;170.327;419.831
2019-07-23;2,645;2,75;2,635;2,75;22.253;59.330
2019-07-22;2,65;2,745;2,60;2,695;87.804;231.089
2019-07-19;2,60;2,845;2,60;2,695;48.006;130.855
2019-07-18;2,85;2,85;2,405;2,53;65.921;172.721
2019-07-17;2,85;2,965;2,80;2,86;10.158;29.017
2019-07-16;2,95;3,10;2,89;2,925;11.909;34.952
2019-07-15;3,00;3,04;2,86;2,955;28.816;86.165
2019-07-12;2,985;3,00;2,86;2,91;12.990;38.143
2019-07-11;2,95;3,02;2,90;2,90;11.007;31.987
2019-07-10;3,00;3,10;2,85;2,93;63.071;187.397
2019-07-09;3,10;3,10;2,90;3,025;71.337;216.601
2019-07-08;2,90;3,14;2,90;3,00;79.811;242.504
2019-07-05;2,90;2,91;2,75;2,84;29.881;84.495
2019-07-04;2,90;2,90;2,86;2,86;761;2.207
2019-07-03;2,82;2,995;2,80;2,90;35.083;100.007
2019-07-02;2,82;2,82;2,67;2,80;35.389;97.509
2019-07-01;2,81;2,82;2,755;2,79;17.468;48.854
2019-06-28;2,66;2,76;2,615;2,73;79.181;213.795
2019-06-27;2,65;2,67;2,55;2,615;25.802;67.510
2019-06-26;2,69;2,69;2,32;2,675;102.015;265.281
2019-06-25;2,56;2,68;2,56;2,66;56.924;149.991
2019-06-24;2,51;2,69;2,42;2,56;53.508;137.888
2019-06-21;2,15;2,60;2,10;2,48;151.423;363.149
2019-06-20;2,19;2,255;2,185;2,185;25.749;57.355
2019-06-19;2,10;2,15;2,06;2,115;4.724;10.013
2019-06-18;2,07;2,07;1,95;2,06;22.449;45.801
2019-06-17;2,07;2,07;2,00;2,035;110;221
2019-06-14;2,09;2,09;1,95;2,00;6.308;12.519
2019-06-13;1,73;2,11;1,63;2,02;91.614;175.091
2019-06-12;1,94;1,94;1,71;1,744;47.402;83.324
2019-06-11;1,862;1,99;1,78;1,896;76.170;144.263
2019-06-07;1,89;2,10;1,772;1,944;47.031;91.355
2019-06-06;1,80;1,85;1,748;1,822;129.326;233.515
2019-06-05;1,798;1,978;1,75;1,81;200.542;367.985
2019-06-04;1,80;1,85;1,75;1,798;120.778;216.413
2019-06-03;1,732;1,95;1,732;1,802;132.156;237.188
2019-05-31;1,98;2,00;1,78;1,796;68.084;127.996
2019-05-30;1,956;2,02;1,752;1,86;95.787;182.558
2019-05-29;2,095;2,10;1,95;1,978;48.773;97.847
2019-05-28;2,10;2,20;1,96;2,025;117.384;240.207
2019-05-27;2,20;2,255;2,05;2,05;14.792;32.022
2019-05-24;2,24;2,275;2,20;2,26;52.250;117.159
2019-05-23;2,35;2,35;2,225;2,30;20.166;45.524
2019-05-22;2,30;2,38;2,30;2,35;31.449;73.794
2019-05-21;2,25;2,35;2,25;2,26;10.753;24.253
2019-05-20;2,33;2,465;2,30;2,30;8.322;19.330
2019-05-17;2,395;2,58;2,32;2,32;37.636;90.526
2019-05-16;2,30;2,40;2,145;2,34;40.850;92.815
2019-05-15;2,26;2,26;2,14;2,14;2.500;5.594
2019-05-14;2,055;2,60;2,05;2,30;84.012;196.773
2019-05-13;2,17;2,17;2,00;2,08;69.211;146.414
2019-05-10;2,35;2,35;2,18;2,22;12.506;28.047
2019-05-09;2,35;2,37;2,17;2,25;15.629;35.479
2019-05-08;2,31;2,31;2,29;2,29;1.150;2.657
2019-05-07;2,27;2,45;2,26;2,26;35.721;83.147
2019-05-06;2,37;2,40;2,26;2,30;18.689;43.572
2019-05-03;2,38;2,50;2,22;2,41;33.799;79.669
2019-05-02;2,34;2,49;2,16;2,34;79.613;186.014
2019-04-30;2,30;2,52;2,15;2,36;108.786;254.052
2019-04-29;2,40;2,53;2,21;2,37;54.492;128.072
2019-04-26;2,42;2,52;2,25;2,40;49.699;118.978
2019-04-25;2,45;2,70;2,24;2,51;85.606;212.277
2019-04-24;2,67;2,67;2,33;2,45;65.982;157.689
2019-04-23;2,40;2,55;2,39;2,47;49.092;121.478
