Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-13;0,835;0,835;0,825;0,825;2.500;2.076
2019-08-12;0,87;0,87;0,87;0,87;1.195;1.040
2019-08-09;0,815;0,815;0,815;0,815;142;116
2019-08-08;0,81;0,815;0,795;0,795;3.769;3.063
2019-08-07;0,82;0,82;0,82;0,82;151;124
2019-08-06;0,82;0,82;0,82;0,82;500;410
2019-08-05;0,82;0,84;0,82;0,84;2.034;1.689
2019-08-02;0,85;0,85;0,815;0,815;603;495
2019-08-01;0,87;0,885;0,87;0,885;5.500;4.830
2019-07-31;0,865;0,865;0,815;0,815;11.195;9.660
2019-07-30;0,89;0,89;0,83;0,83;621;523
2019-07-29;0,855;0,89;0,835;0,89;2.242;1.971
2019-07-26;0,815;0,815;0,815;0,815;88;72
2019-07-25;0,85;0,85;0,85;0,85;966;821
2019-07-24;0,81;0,825;0,81;0,825;15.108;12.363
2019-07-23;0,82;0,82;0,82;0,82;1.341;1.100
2019-07-19;0,815;0,835;0,815;0,835;4.825;3.972
2019-07-18;0,845;0,865;0,765;0,815;10.647;9.038
2019-07-17;0,83;0,86;0,82;0,86;16.314;13.610
2019-07-16;0,785;0,785;0,785;0,785;25;20
2019-07-15;0,805;0,84;0,805;0,84;2.758;2.284
2019-07-12;0,78;0,795;0,78;0,795;4.183;3.283
2019-07-11;0,83;0,83;0,795;0,795;10.179;8.369
2019-07-10;0,84;0,84;0,84;0,84;2.223;1.867
2019-07-09;0,825;0,825;0,825;0,825;357;295
2019-07-08;0,82;0,85;0,82;0,85;828;683
2019-07-05;0,862;0,862;0,862;0,862;100;86
2019-07-04;0,83;0,83;0,83;0,83;2.500;2.075
2019-07-03;0,812;0,864;0,81;0,864;26.343;21.675
2019-07-02;0,844;0,852;0,79;0,79;10.176;8.364
2019-07-01;0,83;0,834;0,826;0,826;10.021;8.303
2019-06-28;0,808;0,808;0,808;0,808;428;346
2019-06-25;0,834;0,834;0,822;0,822;10.000;8.335
2019-06-21;0,82;0,84;0,82;0,84;6.178;5.120
2019-06-20;0,80;0,82;0,80;0,82;1.929;1.570
2019-06-19;0,84;0,84;0,818;0,824;7.790;6.409
2019-06-18;0,832;0,832;0,82;0,832;8.235;6.792
2019-06-17;0,832;0,834;0,832;0,832;13.200;11.000
2019-06-13;0,828;0,866;0,828;0,866;1.542;1.285
2019-06-12;0,806;0,82;0,806;0,812;10.658;8.664
2019-06-11;0,832;0,832;0,792;0,792;23.020;19.115
2019-06-06;0,822;0,834;0,82;0,832;11.767;9.696
2019-06-05;0,816;0,816;0,816;0,816;107;87
2019-06-04;0,81;0,81;0,81;0,81;1.000;810
2019-05-29;0,782;0,782;0,782;0,782;285;223
2019-05-28;0,75;0,75;0,75;0,75;77;58
2019-05-27;0,81;0,81;0,776;0,776;5.700;4.610
2019-05-21;0,844;0,85;0,796;0,796;20.457;17.348
2019-05-20;0,78;0,78;0,776;0,776;90;70
2019-05-17;0,78;0,78;0,78;0,78;544;424
2019-05-15;0,784;0,82;0,776;0,82;1.340;1.064
2019-05-13;0,784;0,834;0,78;0,78;5.994;4.870
2019-05-09;0,786;0,786;0,786;0,786;1.071;842
2019-05-08;0,824;0,824;0,806;0,806;3.100;2.553
2019-05-07;0,85;0,85;0,82;0,832;8.893;7.456
2019-05-06;0,802;0,83;0,802;0,83;2.485;2.030
2019-05-03;0,822;0,848;0,822;0,848;1.797;1.511
2019-05-02;0,82;0,834;0,82;0,826;10.106;8.336
2019-04-30;0,91;0,91;0,826;0,844;33.276;28.531
2019-04-29;0,86;0,888;0,85;0,868;9.794;8.533
2019-04-26;0,814;0,814;0,814;0,814;1.978;1.610
2019-04-24;0,814;0,858;0,814;0,858;2.438;2.077
2019-04-23;0,812;0,812;0,812;0,812;306;248
2019-04-18;0,812;0,812;0,812;0,812;1.500;1.218
2019-04-17;0,824;0,84;0,812;0,812;12.473;10.361
2019-04-16;0,858;0,858;0,838;0,838;4.280;3.598
2019-04-15;0,812;0,812;0,812;0,812;428;348
2019-04-12;0,81;0,81;0,81;0,81;147;119
2019-04-11;0,786;0,88;0,786;0,876;6.511;5.516
2019-04-10;0,846;0,846;0,846;0,846;96;81
2019-04-09;0,882;0,91;0,882;0,886;4.434;3.969
2019-04-08;0,796;0,828;0,796;0,828;3.374;2.771
2019-04-05;0,746;0,762;0,746;0,762;410;311
2019-04-04;0,772;0,772;0,772;0,772;143;110
2019-04-03;0,772;0,772;0,772;0,772;641;495
2019-04-02;0,80;0,80;0,80;0,80;78;62
2019-04-01;0,754;0,804;0,754;0,804;1.442;1.152
2019-03-29;0,76;0,772;0,732;0,732;6.499;4.910
2019-03-28;0,78;0,78;0,78;0,78;357;278
2019-03-27;0,762;0,762;0,762;0,762;1.714;1.306
2019-03-26;0,786;0,786;0,756;0,756;1.352;1.037
2019-03-25;0,752;0,812;0,752;0,812;2.888;2.334
2019-03-22;0,776;0,848;0,776;0,798;5.928;4.792
2019-03-21;0,842;0,842;0,842;0,842;285;240
2019-03-20;0,838;0,838;0,838;0,838;178;149
2019-03-18;0,83;0,85;0,806;0,806;10.361;8.708
2019-03-15;0,824;0,824;0,824;0,824;285;235
2019-03-12;0,774;0,774;0,774;0,774;71;55
2019-03-11;0,862;0,898;0,862;0,898;1.414;1.262
2019-03-08;0,81;0,92;0,81;0,902;19.567;17.342
2019-03-05;0,904;0,936;0,90;0,90;4.305;3.928
2019-03-04;0,936;0,994;0,898;0,91;7.526;6.975
2019-03-01;0,888;0,888;0,842;0,842;6.120;5.357
2019-02-25;0,752;0,752;0,752;0,752;34;26
2019-02-21;0,752;0,752;0,752;0,752;142;107
2019-02-19;0,676;0,69;0,676;0,69;2.250;1.530
2019-02-18;0,71;0,712;0,672;0,672;4.063;2.888
2019-02-15;0,674;0,674;0,674;0,674;107;72
2019-02-13;0,678;0,696;0,676;0,682;14.130;9.692
2019-02-12;0,716;0,716;0,68;0,68;5.714;4.066
2019-02-11;0,636;0,698;0,636;0,698;3.328;2.280
2019-02-08;0,66;0,66;0,66;0,66;1.241;819
2019-02-07;0,646;0,728;0,646;0,728;2.712;1.854
2019-02-06;0,662;0,662;0,662;0,662;600;397
2019-02-05;0,69;0,69;0,666;0,69;5.500;3.747
2019-02-04;0,636;0,716;0,636;0,716;763;532
2019-02-01;0,676;0,676;0,58;0,64;45.905;28.273
2019-01-31;0,66;0,694;0,66;0,694;10.950;7.351
2019-01-30;0,714;0,714;0,69;0,69;2.000;1.404
2019-01-29;0,75;0,762;0,65;0,73;18.558;13.181
2019-01-28;0,838;0,844;0,782;0,782;1.067;869
2019-01-25;0,832;0,838;0,792;0,838;3.939;3.250
2019-01-24;0,816;0,83;0,768;0,83;6.525;5.316
2019-01-23;0,772;0,836;0,772;0,836;1.695;1.373
2019-01-22;0,798;0,80;0,768;0,768;39.735;31.558
2019-01-21;0,798;0,798;0,798;0,798;1.000;798
2019-01-18;0,798;0,798;0,772;0,772;5.500;4.376
2019-01-17;0,742;0,742;0,742;0,742;357;265
2019-01-16;0,798;0,798;0,798;0,798;2.350;1.875
2019-01-14;0,732;0,732;0,732;0,732;1.220;893
2019-01-11;0,726;0,75;0,726;0,75;1.533;1.137
2019-01-10;0,742;0,742;0,742;0,742;145;108
2019-01-09;0,742;0,742;0,742;0,742;1.000;742
