Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-07-05;0,07;0,07;0,07;0,07;0;0
2017-07-04;0,06;0,066;0,06;0,066;52;3
2017-07-03;0,057;0,139;0,057;0,058;1.450;104
2017-06-30;0,08;0,101;0,08;0,101;2.110;172
2017-06-29;0,057;0,058;0,057;0,058;18;1
2017-06-28;0,057;0,058;0,057;0,058;700;41
2017-06-27;0,057;0,057;0,057;0,057;0;0
2017-06-26;0,057;0,058;0,057;0,058;1.182;69
2017-06-23;0,057;0,057;0,057;0,057;0;0
2017-06-22;0,056;0,057;0,056;0,057;5;0
2017-06-21;0,085;0,085;0,085;0,085;1.380;117
2017-06-20;0,085;0,085;0,085;0,085;0;0
2017-06-19;0,085;0,085;0,085;0,085;0;0
2017-06-16;0,085;0,085;0,085;0,085;0;0
2017-06-15;0,085;0,085;0,085;0,085;0;0
2017-06-14;0,085;0,085;0,085;0,085;0;0
2017-06-13;0,085;0,086;0,085;0,086;100;9
2017-06-12;0,103;0,103;0,103;0,103;0;0
2017-06-09;0,075;0,103;0,075;0,103;5.000;515
2017-06-08;0,075;0,075;0,075;0,075;0;0
2017-06-07;0,075;0,076;0,075;0,076;50;4
2017-06-06;0,075;0,075;0,075;0,075;0;0
2017-06-02;0,075;0,075;0,075;0,075;0;0
2017-06-01;0,075;0,076;0,075;0,076;550;42
2017-05-31;0,075;0,075;0,075;0,075;0;0
2017-05-30;0,075;0,076;0,075;0,076;120;9
2017-05-29;0,075;0,076;0,075;0,076;50;4
2017-05-26;0,075;0,075;0,075;0,075;0;0
2017-05-25;0,075;0,076;0,075;0,076;45;3
2017-05-24;0,095;0,095;0,076;0,076;960;78
2017-05-23;0,095;0,095;0,095;0,095;0;0
2017-05-22;0,09;0,103;0,09;0,095;14.638;1.401
2017-05-19;0,06;0,076;0,06;0,076;250;19
2017-05-18;0,06;0,061;0,06;0,061;1.142;70
2017-05-17;0,06;0,061;0,06;0,061;285;17
2017-05-16;0,059;0,059;0,059;0,059;12.000;708
2017-05-15;0,058;0,059;0,058;0,059;1.293;76
2017-05-12;0,057;0,058;0,057;0,058;10;1
2017-05-11;0,057;0,057;0,057;0,057;0;0
2017-05-10;0,057;0,058;0,057;0,058;305;18
2017-05-09;0,065;0,065;0,058;0,058;640;40
2017-05-08;0,065;0,065;0,065;0,065;18;1
2017-05-05;0,065;0,065;0,065;0,065;18;1
2017-05-04;0,07;0,07;0,058;0,058;800;46
2017-05-03;0,057;0,057;0,057;0,057;0;0
2017-05-02;0,057;0,058;0,057;0,058;136;8
2017-04-28;0,057;0,057;0,057;0,057;0;0
2017-04-27;0,057;0,058;0,057;0,058;10;1
2017-04-26;0,057;0,058;0,057;0,058;3;0
2017-04-25;0,057;0,057;0,057;0,057;0;0
2017-04-24;0,055;0,056;0,055;0,056;3;0
2017-04-21;0,055;0,055;0,055;0,055;0;0
2017-04-20;0,055;0,055;0,055;0,055;0;0
2017-04-19;0,067;0,067;0,056;0,056;37;2
2017-04-18;0,067;0,067;0,067;0,067;0;0
2017-04-13;0,067;0,068;0,067;0,068;223;15
2017-04-12;0,067;0,068;0,067;0,068;39;3
2017-04-11;0,067;0,067;0,067;0,067;0;0
2017-04-10;0,067;0,068;0,067;0,068;60;4
2017-04-07;0,067;0,068;0,067;0,068;12;1
2017-04-06;0,065;0,065;0,065;0,065;0;0
2017-04-05;0,065;0,065;0,065;0,065;2;0
2017-04-04;0,065;0,065;0,065;0,065;0;0
2017-04-03;0,065;0,065;0,065;0,065;0;0
2017-03-31;0,055;0,08;0,055;0,08;10.060;803
2017-03-30;0,055;0,056;0,055;0,056;50;3
2017-03-29;0,055;0,055;0,055;0,055;0;0
2017-03-28;0,055;0,056;0,055;0,056;13;1
2017-03-27;0,055;0,056;0,055;0,056;89;5
2017-03-24;0,055;0,056;0,055;0,056;15;1
2017-03-23;0,055;0,056;0,055;0,056;1.000;56
2017-03-22;0,055;0,056;0,055;0,056;1.000;56
2017-03-21;0,06;0,061;0,056;0,056;14.728;873
2017-03-20;0,06;0,061;0,06;0,061;1.001;61
2017-03-17;0,08;0,08;0,061;0,061;1.003;61
2017-03-16;0,06;0,061;0,06;0,061;500;31
2017-03-15;0,06;0,061;0,06;0,061;186;11
2017-03-14;0,06;0,06;0,06;0,06;0;0
2017-03-13;0,06;0,061;0,06;0,061;15;1
2017-03-10;0,06;0,061;0,06;0,061;50;3
2017-03-09;0,06;0,06;0,06;0,06;0;0
2017-03-08;0,06;0,06;0,06;0,06;0;0
2017-03-07;0,06;0,061;0,06;0,061;1;0
2017-03-06;0,06;0,06;0,06;0,06;0;0
2017-03-03;0,06;0,061;0,06;0,061;7;0
2017-03-02;0,06;0,061;0,06;0,061;20;1
2017-03-01;0,06;0,06;0,06;0,06;150;9
2017-02-28;0,075;0,075;0,075;0,075;1.000;75
2017-02-27;0,06;0,061;0,06;0,061;305;19
2017-02-24;0,06;0,061;0,06;0,061;5.016;301
2017-02-23;0,06;0,061;0,06;0,061;206;13
2017-02-22;0,06;0,061;0,06;0,061;5;0
2017-02-21;0,06;0,061;0,06;0,061;185;11
2017-02-20;0,061;0,061;0,061;0,061;14;1
2017-02-17;0,06;0,061;0,06;0,061;63;4
2017-02-16;0,06;0,06;0,06;0,06;0;0
2017-02-15;0,06;0,061;0,06;0,061;1.471;90
2017-02-14;0,06;0,09;0,06;0,061;20.645;1.720
2017-02-13;0,055;0,056;0,055;0,056;1.414;79
2017-02-10;0,055;0,056;0,055;0,056;1.551;87
2017-02-09;0,055;0,056;0,055;0,056;155;9
2017-02-08;0,055;0,055;0,055;0,055;0;0
2017-02-07;0,055;0,055;0,055;0,055;0;0
2017-02-06;0,055;0,056;0,055;0,056;4.905;275
2017-02-03;0,055;0,056;0,055;0,056;904;51
2017-02-02;0,055;0,056;0,055;0,056;12;1
2017-02-01;0,055;0,056;0,055;0,056;33;2
2017-01-31;0,055;0,056;0,055;0,056;337;19
2017-01-30;0,06;0,06;0,056;0,056;7.100;426
2017-01-27;0,06;0,061;0,06;0,061;2.692;164
2017-01-26;0,06;0,061;0,06;0,061;85;5
2017-01-25;0,06;0,061;0,06;0,061;77;5
2017-01-24;0,07;0,07;0,07;0,07;1.600;112
2017-01-23;0,071;0,071;0,071;0,071;620;44
2017-01-20;0,07;0,071;0,07;0,071;11;1
2017-01-19;0,07;0,071;0,07;0,071;63;4
2017-01-18;0,061;0,071;0,061;0,071;350;25
2017-01-17;0,06;0,061;0,06;0,061;35;2
2017-01-16;0,06;0,06;0,06;0,06;0;0
2017-01-13;0,06;0,062;0,06;0,062;10.160;630
2017-01-12;0,06;0,06;0,06;0,06;0;0
2017-01-11;0,06;0,061;0,06;0,061;279;17
2017-01-10;0,06;0,061;0,06;0,061;161;10
2017-01-09;0,06;0,06;0,06;0,06;0;0
2017-01-06;0,06;0,06;0,06;0,06;0;0
2017-01-05;0,06;0,061;0,06;0,061;900;55
2017-01-04;0,06;0,06;0,06;0,06;0;0
2017-01-03;0,06;0,06;0,06;0,06;0;0
2017-01-02;0,06;0,06;0,06;0,06;0;0
2016-12-30;0,062;0,063;0,062;0,062;15.604;968
2016-12-29;0,062;0,063;0,062;0,063;3.240;204
2016-12-28;0,063;0,066;0,063;0,066;1.150;73
2016-12-27;0,062;0,063;0,062;0,063;6.082;383
2016-12-23;0,062;0,063;0,062;0,063;32;2
2016-12-22;0,062;0,066;0,062;0,063;8.216;530
2016-12-21;0,063;0,063;0,063;0,063;15.250;961
2016-12-20;0,063;0,063;0,063;0,063;0;0
2016-12-19;0,063;0,063;0,063;0,063;750;47
2016-12-16;0,06;0,061;0,06;0,061;12;1
2016-12-15;0,06;0,061;0,06;0,061;2.230;136
2016-12-14;0,06;0,061;0,06;0,061;310;19
2016-12-13;0,061;0,061;0,061;0,061;470;29
2016-12-12;0,061;0,061;0,061;0,061;617;38
2016-12-09;0,061;0,061;0,061;0,061;2;0
2016-12-08;0,06;0,061;0,06;0,061;831;51
2016-12-07;0,06;0,061;0,06;0,061;200;12
2016-12-06;0,06;0,061;0,06;0,061;2;0
2016-12-05;0,06;0,061;0,06;0,061;6;0
2016-12-02;0,06;0,061;0,06;0,061;121;7
2016-12-01;0,06;0,06;0,06;0,06;0;0
2016-11-30;0,06;0,061;0,06;0,061;702;43
2016-11-29;0,06;0,06;0,06;0,06;0;0
2016-11-28;0,06;0,061;0,06;0,061;50;3
2016-11-25;0,061;0,061;0,061;0,061;165;10
2016-11-24;0,06;0,061;0,06;0,061;510;31
2016-11-23;0,061;0,061;0,061;0,061;94;6
2016-11-22;0,06;0,061;0,06;0,061;302;18
2016-11-21;0,06;0,06;0,06;0,06;0;0
2016-11-18;0,06;0,06;0,06;0,06;0;0
2016-11-17;0,10;0,10;0,10;0,10;100;10
2016-11-16;0,08;0,15;0,06;0,06;3.699;492
2016-11-15;0,049;0,09;0,049;0,09;5.000;450
2016-11-14;0,049;0,049;0,049;0,049;3;0
2016-11-11;0,049;0,089;0,049;0,089;2.500;223
2016-11-10;0,049;0,05;0,049;0,05;355;18
2016-11-09;0,05;0,05;0,05;0,05;7.500;375
2016-11-08;0,05;0,05;0,05;0,05;0;0
2016-11-07;0,051;0,051;0,051;0,051;385;20
2016-11-04;0,05;0,051;0,05;0,051;959;49
2016-11-03;0,05;0,051;0,05;0,051;35;2
2016-11-02;0,07;0,07;0,051;0,051;1.900;118
2016-11-01;0,05;0,05;0,05;0,05;0;0
2016-10-31;0,05;0,05;0,05;0,05;0;0
2016-10-28;0,05;0,05;0,05;0,05;0;0
2016-10-27;0,05;0,051;0,05;0,051;4;0
2016-10-26;0,05;0,051;0,05;0,051;240;12
2016-10-25;0,047;0,051;0,047;0,051;183;9
2016-10-24;0,09;0,09;0,09;0,09;7.510;676
2016-10-21;0,09;0,091;0,09;0,091;400;36
2016-10-20;0,09;0,09;0,09;0,09;0;0
2016-10-19;0,09;0,091;0,09;0,091;550;50
2016-10-18;0,09;0,091;0,09;0,091;100;9
2016-10-17;0,09;0,091;0,09;0,091;760;69
2016-10-14;0,09;0,091;0,09;0,091;15;1
2016-10-13;0,09;0,091;0,09;0,091;8;1
2016-10-12;0,09;0,091;0,09;0,091;1.901;172
2016-10-11;0,09;0,111;0,09;0,091;1.510;167
2016-10-10;0,09;0,09;0,09;0,09;0;0
2016-10-07;0,09;0,09;0,09;0,09;0;0
2016-10-06;0,09;0,091;0,09;0,091;52;5
2016-10-05;0,09;0,091;0,09;0,091;2;0
2016-10-04;0,09;0,091;0,09;0,091;2.300;209
2016-09-30;0,079;0,079;0,079;0,079;0;0
2016-09-29;0,079;0,091;0,079;0,091;6.293;567
2016-09-28;0,079;0,08;0,079;0,08;110;9
2016-09-27;0,079;0,08;0,079;0,08;894;72
2016-09-26;0,079;0,08;0,079;0,08;31;2
2016-09-23;0,061;0,071;0,061;0,071;750;53
2016-09-22;0,061;0,07;0,061;0,07;2.691;181
2016-09-21;0,061;0,062;0,061;0,062;3;0
2016-09-20;0,061;0,061;0,061;0,061;0;0
2016-09-19;0,061;0,061;0,061;0,061;0;0
2016-09-16;0,061;0,062;0,061;0,062;40;2
2016-09-15;0,061;0,09;0,061;0,09;15.130;1.358
2016-09-14;0,061;0,061;0,061;0,061;0;0
2016-09-13;0,061;0,062;0,061;0,062;3;0
2016-09-12;0,061;0,062;0,061;0,062;350;22
2016-09-09;0,061;0,062;0,061;0,062;5;0
2016-09-08;0,061;0,062;0,061;0,062;1.000;62
2016-09-07;0,061;0,062;0,061;0,062;2.559;159
2016-09-06;0,062;0,168;0,062;0,149;850;123
2016-09-05;0,056;0,062;0,056;0,062;27;2
2016-09-02;0,056;0,056;0,056;0,056;0;0
2016-09-01;0,055;0,055;0,055;0,055;0;0
2016-08-31;0,055;0,055;0,055;0,055;0;0
2016-08-30;0,055;0,055;0,055;0,055;0;0
2016-08-29;0,056;0,056;0,056;0,056;6;0
2016-08-26;0,055;0,055;0,055;0,055;0;0
2016-08-25;0,055;0,055;0,055;0,055;0;0
2016-08-24;0,055;0,056;0,055;0,056;5;0
2016-08-23;0,055;0,07;0,055;0,07;5.000;350
2016-08-22;0,055;0,055;0,055;0,055;0;0
2016-08-19;0,055;0,06;0,055;0,06;2.000;120
2016-08-18;0,055;0,055;0,055;0,055;0;0
2016-08-17;0,055;0,055;0,055;0,055;0;0
2016-08-16;0,055;0,055;0,055;0,055;0;0
2016-08-15;0,055;0,055;0,055;0,055;20;1
2016-08-12;0,055;0,055;0,055;0,055;0;0
2016-08-11;0,055;0,056;0,055;0,056;1.561;87
2016-08-10;0,056;0,056;0,056;0,056;300;17
2016-08-09;0,044;0,056;0,044;0,056;484;24
2016-08-08;0,05;0,05;0,05;0,05;1.600;80
2016-08-05;0,05;0,05;0,05;0,05;0;0
2016-08-04;0,05;0,05;0,05;0,05;0;0
2016-08-03;0,05;0,05;0,05;0,05;0;0
2016-08-02;0,05;0,05;0,05;0,05;5.146;257
2016-08-01;0,044;0,044;0,044;0,044;0;0
2016-07-29;0,044;0,045;0,044;0,045;210;9
2016-07-28;0,044;0,044;0,044;0,044;0;0
2016-07-27;0,05;0,05;0,05;0,05;2.200;110
2016-07-26;0,044;0,045;0,044;0,045;250;11
2016-07-25;0,044;0,044;0,044;0,044;0;0
2016-07-22;0,045;0,045;0,045;0,045;214;10
2016-07-21;0,044;0,045;0,044;0,045;13;1
2016-07-20;0,044;0,045;0,044;0,045;50;2
2016-07-19;0,044;0,045;0,044;0,045;1.400;63
2016-07-18;0,044;0,045;0,044;0,045;2.904;131
2016-07-15;0,051;0,051;0,043;0,044;21.244;1.058
2016-07-14;0,051;0,051;0,051;0,051;1.420;72
2016-07-13;0,05;0,051;0,05;0,051;6.966;355
2016-07-12;0,05;0,05;0,05;0,05;0;0
2016-07-11;0,05;0,05;0,05;0,05;0;0
2016-07-08;0,05;0,05;0,05;0,05;0;0
2016-07-07;0,05;0,051;0,05;0,051;40;2
2016-07-06;0,05;0,051;0,05;0,051;127;6
2016-07-05;0,05;0,051;0,05;0,051;71;4
2016-07-04;0,05;0,05;0,05;0,05;0;0
2016-07-01;0,052;0,052;0,052;0,052;1.100;57
2016-06-30;0,065;0,065;0,052;0,052;4.499;240
2016-06-29;0,053;0,065;0,053;0,065;10.749;690
2016-06-28;0,052;0,053;0,052;0,053;190;10
2016-06-27;0,051;0,069;0,051;0,051;23.000;1.218
2016-06-24;0,05;0,052;0,05;0,052;5.000;260
2016-06-23;0,065;0,075;0,065;0,075;58;4
2016-06-22;0,065;0,065;0,065;0,065;0;0
2016-06-21;0,065;0,065;0,065;0,065;0;0
2016-06-20;0,065;0,065;0,065;0,065;0;0
2016-06-17;0,065;0,066;0,065;0,066;1;0
2016-06-16;0,05;0,05;0,05;0,05;0;0
2016-06-15;0,05;0,051;0,05;0,051;40;2
2016-06-14;0,075;0,075;0,051;0,051;20.223;1.511
2016-06-13;0,075;0,076;0,075;0,075;3.702;279
2016-06-10;0,075;0,075;0,075;0,075;0;0
2016-06-09;0,075;0,076;0,075;0,076;1.018;77
2016-06-08;0,075;0,13;0,075;0,076;2.502;325
2016-06-07;0,08;0,08;0,08;0,08;500;40
2016-06-06;0,08;0,08;0,08;0,08;0;0
2016-06-03;0,09;0,09;0,08;0,08;388;35
2016-06-02;0,09;0,091;0,09;0,091;400;36
2016-06-01;0,075;0,075;0,075;0,075;0;0
2016-05-31;0,10;0,10;0,091;0,091;15.514;1.416
2016-05-30;0,091;0,101;0,091;0,101;470;43
2016-05-27;0,091;0,10;0,091;0,10;10.000;1.000
2016-05-26;0,091;0,092;0,091;0,092;35;3
2016-05-25;0,091;0,091;0,091;0,091;0;0
