Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-06-25;99,50;99,50;99,50;99,50;0;0
2015-06-24;99,50;99,50;99,50;99,50;0;0
2015-06-23;99,50;99,50;99,50;99,50;0;0
2015-06-22;99,50;100,50;99,50;100,50;18.000;17.995
2015-06-19;99,50;99,50;99,50;99,50;0;0
2015-06-18;99,50;99,50;99,50;99,50;0;0
2015-06-17;99,50;99,50;99,50;99,50;0;0
2015-06-16;99,50;99,50;99,50;99,50;0;0
2015-06-15;99,50;99,50;99,50;99,50;0;0
2015-06-12;99,50;99,50;99,50;99,50;0;0
2015-06-11;99,00;99,00;99,00;99,00;0;0
2015-06-10;99,50;99,50;99,50;99,50;0;0
2015-06-09;100,00;100,00;100,00;100,00;20.000;20.000
2015-06-08;100,00;100,00;100,00;100,00;10.000;10.000
2015-06-05;100,00;100,25;100,00;100,25;20.000;20.050
2015-06-04;99,50;100,00;99,50;100,00;10.000;10.000
2015-06-03;99,50;99,50;99,50;99,50;0;0
2015-06-02;99,50;99,50;99,50;99,50;0;0
2015-06-01;100,00;100,00;100,00;100,00;1.000;1.000
2015-05-29;100,00;100,00;100,00;100,00;0;0
2015-05-28;100,00;100,00;100,00;100,00;0;0
2015-05-27;100,00;100,00;100,00;100,00;0;0
2015-05-26;100,00;100,00;100,00;100,00;20.000;20.000
2015-05-22;100,00;100,00;100,00;100,00;2.000;2.000
2015-05-20;100,25;100,25;100,25;100,25;0;0
2015-05-19;101,00;101,00;101,00;101,00;20.000;20.200
2015-05-18;100,50;100,50;100,50;100,50;0;0
2015-05-15;101,00;101,00;101,00;101,00;10.000;10.100
2015-05-14;101,00;101,00;101,00;101,00;0;0
2015-05-13;101,00;101,00;101,00;101,00;0;0
2015-05-12;101,25;101,25;101,25;101,25;0;0
2015-05-11;101,00;101,00;101,00;101,00;0;0
2015-05-08;101,00;101,00;101,00;101,00;0;0
2015-05-07;101,00;101,00;101,00;101,00;1.000;1.010
2015-05-06;101,00;101,00;101,00;101,00;0;0
2015-05-05;101,00;101,00;101,00;101,00;0;0
2015-05-04;101,00;101,00;101,00;101,00;0;0
2015-04-30;101,25;101,25;101,25;101,25;0;0
2015-04-29;101,25;101,25;101,25;101,25;0;0
2015-04-28;101,25;101,25;101,25;101,25;0;0
2015-04-27;101,25;101,25;101,25;101,25;0;0
2015-04-24;101,25;101,25;101,25;101,25;0;0
2015-04-23;101,25;101,25;101,25;101,25;0;0
2015-04-22;101,25;101,25;101,25;101,25;0;0
2015-04-21;101,50;101,50;101,50;101,50;0;0
2015-04-20;101,50;101,50;101,50;101,50;0;0
2015-04-17;101,50;101,50;101,50;101,50;0;0
2015-04-16;102,08;102,08;102,08;102,08;10.000;10.208
2015-04-15;102,08;102,08;102,08;102,08;0;0
2015-04-14;102,08;102,08;102,08;102,08;0;0
2015-04-13;102,08;102,08;102,08;102,08;0;0
2015-04-10;102,08;102,08;102,08;102,08;0;0
2015-04-09;102,08;102,08;102,08;102,08;0;0
2015-04-08;102,08;102,08;102,08;102,08;0;0
2015-04-07;102,00;102,00;102,00;102,00;0;0
2015-04-02;102,00;102,00;102,00;102,00;0;0
2015-04-01;102,00;102,00;102,00;102,00;0;0
2015-03-31;101,75;101,75;101,75;101,75;0;0
2015-03-30;102,00;102,00;102,00;102,00;0;0
2015-03-27;102,00;102,00;102,00;102,00;0;0
2015-03-26;102,00;102,00;102,00;102,00;0;0
2015-03-25;102,00;102,00;102,00;102,00;0;0
2015-03-24;102,00;102,00;102,00;102,00;0;0
2015-03-23;102,00;102,00;102,00;102,00;0;0
2015-03-20;102,00;102,00;102,00;102,00;0;0
