Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,60;3,60;3,60;3,60;0;0
2019-08-13;3,60;3,60;3,60;3,60;0;0
2019-08-12;3,60;3,62;3,60;3,60;9;33
2019-08-09;3,60;3,60;3,60;3,60;0;0
2019-08-08;3,60;3,60;3,60;3,60;0;0
2019-08-07;3,80;3,80;3,60;3,60;300;1.140
2019-07-31;3,68;3,68;3,68;3,68;0;0
2019-07-30;3,68;3,70;3,68;3,70;31;115
2019-07-29;3,68;3,70;3,68;3,70;38;141
2019-07-26;3,68;3,68;3,68;3,68;0;0
2019-07-25;3,68;3,70;3,68;3,70;2;7
2019-07-24;3,64;3,64;3,64;3,64;0;0
2019-07-23;3,34;3,34;3,34;3,34;0;0
2019-07-19;3,50;3,50;3,50;3,50;330;1.155
2019-07-18;3,40;3,40;3,30;3,36;687;2.313
2019-07-17;3,48;3,48;3,42;3,42;500;1.728
2019-07-16;3,48;3,48;3,48;3,48;506;1.761
2019-07-15;3,48;3,48;3,48;3,48;0;0
2019-07-12;3,48;3,48;3,48;3,48;500;1.740
2019-07-11;3,62;3,80;3,62;3,80;506;1.833
2019-07-10;3,72;3,72;3,62;3,62;539;1.994
2019-07-09;3,72;3,72;3,72;3,72;0;0
2019-07-08;3,72;3,72;3,72;3,72;0;0
2019-07-04;3,80;3,80;3,80;3,80;500;1.900
2019-07-03;3,80;3,80;3,80;3,80;0;0
2019-07-02;3,72;4,00;3,72;4,00;759;2.922
2019-07-01;3,84;3,84;3,84;3,84;642;2.465
2019-06-28;3,84;3,84;3,84;3,84;0;0
2019-06-27;3,84;3,84;3,84;3,84;0;0
2019-06-26;3,84;3,84;3,84;3,84;0;0
2019-06-25;3,84;3,84;3,84;3,84;0;0
2019-06-24;3,84;3,84;3,84;3,84;0;0
2019-06-20;4,00;4,00;4,00;4,00;0;0
2019-06-19;3,84;3,98;3,84;3,98;358;1.425
2019-06-18;3,84;3,84;3,84;3,84;0;0
2019-06-17;3,84;3,84;3,84;3,84;0;0
2019-06-14;3,84;3,84;3,84;3,84;0;0
2019-06-12;3,84;3,84;3,84;3,84;0;0
2019-06-11;3,82;3,84;3,82;3,84;0;0
2019-06-07;3,84;3,84;3,84;3,84;0;0
2019-06-06;3,86;3,86;3,84;3,84;31;120
2019-06-05;3,84;3,84;3,84;3,84;0;0
2019-06-04;3,84;3,84;3,84;3,84;0;0
2019-06-03;3,84;3,84;3,84;3,84;0;0
2019-05-31;3,84;3,84;3,84;3,84;0;0
2019-05-30;3,82;3,82;3,82;3,82;0;0
2019-05-24;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-23;4,06235;4,08188;4,06235;4,06235;102;418
2019-05-22;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-21;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-20;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-17;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-16;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-15;4,06235;4,06235;4,06235;4,06235;461;1.872
2019-05-14;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-13;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-10;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-09;4,06235;4,08188;4,06235;4,06235;1;4
2019-05-08;4,06235;4,08188;4,06235;4,08188;5;21
2019-05-07;4,06235;4,06235;4,06235;4,06235;0;0
2019-05-06;4,06235;4,08188;4,06235;4,08188;6;25
