Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;3,79;3,79;3,65;3,67;10.865;40.709
2019-08-15;3,81;3,81;3,70;3,73;11.540;43.469
2019-08-14;3,75;3,94;3,71;3,79;31.741;120.678
2019-08-13;3,66;3,77;3,64;3,67;3.127;11.579
2019-08-12;3,57;3,78;3,44;3,73;24.772;89.487
2019-08-09;3,40;3,52;3,36;3,41;5.319;18.224
2019-08-08;3,45;3,46;3,37;3,38;6.325;21.533
2019-08-07;3,47;3,47;3,35;3,40;5.308;18.107
2019-08-06;3,50;3,54;3,40;3,54;15.217;53.360
2019-08-05;3,51;3,62;3,50;3,62;3.260;11.458
2019-08-02;3,77;3,77;3,30;3,60;22.991;81.921
2019-08-01;3,85;3,85;3,78;3,80;2.867;10.925
2019-07-31;3,98;3,98;3,85;3,92;10.988;42.445
2019-07-30;3,96;3,96;3,85;3,94;8.259;31.828
2019-07-29;3,87;3,95;3,85;3,89;8.540;32.978
2019-07-26;3,93;3,93;3,93;3,93;0;0
2019-07-25;3,85;3,95;3,85;3,90;3.437;13.294
2019-07-24;3,76;3,88;3,76;3,85;21.334;81.263
2019-07-23;3,86;3,95;3,81;3,81;6.603;25.501
2019-07-22;3,98;3,98;3,87;3,96;5.038;19.525
2019-07-19;3,95;3,99;3,86;3,99;3.948;15.546
2019-07-18;3,99;4,05;3,95;4,04;8.425;33.795
2019-07-17;4,17;4,19;4,00;4,08;21.628;88.269
2019-07-16;3,87;4,19;3,87;4,18;124.929;500.689
2019-07-15;3,76;3,89;3,71;3,89;18.413;70.046
2019-07-12;3,80;3,87;3,76;3,80;4.495;17.007
2019-07-11;3,62;3,90;3,45;3,90;19.778;72.187
2019-07-10;3,70;3,72;3,62;3,68;4.375;16.029
2019-07-09;3,76;3,77;3,66;3,75;4.817;17.835
2019-07-08;3,77;3,82;3,68;3,82;4.288;16.076
2019-07-05;3,85;3,85;3,80;3,85;2.086;8.030
2019-07-04;3,92;3,95;3,77;3,88;10.287;39.611
2019-07-03;3,86;3,95;3,85;3,92;1.730;6.705
2019-07-02;3,95;3,95;3,82;3,94;8.140;31.701
2019-07-01;4,00;4,27;3,87;3,93;193.022;773.514
2019-06-28;3,89;4,00;3,89;4,00;61.940;246.485
2019-06-27;3,90;3,90;3,86;3,86;6.383;24.639
2019-06-26;3,99;3,99;3,88;3,89;610;2.368
2019-06-25;3,99;3,99;3,83;3,90;7.625;29.679
2019-06-24;4,00;4,00;3,76;3,95;3.672;14.089
2019-06-21;3,92;3,92;3,86;3,88;14.532;56.725
2019-06-20;4,00;4,00;3,91;3,93;3.734;14.664
2019-06-19;4,00;4,00;3,86;3,95;13.111;51.900
2019-06-18;4,07;4,12;4,01;4,01;13.998;57.140
2019-06-17;4,14;4,14;4,08;4,08;2.348;9.719
2019-06-14;4,11;4,11;4,06;4,09;10.107;41.382
2019-06-13;4,18;4,18;4,12;4,15;2.961;12.288
2019-06-12;4,23;4,23;4,10;4,16;6.998;29.180
2019-06-11;4,00;4,35;3,95;4,24;94.612;388.100
2019-06-07;3,99;4,00;3,95;4,00;40.797;162.996
2019-06-06;3,95;3,98;3,91;3,94;18.332;72.532
2019-06-05;3,98;3,98;3,90;3,90;12.191;48.169
2019-06-04;4,16;4,16;3,97;3,97;17.649;71.404
2019-06-03;3,98;4,22;3,90;4,05;29.586;119.064
2019-05-31;3,85;3,90;3,85;3,90;10.769;41.632
2019-05-30;3,95;3,98;3,85;3,85;34.623;136.126
2019-05-29;3,96;4,00;3,92;4,00;7.442;29.650
2019-05-28;3,92;4,00;3,92;3,98;20.989;83.655
2019-05-27;4,23;4,23;3,76;4,00;88.263;354.627
2019-05-24;4,23;4,23;4,15;4,20;11.093;46.540
2019-05-23;4,16;4,23;4,14;4,18;26.446;110.906
2019-05-22;4,24;4,30;4,15;4,18;26.866;114.033
2019-05-21;4,24;4,29;4,15;4,23;23.738;99.655
2019-05-20;4,30;4,43;4,19;4,19;15.028;64.530
2019-05-17;4,43;4,43;4,20;4,27;1.153;4.849
2019-05-16;4,08;4,44;4,08;4,28;15.136;63.866
2019-05-15;4,20;4,20;4,05;4,18;2.786;11.498
2019-05-14;4,29;4,49;4,18;4,24;12.094;51.826
2019-05-13;4,41;4,44;4,20;4,34;12.544;53.942
2019-05-10;4,25;4,44;4,07;4,44;26.552;112.275
2019-05-09;4,32;4,48;4,20;4,20;20.717;89.694
2019-05-08;4,54;4,54;4,30;4,38;8.595;38.161
2019-05-07;4,66;4,66;4,30;4,46;10.217;45.116
2019-05-06;4,49626;5,03342;4,49626;4,57584;23.925;111.192
2019-05-03;4,67531;4,67531;4,56589;4,56589;2.715;12.425
2019-05-02;4,59573;4,80463;4,49626;4,57584;15.205;69.714
2019-04-30;4,81458;4,81458;4,59573;4,61563;8.325;38.570
2019-04-29;4,55594;4,81458;4,55594;4,62557;22.966;107.662
2019-04-26;4,58578;4,64547;4,55594;4,57584;16.486;75.753
2019-04-25;4,87426;4,87426;4,48631;4,60568;24.565;114.014
2019-04-24;4,7151;4,86431;4,65542;4,65542;23.518;110.259
2019-04-23;4,78473;4,78473;4,56589;4,60568;8.411;39.402
2019-04-18;4,77479;4,86431;4,77479;4,84442;2.915;13.938
2019-04-17;5,03342;5,03342;4,81458;4,84442;43.075;212.461
2019-04-16;5,27216;5,27216;4,87426;5,01352;12.526;63.196
2019-04-15;5,25226;5,27216;5,113;5,13289;9.674;50.649
2019-04-12;5,33184;5,37163;5,113;5,27216;24.219;126.517
2019-04-11;5,43132;5,491;5,31195;5,33184;12.183;65.837
2019-04-10;5,25226;5,41142;5,25226;5,33184;8.423;44.857
2019-04-09;5,55069;5,57058;5,07321;5,15279;45.570;243.121
2019-04-08;5,53079;5,80932;5,21247;5,43132;52.252;289.795
2019-04-05;4,67531;5,37163;4,63552;5,35174;56.788;288.766
2019-04-04;4,40673;4,7151;4,28736;4,66536;28.723;127.011
2019-04-03;4,1282;4,41668;4,1282;4,36694;52.828;226.591
2019-04-02;4,22767;4,22767;4,07846;4,14809;8.138;33.608
2019-04-01;4,21773;4,21773;4,09836;4,17794;9.495;39.758
2019-03-29;4,27244;4,27244;4,15307;4,16799;8.979;37.375
2019-03-28;4,3172;4,47636;4,07846;4,1282;34.681;143.991
2019-03-27;4,21773;4,26249;4,17296;4,17794;28.627;119.891
2019-03-26;3,97899;3,99888;3,79993;3,98894;68.007;268.448
2019-03-25;3,86459;4,02375;3,86459;3,9392;6.892;27.351
2019-03-22;4,07846;4,07846;3,78004;3,9392;31.752;124.448
2019-03-21;4,06852;4,15804;3,9392;3,98396;9.391;38.256
2019-03-20;4,12323;4,12323;3,87454;4,04862;36.865;148.308
2019-03-19;4,11825;4,29233;4,11328;4,2227;37.233;154.524
2019-03-18;4,17794;4,36197;4,17794;4,26249;12.225;52.031
2019-03-15;4,29731;4,46144;4,13815;4,3371;9.331;40.205
2019-03-14;4,45647;4,45647;4,28239;4,28239;4.328;18.803
2019-03-13;4,35202;4,47139;4,1282;4,29731;24.369;104.149
2019-03-12;4,27741;4,27741;4,11825;4,21773;20.988;87.777
2019-03-11;4,35202;4,38186;4,26746;4,27741;14.332;61.595
2019-03-08;4,47636;4,64049;4,38186;4,38186;15.445;69.305
2019-03-07;4,5261;4,72007;4,32715;4,43657;19.429;88.632
2019-03-06;4,4316;4,5261;4,38683;4,5261;904;4.016
2019-03-05;4,57086;4,57086;4,4316;4,4316;7.129;32.055
2019-03-04;4,27741;4,72505;4,24757;4,61065;19.102;84.071
2019-03-01;3,93422;4,46641;3,93422;4,33212;17.195;70.775
2019-02-28;3,92428;3,97899;3,90438;3,90438;11.203;44.275
2019-02-27;4,06852;4,12323;3,92925;3,93422;13.654;54.020
2019-02-26;4,12323;4,22767;4,07349;4,09836;17.828;73.441
2019-02-25;3,97899;4,17794;3,97899;4,15804;24.425;99.939
2019-02-22;3,94417;3,95909;3,87951;3,95412;19.971;78.487
2019-02-21;4,1282;4,15307;3,90438;3,97899;45.486;183.876
2019-02-20;4,17296;4,23265;4,07846;4,15307;8.323;34.443
2019-02-19;4,1282;4,16799;4,08344;4,16799;16.138;66.489
2019-02-18;4,0337;4,19783;4,0337;4,14809;22.584;93.269
2019-02-15;4,0138;4,17794;3,86957;4,13815;29.466;119.229
2019-02-14;3,92428;4,07846;3,9193;4,02873;19.607;77.529
2019-02-13;4,05359;4,05359;3,87951;3,9193;12.965;51.082
2019-02-12;4,06852;4,07349;3,88946;4,06852;16.688;66.757
2019-02-11;4,26746;4,26746;4,04862;4,1282;25.924;106.437
2019-02-08;4,46144;4,64547;4,1282;4,26746;39.914;177.066
2019-02-07;4,63055;4,76484;4,46641;4,49128;112.658;519.662
2019-02-06;3,92925;4,79468;3,92925;4,52112;135.320;596.128
