Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-10-30;0,421;0,421;0,421;0,421;0;0
2015-10-29;0,421;0,421;0,421;0,421;0;0
2015-10-28;0,421;0,421;0,421;0,421;0;0
2015-10-27;0,419;0,419;0,419;0,419;0;0
2015-10-26;0,421;0,421;0,421;0,421;0;0
2015-10-23;0,425;0,425;0,425;0,425;0;0
2015-10-22;0,419;0,419;0,419;0,419;0;0
2015-10-21;0,422;0,422;0,422;0,422;0;0
2015-10-20;0,42;0,42;0,42;0,42;0;0
2015-10-19;0,419;0,419;0,419;0,419;0;0
2015-10-16;0,423;0,423;0,423;0,423;0;0
2015-10-15;0,422;0,422;0,422;0,422;0;0
2015-10-14;0,418;0,418;0,418;0,418;0;0
2015-10-13;0,419;0,419;0,419;0,419;0;0
2015-10-12;0,421;0,421;0,421;0,421;0;0
2015-10-09;0,425;0,425;0,425;0,425;0;0
2015-10-08;0,42;0,42;0,42;0,42;0;0
2015-10-07;0,42;0,42;0,42;0,42;0;0
2015-10-06;0,42;0,42;0,42;0,42;0;0
2015-10-05;0,425;0,425;0,425;0,425;0;0
2015-10-02;0,423;0,423;0,423;0,423;0;0
2015-10-01;0,423;0,423;0,423;0,423;0;0
2015-09-30;0,423;0,423;0,423;0,423;0;0
2015-09-29;0,417;0,417;0,417;0,417;0;0
2015-09-28;0,416;0,416;0,416;0,416;0;0
2015-09-25;0,426;0,426;0,426;0,426;0;0
2015-09-24;0,419;0,419;0,419;0,419;0;0
2015-09-23;0,42;0,42;0,42;0,42;0;0
2015-09-22;0,421;0,421;0,421;0,421;0;0
2015-09-21;0,419;0,419;0,419;0,419;0;0
2015-09-18;0,418;0,418;0,418;0,418;0;0
2015-09-17;0,422;0,422;0,422;0,422;0;0
2015-09-16;0,422;0,422;0,422;0,422;0;0
2015-09-15;0,422;0,422;0,422;0,422;0;0
2015-09-14;0,422;0,422;0,422;0,422;0;0
2015-09-11;0,451;0,451;0,451;0,451;0;0
2015-09-10;0,436;0,436;0,436;0,436;0;0
2015-09-09;0,446;0,446;0,446;0,446;0;0
2015-09-08;0,44;0,44;0,44;0,44;0;0
2015-09-07;0,446;0,446;0,442;0,442;180;80
2015-09-04;0,44;0,44;0,44;0,44;0;0
2015-09-03;0,443;0,443;0,443;0,443;0;0
2015-09-02;0,441;0,441;0,441;0,441;0;0
2015-09-01;0,433;0,433;0,433;0,433;0;0
2015-08-31;0,436;0,436;0,436;0,436;0;0
2015-08-28;0,44;0,44;0,44;0,44;0;0
2015-08-27;0,448;0,448;0,448;0,448;0;0
2015-08-26;0,435;0,435;0,435;0,435;0;0
2015-08-25;0,441;0,441;0,441;0,441;0;0
2015-08-24;0,432;0,432;0,432;0,432;0;0
2015-08-21;0,437;0,437;0,437;0,437;0;0
2015-08-20;0,443;0,443;0,443;0,443;0;0
2015-08-19;0,441;0,441;0,441;0,441;0;0
2015-08-18;0,446;0,446;0,446;0,446;0;0
2015-08-17;0,447;0,447;0,447;0,447;0;0
2015-08-14;0,445;0,445;0,445;0,445;0;0
2015-08-13;0,45;0,45;0,45;0,45;0;0
2015-08-12;0,443;0,443;0,443;0,443;0;0
2015-08-11;0,444;0,444;0,444;0,444;0;0
2015-08-10;0,447;0,447;0,447;0,447;0;0
2015-08-07;0,445;0,445;0,445;0,445;0;0
2015-08-06;0,443;0,443;0,443;0,443;0;0
2015-08-05;0,446;0,446;0,446;0,446;0;0
2015-08-04;0,489;0,489;0,489;0,489;0;0
2015-08-03;0,489;0,489;0,489;0,489;0;0
2015-07-31;0,49;0,49;0,49;0,49;0;0
2015-07-30;0,491;0,491;0,491;0,491;0;0
2015-07-29;0,491;0,491;0,491;0,491;0;0
2015-07-28;0,492;0,492;0,492;0,492;0;0
2015-07-27;0,488;0,488;0,488;0,488;0;0
2015-07-24;0,489;0,489;0,489;0,489;0;0
2015-07-23;0,492;0,492;0,492;0,492;0;0
2015-07-22;0,488;0,488;0,488;0,488;0;0
2015-07-21;0,491;0,491;0,491;0,491;0;0
2015-07-20;0,49;0,49;0,49;0,49;0;0
2015-07-17;0,49;0,49;0,49;0,49;0;0
2015-07-16;0,467;0,467;0,467;0,467;0;0
2015-07-15;0,446;0,446;0,446;0,446;0;0
2015-07-14;0,446;0,446;0,446;0,446;0;0
2015-07-13;0,446;0,446;0,446;0,446;0;0
2015-07-10;0,447;0,447;0,447;0,447;0;0
2015-07-09;0,447;0,447;0,447;0,447;0;0
2015-07-08;0,449;0,449;0,449;0,449;0;0
2015-07-07;0,446;0,446;0,446;0,446;0;0
2015-07-06;0,435;0,435;0,435;0,435;0;0
2015-07-03;0,446;0,446;0,446;0,446;0;0
2015-07-02;0,445;0,445;0,445;0,445;0;0
2015-07-01;0,448;0,448;0,448;0,448;0;0
2015-06-30;0,443;0,443;0,443;0,443;0;0
2015-06-29;0,481;0,481;0,481;0,481;0;0
2015-06-26;0,459;0,459;0,459;0,459;0;0
2015-06-25;0,459;0,459;0,459;0,459;0;0
2015-06-24;0,461;0,461;0,461;0,461;0;0
2015-06-23;0,46;0,46;0,46;0,46;0;0
2015-06-22;0,463;0,463;0,463;0,463;0;0
2015-06-19;0,461;0,461;0,461;0,461;0;0
2015-06-18;0,456;0,456;0,456;0,456;0;0
2015-06-17;0,421;0,421;0,421;0,421;0;0
2015-06-16;0,421;0,421;0,421;0,421;0;0
2015-06-15;0,419;0,419;0,419;0,419;0;0
2015-06-12;0,419;0,419;0,419;0,419;0;0
2015-06-11;0,42;0,42;0,42;0,42;0;0
2015-06-10;0,42;0,42;0,42;0,42;0;0
2015-06-09;0,418;0,418;0,418;0,418;0;0
2015-06-08;0,42;0,42;0,42;0,42;0;0
2015-06-05;0,418;0,418;0,418;0,418;0;0
2015-06-04;0,419;0,419;0,419;0,419;0;0
2015-06-03;0,42;0,42;0,42;0,42;0;0
2015-06-02;0,421;0,421;0,421;0,421;0;0
2015-06-01;0,422;0,422;0,422;0,422;0;0
2015-05-29;0,421;0,421;0,421;0,421;1;0
2015-05-28;0,42;0,42;0,42;0,42;0;0
2015-05-27;0,40;0,40;0,40;0,40;0;0
2015-05-26;0,42;0,42;0,42;0,42;0;0
2015-05-25;0,384;0,384;0,384;0,384;0;0
2015-05-22;0,383;0,383;0,383;0,383;0;0
2015-05-21;0,43;0,43;0,43;0,43;0;0
2015-05-20;0,43;0,43;0,43;0,43;0;0
2015-05-19;0,431;0,431;0,431;0,431;0;0
2015-05-18;0,431;0,431;0,431;0,431;0;0
2015-05-15;0,43;0,43;0,43;0,43;0;0
2015-05-14;0,429;0,429;0,429;0,429;0;0
2015-05-13;0,433;0,433;0,427;0,427;20;9
2015-05-12;0,428;0,428;0,428;0,428;0;0
2015-05-11;0,43;0,43;0,43;0,43;0;0
2015-05-08;0,43;0,43;0,43;0,43;0;0
2015-05-07;0,429;0,429;0,429;0,429;0;0
2015-05-06;0,431;0,431;0,431;0,431;0;0
2015-05-05;0,429;0,429;0,429;0,429;0;0
2015-05-04;0,425;0,425;0,425;0,425;0;0
2015-04-30;0,421;0,421;0,421;0,421;0;0
2015-04-29;0,36;0,36;0,36;0,36;0;0
2015-04-28;0,488;0,488;0,488;0,488;0;0
2015-04-27;0,49;0,49;0,49;0,49;0;0
2015-04-24;0,492;0,492;0,492;0,492;0;0
2015-04-23;0,491;0,491;0,491;0,491;0;0
2015-04-22;0,492;0,492;0,492;0,492;0;0
2015-04-21;0,49;0,49;0,49;0,49;0;0
2015-04-20;0,491;0,491;0,491;0,491;0;0
2015-04-17;0,49;0,49;0,49;0,49;0;0
2015-04-16;0,49;0,49;0,49;0,49;0;0
2015-04-15;0,491;0,491;0,491;0,491;0;0
2015-04-14;0,489;0,489;0,489;0,489;0;0
2015-04-13;0,49;0,49;0,49;0,49;0;0
2015-04-10;0,491;0,491;0,491;0,491;0;0
2015-04-09;0,492;0,492;0,492;0,492;0;0
2015-04-08;0,49;0,49;0,49;0,49;0;0
2015-04-07;0,493;0,493;0,493;0,493;0;0
2015-04-02;0,491;0,491;0,491;0,491;0;0
2015-04-01;0,487;0,487;0,487;0,487;0;0
2015-03-31;0,488;0,488;0,488;0,488;0;0
2015-03-30;0,491;0,491;0,491;0,491;0;0
2015-03-27;0,491;0,491;0,491;0,491;0;0
2015-03-26;0,485;0,485;0,485;0,485;0;0
2015-03-25;0,489;0,489;0,489;0,489;0;0
2015-03-24;0,49;0,49;0,49;0,49;0;0
2015-03-23;0,49;0,49;0,49;0,49;0;0
2015-03-20;0,49;0,49;0,49;0,49;0;0
2015-03-19;0,489;0,489;0,489;0,489;0;0
2015-03-18;0,491;0,491;0,491;0,491;0;0
2015-03-17;0,531;0,531;0,531;0,531;0;0
2015-03-16;0,533;0,533;0,533;0,533;0;0
2015-03-13;0,492;0,492;0,492;0,492;0;0
2015-03-12;0,492;0,492;0,492;0,492;0;0
2015-03-11;0,491;0,491;0,491;0,491;0;0
2015-03-10;0,489;0,489;0,489;0,489;0;0
2015-03-09;0,489;0,489;0,489;0,489;0;0
2015-03-06;0,491;0,491;0,491;0,491;0;0
2015-03-05;0,491;0,491;0,491;0,491;0;0
2015-03-04;0,491;0,491;0,491;0,491;0;0
2015-03-03;0,49;0,49;0,49;0,49;0;0
2015-03-02;0,49;0,49;0,49;0,49;0;0
2015-02-27;0,489;0,489;0,489;0,489;0;0
2015-02-26;0,491;0,491;0,491;0,491;0;0
2015-02-25;0,491;0,491;0,491;0,491;0;0
2015-02-24;0,49;0,49;0,49;0,49;0;0
2015-02-23;0,493;0,493;0,493;0,493;0;
2015-02-20;0,489;0,489;0,489;0,489;0;0
2015-02-19;0,489;0,489;0,489;0,489;0;
2015-02-18;0,491;0,491;0,491;0,491;0;0
2015-02-17;0,487;0,487;0,487;0,487;0;0
2015-02-16;0,49;0,49;0,49;0,49;0;0
2015-02-13;0,493;0,493;0,493;0,493;0;0
2015-02-12;0,491;0,491;0,491;0,491;0;0
2015-02-11;0,491;0,491;0,491;0,491;0;0
2015-02-10;0,49;0,49;0,49;0,49;0;0
2015-02-09;0,486;0,486;0,486;0,486;0;0
2015-02-06;0,49;0,49;0,49;0,49;0;0
2015-02-05;0,484;0,484;0,484;0,484;0;0
2015-02-04;0,492;0,492;0,492;0,492;0;0
2015-02-03;0,491;0,491;0,491;0,491;0;0
2015-02-02;0,488;0,488;0,488;0,488;0;0
2015-01-30;0,493;0,493;0,493;0,493;0;0
2015-01-29;0,367;0,367;0,367;0,367;0;0
2015-01-28;0,333;0,333;0,333;0,333;0;0
2015-01-27;0,331;0,331;0,331;0,331;0;
2015-01-26;0,339;0,339;0,339;0,339;0;0
2015-01-23;0,343;0,343;0,343;0,343;0;0
2015-01-22;0,371;0,371;0,371;0,371;0;0
2015-01-21;0,371;0,371;0,371;0,371;0;0
2015-01-20;0,372;0,372;0,372;0,372;0;0
