Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,215;1,25;1,10;1,155;148.189;168.561
2019-08-13;1,185;1,195;1,155;1,195;20.871;24.675
2019-08-12;1,16;1,235;1,155;1,21;46.097;54.561
2019-08-09;1,19;1,19;1,175;1,175;3.244;3.839
2019-08-08;1,175;1,205;1,155;1,17;94.975;113.937
2019-08-07;1,195;1,195;1,13;1,16;3.850;4.454
2019-08-06;1,10;1,23;1,02;1,19;43.714;49.770
2019-08-05;1,18;1,195;1,15;1,15;20.327;23.917
2019-08-02;1,175;1,19;1,155;1,19;9.888;11.579
2019-08-01;1,17;1,21;1,17;1,175;11.217;13.252
2019-07-31;1,195;1,205;1,17;1,17;13.171;15.597
2019-07-30;1,235;1,235;1,175;1,195;34.047;41.180
2019-07-29;1,215;1,225;1,20;1,205;34.358;41.713
2019-07-26;1,19;1,215;1,185;1,215;8.717;10.515
2019-07-25;1,19;1,215;1,185;1,215;31.424;37.756
2019-07-24;1,235;1,235;1,115;1,21;57.037;66.605
2019-07-23;1,25;1,27;1,195;1,26;97.441;119.061
2019-07-22;1,12;1,25;1,09;1,235;138.506;162.976
2019-07-19;1,035;1,11;1,035;1,11;28.399;30.784
2019-07-18;1,035;1,07;1,035;1,05;23.610;25.036
2019-07-17;1,06;1,08;1,05;1,05;6.369;6.824
2019-07-16;1,05;1,09;1,05;1,09;18.140;19.292
2019-07-15;1,04;1,095;1,04;1,065;31.909;34.316
2019-07-12;1,05;1,065;1,03;1,065;40.253;42.180
2019-07-11;1,065;1,065;1,035;1,04;10.964;11.453
2019-07-10;1,07;1,07;1,025;1,04;12.612;13.298
2019-07-09;1,02;1,065;1,005;1,065;33.966;34.726
2019-07-08;1,065;1,065;1,02;1,02;29.721;31.137
2019-07-05;1,045;1,065;1,035;1,035;40.483;42.542
2019-07-04;1,04;1,105;1,03;1,065;48.107;51.229
2019-07-03;1,015;1,025;1,005;1,025;6.797;6.928
2019-07-02;1,035;1,035;1,015;1,015;17.128;17.597
2019-07-01;1,00;1,04;1,00;1,035;4.944;5.027
2019-06-28;1,02;1,03;1,005;1,005;8.380;8.528
2019-06-27;1,025;1,035;1,01;1,03;11.997;12.230
2019-06-26;1,04;1,04;1,01;1,01;10.700;10.866
2019-06-25;1,005;1,04;1,005;1,04;29.722;30.486
2019-06-24;1,03;1,04;1,02;1,03;11.195;11.519
2019-06-21;0,996;1,035;0,996;0,996;17.736;18.141
2019-06-20;1,005;1,04;0,996;0,996;12.015;12.272
2019-06-19;0,982;1,035;0,982;1,02;24.093;24.381
2019-06-18;1,035;1,035;0,974;0,99;8.126;8.038
2019-06-17;1,025;1,025;1,00;1,005;13.681;13.787
2019-06-14;1,025;1,025;0,994;1,025;11.361;11.472
2019-06-13;1,035;1,035;0,996;1,025;9.233;9.438
2019-06-12;1,025;1,025;0,992;1,025;5.800;5.855
2019-06-11;1,015;1,02;0,982;0,99;22.234;22.388
2019-06-10;1,015;1,015;1,00;1,00;6.201;6.279
2019-06-07;1,025;1,025;0,968;1,015;20.351;20.536
2019-06-06;1,005;1,025;0,958;1,01;31.842;31.671
2019-06-05;1,045;1,045;0,99;0,99;29.403;29.437
2019-06-04;1,04;1,045;1,01;1,025;47.243;48.747
2019-06-03;1,02;1,05;0,99;1,04;58.843;60.427
2019-05-31;0,976;1,00;0,944;1,00;83.873;82.793
2019-05-30;0,948;0,966;0,936;0,966;39.052;37.140
2019-05-29;0,918;0,968;0,902;0,964;68.841;63.511
2019-05-28;0,918;0,918;0,91;0,918;40.705;37.203
2019-05-27;0,918;0,918;0,898;0,898;6.756;6.150
2019-05-24;0,908;0,928;0,90;0,92;10.533;9.575
2019-05-23;0,91;0,93;0,894;0,894;8.929;8.135
2019-05-22;0,91;0,934;0,906;0,906;23.766;21.722
2019-05-21;0,918;0,918;0,898;0,898;4.001;3.673
2019-05-20;0,902;0,928;0,90;0,928;7.474;6.802
2019-05-17;0,918;0,93;0,90;0,90;13.023;12.003
2019-05-16;0,938;0,938;0,90;0,90;33.181;30.526
2019-05-15;0,934;0,936;0,92;0,936;12.499;11.587
2019-05-14;0,928;0,948;0,92;0,938;27.377;25.520
2019-05-13;0,992;0,992;0,896;0,928;33.962;31.813
2019-05-10;0,954;1,00;0,954;0,97;14.600;14.301
2019-05-09;1,035;1,055;0,954;1,00;115.539;115.828
2019-05-08;0,946;1,03;0,946;1,03;113.706;110.809
2019-05-07;0,948;0,948;0,918;0,932;13.631;12.767
2019-05-06;0,912;0,948;0,91;0,948;66.159;61.046
2019-05-03;0,898;0,934;0,886;0,906;63.522;57.437
2019-05-02;0,904;0,904;0,89;0,898;33.457;29.971
2019-04-30;0,892;0,898;0,882;0,882;33.632;29.842
2019-04-29;0,912;0,912;0,882;0,89;23.570;21.037
2019-04-26;0,89;0,908;0,886;0,90;26.936;24.088
2019-04-25;0,93;0,948;0,886;0,902;64.887;59.713
2019-04-24;0,90;0,922;0,894;0,918;40.790;36.960
2019-04-23;0,882;0,912;0,882;0,912;24.535;22.010
2019-04-18;0,914;0,914;0,882;0,892;12.424;11.216
2019-04-17;0,906;0,914;0,90;0,90;21.000;18.970
2019-04-16;0,902;0,928;0,896;0,928;23.860;21.635
2019-04-15;0,918;0,918;0,89;0,912;31.780;28.634
2019-04-12;0,88;0,908;0,88;0,88;33.780;30.231
2019-04-11;0,914;0,914;0,866;0,912;17.340;15.467
2019-04-10;0,898;0,91;0,862;0,892;145.150;130.647
2019-04-09;0,886;0,89;0,882;0,882;13.845;12.260
2019-04-08;0,912;0,922;0,888;0,90;31.798;28.703
2019-04-05;0,928;0,928;0,896;0,922;20.350;18.504
2019-04-04;0,894;0,926;0,892;0,926;14.648;13.286
2019-04-03;0,872;0,914;0,872;0,908;22.197;19.856
2019-04-02;0,882;0,89;0,84;0,88;56.488;48.976
2019-04-01;0,918;0,92;0,881;0,905;49.530;45.016
2019-03-29;0,925;0,925;0,888;0,888;17.019;15.420
2019-03-28;0,953;0,957;0,901;0,92;22.978;21.128
2019-03-27;1,002;1,002;0,953;0,953;9.135;8.946
2019-03-26;0,995;1,018;0,969;0,98;50.270;49.743
2019-03-25;0,997;0,997;0,945;0,975;12.322;11.997
2019-03-22;1,002;1,03;0,984;0,997;19.522;19.567
2019-03-21;0,95;1,038;0,95;0,987;30.580;30.785
2019-03-20;0,954;0,98;0,927;0,98;15.580;14.946
2019-03-19;0,91;0,954;0,909;0,911;20.827;19.353
2019-03-18;0,899;0,943;0,899;0,943;7.610;7.034
2019-03-15;0,941;0,95;0,899;0,919;4.048;3.712
2019-03-14;0,93;0,93;0,906;0,917;27.350;24.932
2019-03-13;0,97;0,97;0,851;0,917;32.290;29.900
2019-03-12;0,952;0,952;0,936;0,936;15.770;14.939
2019-03-11;1,008;1,008;0,97;0,982;6.325;6.152
2019-03-08;0,972;0,99;0,963;0,963;3.706;3.591
2019-03-07;0,977;0,977;0,977;0,977;1.000;977
2019-03-06;0,982;1,006;0,982;1,006;3.934;3.935
2019-03-05;0,994;1,008;0,982;0,982;2.785;2.772
2019-03-04;0,999;1,008;0,999;1,008;2.620;2.632
2019-03-01;1,008;1,008;0,999;0,999;4.820;4.848
2019-02-28;0,996;1,008;0,981;0,981;9.234;9.179
2019-02-27;1,002;1,012;1,00;1,00;11.652;11.666
2019-02-26;1,03;1,03;1,002;1,002;6.187;6.202
2019-02-25;1,002;1,04;1,002;1,022;15.905;16.009
2019-02-22;1,03;1,03;0,995;1,028;7.930;8.128
2019-02-21;1,026;1,038;0,991;1,03;9.743;9.827
2019-02-20;1,008;1,008;1,002;1,002;2.181;2.194
2019-02-19;1,032;1,032;1,008;1,008;27.800;28.347
2019-02-18;1,00;1,022;1,00;1,022;10.300;10.439
2019-02-15;1,002;1,02;0,996;0,996;21.705;21.675
2019-02-14;1,016;1,016;1,016;1,016;100;102
