Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;5,75;5,75;5,75;5,75;0;0
2019-08-13;5,60504;5,60504;5,60504;5,60504;0;0
2019-08-12;5,55672;5,55672;5,55672;5,55672;0;0
2019-08-09;5,60504;5,60504;5,60504;5,60504;0;0
2019-08-08;5,60504;5,60504;5,60504;5,60504;0;0
2019-08-07;5,65336;5,65336;5,65336;5,65336;0;0
2019-08-06;5,65336;5,65336;5,65336;5,65336;0;0
2019-08-05;5,60504;5,60504;5,60504;5,60504;0;0
2019-08-02;5,70168;5,70168;5,70168;5,70168;0;0
2019-08-01;5,60504;5,60504;5,60504;5,60504;0;0
2019-07-31;5,60504;5,60504;5,60504;5,60504;0;0
2019-07-30;5,60504;5,60504;5,60504;5,60504;0;0
2019-07-29;5,60504;5,60504;5,60504;5,60504;0;0
2019-07-26;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-25;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-24;5,46008;5,46008;5,46008;5,46008;0;0
2019-07-23;5,41176;5,41176;5,41176;5,41176;0;0
2019-07-22;5,41176;5,41176;5,41176;5,41176;0;0
2019-07-19;5,41176;5,41176;5,41176;5,41176;0;0
2019-07-18;5,41176;5,41176;5,41176;5,41176;0;0
2019-07-17;5,46008;5,46008;5,46008;5,46008;0;0
2019-07-16;5,46008;5,46008;5,46008;5,46008;0;0
2019-07-15;5,46008;5,46008;5,46008;5,46008;0;0
2019-07-12;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-11;5,55672;5,55672;5,55672;5,55672;0;0
2019-07-10;5,55672;5,55672;5,55672;5,55672;0;0
2019-07-09;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-08;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-05;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-04;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-03;5,5084;5,5084;5,5084;5,5084;0;0
2019-07-02;5,5084;5,5084;5,31513;5,31513;176;935
2019-07-01;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-28;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-27;5,46008;5,46008;5,46008;5,46008;0;0
2019-06-26;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-25;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-24;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-21;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-20;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-19;5,5084;5,5084;5,5084;5,5084;0;0
2019-06-18;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-17;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-14;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-13;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-12;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-11;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-07;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-06;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-05;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-04;5,55672;5,55672;5,55672;5,55672;0;0
2019-06-03;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-31;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-30;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-29;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-28;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-27;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-24;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-23;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-22;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-21;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-20;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-17;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-16;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-15;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-14;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-13;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-10;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-09;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-08;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-07;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-06;5,55672;5,55672;5,55672;5,55672;0;0
2019-05-03;5,55672;5,55672;5,55672;5,55672;0;0
