Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;5,90;5,959;5,82;5,899;23.313;137.490
2019-08-15;5,797;5,90;5,701;5,85;12.485;72.461
2019-08-14;5,861;6,00;5,66;5,80;42.676;252.792
2019-08-13;5,94;6,00;5,781;5,89;22.492;133.140
2019-08-12;6,237;6,237;5,892;6,00;22.087;132.608
2019-08-09;6,11;6,17;6,11;6,169;300;1.838
2019-08-08;6,11;6,199;6,10;6,17;609;3.727
2019-08-07;6,18;6,20;6,00;6,20;22.044;134.132
2019-08-06;6,501;6,501;6,18;6,20;23.421;148.050
2019-08-05;6,56;6,689;6,521;6,57;12.053;79.129
2019-08-02;7,035;7,035;6,80;6,875;15.959;110.721
2019-08-01;7,09;7,24;7,035;7,115;1.940;13.805
2019-07-31;6,999;7,24;6,999;7,06;12.446;88.859
2019-07-30;7,194;7,195;6,96;6,98;10.082;71.053
2019-07-29;7,00;7,196;7,00;7,133;4.364;31.194
2019-07-26;7,00;7,199;7,00;7,001;3.422;24.219
2019-07-25;7,24;7,29;7,06;7,08;11.257;80.689
2019-07-24;7,23;7,23;7,135;7,135;3.555;25.512
2019-07-23;7,02;7,23;7,02;7,19;4.385;31.449
2019-07-22;7,001;7,14;6,961;7,005;9.852;69.500
2019-07-19;7,035;7,09;7,035;7,07;1.542;10.875
2019-07-18;7,05;7,05;6,90;6,97;4.635;32.417
2019-07-17;7,05;7,05;6,96;6,975;2.942;20.684
2019-07-16;6,961;7,05;6,961;7,05;2.162;15.109
2019-07-15;7,139;7,139;7,08;7,08;418;2.984
2019-07-12;7,02;7,05;6,90;7,05;8.801;61.477
2019-07-11;7,25;7,25;6,80;6,905;13.104;91.236
2019-07-10;7,32;7,32;7,141;7,271;491;3.546
2019-07-09;7,421;7,455;7,221;7,26;8.830;64.753
2019-07-08;7,44;7,50;7,44;7,50;6.064;45.334
2019-07-05;7,30;7,42;7,30;7,42;6.550;47.919
2019-07-04;7,26;7,36;7,16;7,30;2.980;21.619
2019-07-03;7,10;7,28;7,02;7,16;5.138;36.863
2019-07-02;7,30;7,30;7,12;7,12;4.393;31.535
2019-07-01;7,04;7,42;7,04;7,28;22.026;158.994
2019-06-28;7,08;7,08;6,94;7,00;5.707;40.169
2019-06-27;7,08;7,22;6,96;6,98;22.281;158.098
2019-06-26;7,201;7,201;6,901;7,05;17.561;123.767
2019-06-25;7,36;7,36;7,28;7,28;135;994
2019-06-24;7,44;7,44;7,22;7,26;10.265;75.317
2019-06-21;7,74;7,74;7,44;7,60;14.287;108.464
2019-06-20;7,82;7,82;7,70;7,80;8.869;68.788
2019-06-19;7,68;7,92;7,68;7,78;6.320;49.177
2019-06-18;7,82;7,88;7,62;7,70;9.635;74.554
2019-06-17;7,94;7,94;7,82;7,94;540;4.241
2019-06-14;7,98;7,98;7,88;7,96;1.251;9.918
2019-06-13;7,92;7,98;7,86;7,94;5.242;41.642
2019-06-12;8,08;8,08;7,90;7,94;3.370;26.720
2019-06-11;7,70;8,00;7,70;7,96;9.035;70.824
2019-06-07;7,80;7,80;7,62;7,64;16.482;126.392
2019-06-06;7,98;8,00;7,66;7,72;17.799;139.056
2019-06-05;7,88;8,00;7,88;7,98;7.768;61.834
2019-06-04;7,84;8,06;7,84;7,88;27.249;217.441
2019-06-03;7,74;7,98;7,74;7,94;8.848;69.916
