Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;31,60;32,10;31,15;31,30;7.441;233.737
2019-08-13;30,60;31,70;30,20;31,65;18.625;576.107
2019-08-12;30,30;30,90;30,30;30,50;12.011;366.544
2019-08-09;30,10;30,30;30,00;30,20;4.715;142.222
2019-08-08;30,20;30,35;30,00;30,25;5.442;164.423
2019-08-07;30,65;30,65;29,80;30,05;13.050;395.166
2019-08-06;30,80;30,85;30,50;30,50;4.737;145.341
2019-08-05;31,15;31,15;30,45;30,75;25.968;798.120
2019-08-02;31,50;31,55;30,65;31,00;17.693;548.853
2019-08-01;31,60;31,80;31,50;31,50;5.629;177.502
2019-07-31;31,55;31,85;31,55;31,60;3.649;115.505
2019-07-30;31,65;31,85;31,15;31,50;13.124;413.910
2019-07-29;31,65;31,95;31,55;31,70;5.232;165.806
2019-07-26;31,85;32,00;31,70;31,70;4.560;145.284
2019-07-25;32,10;32,10;31,65;32,05;6.584;209.976
2019-07-24;32,05;32,30;31,95;31,95;9.411;302.252
2019-07-23;32,30;32,30;31,90;32,00;5.571;178.573
2019-07-22;31,60;32,30;31,55;32,15;30.585;977.336
2019-07-19;31,45;31,80;31,40;31,60;5.805;183.419
2019-07-18;31,70;31,70;31,30;31,35;7.966;250.040
2019-07-17;32,00;32,00;31,45;31,55;12.296;390.537
2019-07-16;31,60;32,00;31,15;31,85;12.896;409.009
2019-07-15;32,05;32,60;31,55;31,80;16.300;521.882
2019-07-12;32,00;32,10;31,55;32,00;20.471;652.175
2019-07-11;34,00;34,00;31,95;31,95;64.562;2.129.800
2019-07-10;35,25;35,40;35,15;35,20;3.777;133.405
2019-07-09;35,50;35,95;35,30;35,30;5.139;183.224
2019-07-08;35,50;35,90;35,50;35,70;11.360;406.162
2019-07-05;35,55;35,65;35,20;35,65;5.914;210.113
2019-07-04;35,40;35,55;35,20;35,35;2.875;101.897
2019-07-03;35,25;35,55;35,15;35,25;4.001;141.672
2019-07-02;35,00;35,40;35,00;35,40;13.109;460.548
2019-07-01;34,10;35,05;34,10;34,80;4.051;140.125
2019-06-28;33,40;34,05;33,40;33,95;3.069;103.561
2019-06-27;34,20;34,35;33,30;33,30;18.091;605.380
2019-06-26;34,65;34,75;34,25;34,25;4.646;160.155
2019-06-25;34,60;34,70;34,50;34,60;6.238;215.893
2019-06-24;34,50;34,60;34,40;34,55;5.282;182.309
2019-06-21;34,60;34,90;34,45;34,55;7.002;242.284
2019-06-20;33,75;34,65;33,55;34,60;9.966;341.608
2019-06-19;33,75;33,85;33,55;33,60;3.289;110.859
2019-06-18;32,85;33,80;32,00;33,65;23.029;754.244
2019-06-17;32,35;32,95;32,00;32,75;17.333;562.486
2019-06-14;33,30;33,30;32,05;32,20;15.769;513.242
2019-06-13;33,15;33,45;33,10;33,30;7.804;259.839
2019-06-12;33,65;33,70;33,25;33,35;7.485;250.496
2019-06-11;32,15;33,50;32,15;33,50;18.516;612.443
2019-06-07;32,30;32,60;32,25;32,40;3.435;111.200
