Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;30,15;30,65;28,60;30,45;30.727;905.192
2019-08-15;30,60;31,80;30,15;30,65;14.327;439.228
2019-08-14;30,95;32,30;30,65;31,20;14.434;454.374
2019-08-13;35,10;35,10;30,80;31,50;30.576;987.631
2019-08-12;34,80;35,45;34,10;34,60;7.971;275.976
2019-08-09;35,70;36,30;35,05;36,00;6.543;233.091
2019-08-08;35,55;36,85;35,10;35,60;8.372;300.455
2019-08-07;36,60;37,35;35,05;36,45;18.728;675.891
2019-08-06;39,10;39,35;36,05;36,95;30.301;1.140.434
2019-08-05;37,80;39,00;37,00;39,00;24.550;936.637
2019-08-02;35,35;36,35;35,15;35,35;15.158;543.262
2019-08-01;35,50;35,95;34,40;35,35;11.570;406.725
2019-07-31;33,50;36,35;33,50;35,85;21.562;753.903
2019-07-30;33,80;34,20;32,05;33,60;19.868;653.869
2019-07-29;34,90;35,50;33,55;34,25;13.708;468.763
2019-07-26;35,60;35,60;34,60;35,15;8.107;282.867
2019-07-25;35,50;36,40;35,05;35,70;20.147;722.919
2019-07-24;36,50;36,55;34,05;34,50;37.203;1.309.497
2019-07-23;38,35;38,35;36,20;36,85;29.492;1.094.167
2019-07-22;38,65;39,30;38,10;38,35;5.257;204.033
2019-07-19;39,80;39,95;38,40;38,40;9.373;365.883
2019-07-18;38,60;40,25;37,85;40,10;21.718;847.716
2019-07-17;39,00;39,95;37,55;39,10;26.430;1.014.882
2019-07-16;41,50;41,60;38,50;39,00;30.965;1.222.786
2019-07-15;38,50;41,85;38,10;40,90;34.981;1.392.795
2019-07-12;41,10;41,80;40,80;40,90;8.946;370.504
2019-07-11;39,90;42,25;39,60;41,10;22.552;926.528
2019-07-10;43,35;44,00;41,30;42,00;18.950;811.410
2019-07-09;43,45;43,75;42,50;42,90;19.829;857.130
2019-07-08;41,60;43,35;41,40;43,35;19.755;837.388
2019-07-05;42,00;42,50;40,65;41,95;11.452;479.022
2019-07-04;42,95;43,00;42,20;42,30;23.449;1.000.513
