Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,815;1,815;1,815;1,815;0;0
2019-08-13;1,82;1,84;1,82;1,84;2.000;3.680
2019-08-12;1,865;1,90;1,865;1,90;1.000;1.900
2019-08-09;1,86;1,86;1,86;1,86;0;0
2019-08-08;1,89;1,89;1,89;1,89;0;0
2019-08-07;1,92;1,92;1,92;1,92;0;0
2019-08-06;1,915;1,915;1,915;1,915;0;0
2019-08-05;1,905;1,905;1,905;1,905;0;0
2019-08-02;1,89;1,89;1,89;1,89;0;0
2019-08-01;1,945;1,945;1,945;1,945;0;0
2019-07-31;1,955;1,955;1,955;1,955;0;0
2019-07-30;1,90;1,965;1,90;1,965;11;22
2019-07-29;1,895;1,895;1,895;1,895;0;0
2019-07-26;1,89;1,89;1,89;1,89;0;0
2019-07-25;1,92;1,92;1,92;1,92;0;0
2019-07-24;1,925;1,925;1,925;1,925;150;289
2019-07-23;1,91;1,91;1,91;1,91;0;0
2019-07-22;1,92;1,92;1,92;1,92;0;0
2019-07-19;1,895;1,895;1,895;1,895;0;0
2019-07-18;1,855;1,855;1,855;1,855;0;0
2019-07-17;1,90;1,93;1,90;1,90;50;96
2019-07-16;1,905;1,905;1,905;1,905;0;0
2019-07-15;1,91;1,91;1,91;1,91;0;0
2019-07-12;1,875;1,875;1,875;1,875;0;0
2019-07-11;1,91;1,91;1,91;1,91;0;0
2019-07-10;1,905;1,905;1,905;1,905;0;0
2019-07-09;1,855;1,855;1,855;1,855;0;0
2019-07-08;1,92;1,92;1,92;1,92;0;0
2019-07-05;2,02;2,02;2,02;2,02;1.000;2.020
2019-07-04;1,935;2,02;1,935;2,02;1.000;2.020
2019-07-03;1,92;1,92;1,92;1,92;0;0
2019-07-02;1,92;1,935;1,92;1,935;40;77
2019-07-01;1,93;1,99;1,93;1,985;5.150;10.224
2019-06-28;1,91;1,91;1,91;1,91;0;0
2019-06-27;1,91;1,95;1,91;1,95;1.000;1.950
2019-06-26;1,905;1,905;1,905;1,905;0;0
2019-06-25;1,87;1,96;1,87;1,96;6.224;12.148
2019-06-24;1,87;1,90;1,87;1,90;5;10
2019-06-21;1,88;1,88;1,88;1,88;0;0
2019-06-20;1,915;1,915;1,915;1,915;0;0
2019-06-19;1,875;1,94;1,875;1,94;1.000;1.940
2019-06-18;1,82;1,895;1,82;1,895;1.116;2.114
2019-06-17;1,82;1,855;1,82;1,855;1.100;2.041
2019-06-14;1,785;1,785;1,785;1,785;0;0
2019-06-13;1,815;1,87;1,815;1,87;1.000;1.870
2019-06-12;1,815;1,865;1,815;1,84;28.065;52.181
2019-06-11;1,865;1,865;1,865;1,865;0;0
2019-06-07;1,79;1,87;1,79;1,87;1.049;1.962
2019-06-06;1,73;1,73;1,73;1,73;0;0
2019-06-05;1,805;1,805;1,805;1,805;0;0
2019-06-04;1,74;1,77;1,74;1,77;155;274
2019-06-03;1,655;1,655;1,655;1,655;0;0
2019-05-31;1,74;1,74;1,74;1,74;350;609
2019-05-30;1,78;1,78;1,78;1,78;0;0
2019-05-29;1,805;1,805;1,805;1,805;0;0
2019-05-28;1,775;1,775;1,775;1,775;0;0
2019-05-27;1,82;1,82;1,805;1,805;300;542
2019-05-24;1,83;1,83;1,83;1,83;0;0
2019-05-23;1,825;1,90;1,825;1,90;2.630;4.975
2019-05-22;1,83;1,83;1,83;1,83;0;0
