Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-13;0,0098;0,0098;0,0092;0,0092;250.000;2.360
2019-08-07;0,007;0,007;0,007;0,007;18.300;128
2019-07-31;0,0072;0,0072;0,0072;0,0072;53.000;382
2019-07-30;0,0076;0,0076;0,0074;0,0074;72.000;535
2019-07-29;0,0072;0,0072;0,0072;0,0072;55.300;398
2019-07-25;0,0042;0,006;0,0042;0,006;150.000;810
2019-07-24;0,005;0,005;0,005;0,005;1.000;5
2019-07-18;0,005;0,005;0,005;0,005;0;0
2019-07-17;0,005;0,005;0,005;0,005;50.000;250
2019-07-15;0,0062;0,009;0,0062;0,009;9.058;78
2019-07-12;0,007;0,007;0,007;0,007;20.000;140
2019-07-11;0,01;0,01;0,01;0,01;94.142;941
2019-07-10;0,01;0,01;0,01;0,01;50.000;500
2019-07-08;0,0098;0,0098;0,0098;0,0098;45.000;441
2019-07-05;0,01;0,01;0,01;0,01;50.000;500
2019-07-04;0,0098;0,0098;0,0098;0,0098;20.000;196
2019-07-01;0,0098;0,0098;0,0098;0,0098;500;5
2019-06-27;0,007;0,007;0,007;0,007;5;0
2019-06-25;0,007;0,007;0,007;0,007;6;0
2019-06-19;0,0074;0,0074;0,0072;0,0072;50.000;361
2019-06-12;0,007;0,007;0,007;0,007;83.000;581
2019-05-28;0,015;0,019;0,011;0,011;86.798;1.494
2019-05-27;0,015;0,0152;0,015;0,015;350.000;5.262
2019-05-16;0,009;0,009;0,009;0,009;4;0
2019-05-14;0,014;0,014;0,0092;0,0092;119.177;1.470
2019-05-09;0,015;0,015;0,015;0,015;21.000;315
2019-05-08;0,0158;0,0158;0,0158;0,0158;31.250;494
2019-05-06;0,017;0,017;0,017;0,017;29.000;493
2019-05-03;0,019;0,019;0,018;0,018;45.000;835
2019-05-02;0,0102;0,0192;0,0102;0,019;305.064;5.367
2019-04-30;0,0102;0,0102;0,0102;0,0102;50.000;510
2019-04-26;0,0102;0,0102;0,0102;0,0102;30.000;306
2019-04-16;0,013;0,013;0,013;0,013;10.000;130
2019-04-11;0,013;0,013;0,013;0,013;3;0
2019-04-03;0,0132;0,0132;0,0132;0,0132;60.000;792
2019-03-29;0,013;0,013;0,013;0,013;60.000;780
2019-03-28;0,011;0,0125;0,011;0,0125;30.100;376
2019-03-27;0,012;0,012;0,012;0,012;195.000;2.340
2019-03-26;0,0135;0,0135;0,0135;0,0135;31.000;419
2019-03-22;0,023;0,023;0,0165;0,0165;63.728;1.203
2019-03-21;0,0205;0,0235;0,0205;0,0235;12.500;286
2019-03-20;0,0145;0,0165;0,014;0,0165;286.600;4.105
2019-03-18;0,0105;0,0105;0,0105;0,0105;4.499;47
2019-03-14;0,013;0,013;0,013;0,013;200.000;2.600
2019-03-13;0,0135;0,0135;0,0135;0,0135;20.000;270
2019-03-12;0,0095;0,0125;0,0095;0,0125;39.005;488
2019-03-06;0,0095;0,0095;0,0095;0,0095;5;0
2019-03-05;0,0095;0,0095;0,0095;0,0095;5;0
2019-03-04;0,0095;0,0095;0,0095;0,0095;5;0
2019-03-01;0,009;0,009;0,009;0,009;190.005;1.710
2019-02-27;0,0095;0,0095;0,0095;0,0095;5;0
2019-02-26;0,0085;0,0085;0,0085;0,0085;150.000;1.275
2019-02-25;0,009;0,0095;0,009;0,0095;200.001;1.850
2019-02-22;0,0095;0,0095;0,009;0,009;90.002;810
2019-02-21;0,01;0,01;0,0095;0,0095;84.504;845
2019-02-19;0,01;0,01;0,01;0,01;1;0
2019-02-18;0,0095;0,01;0,0095;0,01;6.001;60
2019-02-15;0,01;0,01;0,0095;0,0095;200.001;2.000
2019-02-14;0,009;0,009;0,009;0,009;3;0
2019-02-11;0,0085;0,0085;0,0085;0,0085;1;0
2019-02-08;0,009;0,01;0,009;0,01;104.808;1.048
2019-02-07;0,009;0,009;0,009;0,009;2;0
2019-02-05;0,0085;0,0085;0,0085;0,0085;1;0
2019-02-04;0,0085;0,0085;0,0085;0,0085;125.000;1.063
2019-02-01;0,008;0,008;0,008;0,008;2;0
2019-01-31;0,0075;0,0075;0,0075;0,0075;8.001;60
2019-01-30;0,008;0,008;0,008;0,008;100.000;800
2019-01-29;0,0075;0,008;0,0075;0,008;43.000;329
2019-01-25;0,0075;0,0075;0,007;0,007;30.001;225
2019-01-23;0,0075;0,0075;0,0075;0,0075;1;0
2019-01-22;0,0055;0,0065;0,0055;0,0065;115.001;633
2019-01-21;0,0055;0,0055;0,0055;0,0055;127.000;699
2019-01-18;0,0065;0,0075;0,0065;0,0075;2;0
2019-01-17;0,01;0,01;0,01;0,01;743.181;7.432
2019-01-16;0,0065;0,0085;0,0065;0,0085;185.509;1.215
2019-01-15;0,0065;0,0065;0,0065;0,0065;1;0
2019-01-14;0,0065;0,0065;0,0065;0,0065;300;2
2019-01-10;0,0065;0,0065;0,0065;0,0065;1;0
2019-01-09;0,0065;0,0065;0,0055;0,0055;307.101;1.764
2019-01-08;0,0065;0,0065;0,0065;0,0065;1;0
2019-01-04;0,009;0,009;0,009;0,009;40.000;360
2019-01-03;0,007;0,0095;0,007;0,009;60.502;535
2019-01-02;0,007;0,007;0,007;0,007;49.044;343
2018-12-28;0,0055;0,009;0,0055;0,009;140.667;1.124
2018-12-21;0,007;0,009;0,007;0,009;146.250;1.024
2018-12-20;0,007;0,007;0,007;0,007;2;0
2018-12-19;0,007;0,007;0,007;0,007;4;0
2018-12-18;0,007;0,007;0,007;0,007;1;0
2018-12-17;0,007;0,007;0,007;0,007;3;0
2018-12-14;0,007;0,007;0,007;0,007;1;0
2018-12-13;0,006;0,007;0,006;0,007;3;0
2018-12-12;0,006;0,006;0,006;0,006;2;0
2018-12-11;0,0055;0,0055;0,0055;0,0055;40.002;220
2018-12-10;0,009;0,009;0,004;0,0055;533.483;2.134
2018-12-07;0,009;0,009;0,009;0,009;1;0
2018-12-06;0,009;0,009;0,009;0,009;1;0
2018-12-05;0,009;0,009;0,009;0,009;7.501;68
2018-12-04;0,009;0,009;0,009;0,009;1;0
2018-12-03;0,0105;0,0105;0,0055;0,009;10.401;75
2018-11-30;0,0105;0,0105;0,0105;0,0105;1;0
2018-11-29;0,0105;0,0105;0,0105;0,0105;1;0
2018-11-28;0,0095;0,0095;0,0095;0,0095;1;0
2018-11-23;0,0095;0,0095;0,0095;0,0095;5.740;55
2018-11-20;0,0095;0,0095;0,0095;0,0095;15.200;144
2018-11-19;0,011;0,0185;0,011;0,0185;10.151;187
2018-11-16; ; ; ;0,009;;
2018-11-15;0,012;0,012;0,012;0,012;1;0
2018-11-13;0,015;0,015;0,013;0,013;60.600;823
2018-11-09;0,013;0,0195;0,0095;0,016;30.850;429
2018-11-08;0,0125;0,0125;0,0125;0,0125;2;0
2018-11-07;0,012;0,012;0,012;0,012;4.000;48
2018-11-06;0,015;0,0195;0,0095;0,0195;39.322;519
2018-11-02;0,0175;0,0175;0,0125;0,016;61.500;1.005
2018-10-31;0,0315;0,0315;0,0195;0,0195;64.375;1.356
2018-10-30;0,0195;0,0195;0,0195;0,0195;7.950;155
2018-10-29;0,0195;0,0195;0,0195;0,0195;21.390;417
2018-10-26;0,015;0,02;0,015;0,0195;66.560;1.121
2018-10-24;0,0095;0,01;0,0095;0,01;36.000;355
2018-10-22;0,01;0,01;0,01;0,01;63.501;635
2018-10-19;0,0075;0,0095;0,0075;0,0095;37.001;278
2018-10-18;0,007;0,007;0,007;0,007;50.000;350
2018-10-17;0,0075;0,0075;0,0075;0,0075;1;0
2018-10-15;0,0095;0,01;0,0095;0,01;63.000;626
2018-10-12;0,012;0,0215;0,006;0,006;273.525;2.605
2018-10-11;0,006;0,009;0,0055;0,0055;263.000;1.857
2018-10-10;0,012;0,012;0,012;0,012;10.000;120
2018-10-08;0,012;0,012;0,012;0,012;66.500;798
2018-10-05;0,0115;0,0115;0,0115;0,0115;3.000;35
2018-10-04;0,016;0,016;0,016;0,016;100.000;1.600
2018-09-28;0,0155;0,0155;0,0155;0,0155;3;0
2018-09-27;0,0145;0,0145;0,0145;0,0145;2;0
2018-09-26;0,0155;0,02;0,0115;0,0165;102.007;1.904
2018-09-25;0,0162;0,0162;0,0102;0,0102;3.002;31
2018-09-24;0,0192;0,0202;0,017;0,017;116.001;2.115
2018-09-21;0,0202;0,0202;0,0192;0,0192;101.751;2.035
2018-09-20;0,021;0,021;0,02;0,0202;87.837;1.795
2018-09-19;0,025;0,025;0,022;0,022;65.001;1.543
2018-09-17;0,026;0,026;0,026;0,026;0;0
2018-09-13;0,027;0,034;0,027;0,03;130.063;4.014
2018-09-12;0,028;0,028;0,028;0,028;15.000;420
2018-09-11;0,028;0,028;0,025;0,025;90.000;2.280
2018-09-10;0,029;0,029;0,028;0,028;65.000;1.850
2018-09-07;0,036;0,036;0,03;0,03;154.000;5.223
2018-09-06;0,024;0,039;0,024;0,0348;245.700;8.636
2018-09-05;0,023;0,023;0,023;0,023;40.000;920
2018-09-04;0,022;0,022;0,022;0,022;52.000;1.144
2018-09-03;0,023;0,023;0,018;0,018;159.320;3.474
2018-08-31;0,018;0,029;0,018;0,0238;191.000;5.000
2018-08-28;0,015;0,015;0,015;0,015;40.000;600
2018-08-27;0,016;0,016;0,016;0,016;8.000;128
2018-08-24;0,012;0,013;0,012;0,013;258.000;3.306
2018-08-23;0,012;0,012;0,012;0,012;98.000;1.176
2018-08-17;0,0082;0,0082;0,0082;0,0082;49.294;404
2018-08-16;0,01;0,01;0,01;0,01;250.000;2.500
2018-08-14;0,0134;0,0134;0,0134;0,0134;28.300;379
2018-08-13;0,0128;0,0128;0,0128;0,0128;700;9
2018-08-10;0,013;0,013;0,011;0,011;90.000;1.060
2018-08-09;0,013;0,0142;0,013;0,014;357.694;4.988
2018-08-08;0,013;0,013;0,013;0,013;216.667;2.817
2018-08-06;0,0132;0,0132;0,013;0,013;74.615;984
2018-08-01;0,017;0,017;0,0168;0,0168;105.860;1.793
2018-07-27;0,0182;0,0182;0,0182;0,0182;80.000;1.456
2018-07-26;0,0172;0,0174;0,0172;0,0174;80.000;1.382
2018-07-25;0,022;0,0232;0,017;0,017;505.804;10.874
2018-07-24;0,019;0,019;0,019;0,019;19.000;361
2018-07-23;0,0202;0,0202;0,02;0,02;78.806;1.581
2018-07-19;0,019;0,019;0,019;0,019;200;4
2018-07-18;0,018;0,018;0,018;0,018;9.000;162
2018-07-17;0,022;0,0288;0,02;0,0288;135.000;3.004
