Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,535;0,535;0,476;0,476;187;90
2019-08-13;0,486;0,486;0,486;0,486;100;49
2019-08-12;0,48;0,48;0,48;0,48;100;48
2019-08-08;0,47;0,47;0,47;0,47;5;2
2019-08-06;0,50;0,505;0,50;0,505;8.235;4.119
2019-07-26;0,555;0,555;0,555;0,555;250;139
2019-07-25;0,505;0,505;0,505;0,505;10;5
2019-07-19;0,492;0,492;0,42;0,42;2.180;1.071
2019-07-18;0,54;0,57;0,54;0,57;200;111
2019-07-17;0,545;0,545;0,545;0,545;307;167
2019-07-15;0,605;0,605;0,605;0,605;1.200;726
2019-07-11;0,56;0,56;0,56;0,56;1.801;1.009
2019-07-04;0,48;0,48;0,48;0,48;80;38
2019-07-02;0,48;0,48;0,48;0,48;684;328
2019-07-01;0,52;0,52;0,52;0,52;400;208
2019-06-28;0,482;0,482;0,482;0,482;2.000;964
2019-06-27;0,55;0,55;0,46;0,474;12.684;5.873
2019-06-25;0,545;0,545;0,545;0,545;1;1
2019-06-19;0,482;0,482;0,482;0,482;120;58
2019-06-14;0,54;0,59;0,54;0,59;2.215;1.246
2019-06-12;0,53;0,53;0,53;0,53;270;143
2019-06-11;0,58;0,58;0,58;0,58;600;348
2019-06-07;0,58;0,58;0,58;0,58;1.896;1.100
2019-06-06;0,545;0,545;0,515;0,515;3.296;1.733
2019-06-05;0,555;0,555;0,555;0,555;1.982;1.100
2019-05-31;0,51;0,51;0,51;0,51;2.000;1.020
2019-05-30;0,51;0,51;0,51;0,51;600;306
2019-05-29;0,515;0,515;0,515;0,515;2.136;1.100
2019-05-24;0,54;0,54;0,54;0,54;1.000;540
2019-05-22;0,525;0,525;0,48;0,48;1.888;906
2019-05-21;0,57;0,605;0,57;0,605;5.150;3.045
2019-05-20;0,53;0,55;0,53;0,55;1.497;821
2019-05-17;0,555;0,555;0,555;0,555;3.387;1.880
2019-05-16;0,60;0,60;0,60;0,60;1.600;960
2019-05-15;0,575;0,575;0,496;0,496;1.802;997
2019-05-14;0,575;0,605;0,575;0,605;3.698;2.182
2019-05-13;0,545;0,545;0,545;0,545;15;8
2019-05-10;0,49;0,49;0,48;0,48;9.386;4.528
2019-05-09;0,615;0,68;0,545;0,56;15.085;8.885
2019-05-08;0,68;0,70;0,68;0,70;2.100;1.458
2019-05-07;0,785;0,785;0,625;0,64;11.743;7.798
2019-05-06;0,76;0,86;0,76;0,77;116;88
2019-05-02;0,775;0,845;0,775;0,845;4.085;3.298
2019-04-30;0,775;0,775;0,775;0,775;450;349
2019-04-29;0,79;0,805;0,79;0,805;1.442;1.158
2019-04-26;0,775;0,775;0,76;0,775;2.459;1.903
2019-04-25;0,695;0,695;0,695;0,695;12;8
2019-04-23;0,785;0,795;0,76;0,76;10.730;8.296
2019-04-18;0,535;0,805;0,535;0,805;5.450;3.394
2019-04-17;0,525;0,525;0,525;0,525;110;58
2019-04-15;0,56;0,56;0,545;0,55;6.823;3.754
2019-04-12;0,52;0,52;0,52;0,52;2.115;1.100
2019-04-11;0,505;0,505;0,505;0,505;1.980;1.000
2019-04-09;0,492;0,492;0,492;0,492;1.373;676
2019-04-08;0,464;0,464;0,464;0,464;1.100;510
2019-03-11;0,444;0,492;0,444;0,492;122;59
2019-03-01;0,486;0,486;0,486;0,486;1.050;510
2019-02-28;0,432;0,432;0,43;0,43;3.150;1.359
2019-02-27;0,422;0,422;0,422;0,422;1.000;422
2019-02-25;0,47;0,47;0,47;0,47;1.000;470
2019-02-22;0,458;0,458;0,458;0,458;200;92
2019-02-21;0,505;0,505;0,505;0,505;2.500;1.263
2019-02-13;0,45;0,45;0,45;0,45;1.200;540
2019-02-12;0,49;0,49;0,49;0,49;1.000;490
2019-02-11;0,452;0,46;0,452;0,46;1.200;551
2019-02-08;0,49;0,49;0,49;0,49;24;12
2019-02-07;0,48;0,48;0,48;0,48;1.500;720
2019-02-06;0,438;0,52;0,438;0,438;1.098;514
2019-02-05;0,496;0,496;0,496;0,496;1.000;496
2019-02-04;0,46;0,50;0,46;0,50;3.000;1.384
2019-02-01;0,448;0,448;0,448;0,448;3.008;1.348
2019-01-31;0,33;0,456;0,33;0,43;19.942;7.404
2019-01-30;0,346;0,346;0,30;0,32;2.650;849
2019-01-29;0,26;0,362;0,26;0,34;33.763;11.751
2019-01-28;0,18;0,324;0,18;0,322;26.564;7.393
2019-01-25;0,185;0,208;0,185;0,208;10.200;2.002
2019-01-23;0,179;0,179;0,179;0,179;600;107
2019-01-14;0,14;0,14;0,14;0,14;4.000;560
2019-01-09;0,111;0,111;0,111;0,111;2;0
2019-01-07;0,13;0,13;0,13;0,13;8.462;1.100
2019-01-02;0,094;0,094;0,094;0,094;500;47
2018-12-27;0,095;0,095;0,095;0,095;50;5
2018-12-21;0,0905;0,0905;0,0905;0,0905;200;18
2018-12-14;0,155;0,155;0,155;0,155;14.194;2.200
2018-12-13;0,114;0,114;0,114;0,114;170;19
2018-12-07;0,184;0,184;0,138;0,138;7.020;1.279
2018-12-06;0,095;0,095;0,095;0,095;2.000;190
2018-12-05;0,125;0,138;0,125;0,138;5.400;680
2018-12-03;0,10;0,10;0,10;0,10;80;8
2018-11-27;0,108;0,108;0,108;0,108;100;11
2018-11-12;0,111;0,111;0,111;0,111;650;72
2018-11-05;0,098;0,133;0,098;0,133;6.360;830
2018-11-01;0,11;0,11;0,11;0,11;700;77
2018-10-31;0,12;0,121;0,12;0,121;473;57
2018-10-30;0,132;0,132;0,12;0,12;11.180;1.406
2018-10-19;0,174;0,174;0,174;0,174;570;99
2018-10-18;0,131;0,131;0,131;0,131;100;13
2018-10-12;0,174;0,174;0,174;0,174;1.500;261
2018-10-09;0,179;0,179;0,179;0,179;1.298;232
2018-10-04;0,20;0,20;0,15;0,15;5.660;855
2018-10-01;0,131;0,131;0,131;0,131;2;0
2018-09-25;0,13;0,13;0,13;0,13;200;26
2018-09-24;0,16;0,16;0,16;0,16;7.357;1.177
2018-09-21;0,117;0,117;0,117;0,117;19;2
2018-09-19;0,128;0,128;0,128;0,128;200;26
2018-09-17;0,286;0,286;0,286;0,286;100;29
2018-08-30;0,128;0,128;0,128;0,128;400;51
2018-08-28;0,15;0,15;0,15;0,15;1.000;150
2018-08-22;0,172;0,172;0,15;0,15;11.000;1.672
2018-08-21;0,172;0,172;0,172;0,172;2.000;344
2018-08-16;0,153;0,153;0,153;0,153;150;23
2018-08-15;0,151;0,151;0,151;0,151;12.000;1.812
2018-08-01;0,155;0,155;0,155;0,155;5.000;775
2018-07-27;0,145;0,145;0,145;0,145;120;17
2018-07-25;0,163;0,163;0,163;0,163;100;16
2018-07-24;0,19;0,208;0,17;0,208;6.200;1.193
2018-07-23;0,19;0,19;0,19;0,19;2.500;475
2018-07-20;0,20;0,228;0,20;0,228;24.677;5.036
2018-07-19;0,224;0,224;0,20;0,20;23.097;4.682
2018-07-18;0,24;0,24;0,24;0,24;12;3
2018-07-17;0,23;0,262;0,23;0,262;12.520;3.107
2018-07-16;0,25;0,25;0,25;0,25;4.150;1.038
2018-07-10;0,232;0,232;0,232;0,232;1.000;232
2018-07-06;0,24;0,26;0,24;0,26;5.130;1.251
2018-07-05;0,288;0,314;0,288;0,314;1.600;463
2018-07-02;0,206;0,21;0,206;0,21;180;37
2018-06-29;0,228;0,238;0,21;0,23;13.000;2.909
2018-06-28;0,212;0,214;0,21;0,214;41.164;8.698
2018-06-27;0,232;0,232;0,212;0,212;15.534;3.295
2018-06-26;0,228;0,228;0,228;0,228;2.330;531
2018-06-25;0,252;0,252;0,226;0,226;3.240;775
2018-06-22;0,326;0,344;0,326;0,344;7.500;2.519
2018-06-21;0,252;0,252;0,25;0,25;16.000;4.020
2018-06-20;0,30;0,30;0,252;0,252;15.000;4.314
2018-06-19;0,322;0,36;0,322;0,36;10.500;3.761
2018-06-15;0,298;0,298;0,298;0,298;90;27
2018-06-13;0,356;0,356;0,356;0,356;46;16
2018-06-11;0,286;0,286;0,286;0,286;70;20
2018-06-08;0,35;0,35;0,35;0,35;1.000;350
2018-06-06;0,29;0,29;0,29;0,29;50;15
2018-06-05;0,364;0,364;0,364;0,364;297;108
2018-06-04;0,344;0,344;0,278;0,30;3.850;1.233
2018-05-18;0,372;0,372;0,372;0,372;800;298
2018-05-16;0,454;0,454;0,454;0,454;10;5
2018-05-11;0,438;0,505;0,426;0,43;24.124;10.866
2018-05-09;0,486;0,486;0,34;0,446;35.811;15.182
2018-05-08;0,52;0,55;0,48;0,486;9.727;4.945
2018-05-07;0,505;0,505;0,505;0,505;4.236;2.139
2018-05-02;0,51;0,54;0,51;0,51;12.412;6.418
