Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,82;3,88;3,67;3,77;27.510;102.576
2019-08-13;3,52;3,94;3,50;3,70;28.740;105.106
2019-08-12;3,71;3,82;3,50;3,66;30.693;112.051
2019-08-09;3,92;3,92;3,75;3,79;21.245;81.040
2019-08-08;4,04;4,04;3,80;3,99;24.449;95.092
2019-08-07;3,69;4,02;3,54;4,02;30.266;111.736
2019-08-06;3,16;4,17;3,16;3,69;79.944;277.984
2019-08-05;3,20;3,28;3,15;3,23;28.434;91.490
2019-08-02;3,24;3,39;3,21;3,32;29.158;95.927
2019-08-01;3,75;3,75;3,45;3,45;87.082;309.524
2019-07-31;3,98;3,98;3,56;3,74;56.660;214.149
2019-07-30;4,09;4,09;3,82;3,96;38.995;154.081
2019-07-29;4,20;4,24;4,00;4,12;31.075;127.938
2019-07-26;4,20;4,24;4,16;4,24;9.964;42.105
2019-07-25;4,19;4,20;4,02;4,20;10.292;42.778
2019-07-24;4,38;4,38;4,14;4,20;32.237;135.938
2019-07-23;4,31;4,45;4,31;4,39;3.938;17.271
2019-07-22;4,46;4,49;4,39;4,43;13.778;60.975
2019-07-19;4,29;4,50;4,29;4,50;2.278;10.213
2019-07-18;4,54;4,54;4,16;4,40;37.685;163.457
2019-07-17;4,66;4,66;4,55;4,57;10.087;46.352
2019-07-16;4,65;4,67;4,60;4,60;6.738;31.106
2019-07-15;4,79;4,79;4,65;4,72;5.772;27.161
2019-07-12;4,62;4,80;4,60;4,67;15.142;70.305
2019-07-11;4,65;4,83;4,63;4,75;6.129;29.110
2019-07-10;4,73;4,80;4,62;4,73;15.794;74.310
2019-07-09;4,73;4,88;4,62;4,72;16.829;79.389
2019-07-08;4,70;4,83;4,70;4,83;5.549;26.587
2019-07-05;4,78;4,81;4,68;4,81;10.273;48.581
2019-07-04;4,80;4,87;4,79;4,79;4.455;21.455
2019-07-03;4,83;4,83;4,74;4,82;6.455;31.016
2019-07-02;4,59;4,84;4,58;4,80;22.843;106.794
2019-07-01;4,85;4,85;4,40;4,68;41.912;192.154
2019-06-28;5,00;5,00;4,56;4,79;38.381;182.384
2019-06-27;5,04;5,10;4,60;4,98;53.064;255.735
2019-06-26;5,28;5,34;5,10;5,18;22.918;119.555
2019-06-25;5,36;5,46;5,28;5,38;9.527;50.897
2019-06-24;5,44;5,46;5,32;5,38;6.622;35.592
2019-06-21;5,30;5,42;5,24;5,42;8.036;43.225
2019-06-20;5,34;5,42;5,34;5,42;2.421;13.096
2019-06-19;5,42;5,46;5,28;5,42;12.375;66.793
2019-06-18;5,32;5,48;5,32;5,48;3.275;17.722
2019-06-17;5,46;5,50;5,42;5,42;5.371;29.312
2019-06-14;5,42;5,46;5,34;5,46;6.770;36.735
2019-06-13;5,42;5,42;5,24;5,40;8.793;47.170
2019-06-12;5,24;5,40;5,20;5,40;8.061;42.819
2019-06-11;5,36;5,44;5,22;5,32;16.016;84.811
2019-06-07;5,58;5,58;5,34;5,46;14.418;78.227
2019-06-06;5,36;5,54;5,28;5,54;11.999;64.861
2019-06-05;5,42;5,42;5,28;5,38;6.076;32.416
2019-06-04;5,52;5,52;5,34;5,36;4.726;25.488
2019-06-03;5,38;5,44;5,28;5,44;11.032;58.833
2019-05-31;5,56;5,56;5,34;5,48;4.110;22.600
2019-05-30;5,46;5,54;5,40;5,54;2.902;15.947
2019-05-29;5,52;5,52;5,30;5,48;22.840;123.272
2019-05-28;5,58;5,58;5,44;5,54;8.755;48.309
2019-05-27;5,54;5,54;5,44;5,48;5.808;31.831
2019-05-24;5,52;5,62;5,38;5,50;33.408;183.274
2019-05-23;5,64;5,68;5,40;5,58;18.579;103.384
2019-05-22;5,48;5,80;5,48;5,60;27.952;157.969
2019-05-21;5,40;5,54;5,40;5,48;9.197;50.535
