Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;12,52;13,70;12,32;13,52;70.603;913.457
2019-08-15;12,24;12,94;12,20;12,54;71.351;893.049
2019-08-14;13,26;13,26;12,34;12,58;50.455;636.112
2019-08-13;12,76;13,30;12,30;13,12;114.905;1.461.022
2019-08-12;13,38;13,52;12,72;12,94;73.945;955.241
2019-08-09;14,18;14,24;13,10;13,42;74.000;998.398
2019-08-08;13,60;14,04;13,56;14,04;34.006;472.026
2019-08-07;13,66;13,98;13,08;13,50;92.081;1.241.600
2019-08-06;14,10;14,28;13,68;13,70;43.164;605.005
2019-08-05;14,10;14,10;13,60;14,04;56.646;787.667
2019-08-02;14,40;14,44;14,10;14,12;38.510;549.227
2019-08-01;14,70;14,90;14,24;14,68;55.460;806.248
2019-07-31;14,72;15,02;14,64;14,84;68.481;1.015.898
2019-07-30;15,22;15,24;14,74;14,88;65.680;983.911
2019-07-29;15,94;15,94;15,26;15,34;42.047;651.776
2019-07-26;16,18;16,18;15,60;15,74;36.966;587.110
2019-07-25;16,20;16,44;15,82;16,12;73.357;1.178.536
2019-07-24;16,16;16,16;15,54;16,00;67.561;1.074.865
2019-07-23;15,72;16,14;15,54;16,04;73.072;1.159.624
2019-07-22;15,20;15,76;15,12;15,46;71.241;1.103.238
2019-07-19;15,16;15,62;15,06;15,18;77.544;1.188.919
2019-07-18;14,48;15,40;14,20;15,08;96.401;1.437.662
2019-07-17;14,96;15,28;14,42;14,66;106.620;1.579.834
2019-07-16;14,66;15,28;14,40;14,98;122.740;1.830.207
2019-07-15;14,02;14,76;14,00;14,50;196.772;2.817.636
2019-07-12;14,28;14,82;13,90;14,12;254.955;3.636.026
2019-07-11;15,50;15,50;14,20;14,50;478.063;6.986.805
2019-07-10;17,90;18,34;17,74;17,80;42.265;758.259
2019-07-09;18,00;18,00;17,44;17,74;57.570;1.018.786
2019-07-08;18,60;18,68;17,80;18,10;77.247;1.407.527
2019-07-05;18,70;18,72;18,18;18,50;55.128;1.020.333
2019-07-04;18,56;18,82;18,30;18,50;52.109;966.742
2019-07-03;18,78;18,94;18,32;18,48;80.898;1.501.817
2019-07-02;19,46;19,46;18,58;18,96;47.813;902.695
2019-07-01;19,50;20,15;19,20;19,20;54.522;1.062.439
2019-06-28;19,14;19,28;18,70;18,76;48.111;909.751
2019-06-27;18,62;19,56;18,62;19,10;64.539;1.237.379
2019-06-26;18,48;18,76;18,26;18,40;58.521;1.080.915
2019-06-25;18,58;18,58;18,08;18,50;35.696;655.664
2019-06-24;19,26;19,38;18,18;18,46;63.043;1.167.263
2019-06-21;19,32;19,64;18,92;19,44;57.529;1.113.628
2019-06-20;19,60;20,30;19,40;19,52;55.252;1.095.551
2019-06-19;19,06;19,48;18,74;19,32;94.464;1.804.407
2019-06-18;18,12;19,16;17,22;19,00;235.934;4.257.882
2019-06-17;19,22;19,22;18,10;18,10;98.992;1.830.453
2019-06-14;19,82;20,05;18,92;19,00;111.080;2.122.421
2019-06-13;20,00;20,10;19,72;20,00;75.932;1.511.010
2019-06-12;21,10;21,35;19,84;20,20;94.650;1.912.301
2019-06-11;20,20;21,55;19,98;21,30;65.348;1.365.904
2019-06-07;20,10;20,20;19,76;20,00;63.899;1.278.210
2019-06-06;20,8911;20,8911;19,604;19,901;73.684;1.481.500
2019-06-05;21,6337;21,6337;20,297;20,6931;87.417;1.817.899
2019-06-04;21,2871;21,9802;21,2871;21,5347;58.746;1.272.730
2019-06-03;20,7921;21,5842;20,6931;21,2871;46.872;996.813
2019-05-31;20,7921;20,8911;20,3465;20,7426;28.294;580.510
2019-05-30;20,7921;21,3861;20,4455;21,0891;26.790;559.922
2019-05-29;20,8911;20,8911;19,8515;20,3465;97.225;1.973.181
2019-05-28;20,5941;21,5842;20,5941;21,2376;132.202;2.776.092
2019-05-27;21,4356;21,9307;20,3465;20,5941;119.700;2.494.376
2019-05-24;21,3366;22,3267;20,8416;21,1881;88.334;1.896.100
2019-05-23;21,7327;22,1287;20,9406;21,2871;80.690;1.729.946
2019-05-22;21,6832;22,3762;21,6832;21,7822;130.991;2.877.648
2019-05-21;22,0297;22,0297;20,9901;21,4851;160.366;3.470.314
2019-05-20;23,1188;23,1683;21,2871;21,8317;185.362;4.083.832
2019-05-17;24,1584;24,3069;22,2772;22,9703;107.347;2.494.144
2019-05-16;24,1584;24,7525;23,7624;23,8119;158.543;3.827.930
2019-05-15;27,5743;27,5743;23,7624;23,7624;307.885;7.630.721
2019-05-14;27,3762;27,7228;26,9802;27,4752;39.896;1.092.270
2019-05-13;29,4059;29,4059;26,5347;26,6832;84.475;2.313.175
2019-05-10;28,9604;29,703;28,9109;29,1089;21.120;617.624
2019-05-09;29,8515;30,0495;28,6139;28,7129;52.002;1.521.788
2019-05-08;30,6436;31,3861;30,099;30,099;26.807;820.052
2019-05-07;30,7921;31,1881;30,4455;30,7921;32.313;996.793
2019-05-06;31,0396;31,3366;30,297;30,495;48.799;1.504.341
2019-05-03;33,1683;33,2673;32,4257;32,8218;15.734;516.064
2019-05-02;32,5743;33,5644;31,9802;33,1683;53.349;1.758.378
2019-04-30;33,7624;33,8614;32,4752;32,7228;32.644;1.074.736
2019-04-29;33,3663;34,1584;32,3762;34,1584;42.358;1.407.153
2019-04-26;33,4653;33,7129;32,2277;33,0198;21.772;718.365
2019-04-25;33,4653;34,2079;33,0693;33,6139;30.990;1.042.958
2019-04-24;34,2079;34,2079;32,4752;33,0693;43.716;1.455.166
2019-04-23;34,0099;34,4059;33,5644;33,8614;18.294;620.970
2019-04-18;34,505;34,5545;32,9703;34,3564;48.941;1.654.164
2019-04-17;33,4653;34,6535;33,4653;34,1089;69.920;2.386.517
2019-04-16;32,5743;33,7624;32,5743;33,1188;60.513;2.013.774
2019-04-15;31,9802;32,6238;31,8317;32,4257;39.668;1.282.474
2019-04-12;30,495;32,2772;30,1485;31,4356;100.704;3.184.649
2019-04-11;29,3069;30,495;29,2079;30,297;27.495;828.519
2019-04-10;30,00;30,099;29,2574;29,3069;12.171;360.179
2019-04-09;29,703;30,1485;29,2079;29,703;36.575;1.084.737
2019-04-08;30,8911;31,1386;29,6535;30,0495;51.366;1.543.361
2019-04-05;30,9406;31,6337;30,6436;31,2376;51.438;1.600.068
2019-04-04;30,198;30,6436;30,1485;30,1485;18.860;572.295
2019-04-03;29,9505;30,6931;29,802;30,4455;66.986;2.023.589
2019-04-02;28,7624;30,5446;28,7624;30,198;63.054;1.885.915
2019-04-01;28,1188;28,7129;27,8218;28,5149;22.701;642.832
2019-03-29;27,6238;28,4158;27,4257;27,8218;34.749;967.867
2019-03-28;26,6337;27,7228;26,3366;27,3267;29.987;815.730
2019-03-27;26,9307;27,4257;26,1881;26,3366;41.124;1.101.985
2019-03-26;27,1782;27,7228;26,5842;26,8812;46.711;1.264.388
2019-03-25;27,9703;27,9703;26,8317;26,8317;43.833;1.193.196
2019-03-22;28,9604;29,2574;28,2178;28,2673;40.809;1.168.332
2019-03-21;28,8614;28,9604;28,3168;28,7129;32.529;930.715
2019-03-20;28,7129;28,9604;28,4158;28,5644;24.611;704.959
2019-03-19;29,2574;29,5545;28,0693;28,8119;56.858;1.631.712
2019-03-18;30,099;30,1485;29,2574;29,5545;61.313;1.817.973
2019-03-15;28,9604;30,297;28,7624;29,802;87.291;2.596.024
2019-03-14;27,4257;29,0099;27,2772;29,0099;106.378;3.018.740
2019-03-13;27,4257;27,8713;26,7327;27,4257;58.383;1.599.465
2019-03-12;26,8317;27,8713;26,7822;27,0297;89.695;2.450.077
2019-03-11;25,7426;26,7822;25,495;26,4356;54.883;1.437.922
2019-03-08;25,8911;25,8911;24,8515;25,6436;51.177;1.296.095
2019-03-07;26,7327;26,9307;25,6931;25,8416;74.867;1.956.882
2019-03-06;25,0495;26,5347;24,901;26,4851;112.085;2.884.031
2019-03-05;26,7327;26,7822;25,2475;25,297;120.941;3.100.007
2019-03-04;25,00;27,0297;24,802;26,7327;209.878;5.465.167
2019-03-01;25,396;25,5941;24,604;24,7525;215.961;5.384.816
2019-02-28;27,2277;28,1188;24,703;25,0495;420.858;10.658.212
2019-02-27;28,0198;28,0198;26,8812;27,2277;70.791;1.931.399
2019-02-26;28,0693;28,2673;27,8218;27,9703;30.694;860.530
2019-02-25;28,0693;28,6139;27,6733;28,3168;50.680;1.429.508
2019-02-22;27,8713;28,1188;27,5743;27,7228;28.723;797.430
2019-02-21;27,9703;28,2178;27,3762;28,0198;34.323;954.871
2019-02-20;28,1188;28,3168;27,4257;28,1683;75.385;2.111.628
2019-02-19;28,3663;28,8614;28,0693;28,2178;40.293;1.143.101
2019-02-18;27,7723;28,7624;27,6238;28,2178;136.449;3.850.820
2019-02-15;28,6634;28,7129;27,1287;27,4257;148.886;4.080.582
2019-02-14;29,4059;29,505;27,2772;27,9208;157.819;4.475.398
2019-02-13;30,0495;30,1485;29,2574;29,703;51.967;1.547.074
2019-02-12;30,198;30,396;28,7129;29,901;111.769;3.292.329
2019-02-11;30,5446;30,6931;29,2574;29,505;51.824;1.546.755
2019-02-08;32,1782;32,2277;29,1089;29,3069;123.960;3.752.716
2019-02-07;34,802;34,802;32,5248;32,6733;45.145;1.509.772
2019-02-06;34,1584;34,7525;33,2178;34,505;65.291;2.227.320
2019-02-05;34,1584;34,7525;33,3168;34,1089;44.167;1.498.107
2019-02-04;34,2079;34,703;33,3168;33,9604;31.265;1.060.648
2019-02-01;36,2871;36,2871;34,1584;34,3069;29.476;1.030.171
2019-01-31;35,5446;36,9802;34,9505;35,6931;48.449;1.739.201
2019-01-30;35,198;35,396;34,0594;35,2475;32.204;1.116.945
2019-01-29;36,1386;36,3366;34,7525;35,0495;34.869;1.233.867
2019-01-28;36,6337;36,7822;35,7426;36,3366;43.224;1.564.819
2019-01-25;35,6436;37,1287;35,4455;36,5842;66.615;2.431.351
2019-01-24;35,396;35,6436;34,2079;35,0495;59.474;2.068.810
2019-01-23;34,4554;35,7426;33,4653;35,00;32.444;1.136.143
2019-01-22;35,2475;35,2475;34,0594;34,4059;35.096;1.210.813
2019-01-21;33,8119;35,5446;33,6139;35,198;43.462;1.508.684
2019-01-18;33,1683;33,8614;32,8218;33,4653;39.699;1.330.646
2019-01-17;32,9703;33,8614;31,8812;32,7228;48.188;1.583.162
2019-01-16;32,2772;34,1584;31,9802;33,0198;45.917;1.526.386
2019-01-15;31,5842;32,3762;31,2376;32,2772;38.449;1.219.089
2019-01-14;31,6832;31,9802;30,4455;31,0891;51.154;1.586.471
2019-01-11;33,1683;33,9604;31,3366;31,9307;36.803;1.180.283
2019-01-10;33,4653;33,7129;32,4752;33,1683;39.498;1.303.071
2019-01-09;32,4257;34,3564;32,3267;33,4158;57.522;1.926.386
2019-01-08;32,1287;32,6238;31,2376;32,1287;61.515;1.968.226
2019-01-07;31,4851;31,6337;30,5446;31,5842;23.821;739.665
2019-01-04;28,7129;31,0891;28,7129;30,6931;39.319;1.189.516
2019-01-03;29,505;29,5545;28,4158;28,5149;44.959;1.300.961
2019-01-02;28,9109;30,297;28,1188;29,7525;53.604;1.586.456
2018-12-28;28,0693;29,2079;27,4752;29,0594;35.199;1.001.628
2018-12-27;29,1584;29,802;27,4752;27,8218;50.591;1.424.831
2018-12-21;27,4752;29,2079;27,0297;29,0099;60.767;1.707.906
2018-12-20;28,6634;28,6634;27,2277;27,2277;55.864;1.561.872
2018-12-19;28,1683;28,9604;28,0198;28,7129;83.909;2.406.892
2018-12-18;28,2673;29,2574;28,0693;28,1683;156.313;4.481.332
2018-12-17;30,099;30,7921;28,2178;28,6634;72.027;2.099.212
2018-12-14;31,4851;31,6337;29,1584;30,297;79.406;2.388.614
2018-12-13;32,9703;33,8613;31,5842;31,8317;37.386;1.201.890
2018-12-12;31,1881;32,7228;30,5446;32,6733;65.031;2.036.685
2018-12-11;30,8911;31,6832;30,495;31,1386;77.726;2.437.097
2018-12-10;34,6535;34,6535;30,00;30,00;139.138;4.423.599
2018-12-07;36,3861;36,9307;35,099;35,297;31.997;1.143.038
2018-12-06;38,0198;38,0198;35,9406;35,9901;43.369;1.590.047
2018-12-05;38,2673;38,7129;37,6238;38,3168;18.741;714.895
2018-12-04;40,5941;40,5941;38,7624;38,8614;29.636;1.169.725
2018-12-03;40,0495;41,6337;40,00;41,1881;51.894;2.112.485
2018-11-30;40,495;40,495;38,9109;38,9604;25.739;1.011.632
2018-11-29;39,4554;40,396;38,5644;40,3465;53.169;2.116.458
2018-11-28;38,4158;39,0099;38,3168;38,9604;36.569;1.412.626
2018-11-27;39,3069;39,4554;38,2673;38,8614;61.043;2.373.429
2018-11-26;35,8911;39,3564;35,7921;39,3564;81.704;3.086.998
2018-11-23;35,4455;35,6436;34,802;35,6436;38.233;1.351.003
2018-11-22;35,1485;35,6931;34,4554;35,3465;55.401;1.953.981
2018-11-21;34,6535;36,2376;34,4059;35,297;91.339;3.200.899
2018-11-20;35,6436;35,7921;32,8713;34,4059;99.293;3.399.119
2018-11-19;38,6139;38,7129;35,7426;35,9406;107.806;4.010.854
2018-11-16;43,5644;43,5644;37,8218;38,0198;151.475;6.011.077
2018-11-15;41,6832;42,1782;40,3465;41,3366;30.722;1.261.429
2018-11-14;42,3267;43,0693;40,9901;41,0891;20.632;860.565
2018-11-13;40,9406;42,9703;40,6436;42,5743;37.196;1.546.445
2018-11-12;44,3069;44,4059;40,1485;40,3465;53.390;2.204.259
2018-11-09;44,604;45,5446;43,3663;43,8614;21.968;969.179
2018-11-08;47,0792;47,4752;44,4059;44,4059;26.405;1.198.772
2018-11-07;46,0396;46,9307;45,8416;46,5842;14.632;680.961
2018-11-06;45,5941;46,5842;45,0495;45,5446;35.224;1.609.372
2018-11-05;45,6436;46,2376;44,7525;45,3465;29.773;1.348.589
2018-11-02;45,099;46,7327;44,3564;45,7426;59.338;2.693.363
2018-11-01;43,5149;46,2376;43,3663;43,5644;53.034;2.365.953
2018-10-31;41,9802;43,5644;41,9307;43,1683;54.409;2.338.583
2018-10-30;39,802;41,3861;39,1089;41,1386;37.093;1.488.534
2018-10-29;40,198;40,7921;39,0099;39,4554;94.241;3.745.629
2018-10-26;40,5446;40,5446;38,4158;39,4059;62.294;2.451.284
2018-10-25;40,2475;42,0792;40,0495;40,5941;60.013;2.457.078
2018-10-24;41,9307;42,5743;40,5941;40,7921;31.683;1.314.716
2018-10-23;43,5644;43,5644;40,8416;41,5347;48.386;2.029.006
2018-10-22;45,1485;45,6436;43,3663;43,8614;34.915;1.543.267
2018-10-19;48,1683;48,1683;44,703;44,703;30.744;1.408.157
2018-10-18;48,5149;48,7624;46,5347;47,6238;32.450;1.546.141
2018-10-17;48,8614;49,703;47,7228;48,3168;38.208;1.855.945
2018-10-16;46,2376;48,9604;46,2376;48,1683;39.840;1.908.077
2018-10-15;46,8812;47,5248;45,7921;46,5347;36.246;1.688.771
2018-10-12;46,4356;47,9703;45,5446;47,8713;65.497;3.076.136
2018-10-11;45,6931;46,8812;43,6139;43,9109;90.099;4.066.628
2018-10-10;51,3861;51,3861;47,0297;47,1782;99.836;4.839.622
2018-10-09;50,6931;51,4851;49,0099;50,495;98.218;4.901.305
2018-10-08;54,0594;54,1584;50,495;50,495;72.068;3.746.306
2018-10-05;57,0297;57,0297;54,6535;54,6535;39.800;2.205.882
2018-10-04;59,0099;59,1089;56,1386;57,0297;42.134;2.414.021
2018-10-02;61,4851;61,5842;59,3069;59,3069;19.772;1.189.213
2018-10-01;59,2079;61,7822;59,1089;61,3861;42.523;2.582.894
2018-09-28;60,099;60,396;59,0099;59,0099;17.022;1.010.932
2018-09-27;61,2871;61,3861;59,802;60,495;32.155;1.941.139
2018-09-26;61,8812;62,5743;60,8911;61,3861;22.971;1.415.669
2018-09-25;62,7723;63,5644;61,6832;61,6832;16.723;1.047.159
2018-09-24;61,9802;64,5545;61,3861;62,2772;30.574;1.930.530
2018-09-21;64,1584;64,3564;61,6832;61,8812;33.138;2.071.829
2018-09-20;63,3663;64,6535;63,3663;64,1584;36.872;2.363.038
