Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,18;0,18;0,18;0,18;0;0
2019-08-13;0,18;0,19;0,18;0,19;546;101
2019-08-12;0,18;0,18;0,18;0,18;0;0
2019-08-09;0,18;0,18;0,18;0,18;0;0
2019-08-08;0,181;0,181;0,181;0,181;0;0
2019-08-07;0,181;0,181;0,181;0,181;0;0
2019-08-06;0,18;0,18;0,18;0,18;0;0
2019-08-05;0,181;0,181;0,181;0,181;0;0
2019-08-02;0,181;0,181;0,181;0,181;0;0
2019-07-31;0,19;0,19;0,189;0,189;200;38
2019-07-30;0,19;0,19;0,19;0,19;0;0
2019-07-29;0,19;0,19;0,19;0,19;0;0
2019-07-26;0,19;0,19;0,19;0,19;26;5
2019-07-24;0,216;0,216;0,216;0,216;4.500;972
2019-07-23;0,19;0,218;0,19;0,218;1.000;218
2019-07-22;0,19;0,19;0,19;0,19;0;0
2019-07-19;0,19;0,19;0,19;0,19;0;0
2019-07-18;0,19;0,19;0,19;0,19;0;0
2019-07-17;0,238;0,238;0,188;0,20;21.299;4.124
2019-07-16;0,238;0,238;0,238;0,238;0;0
2019-07-15;0,238;0,238;0,238;0,238;0;0
2019-07-12;0,238;0,238;0,238;0,238;0;0
2019-07-11;0,232;0,232;0,232;0,232;0;0
2019-07-10;0,234;0,24;0,232;0,232;525;126
2019-05-31;0,169;0,169;0,169;0,169;1.000;169
2019-05-30;0,179;0,179;0,179;0,179;1.000;179
2019-05-29;0,156;0,156;0,156;0,156;1.881;293
2019-05-28;0,109;0,17;0,109;0,132;51.124;6.626
2019-05-27;0,0975;0,0975;0,09;0,09;22.000;1.995
2019-05-24;0,12;0,12;0,12;0,12;0;0
2019-05-21;0,172;0,172;0,172;0,172;9.058;1.558
2019-05-20;0,181;0,181;0,181;0,181;0;0
2019-05-17;0,182;0,182;0,182;0,182;0;0
2019-05-16;0,181;0,181;0,181;0,181;0;0
2019-05-15;0,191;0,191;0,191;0,191;0;0
2019-05-14;0,202;0,202;0,202;0,202;11.813;2.386
2019-05-13;0,218;0,218;0,21;0,216;5.100;1.082
2019-05-10;0,216;0,22;0,216;0,22;9.091;2.000
2019-05-09;0,22;0,22;0,22;0,22;3;1
2019-05-08;0,23;0,23;0,23;0,23;9.096;2.092
2019-05-07;0,242;0,266;0,242;0,266;6.001;1.572
2019-05-03;0,29;0,29;0,29;0,29;2.000;580
2019-05-02;0,36;0,36;0,314;0,314;133;42
2019-04-30;0,40;0,40;0,40;0,40;4.100;1.640
2019-04-29;0,432;0,432;0,422;0,422;5.800;2.459
2019-04-24;0,44;0,44;0,44;0,44;5.333;2.347
2019-04-23;0,474;0,474;0,474;0,474;16;8
2019-04-18;0,50;0,50;0,50;0,50;200;100
2019-04-12;0,47;0,47;0,47;0,47;666;313
2019-04-10;0,50;0,50;0,50;0,50;3.000;1.500
2019-04-04;0,46;0,46;0,46;0,46;15.000;6.900
2019-04-03;0,438;0,45;0,438;0,45;2.294;1.008
2019-04-02;0,482;0,482;0,40;0,40;4.226;1.996
2019-04-01;0,492;0,50;0,44;0,50;19.466;9.490
2019-03-29;0,60;0,60;0,54;0,55;17.837;10.290
2019-03-28;0,624;0,624;0,624;0,624;3.000;1.872
2019-03-27;0,69;0,69;0,69;0,69;2.000;1.380
2019-03-26;0,67;0,67;0,67;0,67;0;0
2019-03-25;0,62;0,72;0,62;0,72;6.000;4.120
2019-03-22;0,61;0,61;0,61;0,61;500;305
2019-03-21;0,60;0,60;0,60;0,60;3.599;2.159
2019-03-20;0,624;0,628;0,60;0,60;14.552;8.926
2019-03-19;0,59;0,638;0,59;0,638;3.300;2.009
2019-03-18;0,61;0,64;0,58;0,604;22.800;13.993
2019-03-15;0,702;0,702;0,499;0,63;30.500;17.632
2019-03-14;0,726;0,758;0,72;0,758;9.000;6.577
2019-03-13;0,722;0,722;0,72;0,72;15.400;11.099
2019-03-12;0,896;0,896;0,71;0,76;38.557;30.959
2019-03-11;0,92;0,92;0,902;0,902;7.197;6.569
2019-03-08;0,91;0,91;0,91;0,91;0;0
2019-03-07;0,924;0,924;0,924;0,924;4.340;4.010
2019-03-04;1,00;1,00;1,00;1,00;0;0
2019-02-28;0,964;0,964;0,964;0,964;2.773;2.673
2019-02-26;0,958;0,958;0,958;0,958;0;0
2019-02-22;0,94;1,005;0,94;1,005;3.500;3.518
2019-02-21;0,998;0,998;0,95;0,95;13.366;12.865
2019-02-20;1,025;1,03;0,98;0,98;19.003;19.336
2019-02-19;1,035;1,06;1,00;1,055;36.589;37.650
2019-02-18;1,035;1,08;1,035;1,06;11.916;12.571
2019-02-15;1,055;1,07;1,05;1,05;4.833;5.110
2019-02-14;1,11;1,11;1,03;1,05;3.462;3.595
2019-02-13;1,08;1,08;1,08;1,08;2.500;2.700
2019-02-12;1,10;1,10;1,05;1,05;3.819;4.101
2019-02-11;1,005;1,035;1,005;1,035;5.000;5.085
2019-02-08;0,908;0,97;0,908;0,95;14.000;13.500
2019-02-07;0,898;0,898;0,898;0,898;0;0
2019-02-06;0,898;0,898;0,898;0,898;1;1
2019-02-05;0,90;0,90;0,90;0,90;0;0
2019-02-04;0,898;0,898;0,898;0,898;0;0
2019-02-01;0,896;0,896;0,896;0,896;0;0
2019-01-31;0,908;0,908;0,908;0,908;2.200;1.998
2019-01-30;0,962;0,962;0,962;0,962;0;0
2019-01-29;0,962;0,962;0,962;0,962;0;0
2019-01-28;0,962;0,962;0,962;0,962;0;0
2019-01-25;0,972;0,972;0,97;0,97;2.000;1.940
2019-01-24;0,99;0,99;0,99;0,99;0;0
2019-01-23;0,968;0,968;0,968;0,968;0;0
2019-01-22;0,90;0,90;0,90;0,90;3.778;3.400
2019-01-18;0,932;0,932;0,92;0,922;2.370;2.184
2019-01-17;0,978;0,978;0,978;0,978;8;8
2019-01-16;0,968;0,968;0,922;0,922;23;21
2019-01-15;0,982;0,982;0,982;0,982;0;0
2019-01-14;0,982;0,982;0,982;0,982;0;0
2019-01-11;0,982;0,982;0,982;0,982;0;0
2019-01-10;0,986;0,986;0,982;0,982;10;10
2019-01-09;0,982;0,982;0,982;0,982;0;0
2019-01-08;0,972;0,972;0,972;0,972;50;49
2019-01-02;0,88;0,88;0,88;0,88;0;0
2018-12-28;0,864;0,864;0,864;0,864;0;0
2018-12-27;0,904;0,904;0,864;0,864;2.000;1.728
2018-12-21;0,94;0,94;0,94;0,94;0;0
2018-12-20;0,932;0,932;0,932;0,932;0;0
2018-12-19;0,934;0,934;0,934;0,934;0;0
2018-12-18;0,938;0,938;0,938;0,938;0;0
2018-12-17;0,956;0,956;0,956;0,956;0;0
2018-12-14;0,922;0,922;0,922;0,922;0;0
2018-12-12;0,952;0,952;0,952;0,952;0;0
2018-12-11;0,952;0,952;0,952;0,952;0;0
2018-12-10;0,952;0,952;0,952;0,952;0;0
2018-12-07;0,952;0,952;0,952;0,952;0;0
2018-12-05;0,992;0,992;0,992;0,992;400;397
2018-11-20;0,952;0,952;0,952;0,952;24;23
2018-11-19;0,992;1,025;0,992;1,025;2.364;2.423
2018-11-16; ; ; ;0,98;;
2018-11-15;0,934;0,934;0,934;0,934;100;93
2018-11-13;1,04;1,04;1,04;1,04;0;0
2018-11-12;1,04;1,04;1,04;1,04;0;0
2018-11-09;1,04;1,04;1,04;1,04;0;0
2018-11-08;1,04;1,04;1,04;1,04;0;0
2018-11-07;1,03;1,07;1,03;1,07;1;1
2018-10-30;1,09;1,09;1,08;1,08;1.500;1.620
2018-10-29;1,10;1,10;1,10;1,10;400;440
2018-10-25;1,11;1,11;1,11;1,11;0;0
2018-10-23;1,13;1,13;1,13;1,13;0;0
2018-10-22;1,20;1,20;1,20;1,20;1;1
2018-10-19;1,20;1,20;1,20;1,20;4.000;4.800
2018-10-17;1,15;1,225;1,15;1,225;2.000;2.450
2018-10-16;1,175;1,21;1,175;1,20;4.865;5.853
2018-10-15;1,09;1,19;1,09;1,19;2.900;3.411
2018-10-12;1,045;1,045;1,045;1,045;0;0
2018-10-11;1,10;1,125;1,10;1,10;6.318;7.021
2018-10-10;1,435;1,435;1,285;1,285;27.652;36.919
2018-10-09;1,275;1,35;1,26;1,35;3.518;4.622
2018-10-08;1,265;1,29;1,21;1,29;5.050;6.152
2018-10-05;1,02;1,12;1,02;1,12;4.699;5.045
2018-10-04;0,972;0,972;0,972;0,972;0;0
2018-10-02;0,968;0,968;0,968;0,968;8;8
2018-10-01;0,972;0,972;0,972;0,972;0;0
2018-09-28;0,972;0,972;0,968;0,968;1.900;1.841
2018-09-27;0,968;0,968;0,968;0,968;0;0
2018-09-26;1,005;1,005;1,005;1,005;0;0
2018-09-25;1,01;1,01;1,01;1,01;0;0
2018-09-24;1,00;1,00;1,00;1,00;0;0
2018-09-21;1,02;1,02;1,02;1,02;2.000;2.040
2018-09-20;1,005;1,005;1,005;1,005;0;0
2018-09-19;0,92;0,958;0,92;0,958;2.266;2.161
2018-09-17;0,996;1,01;0,996;1,01;1;1
2018-09-14;1,025;1,025;1,025;1,025;0;0
2018-09-13;1,06;1,06;1,06;1,06;5.626;5.964
2018-09-10;1,03;1,105;1,03;1,105;7.604;8.050
2018-09-07;1,06;1,06;1,04;1,04;4.133;4.335
2018-09-06;1,09;1,09;1,09;1,09;1;1
2018-09-05;1,08;1,08;1,07;1,07;661;707
2018-09-04;1,07;1,07;1,07;1,07;0;0
2018-09-03;1,035;1,035;1,035;1,035;0;0
2018-08-31;1,075;1,075;1,075;1,075;2.425;2.607
2018-08-30;1,05;1,05;1,05;1,05;1.000;1.050
2018-08-29;0,89;0,89;0,88;0,886;31.250;27.700
2018-08-27;1,055;1,055;0,888;0,90;40.686;36.402
2018-08-24;0,98;0,98;0,98;0,98;2.000;1.960
2018-08-22;0,83;0,92;0,83;0,92;2.198;2.022
2018-08-21;0,91;0,91;0,91;0,91;2.611;2.376
2018-08-20;0,826;0,85;0,826;0,85;380;320
2018-08-17;0,91;0,91;0,91;0,91;1.000;910
2018-08-10;0,975;0,975;0,975;0,975;2.000;1.950
2018-08-08;0,92;0,92;0,92;0,92;3.022;2.780
2018-08-06;0,92;0,92;0,92;0,92;0;0
2018-08-03;0,945;0,945;0,945;0,945;200;189
2018-07-27;0,94;0,94;0,94;0,94;333;313
2018-07-23;1,01;1,01;1,01;1,01;600;606
2018-07-20;1,03;1,03;1,03;1,03;0;0
2018-07-19;1,03;1,03;1,03;1,03;0;0
2018-07-18;1,03;1,03;1,03;1,03;0;0
2018-07-17;1,06;1,06;1,06;1,06;0;0
2018-07-16;1,06;1,06;1,06;1,06;0;0
2018-07-13;1,06;1,06;1,06;1,06;0;0
2018-07-12;1,06;1,06;1,06;1,06;0;0
2018-07-11;1,06;1,06;1,06;1,06;0;0
2018-07-10;1,07;1,07;1,06;1,06;333;353
2018-07-09;1,08;1,08;1,08;1,08;833;900
2018-07-06;1,07;1,07;1,07;1,07;0;0
2018-07-05;1,07;1,07;1,07;1,07;0;0
2018-07-04;1,07;1,07;1,07;1,07;0;0
2018-07-03;1,07;1,07;1,07;1,07;0;0
2018-06-29;1,10;1,10;1,10;1,10;5.000;5.500
2018-06-28;1,09;1,09;1,09;1,09;0;0
2018-06-27;1,09;1,09;1,09;1,09;333;363
2018-06-25;1,12;1,12;1,12;1,12;2.000;2.240
2018-06-21;1,20;1,20;1,20;1,20;2.000;2.400
2018-06-18;1,04;1,36;1,03;1,12;16.324;18.423
2018-06-15;1,05;1,05;1,05;1,05;0;0
2018-06-14;1,05;1,05;1,05;1,05;1.000;1.050
2018-06-13;1,05;1,05;1,05;1,05;3.000;3.150
2018-06-12;1,05;1,05;1,05;1,05;0;0
2018-06-11;1,05;1,05;1,05;1,05;0;0
2018-06-08;1,11;1,11;1,11;1,11;5;6
2018-06-07;1,12;1,12;1,12;1,12;0;0
2018-06-06;1,03;1,10;1,03;1,10;3.000;3.300
2018-06-05;1,15;1,15;1,06;1,06;3.136;3.389
2018-06-04;1,13;1,13;1,13;1,13;0;0
2018-06-01;1,13;1,13;1,13;1,13;0;0
2018-05-31;1,15;1,15;1,15;1,15;0;0
2018-05-30;1,13;1,13;1,13;1,13;0;0
2018-05-29;1,13;1,13;1,13;1,13;1.000;1.130
2018-05-28;1,18;1,18;1,18;1,18;0;0
2018-05-25;1,17;1,17;1,17;1,17;62;73
2018-05-24;1,17;1,18;1,17;1,18;6.710;7.901
2018-05-23;1,17;1,17;1,16;1,16;1.578;1.846
2018-05-17;1,13;1,13;1,13;1,13;0;0
2018-05-16;1,18;1,18;1,18;1,18;3.524;4.158
2018-05-15;1,18;1,18;1,18;1,18;1.110;1.310
2018-05-14;1,20;1,20;1,18;1,18;3.833;4.558
2018-05-11;1,20;1,20;1,20;1,20;0;0
2018-05-10;1,20;1,20;1,20;1,20;0;0
2018-05-08;1,21;1,21;1,21;1,21;0;0
2018-05-07;1,20;1,20;1,20;1,20;0;0
2018-05-04;1,22;1,22;1,22;1,22;0;0
2018-05-03;1,22;1,22;1,22;1,22;0;0
2018-04-30;1,23;1,23;1,23;1,23;3.740;4.600
2018-04-27;1,19;1,19;1,19;1,19;0;0
2018-04-26;1,19;1,19;1,19;1,19;200;238
2018-04-25;1,18;1,18;1,18;1,18;15;18
2018-04-20;1,15;1,15;1,15;1,15;0;0
2018-04-18;1,19;1,19;1,19;1,19;0;0
2018-04-17;1,18;1,18;1,18;1,18;0;0
2018-04-16;1,19;1,19;1,19;1,19;3.390;4.034
2018-04-13;1,18;1,19;1,18;1,19;1.673;1.991
2018-04-12;1,14;1,20;1,14;1,20;2.000;2.400
2018-04-11;1,20;1,20;1,20;1,20;0;0
2018-04-09;1,17;1,22;1,17;1,22;2.166;2.643
2018-04-06;1,18;1,18;1,18;1,18;26;31
2018-04-05;1,17;1,17;1,17;1,17;282;330
2018-04-03;1,14;1,14;1,14;1,14;0;0
2018-03-29;1,16;1,16;1,16;1,16;0;0
2018-03-28;1,16;1,16;1,16;1,16;393;456
2018-03-27;1,17;1,21;1,17;1,21;40;48
2018-03-26;1,16;1,16;1,16;1,16;0;0
2018-03-23;1,18;1,18;1,18;1,18;2.333;2.753
2018-03-21;1,18;1,18;1,18;1,18;13;15
2018-03-20;1,13;1,18;1,13;1,18;2.000;2.360
2018-03-19;1,13;1,18;1,13;1,18;100;118
2018-03-15;1,14;1,14;1,14;1,14;0;0
2018-03-14;1,14;1,14;1,14;1,14;0;0
2018-03-13;1,14;1,14;1,14;1,14;0;0
2018-03-12;1,18;1,18;1,18;1,18;0;0
2018-03-09;1,18;1,18;1,18;1,18;0;0
2018-03-08;1,18;1,18;1,18;1,18;166;196
2018-03-07;1,17;1,22;1,17;1,22;2.000;2.440
2018-03-06;1,22;1,22;1,22;1,22;800;976
2018-03-05;1,20;1,20;1,17;1,17;1.004;1.178
2018-03-02;1,25;1,25;1,23;1,23;1.627;2.001
2018-03-01;1,25;1,25;1,25;1,25;4.000;5.000
2018-02-28;1,25;1,25;1,25;1,25;21;26
2018-02-27;1,26;1,26;1,26;1,26;0;0
2018-02-26;1,25;1,25;1,25;1,25;0;0
2018-02-23;1,26;1,29;1,26;1,29;9.960;12.671
2018-02-22;1,26;1,26;1,26;1,26;800;1.008
2018-02-21;1,27;1,27;1,27;1,27;2.000;2.540
2018-02-20;1,20;1,20;1,20;1,20;0;0
2018-02-19;1,26;1,26;1,26;1,26;1.133;1.428
2018-02-16;1,29;1,29;1,27;1,27;5.000;6.350
2018-02-15;1,33;1,35;1,33;1,35;1.332;1.798
2018-02-14;1,28;1,34;1,28;1,34;900;1.206
2018-02-13;1,23;1,27;1,23;1,27;1.110;1.410
2018-02-12;1,31;1,31;1,20;1,20;2.400;2.896
2018-02-09;1,31;1,31;1,31;1,31;1.421;1.862
2018-02-08;1,32;1,32;1,32;1,32;0;0
2018-02-07;1,38;1,38;1,38;1,38;0;0
2018-02-06;1,45;1,45;1,35;1,35;2.929;4.132
2018-02-05;1,40;1,40;1,37;1,37;2.000;2.740
2018-02-02;1,41;1,41;1,41;1,41;0;0
2018-02-01;1,42;1,42;1,40;1,40;2.173;3.057
2018-01-26;1,55;1,55;1,55;1,55;0;0
2018-01-25;1,54;1,54;1,54;1,54;0;0
2018-01-24;1,53;1,53;1,53;1,53;0;0
2018-01-23;1,56;1,56;1,50;1,50;333;500
2018-01-22;1,57;1,57;1,57;1,57;0;0
2018-01-19;1,56;1,56;1,56;1,56;0;0
2018-01-18;1,57;1,57;1,57;1,57;0;0
2018-01-17;1,56;1,56;1,56;1,56;0;0
2018-01-16;1,55;1,55;1,55;1,55;1.800;2.790
2018-01-15;1,56;1,62;1,56;1,62;1.800;2.916
2018-01-12;1,57;1,57;1,57;1,57;0;0
2018-01-11;1,55;1,55;1,55;1,55;0;0
2018-01-10;1,55;1,55;1,55;1,55;0;0
2018-01-09;1,56;1,56;1,56;1,56;1.283;2.001
2018-01-08;1,57;1,57;1,56;1,56;2.500;3.900
