Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,88;3,88;3,88;3,88;0;0
2019-08-13;3,90;3,90;3,88;3,88;1.000;3.900
2019-08-12;3,80;3,92;3,80;3,92;2.000;7.600
2019-08-09;3,90;3,92;3,80;3,92;37.631;144.842
2019-08-08;3,94;3,94;3,94;3,94;0;0
2019-08-07;3,92;3,94;3,92;3,94;2.000;7.840
2019-08-06;3,94;3,94;3,94;3,94;0;0
2019-08-05;3,94;3,94;3,90;3,94;1.600;6.242
2019-08-02;3,94;3,96;3,94;3,96;4.962;19.550
2019-08-01;3,98;3,98;3,98;3,98;0;0
2019-07-31;3,96;3,98;3,96;3,98;4.293;17.000
2019-07-30;4,00;4,00;4,00;4,00;0;0
2019-07-29;4,00;4,00;4,00;4,00;0;0
2019-07-26;3,98;3,98;3,98;3,98;0;0
2019-07-25;3,98;4,02;3,98;3,98;6.000;24.049
2019-07-24;3,96;3,96;3,96;3,96;0;0
2019-07-23;3,98;3,98;3,98;3,98;0;0
2019-07-22;3,92;3,96;3,92;3,96;100;392
2019-07-19;4,00;4,00;3,92;3,96;4.500;17.840
2019-07-18;3,96;3,96;3,92;3,96;13.412;52.796
2019-07-17;4,00;4,00;3,96;3,96;65;260
2019-07-16;3,98;3,98;3,96;3,96;993;3.952
2019-07-15;3,90;3,90;3,90;3,90;2.000;7.800
2019-07-12;4,00;4,00;3,96;3,96;1.500;6.000
2019-07-11;3,96;3,96;3,96;3,96;0;0
2019-07-10;3,98;4,00;3,98;4,00;14.700;58.786
2019-07-09;3,98;3,98;3,98;3,98;0;0
2019-07-08;3,96;3,96;3,96;3,96;0;0
2019-07-05;3,94;3,94;3,94;3,94;0;0
2019-07-04;3,90;3,94;3,90;3,94;2.600;10.140
2019-07-03;3,94;3,94;3,94;3,94;0;0
2019-07-02;3,94;3,94;3,94;3,94;0;0
2019-07-01;3,90;3,94;3,90;3,94;1.000;3.900
