Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;6,26;6,29;6,16;6,20;1.455;9.046
2019-08-13;6,56;6,56;6,11;6,19;13.232;82.486
2019-08-12;6,74;6,74;6,46;6,46;7.060;46.018
2019-08-09;6,73;6,75;6,63;6,69;6.837;45.873
2019-08-08;6,38;6,68;6,38;6,67;3.850;25.165
2019-08-07;6,31;6,36;6,22;6,28;5.912;37.143
2019-08-06;6,32;6,45;6,25;6,38;7.280;46.041
2019-08-05;6,38;6,39;6,32;6,37;6.154;39.232
2019-08-02;6,25;6,39;6,25;6,39;5.387;34.315
2019-08-01;6,36;6,38;6,28;6,38;6.675;42.269
2019-07-31;6,35;6,39;6,25;6,37;14.613;92.826
2019-07-30;6,35;6,40;6,35;6,36;7.759;49.496
2019-07-29;6,40;6,40;6,31;6,38;15.365;98.036
2019-07-26;6,30;6,40;6,30;6,38;19.578;124.564
2019-07-25;6,34;6,40;6,26;6,26;7.485;47.482
2019-07-24;6,30;6,40;6,20;6,34;9.746;61.905
2019-07-23;6,21;6,29;6,15;6,26;6.840;42.389
2019-07-22;6,23;6,30;6,13;6,16;14.805;91.995
2019-07-19;6,24;6,27;6,10;6,23;15.872;98.247
2019-07-18;6,05;6,25;6,05;6,20;11.698;71.898
2019-07-17;6,21;6,37;6,05;6,07;39.466;242.145
2019-07-16;6,75;6,87;6,37;6,37;22.185;144.388
2019-07-15;6,77;6,88;6,75;6,75;9.238;62.994
2019-07-12;6,74;6,84;6,69;6,76;3.036;20.590
2019-07-11;6,60;6,75;6,58;6,58;3.158;21.091
2019-07-10;6,88;6,88;6,68;6,75;6.040;40.769
2019-07-09;6,80;6,89;6,78;6,83;3.390;23.113
2019-07-08;6,98;6,98;6,79;6,83;4.843;33.310
2019-07-05;7,00;7,00;6,88;6,88;5.703;39.742
2019-07-04;6,88;7,00;6,88;7,00;28.542;199.224
2019-07-03;6,75;6,89;6,75;6,82;8.209;55.846
2019-07-02;6,61;6,79;6,61;6,75;2.235;15.083
2019-07-01;6,50;6,79;6,44;6,65;17.340;114.931
2019-06-28;6,75;6,79;6,67;6,77;5.114;34.638
2019-06-27;6,80;6,80;6,71;6,80;4.509;30.585
2019-06-26;6,69;6,85;6,66;6,66;1.937;13.106
2019-06-25;6,80;6,85;6,71;6,75;12.436;84.489
2019-06-24;6,60;6,79;6,60;6,77;15.430;103.876
2019-06-21;6,70;6,75;6,70;6,75;4.835;32.516
2019-06-20;6,84;6,84;6,55;6,74;24.633;164.303
2019-06-19;6,77;6,80;6,70;6,76;5.567;37.494
2019-06-18;6,77;6,80;6,70;6,70;11.909;80.426
2019-06-17;6,84;6,87;6,71;6,71;15.662;106.341
2019-06-14;6,99;6,99;6,84;6,84;3.688;25.368
2019-06-13;6,93;7,00;6,91;6,95;5.073;35.333
2019-06-12;6,84;6,96;6,82;6,82;3.124;21.585
2019-06-11;7,00;7,00;6,72;6,80;19.471;133.250
2019-06-07;6,85;6,90;6,79;6,87;8.347;57.248
2019-06-06;6,91;6,93;6,80;6,80;1.891;13.005
2019-06-05;6,90;7,00;6,87;6,91;4.203;29.242
2019-06-04;6,75;6,90;6,72;6,90;2.342;15.985
2019-06-03;6,91;6,91;6,74;6,81;3.222;22.116
2019-05-31;7,15;7,15;6,81;6,81;6.277;43.622
2019-05-30;7,01;7,15;7,00;7,15;4.292;30.109
2019-05-29;7,02;7,06;7,00;7,00;4.101;28.771
2019-05-28;7,09;7,12;7,00;7,00;18.543;130.092
2019-05-27;7,09;7,09;7,00;7,08;3.020;21.318
2019-05-24;7,01;7,09;6,94;7,06;5.485;38.565
2019-05-23;7,23;7,23;6,96;6,97;11.501;81.585
2019-05-22;7,41;7,46;7,11;7,21;24.239;175.478
2019-05-21;7,20;7,55;7,16;7,47;21.394;158.442
2019-05-20;7,40;7,40;7,15;7,26;11.566;83.816
2019-05-17;7,23;7,42;7,18;7,18;4.355;31.777
2019-05-16;7,39;7,60;7,31;7,35;14.266;105.625
2019-05-15;7,24;7,24;7,19;7,20;6.698;48.318
2019-05-14;7,10;7,35;7,10;7,13;6.921;49.803
2019-05-13;7,00;7,19;6,94;6,94;12.541;88.783
2019-05-10;6,69;7,03;6,68;6,90;20.555;141.821
2019-05-09;7,01;7,02;6,71;6,79;15.562;106.535
2019-05-08;6,93;7,17;6,89;7,11;18.937;133.493
2019-05-07;7,08;7,08;6,79;6,79;24.301;168.809
2019-05-06;7,29;7,29;6,92;6,92;16.283;116.580
2019-05-03;7,39;7,43;7,31;7,36;12.741;93.991
2019-05-02;7,42;7,43;7,30;7,38;9.989;73.629
2019-04-30;7,22;7,43;7,22;7,36;17.790;131.009
2019-04-29;7,21;7,34;7,20;7,23;9.679;70.058
2019-04-26;7,41;7,56;7,18;7,22;33.517;246.307
2019-04-25;7,39;7,53;7,31;7,49;13.262;98.009
2019-04-24;7,59;7,60;7,44;7,49;6.879;51.621
2019-04-23;7,71;7,72;7,58;7,69;7.252;55.724
2019-04-18;7,58;7,70;7,58;7,70;17.902;136.776
2019-04-17;7,71;7,79;7,49;7,71;29.684;227.995
2019-04-16;7,60;7,76;7,58;7,58;11.447;88.239
2019-04-15;7,38;7,64;7,38;7,60;14.082;106.214
2019-04-12;7,30;7,59;7,30;7,42;23.715;177.207
2019-04-11;7,47;7,48;7,28;7,48;14.672;108.388
2019-04-10;7,35;7,49;7,20;7,24;33.225;244.276
2019-04-09;7,35;7,35;7,26;7,34;12.631;92.638
2019-04-08;7,34;7,35;7,25;7,35;13.340;97.816
2019-04-05;7,31;7,35;7,30;7,30;15.348;112.388
2019-04-04;7,33;7,35;7,22;7,33;22.209;162.982
2019-04-03;7,21;7,35;7,21;7,22;25.483;184.847
2019-04-02;7,40;7,40;7,25;7,32;8.464;62.008
2019-04-01;7,53;7,55;7,18;7,36;34.188;252.017
2019-03-29;7,15;7,42;7,13;7,42;20.624;151.190
2019-03-28;7,08;7,09;6,98;7,09;7.612;53.502
2019-03-27;6,86;7,04;6,82;6,94;7.830;54.425
2019-03-26;6,89;6,96;6,82;6,90;9.970;68.814
2019-03-25;7,15;7,15;6,75;6,80;24.738;169.764
2019-03-22;7,26;7,26;7,01;7,19;18.458;131.118
2019-03-21;7,44;7,51;6,98;7,13;78.817;576.303
2019-03-20;7,36;7,36;7,10;7,20;12.907;93.871
2019-03-19;7,02;7,35;6,94;7,12;41.276;296.945
2019-03-18;6,89;7,10;6,84;6,90;17.695;122.669
2019-03-15;6,81;6,89;6,65;6,89;163.341;1.122.872
2019-03-14;6,72;6,82;6,63;6,69;18.046;121.268
2019-03-13;6,66;6,74;6,55;6,60;22.277;148.075
2019-03-12;6,84;6,84;6,59;6,78;20.457;137.371
2019-03-11;6,83;6,84;6,72;6,79;10.892;73.878
2019-03-08;6,68;6,76;6,52;6,71;18.189;121.287
2019-03-07;6,93;6,96;6,62;6,65;31.023;211.440
2019-03-06;6,96;6,99;6,93;6,93;11.836;82.299
2019-03-05;7,17;7,19;6,93;6,93;38.752;273.577
2019-03-04;7,21;7,29;7,17;7,17;25.718;185.980
2019-03-01;7,14;7,30;7,14;7,18;21.038;151.629
2019-02-28;7,07;7,17;6,97;7,13;32.080;227.304
2019-02-27;7,23;7,23;7,02;7,03;27.955;199.293
2019-02-26;7,40;7,42;7,11;7,15;17.104;124.219
2019-02-25;7,30;7,44;7,21;7,41;20.104;146.444
2019-02-22;7,32;7,38;7,22;7,27;14.773;107.655
2019-02-21;7,39;7,51;7,32;7,32;24.176;179.717
2019-02-20;7,50;7,50;7,35;7,40;18.308;135.750
2019-02-19;7,87;7,87;7,34;7,45;21.118;159.547
2019-02-18;7,43;7,85;7,36;7,80;29.000;221.000
2019-02-15;7,36;7,49;7,29;7,29;21.123;155.285
2019-02-14;7,34;7,58;7,31;7,47;42.603;316.549
2019-02-13;7,21;7,35;7,21;7,31;31.847;233.574
2019-02-12;7,25;7,32;7,13;7,14;37.425;270.778
2019-02-11;7,40;7,52;7,20;7,21;30.431;223.692
2019-02-08;7,50;7,55;7,35;7,35;34.121;254.356
2019-02-07;7,69;7,70;7,50;7,54;40.300;306.112
2019-02-06;7,56;7,69;7,51;7,51;22.882;173.736
2019-02-05;7,63;7,70;7,53;7,57;14.126;107.770
2019-02-04;8,04;8,04;7,62;7,68;21.891;171.009
2019-02-01;8,04;8,04;7,81;7,95;14.019;111.626
2019-01-31;7,70;8,15;7,70;7,99;41.924;332.060
2019-01-30;7,71;7,79;7,56;7,75;21.441;164.955
2019-01-29;7,60;7,71;7,53;7,69;17.913;136.529
2019-01-28;7,66;7,71;7,53;7,60;72.447;551.672
2019-01-25;7,34;7,56;7,20;7,20;66.148;488.152
2019-01-24;7,08;7,22;7,00;7,15;30.441;213.842
2019-01-23;7,00;7,08;6,80;6,98;9.187;63.690
2019-01-22;7,01;7,13;6,99;7,00;5.709;40.348
2019-01-21;6,92;7,21;6,83;7,06;8.262;58.379
2019-01-18;6,66;6,88;6,61;6,81;41.468;279.051
2019-01-17;6,66;6,70;6,59;6,62;7.515;49.961
