Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;24,70;24,90;22,80;23,70;2.866;67.910
2019-08-13;26,20;26,20;24,00;24,40;7.631;191.659
2019-08-12;28,20;28,30;23,30;26,00;9.275;237.255
2019-08-09;28,00;28,80;28,00;28,00;2.332;66.790
2019-08-08;27,60;28,00;27,40;28,00;3.117;86.403
2019-08-07;28,10;28,10;28,00;28,00;438;12.271
2019-08-06;29,80;30,20;29,00;29,10;2.997;88.412
2019-08-05;30,00;30,00;29,80;30,00;706;21.045
2019-08-02;30,00;30,00;29,80;30,00;417;12.485
2019-08-01;29,90;30,20;29,80;30,20;4.564;136.545
2019-07-31;30,40;30,60;30,00;30,00;909;27.571
2019-07-30;30,80;30,80;30,30;30,30;413;12.680
2019-07-29;30,70;30,70;30,70;30,70;7;215
2019-07-26;31,90;31,90;31,20;31,40;1.853;58.809
2019-07-25;31,60;31,90;30,80;30,80;3.869;122.872
2019-07-24;30,60;31,60;30,30;31,40;2.452;75.583
2019-07-23;31,90;31,90;30,80;31,40;1.441;45.131
2019-07-22;32,00;32,00;30,70;30,70;394;12.520
2019-07-19;30,80;31,80;30,80;31,80;417;13.049
2019-07-18;31,90;32,00;31,80;31,90;417;13.268
2019-07-17;32,10;32,40;31,70;32,00;2.980;95.341
2019-07-16;32,40;32,60;32,10;32,10;610;19.793
2019-07-15;31,50;32,40;31,40;32,40;2.568;81.594
2019-07-12;31,00;31,30;30,00;31,00;2.023;62.406
2019-07-11;30,50;32,00;30,20;31,00;6.200;191.207
2019-07-10;30,10;30,10;29,50;29,80;1.796;53.536
2019-07-09;32,00;32,00;30,80;31,30;658;20.554
2019-07-08;31,60;32,00;31,60;32,00;198;6.286
2019-07-05;33,00;33,00;31,10;31,10;7.226;230.514
2019-07-04;32,00;33,10;32,00;33,10;730;23.572
2019-07-03;32,00;32,00;32,00;32,00;827;26.464
2019-07-02;32,10;32,10;32,00;32,00;2.290;73.292
2019-07-01;31,30;32,10;31,30;32,00;1.878;59.975
2019-06-28;32,00;32,70;31,40;32,50;2.808;89.637
2019-06-27;33,20;33,90;32,30;32,50;5.045;166.208
2019-06-26;33,50;33,50;32,70;33,00;681;22.481
2019-06-25;32,90;33,50;32,80;33,30;1.420;46.902
2019-06-24;33,00;33,50;32,50;32,90;1.331;43.800
2019-06-21;32,40;32,70;32,40;32,70;309;10.076
2019-06-20;31,70;32,70;31,70;32,70;1.948;62.176
2019-06-19;31,60;31,60;31,00;31,40;1.342;41.859
2019-06-18;31,60;32,00;30,60;31,60;2.788;87.167
2019-06-17;31,40;32,60;31,10;31,50;2.058;64.987
2019-06-14;31,10;31,80;30,00;31,30;5.023;156.542
