Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,454;0,454;0,454;0,454;840;381
2019-08-12;0,505;0,505;0,50;0,50;5.000;2.513
2019-08-09;0,49;0,49;0,49;0,49;1.185;581
2019-08-07;0,56;0,56;0,56;0,56;30;17
2019-07-30;0,58;0,58;0,58;0,58;45;26
2019-07-29;0,57;0,57;0,57;0,57;850;485
2019-07-25;0,45;0,45;0,45;0,45;500;225
2019-07-24;0,49;0,49;0,49;0,49;4.000;1.960
2019-07-23;0,55;0,58;0,52;0,52;15.382;8.231
2019-07-22;0,50;0,50;0,50;0,50;499;250
2019-07-15;0,48;0,58;0,462;0,462;4.875;2.394
2019-07-08;0,45;0,56;0,45;0,56;800;415
2019-07-04;0,505;0,505;0,505;0,505;1.150;581
2019-07-03;0,58;0,58;0,58;0,58;2.000;1.160
2019-07-01;0,68;0,68;0,68;0,68;600;408
2019-06-27;0,60;0,60;0,60;0,60;1.220;732
2019-06-26;0,60;0,695;0,60;0,60;1.018;636
2019-06-17;0,655;0,655;0,655;0,655;50;33
2019-06-14;0,63;0,64;0,63;0,64;1.800;1.135
2019-06-13;0,675;0,85;0,65;0,655;17.500;12.258
2019-06-12;0,56;0,565;0,56;0,565;2.123;1.190
2019-06-10;0,515;0,515;0,515;0,515;1.000;515
2019-06-07;0,555;0,555;0,555;0,555;7.746;4.299
2019-06-05;0,555;0,555;0,555;0,555;2.400;1.332
2019-06-03;0,458;0,458;0,458;0,458;965;442
2019-05-29;0,426;0,505;0,426;0,486;9.400;4.659
2019-05-24;0,48;0,48;0,48;0,48;3.000;1.440
2019-05-22;0,525;0,525;0,52;0,52;6.398;3.342
2019-05-20;0,62;0,62;0,62;0,62;60;37
2019-05-16;0,432;0,432;0,432;0,432;2.916;1.260
2019-05-10;0,645;0,645;0,60;0,60;8.450;5.407
2019-05-09;0,64;0,64;0,64;0,64;1.500;960
2019-05-07;0,70;0,70;0,64;0,64;1.800;1.242
2019-05-02;0,70;0,70;0,70;0,70;321;225
2019-04-30;0,60;0,60;0,60;0,60;648;389
2019-04-29;0,60;0,70;0,60;0,70;2.199;1.489
2019-04-24;0,615;0,63;0,615;0,63;5.140;3.163
2019-04-23;0,615;0,615;0,615;0,615;180;111
2019-04-18;0,57;0,615;0,53;0,53;3.250;1.903
2019-04-17;0,60;0,60;0,60;0,60;825;495
2019-04-16;0,705;0,705;0,705;0,705;4;3
2019-04-15;0,63;0,63;0,63;0,63;1.750;1.103
2019-04-10;0,70;0,70;0,70;0,70;3.150;2.205
2019-04-04;0,75;0,75;0,75;0,75;1.575;1.181
2019-04-02;0,63;0,63;0,625;0,625;3.650;2.299
2019-03-28;0,681;0,681;0,681;0,681;250;170
2019-03-27;0,70;0,70;0,70;0,70;100;70
2019-03-25;0,68;0,75;0,68;0,75;1.725;1.180
2019-03-21;0,7599;0,7599;0,7599;0,7599;200;152
2019-03-20;0,70;0,70;0,69;0,69;4.150;2.889
2019-03-19;0,70;0,7599;0,62;0,7599;2.013;1.369
2019-03-15;0,69;0,69;0,69;0,69;100;69
2019-03-14;0,70;0,70;0,70;0,70;1.000;700
2019-03-13;0,7599;0,7599;0,65;0,65;1.900;1.422
2019-03-11;0,7599;0,7599;0,7599;0,7599;300;228
2019-03-06;0,735;0,735;0,735;0,735;700;515
2019-03-05;0,7599;0,7599;0,7599;0,7599;150;114
2019-02-26;0,70;0,70;0,70;0,70;500;350
2019-02-25;0,68;0,68;0,68;0,68;260;177
2019-02-18;0,75;0,80;0,75;0,80;600;460
2019-02-12;0,75;0,75;0,7499;0,7499;5.450;4.087
2019-02-08;0,80;0,80;0,7277;0,7277;2.100;1.622
2019-02-05;0,84;0,84;0,84;0,84;1.250;1.050
2019-02-04;0,80;0,80;0,80;0,80;1.975;1.580
2019-02-01;0,804;0,804;0,804;0,804;1.100;884
2019-01-30;0,845;0,845;0,845;0,845;2.550;2.155
2019-01-29;0,78;0,835;0,78;0,835;619;484
2019-01-25;0,78;0,78;0,78;0,78;100;78
2019-01-14;0,86;0,86;0,86;0,86;500;430
2019-01-10;0,78;0,90;0,78;0,90;6.750;5.670
2019-01-09;0,85;0,85;0,834;0,834;1.805;1.527
2019-01-08;0,63;0,70;0,63;0,70;6.100;3.947
2019-01-07;0,63;0,63;0,49;0,49;3.200;1.778
2019-01-04;0,685;0,73;0,63;0,63;2.265;1.566
2019-01-03;0,72;0,72;0,72;0,72;1.110;799
2019-01-02;0,734;0,734;0,734;0,734;500;367
2018-12-28;0,679;0,679;0,679;0,679;1.175;798
2018-12-27;0,69;0,709;0,69;0,709;8.999;6.253
2018-12-21;0,8001;0,8001;0,72;0,72;8.975;6.802
2018-12-20;0,78;0,78;0,78;0,78;3.850;3.003
2018-12-19;0,85;0,85;0,80;0,80;6.500;5.355
2018-12-17;0,85;0,89;0,85;0,89;2.396;2.078
2018-12-14;0,85;0,85;0,85;0,85;1.000;850
2018-12-12;0,88;0,88;0,88;0,88;1.200;1.056
2018-12-11;0,9199;0,92;0,9199;0,92;3.125;2.875
2018-12-10;0,86;0,87;0,86;0,87;1.200;1.040
2018-12-07;0,88;0,88;0,87;0,87;4.000;3.493
2018-12-06;0,88;0,88;0,88;0,88;1.250;1.100
2018-12-05;0,95;0,95;0,95;0,95;1.175;1.116
2018-11-28;0,79;0,91;0,79;0,91;3.047;2.656
2018-11-26;0,95;0,95;0,899;0,899;800;729
2018-11-23;1,0498;1,0498;1,0498;1,0498;200;210
2018-11-21;1,0498;1,0498;1,0498;1,0498;500;525
2018-11-20;1,0002;1,0002;0,9501;0,9501;1.950;1.904
2018-11-19;1,0498;1,05;1,0498;1,05;1.092;1.147
2018-11-16;1,0574;1,0574;1,0572;1,0572;3.100;3.278
2018-11-15;1,04;1,04;1,04;1,04;1.100;1.144
2018-11-14;1,02;1,0392;1,02;1,0392;1.400;1.447
2018-11-12;1,01;1,01;1,01;1,01;400;404
2018-11-09;1,0202;1,0202;1,0104;1,02;4.500;4.586
2018-11-08;1,06;1,06;1,0498;1,0498;2.010;2.110
2018-11-07;1,06;1,06;1,04;1,04;2.135;2.230
2018-11-06;1,038;1,038;1,038;1,038;1.000;1.038
2018-11-05;1,0502;1,0502;1,05;1,05;2.999;3.149
2018-11-02;1,09;1,09;1,09;1,09;900;981
2018-11-01;1,06;1,11;1,06;1,11;1.280;1.371
2018-10-31;1,076;1,15;1,074;1,12;4.655;5.054
2018-10-30;1,07;1,106;1,07;1,106;8.000;8.632
2018-10-24;1,17;1,17;1,05;1,05;1.200;1.284
2018-10-23;1,20;1,24;1,15;1,15;1.740;2.104
2018-10-18;1,16;1,245;1,16;1,245;700;829
2018-10-17;1,20;1,2298;1,10;1,1502;9.500;10.962
2018-10-16;1,3202;1,3202;1,30;1,30;4.550;5.986
2018-10-15;1,399;1,42;1,299;1,42;3.750;5.098
2018-10-12;1,35;1,399;1,35;1,399;2.824;3.911
2018-10-11;1,35;1,35;1,35;1,35;100;135
2018-10-10;1,50;1,50;1,50;1,50;100;150
2018-10-09;1,40;1,40;1,40;1,40;400;560
2018-10-08;1,42;1,48;1,42;1,48;2.270;3.276
2018-10-05;1,5002;1,5002;1,50;1,50;4.075;6.113
2018-10-04;1,55;1,55;1,41;1,5498;4.102;6.296
2018-10-03;1,57;1,57;1,57;1,57;500;785
2018-10-02;1,605;1,6428;1,605;1,6428;3.375;5.466
2018-09-28;1,5514;1,5514;1,548;1,55;14.423;22.354
2018-09-27;1,685;1,685;1,5604;1,5604;2.241;3.559
2018-09-26;1,5922;1,5922;1,5604;1,5604;950;1.508
2018-09-25;1,65;1,65;1,64;1,64;2.016;3.318
2018-09-24;1,75;1,75;1,65;1,65;2.100;3.514
2018-09-21;1,82;1,82;1,82;1,82;1.500;2.730
2018-09-20;1,80;1,80;1,80;1,80;500;900
2018-09-19;1,80;1,80;1,80;1,80;625;1.125
2018-09-18;1,8344;1,8344;1,8344;1,8344;600;1.101
2018-09-17;1,8986;1,8986;1,7002;1,7002;1.550;2.903
2018-09-12;1,72;1,72;1,711;1,711;4.690;8.054
2018-09-11;1,98;1,98;1,98;1,98;500;990
2018-09-10;1,6898;1,98;1,6898;1,98;16.050;30.121
2018-09-07;1,7498;1,7498;1,65;1,65;2.900;4.860
2018-09-06;1,7924;1,8286;1,59;1,59;9.804;16.970
2018-09-04;1,90;1,90;1,90;1,90;660;1.254
2018-09-03;1,9998;1,9998;1,98;1,98;700;1.398
2018-08-31;1,9042;1,9042;1,9042;1,9042;1.490;2.837
2018-08-29;2,0005;2,0195;1,9002;1,9002;11.578;23.113
2018-08-28;2,0005;2,02;2,00;2,02;13.599;27.205
2018-08-27;2,0005;2,0005;2,0005;2,0005;5.420;10.843
2018-08-24;1,99;2,0005;1,99;2,0005;14.205;28.405
2018-08-23;2,0005;2,0005;2,0005;2,0005;10.100;20.205
2018-08-22;2,0005;2,0005;2,0005;2,0005;2.150;4.301
2018-08-21;2,00;2,05;2,00;2,05;11.394;22.792
2018-08-20;2,00;2,04;2,00;2,00;1.200;2.428
2018-08-17;2,0005;2,0005;2,0005;2,0005;300;600
2018-08-16;2,0005;2,05;2,00;2,05;8.400;16.832
2018-08-15;2,0005;2,0005;2,0005;2,0005;3.064;6.130
2018-08-14;2,0005;2,0005;2,0005;2,0005;4.898;9.798
2018-08-13;2,05;2,1395;2,05;2,1395;1.050;2.157
2018-08-10;2,0005;2,0005;2,0005;2,0005;100;200
2018-08-09;2,1395;2,1395;2,0505;2,0505;575;1.195
2018-08-08;2,05;2,05;2,05;2,05;350;718
2018-08-07;2,05;2,1395;2,05;2,1395;2.026;4.241
2018-08-06;2,00;2,00;2,00;2,00;3.000;6.000
2018-08-03;2,1195;2,1495;2,01;2,1495;5.529;11.475
2018-08-02;2,05;2,10;2,05;2,10;3.840;7.945
2018-08-01;2,0405;2,0405;2,04;2,04;920;1.877
2018-07-31;2,12;2,12;2,065;2,065;1.060;2.192
2018-07-30;2,15;2,15;2,0505;2,0505;2.200;4.611
2018-07-27;2,23;2,23;2,102;2,102;1.950;4.137
2018-07-26;2,13;2,15;2,13;2,15;1.500;3.215
2018-07-25;2,102;2,20;2,102;2,20;3.050;6.625
2018-07-24;2,0905;2,15;2,0905;2,15;450;956
2018-07-23;2,2595;2,2595;2,07;2,07;2.351;4.947
2018-07-19;2,2495;2,2495;2,19;2,19;1.149;2.522
2018-07-18;2,0995;2,22;2,08;2,15;10.199;21.894
2018-07-17;2,0355;2,1195;2,02;2,0995;2.145;4.458
2018-07-16;2,10;2,17;2,0295;2,0295;3.059;6.535
2018-07-13;2,1505;2,1505;2,15;2,15;1.770;3.806





