Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-13;106,725;107,05;106,00;106,00;20.000;2.123.150
2019-08-12;105,975;105,975;105,975;105,975;;
2019-08-09;105,975;105,975;105,975;105,975;;
2019-08-08;104,875;104,875;104,875;104,875;;
2019-08-07;106,00;106,00;106,00;106,00;;
2019-08-06;106,00;106,00;106,00;106,00;;
2019-08-05;106,375;106,375;106,375;106,375;;
2019-08-02;106,185;106,185;106,185;106,185;;
2019-08-01;106,271;106,271;106,271;106,271;;
2019-07-31;106,00;106,00;105,80;106,00;20.000;2.119.000
2019-07-30;105,275;105,275;105,275;105,275;;
2019-07-25;105,535;105,535;105,535;105,535;;
2019-07-24;105,275;105,275;105,275;105,275;;
2019-07-23;105,275;105,275;105,275;105,275;;
2019-07-17;105,925;106,00;105,925;106,00;5.000;530.000
2019-07-15;105,54;105,55;105,54;105,55;3.000;316.650
2019-07-11;105,54;105,54;105,54;105,54;;
2019-07-09;105,395;105,395;104,75;104,75;7.000;733.250
2019-07-05;105,665;105,665;105,665;105,665;;
2019-07-04;105,001;105,001;105,001;105,001;;
2019-07-03;105,001;105,001;105,001;105,001;;
2019-07-02;105,001;105,001;105,001;105,001;;
2019-06-28;105,574;105,574;105,574;105,574;;
2019-06-27;104,76;104,76;104,76;104,76;38.000;3.980.880
2019-06-26;104,551;104,551;104,551;104,551;;
2019-06-21;104,233;104,233;104,233;104,233;;
2019-06-20;104,50;104,50;104,50;104,50;;
2019-06-19;104,45;104,45;104,45;104,45;;
2019-06-18;104,488;104,488;104,488;104,488;;
2019-06-14;105,00;105,00;104,20;104,20;15.000;1.563.000
2019-06-13;104,45;104,60;104,30;104,60;17.000;1.776.600
2019-06-12;104,238;104,238;104,238;104,238;;
2019-06-11;104,438;105,20;104,438;105,20;6.000;631.200
2019-06-07;105,325;105,325;105,325;105,325;;
2019-06-06;104,05;104,05;104,05;104,05;;
2019-06-05;104,05;104,05;103,55;103,75;33.000;3.421.750
2019-06-04;103,95;104,70;103,95;104,70;5.000;523.500
2019-06-03;104,742;104,742;104,742;104,742;;
2019-05-31;104,385;104,385;104,385;104,385;;
2019-05-30;104,50;104,50;104,10;104,10;10.000;1.041.000
2019-05-29;104,325;104,899;104,30;104,30;11.000;1.147.899
2019-05-27;104,41;104,41;103,50;103,65;40.000;4.146.100
2019-05-24;104,675;104,675;104,675;104,675;;
2019-05-23;104,675;104,675;104,675;104,675;;
2019-05-22;104,555;104,555;104,555;104,555;;
2019-05-21;104,555;104,91;104,555;104,91;5.000;524.550
2019-05-20;104,685;104,685;104,685;104,685;;
2019-05-17;104,40;104,87;104,40;104,87;8.000;838.960
2019-05-16;105,177;105,177;105,177;105,177;;
2019-05-15;105,177;105,177;105,177;105,177;;
2019-05-14;105,208;105,208;105,208;105,208;;
