Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,27;1,295;1,22;1,25;21.213;27.104
2019-08-13;1,265;1,275;1,21;1,275;33.947;42.406
2019-08-12;1,19;1,295;1,125;1,215;64.096;78.263
2019-08-09;1,305;1,305;1,10;1,14;50.501;58.450
2019-08-08;1,35;1,395;1,20;1,265;152.589;201.347
2019-08-07;1,14;1,18;1,005;1,175;262.660;290.129
2019-08-06;1,65;1,65;1,135;1,145;384.898;488.220
2019-08-05;3,43;3,44;1,60;1,62;499.492;931.491
2019-08-02;3,40;3,45;3,35;3,41;5.477;18.665
2019-08-01;3,30;3,70;3,22;3,46;60.561;208.455
2019-07-31;3,96;3,96;3,45;3,48;84.788;312.122
2019-07-30;4,28;4,36;3,81;3,81;148.260;596.473
2019-07-29;4,36;4,45;4,28;4,32;35.798;157.413
2019-07-26;4,38;4,49;4,25;4,36;64.436;281.937
2019-07-25;4,27;4,40;4,18;4,30;55.402;239.301
2019-07-24;4,35;4,50;4,30;4,32;20.057;87.688
2019-07-23;4,59;4,59;4,06;4,36;79.284;344.540
2019-07-22;4,20;4,85;4,20;4,42;162.327;724.731
2019-07-19;4,24;4,43;3,58;4,08;112.949;463.105
2019-07-18;4,53;4,62;4,15;4,23;64.961;287.863
2019-07-17;4,16;4,80;4,07;4,32;180.326;793.158
2019-07-16;3,46;3,97;3,45;3,88;71.831;265.032
2019-07-15;3,20;3,45;3,18;3,43;34.532;113.590
2019-07-12;3,30;3,30;3,05;3,11;23.541;74.264
2019-07-11;3,19;3,30;3,18;3,24;6.114;19.812
2019-07-10;3,29;3,30;3,19;3,28;10.447;34.366
2019-07-09;3,48;3,48;2,95;3,20;42.935;138.077
2019-07-08;3,64;3,64;3,15;3,44;43.758;151.961
2019-07-05;3,14;3,50;3,11;3,48;94.359;317.065
2019-07-04;2,85;3,14;2,84;3,02;45.133;134.800
2019-07-03;2,82;2,82;2,72;2,80;2.357;6.639
2019-07-02;2,90;2,90;2,74;2,74;1.200;3.378
2019-07-01;2,82;2,90;2,82;2,90;105;296
2019-06-28;2,90;2,99;2,86;2,89;4.556;13.252
2019-06-27;2,87;2,94;2,83;2,90;8.420;24.241
2019-06-26;2,90;2,91;2,85;2,91;35.161;100.293
2019-06-25;2,90;2,95;2,86;2,93;7.531;22.067
2019-06-24;2,90;2,98;2,85;2,85;8.306;23.813
2019-06-21;2,88;3,01;2,82;2,91;57.295;166.966
2019-06-20;2,94;2,96;2,83;2,92;8.268;24.330
2019-06-19;2,68;3,04;2,68;2,85;63.717;182.310
2019-06-18;2,80;2,96;2,71;2,79;67.921;191.535
2019-06-17;2,55;2,90;2,42;2,76;82.391;219.885
2019-06-14;2,51;2,53;2,42;2,48;52.168;130.052
2019-06-13;2,53;2,59;2,40;2,48;81.343;202.561
2019-06-12;2,47;2,67;2,46;2,56;44.629;110.973
2019-06-11;2,39;2,57;2,39;2,49;91.694;224.157
2019-06-07;2,49;2,55;2,32;2,37;55.608;133.845
2019-06-06;2,39;2,48;2,30;2,41;62.848;149.639
2019-06-05;2,45;2,60;2,35;2,50;39.276;95.438
2019-06-04;2,50;2,50;2,46;2,48;2.909;7.266
2019-06-03;2,46;2,54;2,40;2,52;26.680;65.974
2019-05-31;2,58;2,60;2,45;2,55;22.192;55.771
2019-05-30;2,60;2,65;2,52;2,65;3.095;7.896
2019-05-29;2,69;2,70;2,52;2,59;30.099;78.019
2019-05-28;2,59;2,74;2,54;2,56;134.931;353.815
2019-05-27;2,65;2,89;2,56;2,66;73.009;202.574
2019-05-24;2,77;2,77;2,56;2,65;52.950;140.402
2019-05-23;2,75;2,82;2,62;2,62;30.880;84.359
2019-05-22;2,73;2,79;2,68;2,73;389;1.057
2019-05-21;2,66;2,76;2,66;2,71;4.330;11.699
2019-05-20;2,77;2,77;2,72;2,72;2.305;6.316
2019-05-17;2,80;2,84;2,62;2,74;31.174;85.628
2019-05-16;2,83;2,83;2,72;2,78;5.889;16.402
2019-05-15;2,85;2,98;2,81;2,86;5.635;16.034
2019-05-14;2,75;3,00;2,75;2,90;4.784;14.018
2019-05-13;3,02;3,03;2,82;2,90;16.711;49.823
2019-05-10;2,85;3,00;2,85;2,92;44.841;131.114
2019-05-09;2,89;2,89;2,81;2,81;3.350;9.670
2019-05-08;2,94;2,94;2,82;2,86;13.361;38.738
2019-05-07;3,04;3,08;2,76;2,92;65.702;193.215
2019-05-06;2,91;3,30;2,79;3,05;107.348;325.418
2019-05-03;3,00;3,07;2,94;2,98;6.400;19.189
2019-05-02;3,01;3,01;2,92;2,98;25.655;76.835
2019-04-30;2,99;3,00;2,91;2,96;9.383;27.907
2019-04-29;3,10;3,17;2,95;2,98;19.149;58.700
2019-04-26;3,20;3,28;3,03;3,18;114.929;360.108
2019-04-25;3,30;3,30;3,10;3,22;11.538;36.519
2019-04-24;3,36;3,36;3,00;3,15;40.052;126.846
2019-04-23;3,30;3,42;3,25;3,34;5.374;18.103
2019-04-18;3,39;3,63;3,38;3,41;17.147;58.974
2019-04-17;3,58;3,64;3,41;3,55;22.039;78.137
2019-04-16;3,50;3,75;3,47;3,65;40.751;148.046
2019-04-15;2,96;3,78;2,96;3,51;86.102;298.830
2019-04-12;2,83;3,28;2,79;3,05;59.223;177.378
2019-04-11;3,14;3,14;2,70;2,89;54.612;158.552
2019-04-10;3,21;3,29;3,04;3,20;25.195;80.020
2019-04-09;3,48;3,48;3,20;3,47;6.404;21.129
2019-04-08;3,30;3,65;3,15;3,44;83.731;282.740
2019-04-05;3,24;3,34;2,98;3,22;33.025;105.922
2019-04-04;3,33;3,45;3,22;3,40;5.384;17.585
2019-04-03;3,64;3,69;3,14;3,38;76.576;264.338
2019-04-02;2,48;4,10;2,48;3,86;255.413;893.373
2019-04-01;2,28;2,39;2,28;2,38;6.017;14.204
2019-03-29;2,335;2,36;2,165;2,345;14.518;32.468
2019-03-28;2,375;2,38;2,21;2,32;6.605;15.167
2019-03-27;2,31;2,345;2,24;2,34;48.739;112.542
2019-03-26;2,24;2,31;2,24;2,285;7.912;18.156
2019-03-25;2,335;2,35;2,26;2,29;12.938;29.832
2019-03-22;2,495;2,495;2,37;2,425;4.971;11.991
2019-03-21;2,50;2,50;2,375;2,49;25.355;61.865
2019-03-20;2,575;2,64;2,44;2,44;45.832;115.579
2019-03-19;2,67;2,685;2,545;2,61;4.349;11.463
2019-03-18;2,99904;2,99904;2,52016;2,62174;30.656;82.774
2019-03-15;2,80072;2,92165;2,72332;2,85393;57.767;163.706
2019-03-14;2,87811;3,03774;2,59756;2,86844;62.436;180.265
2019-03-13;4,1261;4,1261;3,14416;3,28927;137.026;481.684
2019-03-12;3,97131;4,1261;3,87457;4,05354;24.686;99.069
2019-03-11;4,14545;4,14545;3,87457;4,02452;14.698;58.909
2019-03-08;4,2035;4,2035;3,86973;3,92778;19.271;77.402
2019-03-07;3,96648;4,01968;3,87457;3,92778;9.904;38.923
2019-03-06;4,14545;4,15996;3,88908;3,95196;18.352;72.518
2019-03-05;4,38247;4,48889;4,08257;4,14545;46.075;193.740
2019-03-04;4,44535;4,63884;4,15996;4,41149;78.897;349.173
2019-03-01;4,21317;4,49856;4,11643;4,31959;40.396;174.661
2019-02-28;3,77299;4,5421;3,72945;4,29057;130.079;537.548
2019-02-27;4,09708;4,09708;3,72945;3,73913;39.675;156.280
2019-02-26;4,07773;4,28089;4,04387;4,1261;49.290;202.635
2019-02-25;3,58918;4,43084;3,45374;4,24219;122.623;503.188
2019-02-22;4,28573;4,28573;3,62787;3,78266;136.284;528.068
2019-02-21;4,64852;4,78879;4,06322;4,48889;181.589;813.706
2019-02-20;4,85651;5,39828;4,17931;4,49373;499.432;2.418.346
2019-02-19;2,60723;4,12126;2,60723;3,88908;406.214;1.447.414
2019-02-18;2,32184;2,37021;2,25412;2,37021;3.726;8.651
2019-02-15;2,21058;2,39923;2,21058;2,30249;16.462;37.389
2019-02-14;2,34602;2,34602;2,24928;2,25896;17.438;40.300
2019-02-13;2,2783;2,37989;2,27347;2,37989;4.244;9.659
2019-02-12;2,30249;2,317;2,20575;2,27347;2.414;5.491
2019-02-11;2,32184;2,3944;2,21542;2,32668;13.889;31.632
2019-02-08;2,23961;2,33635;2,23961;2,25896;4.861;11.004
2019-02-07;2,32184;2,41858;2,26863;2,26863;34.610;82.179
2019-02-06;2,31216;2,39923;2,2251;2,26379;9.836;22.020
2019-02-05;2,37989;2,57337;2,2251;2,34602;75.048;175.249
2019-02-04;2,28314;2,54435;2,12835;2,36537;71.891;163.183
2019-02-01;2,33635;2,60239;2,27347;2,33151;29.676;70.146
2019-01-31;2,29765;2,34119;2,29765;2,32668;5.054;11.722
2019-01-30;2,25412;2,30249;2,25412;2,29282;1.689;3.824
2019-01-29;2,17672;2,31216;2,17672;2,2251;10.348;23.299
2019-01-28;2,1477;2,30733;2,03161;2,21542;18.137;40.493
2019-01-25;2,15254;2,31216;2,15254;2,17672;4.383;9.809
2019-01-24;2,13319;2,23477;2,13319;2,23477;1.675;3.650
2019-01-23;2,33635;2,33635;2,19124;2,21542;3.635;8.068
2019-01-22;2,33635;2,34119;2,26863;2,26863;6.259;14.609
2019-01-21;2,18156;2,25412;2,18156;2,25412;1.137;2.532
2019-01-18;2,27347;2,32668;2,21542;2,25896;10.218;23.090
2019-01-17;2,15738;2,28314;2,13319;2,28314;11.271;24.571
2019-01-16;2,17672;2,2251;2,10417;2,2251;8.660;18.551
2019-01-15;2,27347;2,28314;2,09933;2,14286;11.775;25.822
2019-01-14;2,12352;2,28314;2,10417;2,20091;22.506;49.291
2019-01-11;2,1864;2,20091;1,8981;2,01226;33.693;68.541
2019-01-10;2,34119;2,38956;2,34119;2,34119;4.059;9.509
2019-01-09;2,38472;2,54435;2,26379;2,45728;71.472;175.363
2019-01-08;2,52984;2,89262;2,23477;2,46695;65.247;166.892
2019-01-07;1,90391;2,66528;1,84973;2,66528;22.653;47.979
2019-01-04;1,87682;1,88456;1,78008;1,88456;6.558;12.265
2019-01-03;1,90391;1,90391;1,80136;1,83425;4.124;7.717
2019-01-02;1,62142;1,94938;1,54789;1,8478;21.091;36.411
2018-12-28;1,58852;1,61561;1,52854;1,54789;52.523;82.080
2018-12-27;1,80136;1,80136;1,57692;1,70268;39.950;67.738
2018-12-21;1,96389;2,00742;1,84199;1,84199;20.782;39.232
2018-12-20;2,2251;2,26379;1,78975;1,86328;23.587;47.165
2018-12-19;2,46695;2,49598;2,32184;2,37021;15.789;38.003
2018-12-18;2,63142;2,66044;2,5637;2,6556;3.633;9.533
2018-12-17;2,62658;2,70881;2,53467;2,63142;6.869;18.134
2018-12-14;2,89746;2,9023;2,61207;2,75718;40.473;110.822
2018-12-13;2,98937;2,98937;2,80556;2,9023;28.838;83.113
2018-12-12;2,96518;3,05225;2,96518;3,00872;4.268;12.759
2018-12-11;3,01839;3,09579;3,00872;3,09579;2.382;7.247
2018-12-10;2,98453;3,27476;2,98453;3,19253;3.217;9.982
2018-12-07;3,06193;3,09579;2,95551;3,09579;8.675;26.044
2018-12-06;3,26509;3,26509;3,0716;3,15867;2.112;6.766
2018-12-05;3,07644;3,30378;3,07644;3,16351;6.951;22.258
2018-12-04;3,2022;3,31346;3,2022;3,22155;3.802;12.353
2018-12-03;3,2022;3,38602;3,19253;3,19253;27.193;90.501
2018-11-30;3,16834;3,28443;3,06676;3,17802;10.175;31.984
2018-11-29;3,16834;3,19737;2,96034;3,19737;5.119;15.756
2018-11-28;2,96034;3,23606;2,96034;3,10546;3.680;11.591
2018-11-27;3,01355;3,0329;2,95067;2,95067;2.572;7.754
2018-11-26;3,13932;3,19737;2,99904;3,00388;9.337;28.877
2018-11-23;3,09579;3,43439;3,09579;3,15867;2.775;8.880
2018-11-22;3,07644;3,75364;3,0716;3,2409;76.804;251.110
2018-11-21;3,35216;3,48276;3,28443;3,30378;16.837;56.327
2018-11-20;3,24574;3,56015;2,99904;3,48276;54.800;182.179
2018-11-19;2,85393;3,38602;2,63142;3,26992;107.948;326.432
2018-11-16;3,5795;3,77299;2,61691;2,6556;113.213;355.621
2018-11-15;3,9568;4,04871;3,63271;3,71494;59.797;228.831
2018-11-14;3,90843;4,07773;3,64239;3,83103;14.546;56.068
2018-11-13;4,07289;4,45503;3,49243;4,09224;125.416;518.306
2018-11-12;3,39569;4,00517;3,33764;3,87941;77.287;286.282
2018-11-09;3,32797;3,38602;3,26992;3,38602;5.584;18.685
2018-11-08;3,14416;3,23606;2,97002;3,23606;13.151;41.225
2018-11-07;2,96034;3,14416;2,96034;3,13932;1.333;4.052
2018-11-06;3,17802;3,43439;2,80556;3,03774;39.581;117.525
2018-11-05;2,94583;3,05709;2,9023;3,05709;7.913;23.513
2018-11-02;2,92165;3,14899;2,80556;2,89746;11.895;34.771
2018-11-01;2,941;3,12481;2,70881;2,85876;47.495;138.358
2018-10-31;2,91681;3,19253;2,91681;3,01839;4.032;12.038
2018-10-30;3,03774;3,09095;3,00388;3,00388;7.428;22.559
2018-10-29;3,08611;3,14899;2,78621;3,07644;46.049;137.151
2018-10-26;2,90714;2,95551;2,90714;2,95551;227;662
2018-10-25;2,97002;3,18285;2,97002;3,05709;7.258;21.809
2018-10-24;3,08611;3,08611;2,88779;2,97002;821;2.503
2018-10-23;3,0716;3,23606;2,95067;2,97969;11.392;34.723
2018-10-22;2,9023;3,08127;2,9023;3,01839;25.288;76.391
2018-10-19;2,9023;2,99904;2,86844;2,93132;12.938;37.888
2018-10-18;2,76686;3,04741;2,76686;2,941;25.367;74.445
2018-10-17;2,78137;2,78137;2,68463;2,77653;16.693;45.840
2018-10-16;2,99904;3,0716;2,80556;2,80556;29.611;87.955
2018-10-15;3,10062;3,18769;3,08611;3,12481;295;923
2018-10-12;3,12481;3,16834;3,00872;3,12965;11.736;36.673
2018-10-11;2,75718;3,47308;2,75718;3,13448;23.753;71.539
2018-10-10;3,36183;3,36183;2,86844;2,87328;35.548;108.340
2018-10-09;3,53113;3,65206;3,03774;3,3715;56.372;192.727
2018-10-08;4,15996;4,15996;3,72462;3,75364;54.918;216.932
2018-10-05;4,41149;4,41149;4,1648;4,25187;6.612;28.528
2018-10-04;4,53242;4,53242;4,40666;4,45019;8.646;38.441
2018-10-02;4,53242;4,53242;4,40666;4,47438;775;3.501
2018-10-01;4,34377;4,51791;4,30991;4,45019;7.269;32.446
2018-09-28;4,42601;4,48405;4,30508;4,37763;27.441;120.240
2018-09-27;4,5034;4,5421;4,45987;4,51791;10.417;46.656
2018-09-26;4,65819;4,70172;4,48889;4,634;80.937;372.194
2018-09-25;4,84684;4,91456;4,64368;4,73075;13.617;64.319
2018-09-24;4,74526;5,06935;4,74042;4,78879;31.358;153.042
2018-09-21;5,0887;5,12739;4,634;4,84684;25.838;124.810
2018-09-20;4,64368;5,16609;4,63884;4,98228;22.578;109.941
2018-09-19;4,66303;4,69205;4,64852;4,66786;1.922;8.976
2018-09-18;4,69205;4,74042;4,62433;4,65819;7.089;33.269
2018-09-17;4,73558;4,74042;4,64368;4,68238;2.005;9.441
2018-09-14;4,69205;4,72107;4,65819;4,69205;10.247;48.304
2018-09-13;4,72591;4,72591;4,68721;4,68721;1.857;8.762
2018-09-12;4,66786;4,73558;4,66786;4,70656;2.352;11.106
2018-09-11;4,73558;4,74042;4,60498;4,68238;7.306;34.321
2018-09-10;4,7501;4,82265;4,68238;4,70656;8.400;39.669
2018-09-07;4,75493;4,96293;4,64852;4,81782;15.087;71.722
2018-09-06;5,11674;5,11674;4,93637;4,94586;11.705;58.755
2018-09-05;5,21167;5,21167;4,93637;5,00282;22.782;115.621
2018-09-04;5,21167;5,51544;5,10724;5,12623;34.994;185.015
2018-09-03;5,0313;5,43001;4,83195;5,23065;68.289;342.027
2018-08-31;5,78125;5,88567;5,56291;5,60088;13.551;76.883
2018-08-30;5,68632;6,04705;5,34457;5,74328;57.693;321.276
2018-08-29;6,36032;6,40779;5,80023;5,83821;59.407;363.151
2018-08-28;7,18621;7,18621;6,36032;6,55018;76.591;508.321
2018-08-27;7,6134;7,89819;7,11976;7,46151;29.976;222.900
2018-08-24;7,98363;8,20197;6,95838;7,37607;30.590;234.964
2018-08-23;8,40132;9,30316;7,75579;8,01211;85.209;721.591
2018-08-22;7,16723;8,51524;7,15773;8,09754;97.061;779.978
2018-08-21;6,02807;7,14824;6,02807;7,04382;35.542;234.862
2018-08-20;5,81922;6,01857;5,81922;5,9806;20.625;122.714
2018-08-17;5,88567;5,9806;5,7148;5,81922;15.260;89.533
2018-08-16;5,97111;6,17046;5,13572;5,66733;50.010;277.970
