Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;18,18;18,60;18,14;18,54;14.789;271.436
2019-08-15;18,32;18,32;17,00;18,00;45.853;812.078
2019-08-14;18,54;18,58;18,18;18,36;2.253;41.359
2019-08-13;18,86;19,12;18,20;18,52;27.462;515.791
2019-08-12;18,82;18,94;18,66;18,90;7.245;136.567
2019-08-09;18,80;18,90;18,52;18,86;1.919;36.039
2019-08-08;18,72;18,94;18,66;18,84;7.384;138.695
2019-08-07;18,72;18,96;18,48;18,60;5.851;108.970
2019-08-06;19,00;19,34;18,68;18,80;29.770;563.054
2019-08-05;19,60;19,60;18,96;19,00;10.933;208.644
2019-08-02;19,32;19,54;18,98;19,54;2.362;45.748
2019-08-01;19,36;19,50;18,98;19,28;7.066;136.401
2019-07-31;19,42;19,42;18,90;19,24;22.608;433.112
2019-07-30;19,76;19,76;19,24;19,42;5.831;113.319
2019-07-29;19,72;20,00;19,44;19,60;4.420;87.063
2019-07-26;20,20;20,20;19,70;19,80;3.388;67.583
2019-07-25;20,10;20,65;20,00;20,05;15.948;324.937
2019-07-24;20,20;20,65;19,70;20,00;35.589;717.109
2019-07-23;19,08;20,00;18,98;20,00;19.483;379.012
2019-07-22;19,10;19,10;18,80;18,90;6.400;121.228
2019-07-19;18,98;19,08;18,80;18,98;6.311;119.678
2019-07-18;18,54;18,98;18,44;18,80;17.548;327.752
2019-07-17;18,80;18,80;18,52;18,54;8.926;166.017
2019-07-16;18,58;18,74;18,34;18,74;15.179;281.453
2019-07-15;19,54;19,54;18,46;18,46;22.270;421.234
2019-07-12;19,62;19,62;19,22;19,46;28.838;562.454
2019-07-11;19,40;19,68;19,26;19,44;16.668;324.972
2019-07-10;19,50;19,80;19,40;19,58;4.394;86.171
2019-07-09;20,15;20,60;19,52;19,52;18.593;371.726
2019-07-08;19,94;20,30;19,94;20,10;2.302;46.358
2019-07-05;20,15;20,20;19,86;20,05;13.507;270.057
2019-07-04;19,26;20,15;19,26;20,15;21.621;426.642
2019-07-03;19,60;19,60;19,28;19,38;32.614;632.447
2019-07-02;19,80;19,80;19,42;19,44;12.631;247.401
2019-07-01;19,84;19,94;19,58;19,60;3.710;73.212
2019-06-28;19,50;19,76;19,26;19,76;19.683;384.222
2019-06-27;20,20;20,20;19,42;19,60;12.887;254.449
2019-06-26;20,00;20,15;19,82;20,10;10.789;216.508
2019-06-25;20,25;20,60;19,90;19,90;11.235;227.531
2019-06-24;20,60;20,65;20,30;20,35;22.971;471.539
2019-06-21;20,65;20,75;20,55;20,60;5.622;116.084
2019-06-20;20,80;20,90;20,50;20,70;17.342;359.192
2019-06-19;20,85;21,20;20,80;20,85;6.906;145.083
2019-06-18;20,95;21,10;20,80;20,95;4.702;98.688
2019-06-17;20,90;21,00;20,70;20,85;18.686;390.445
2019-06-14;20,55;20,80;20,35;20,80;8.705;179.620
2019-06-13;20,50;20,75;20,20;20,40;22.611;462.713
2019-06-12;20,70;20,90;20,30;20,55;31.790;655.354
2019-06-11;20,55;21,05;20,55;20,80;8.260;172.140
2019-06-07;21,40;21,50;20,70;20,75;14.871;311.904
2019-06-06;21,85;22,15;21,00;21,40;18.976;408.455
2019-06-05;21,90;22,10;21,90;21,95;8.566;188.503
2019-06-04;22,00;22,15;21,90;21,95;4.830;106.469
2019-06-03;21,95;22,15;21,75;22,00;13.623;299.913
2019-05-31;22,05;22,05;21,15;22,00;74.724;1.627.126
2019-05-30;22,00;22,20;21,90;21,95;5.562;122.486
2019-05-29;21,90;22,20;21,90;22,00;14.224;313.593
2019-05-28;22,30;22,40;22,00;22,05;25.782;572.942
2019-05-27;22,30;22,40;22,20;22,30;15.469;345.250
2019-05-24;22,10;22,25;21,80;22,10;45.067;993.985
2019-05-23;21,95;22,15;21,90;21,95;4.583;100.730
2019-05-22;22,05;22,25;21,85;22,05;21.295;469.720
2019-05-21;22,00;22,20;21,90;21,90;18.967;417.419
2019-05-20;22,25;22,40;22,00;22,15;20.269;449.335
2019-05-17;22,20;22,45;22,05;22,30;17.860;396.726
2019-05-16;22,25;22,45;22,25;22,40;11.784;263.797
