Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-16;100,00;100,00;100,00;100,00;0;0
2019-08-15;100,00;100,00;100,00;100,00;0;0
2019-08-14;100,00;100,00;100,00;100,00;0;0
2019-08-13;100,00;100,00;100,00;100,00;0;0
2019-08-12;100,00;100,00;100,00;100,00;0;0
2019-08-09;100,00;100,00;100,00;100,00;0;0
2019-08-08;100,00;100,00;100,00;100,00;0;0
2019-08-07;100,00;100,00;100,00;100,00;0;0
2019-08-06;100,00;100,00;100,00;100,00;0;0
2019-08-05;100,00;100,00;100,00;100,00;0;0
2019-08-02;100,00;100,00;100,00;100,00;0;0
2019-08-01;100,00;100,00;100,00;100,00;14.000;14.000
2019-07-31;100,00;100,00;100,00;100,00;0;0
2019-07-30;100,00;100,55;100,00;100,00;2.000;2.011
2019-07-29;100,00;100,00;100,00;100,00;0;0
2019-07-26;100,00;100,00;100,00;100,00;0;0
2019-07-25;100,00;100,00;100,00;100,00;0;0
2019-07-24;100,00;100,00;100,00;100,00;0;0
2019-07-23;100,00;100,00;100,00;100,00;0;0
2019-07-22;100,00;100,00;100,00;100,00;0;0
2019-07-19;100,00;100,00;100,00;100,00;10.000;10.000
2019-07-18;100,00;100,00;100,00;100,00;0;0
2019-07-17;100,00;100,00;100,00;100,00;0;0
2019-07-16;100,00;100,00;100,00;100,00;0;0
2019-07-15;100,00;100,00;100,00;100,00;0;0
2019-07-12;100,00;100,00;100,00;100,00;0;0
2019-07-11;100,00;100,00;100,00;100,00;0;0
2019-07-10;100,15;100,15;100,00;100,00;0;0
2019-07-09;100,00;100,00;100,00;100,00;0;0
2019-07-08;100,00;100,00;100,00;100,00;0;0
2019-07-05;100,00;100,00;100,00;100,00;0;0
2019-07-04;100,00;100,00;100,00;100,00;0;0
2019-07-03;100,00;100,00;100,00;100,00;0;0
2019-07-02;100,00;100,00;100,00;100,00;0;0
2019-07-01;100,15;100,15;100,01;100,01;0;0
2019-06-28;100,00;100,00;100,00;100,00;0;0
2019-06-27;100,00;100,00;100,00;100,00;60.000;60.000
2019-06-26;100,01;100,01;100,00;100,00;0;0
2019-06-25;100,00;100,25;100,00;100,01;10.000;10.025
2019-06-24;100,00;100,00;100,00;100,00;0;0
2019-06-21;100,00;100,00;100,00;100,00;0;0
2019-06-20;100,00;100,00;100,00;100,00;0;0
2019-06-19;99,90;100,00;99,90;100,00;0;0
2019-06-18;99,90;100,00;99,90;100,00;0;0
2019-06-17;99,90;99,90;99,90;99,90;0;0
2019-06-14;100,00;100,00;99,90;99,90;0;0
2019-06-13;100,00;100,00;100,00;100,00;0;0
2019-06-12;100,00;100,00;100,00;100,00;0;0
2019-06-11;100,05;100,05;100,00;100,00;0;0
2019-06-07;100,00;100,00;100,00;100,00;0;0
2019-06-06;100,00;100,00;100,00;100,00;0;0
2019-06-05;100,01;100,01;100,00;100,00;50.000;50.000
2019-06-04;100,01;100,01;100,00;100,00;0;0
2019-06-03;100,00;100,00;100,00;100,00;0;0
2019-05-31;100,00;100,00;100,00;100,00;0;0
2019-05-30;100,00;100,00;100,00;100,00;0;0
2019-05-29;100,00;100,00;100,00;100,00;0;0
2019-05-28;100,00;100,00;100,00;100,00;0;0
2019-05-27;100,00;100,00;100,00;100,00;0;0
2019-05-24;100,00;100,00;100,00;100,00;0;0
2019-05-23;100,00;100,00;100,00;100,00;0;0
2019-05-22;100,00;100,00;100,00;100,00;0;0
2019-05-21;100,00;100,00;100,00;100,00;0;0
2019-05-20;100,00;100,00;100,00;100,00;0;0
2019-05-17;100,00;100,02;100,00;100,02;0;0
2019-05-16;100,00;100,05;100,00;100,05;0;0
2019-05-15;100,10;100,10;100,00;100,00;0;0
2019-05-14;100,00;100,00;100,00;100,00;0;0
2019-05-13;100,00;100,00;100,00;100,00;0;0
2019-05-10;100,00;100,00;100,00;100,00;0;0
2019-05-09;100,00;100,00;100,00;100,00;0;0
2019-05-08;100,00;100,00;100,00;100,00;0;0
2019-05-07;100,00;100,00;100,00;100,00;0;0
2019-05-06;100,00;100,00;100,00;100,00;0;0
2019-05-03;100,00;100,00;100,00;100,00;0;0
2019-05-02;100,00;100,00;100,00;100,00;0;0
2019-04-30;100,00;100,00;100,00;100,00;0;0
2019-04-29;100,00;100,00;100,00;100,00;0;0
2019-04-26;100,00;100,00;100,00;100,00;0;0
2019-04-25;100,00;100,00;100,00;100,00;0;0
2019-04-24;100,00;100,00;100,00;100,00;0;0
2019-04-23;100,00;100,00;100,00;100,00;0;0
2019-04-18;100,00;100,00;100,00;100,00;0;0
2019-04-17;100,00;100,00;100,00;100,00;0;0
2019-04-16;100,00;100,00;100,00;100,00;0;0
2019-04-15;100,00;100,00;100,00;100,00;0;0
2019-04-12;100,00;100,00;100,00;100,00;0;0
2019-04-11;100,00;100,00;100,00;100,00;0;0
2019-04-10;100,00;100,00;100,00;100,00;0;0
2019-04-09;99,10;100,00;99,10;100,00;0;0
2019-04-08;100,10;100,10;99,99;99,99;0;0
2019-04-05;100,00;100,00;100,00;100,00;0;0
2019-04-04;100,00;100,00;100,00;100,00;0;0
2019-04-03;100,00;100,00;100,00;100,00;0;0
2019-04-02;99,80;99,80;99,80;99,80;0;0
2019-04-01;100,00;100,00;99,80;99,80;20.000;19.960
2019-03-29;100,00;100,00;100,00;100,00;0;0
2019-03-28;100,00;100,00;100,00;100,00;0;0
2019-03-27;100,00;100,00;100,00;100,00;0;0
2019-03-26;100,00;100,00;100,00;100,00;0;0
2019-03-25;100,00;100,00;100,00;100,00;0;0
2019-03-22;100,00;100,00;100,00;100,00;0;0
2019-03-21;100,00;100,00;100,00;100,00;0;0
2019-03-20;100,00;100,00;100,00;100,00;0;0
2019-03-19;100,00;100,00;100,00;100,00;0;0
2019-03-18;100,00;100,00;100,00;100,00;0;0
2019-03-15;100,00;100,00;100,00;100,00;0;0
2019-03-14;100,00;100,00;100,00;100,00;0;0
2019-03-13;100,00;100,00;100,00;100,00;0;0
2019-03-12;99,98;100,00;99,98;100,00;0;0
2019-03-11;99,98;99,98;99,98;99,98;0;0
2019-03-08;99,95;99,98;99,95;99,98;0;0
2019-03-07;99,95;99,95;99,95;99,95;0;0
2019-03-06;99,90;99,95;99,90;99,95;0;0
2019-03-05;99,90;99,90;99,90;99,90;0;0
2019-03-04;99,90;99,90;99,90;99,90;0;0
2019-03-01;99,90;99,90;99,90;99,90;0;0
2019-02-28;99,95;100,00;99,95;100,00;0;0
2019-02-27;99,85;99,90;99,85;99,90;0;0
2019-02-26;99,85;99,87;99,85;99,87;0;0
2019-02-25;99,80;99,85;99,80;99,85;0;0
2019-02-22;99,70;99,80;99,70;99,80;0;0
2019-02-21;99,70;99,70;99,70;99,70;0;0
2019-02-20;99,60;99,70;99,60;99,70;0;0
2019-02-19;99,50;99,60;99,50;99,60;0;0
2019-02-18;99,40;99,50;99,40;99,50;0;0
2019-02-15;99,40;99,40;99,40;99,40;0;0
2019-02-14;99,20;99,50;99,20;99,50;0;0
2019-02-13;99,00;99,20;99,00;99,20;0;0
2019-02-12;98,75;99,00;98,75;99,00;0;0
2019-02-11;98,75;98,75;98,75;98,75;0;0
2019-02-08;98,50;98,50;98,50;98,50;0;0
2019-02-07;98,50;99,00;98,50;99,00;0;0
2019-02-06;98,50;98,75;98,50;98,75;0;0
2019-02-05;98,50;98,50;98,50;98,50;0;0
2019-02-04;98,50;98,60;98,50;98,60;0;0
2019-02-01;98,80;98,80;98,50;98,50;0;0
2019-01-31;99,00;99,00;99,00;99,00;0;0
2019-01-30;99,00;99,00;99,00;99,00;0;0
2019-01-29;99,00;99,05;99,00;99,05;0;0
2019-01-28;99,00;99,00;99,00;99,00;0;0
2019-01-25;98,50;99,00;98,50;99,00;0;0
2019-01-24;98,50;98,50;98,50;98,50;0;0
2019-01-23;98,50;98,50;98,50;98,50;0;0
2019-01-22;98,50;98,50;98,50;98,50;0;0
2019-01-21;98,50;99,00;98,50;99,00;0;0
2019-01-18;98,50;98,50;98,50;98,50;0;0
2019-01-17;98,50;98,50;98,50;98,50;0;0
2019-01-16;98,50;98,50;98,50;98,50;0;0
2019-01-15;98,50;98,50;98,50;98,50;0;0
2019-01-14;98,45;98,50;98,45;98,50;0;0
2019-01-11;98,95;98,95;98,45;98,45;0;0
2019-01-10;99,45;99,45;98,95;98,95;0;0
2019-01-09;99,45;99,45;98,95;98,95;0;0
2019-01-08;98,45;99,45;98,45;99,45;0;0
2019-01-07;98,95;98,95;98,45;98,45;0;0
2019-01-04;98,45;98,45;98,45;98,45;0;0
2019-01-03;99,20;99,80;99,20;99,20;1.000;998
2019-01-02;98,95;99,20;98,95;99,20;0;0
2018-12-28;97,95;97,95;97,95;97,95;0;0
2018-12-27;98,45;98,45;98,45;98,45;0;0
